lipid_gene,tmed_gene,rho,p,n,FDR
SGMS1,TMED2,0.5653906359167988,7.721603502965733e-55,634,1.6546293220640856e-54
SGMS1,TMED10,0.7182950349096238,1.1760163640536079e-101,634,4.410061365201029e-101
SGMS1,TMED9,0.04049408044993971,0.3086682758446156,634,0.3086682758446156
SGMS2,TMED2,-0.199171525509765,4.284684272028831e-07,634,4.943866467725574e-07
SGMS2,TMED10,0.05879571951707481,0.13919474395649062,634,0.14913722566766852
SGMS2,TMED9,-0.3404101805736764,1.1534903323704764e-18,634,1.5729413623233771e-18
SMPD1,TMED2,0.559696321766797,1.5078374296785343e-53,634,2.8271951806472517e-53
SMPD1,TMED10,0.4495224935132693,7.358472804389759e-33,634,1.103770920658464e-32
SMPD1,TMED9,0.808956673783696,5.999221411362743e-148,634,4.499416058522057e-147
SMPD3,TMED2,0.5794608111529975,3.878684585030829e-58,634,1.1636053755092488e-57
SMPD3,TMED10,0.22478835794157004,1.051239612261289e-08,634,1.3140495153266111e-08
SMPD3,TMED9,0.7183004500833405,1.170050203670587e-101,634,4.410061365201029e-101
CERT1,TMED2,0.8866265574951947,7.867241578615666e-214,634,1.18008623679235e-212
CERT1,TMED10,0.5740135231014253,7.671044012162254e-57,634,1.9177610030405636e-56
CERT1,TMED9,0.4611823513837946,1.0405093994149531e-34,634,1.7341823323582552e-34
