sm_species,tmed_gene,rho,p,n,FDR
SM d38:1,TMED9,0.17503356881446788,0.014136789632488206,196,0.20353300190521187
SM d20:0/18:1,TMED9,0.15938327514793887,0.025656183236260535,196,0.20353300190521187
SM d36:2-d9,TMED9,-0.1511127721782791,0.03449794029656922,196,0.20353300190521187
SM d18:1/24:1,TMED10,-0.1368706547339214,0.05575510261747161,196,0.20353300190521187
SM d18:1/24:1,TMED2,-0.13644033658935487,0.05653694497366997,196,0.20353300190521187
SM d20:0/18:1,TMED10,-0.1011660810896621,0.158277592447858,196,0.4093664569871586
SM d34:1,TMED9,0.10094391119585101,0.15919806660611724,196,0.4093664569871586
SM d34:1,TMED2,-0.08474720791215463,0.23760361247275286,196,0.534608128063694
SM d34:1,TMED10,-0.07382748220015013,0.3037721933069319,196,0.6075443866138638
SM d38:1,TMED10,-0.043994469613102584,0.5403528663412718,196,0.7807855186240895
SM d36:1,TMED10,-0.04382158032186926,0.5419472490598674,196,0.7807855186240895
SM d18:1/24:1,TMED9,0.04299675149672773,0.5495857194968926,196,0.7807855186240895
SM d20:0/18:1,TMED2,-0.04146588497621594,0.5639006523396202,196,0.7807855186240895
SM d36:1,TMED9,0.03639619279592542,0.612537051090074,196,0.7839321875835233
SM d36:1,TMED2,-0.03136544891834616,0.6625356930064403,196,0.7839321875835233
SM d36:2-d9,TMED2,0.028002588287364946,0.696828611185354,196,0.7839321875835233
SM d36:2-d9,TMED10,0.017325904227202295,0.8095324550336926,196,0.8571520112121451
SM d38:1,TMED2,0.0035525167645125946,0.9605867685100333,196,0.9605867685100333
