tmed,model,predictor,beta,p,r2,n
TMED2,MA: covariates+APOE4,APOE4,0.0615916226709768,0.523759258814178,0.03396455956916222,196
TMED2,MB: covariates+SM-C18,SM-C18,-0.02897765044791238,0.647940370642976,0.03294942312156324,196
TMED2,MC: covariates+APOE4+SM-C18,APOE4,0.058347069692320945,0.548097739640603,0.03480816043724966,196
TMED2,MC: covariates+APOE4+SM-C18,SM-C18,-0.025814755055321072,0.6856740146977458,0.03480816043724966,196
TMED10,MA: covariates+APOE4,APOE4,-0.017823541812188377,0.8275191530630241,0.07261505765058507,196
TMED10,MB: covariates+SM-C18,SM-C18,-0.0732387007854727,0.17176073850768625,0.08152614891286458,196
TMED10,MC: covariates+APOE4+SM-C18,APOE4,-0.027214035544822518,0.7396377971326116,0.08206700665531697,196
TMED10,MC: covariates+APOE4+SM-C18,SM-C18,-0.07471392735798887,0.16576575792614,0.08206700665531697,196
TMED9,MA: covariates+APOE4,APOE4,0.0059317899706327155,0.9297885944935738,0.038444021076082247,196
TMED9,MB: covariates+SM-C18,SM-C18,0.0949483936589712,0.03070785644314089,0.06193073465212462,196
TMED9,MC: covariates+APOE4+SM-C18,APOE4,0.01798802904330588,0.7880004937414864,0.06229244064245232,196
TMED9,MC: covariates+APOE4+SM-C18,SM-C18,0.0959234941135934,0.030004391803388764,0.06229244064245232,196
