Model,Term,beta,p,r2,n
M1: TMED2,rna_TMED2,0.36947216604486927,4.426405334761256e-48,0.28583184950854024,633
M2: TMED2 + ER,rna_TMED2,-0.007368078400568297,0.7883215976923733,0.5413015649289645,633
M2: TMED2 + ER,ER_score,0.3382570015192866,1.4389262546807075e-62,0.5413015649289645,633
M3: TMED2 + ER + Braak,rna_TMED2,-0.008682002540660125,0.7506848239600036,0.5461291269278283,633
M3: TMED2 + ER + Braak,ER_score,0.3376543422431025,8.286269660836946e-63,0.5461291269278283,633
M3: TMED2 + ER + Braak,braaksc,-0.020897949372658327,0.009917275968148356,0.5461291269278283,633
M4: TMED2 + ER + Braak + cov+cells,rna_TMED2,-0.21098828991959714,4.370405780824998e-12,0.6630523045761596,633
M4: TMED2 + ER + Braak + cov+cells,ER_score,0.2671898523134525,1.2915057415718426e-48,0.6630523045761596,633
M4: TMED2 + ER + Braak + cov+cells,braaksc,-0.018231527450259785,0.017992364838129257,0.6630523045761596,633
M4: TMED2 + ER + Braak + cov+cells,age_at_visit_max,-0.001115207416459818,0.5775445688360246,0.6630523045761596,633
M4: TMED2 + ER + Braak + cov+cells,msex,-0.013493888790883951,0.46530101161349263,0.6630523045761596,633
M4: TMED2 + ER + Braak + cov+cells,pmi,-0.0009248779662657837,0.6139106628581769,0.6630523045761596,633
M4: TMED2 + ER + Braak + cov+cells,neuron_score,0.1857861671939774,2.3879898301221843e-26,0.6630523045761596,633
M4: TMED2 + ER + Braak + cov+cells,astro_score,0.08384109388264147,5.074033394248531e-10,0.6630523045761596,633
M4: TMED2 + ER + Braak + cov+cells,micro_score,0.023253389695192982,0.11288568767541785,0.6630523045761596,633
M4: TMED2 + ER + Braak + cov+cells,oligo_score,-0.04616372778032293,0.00016811674933917532,0.6630523045761596,633
