TMED,Target,rho,p_spearman,r_pearson,p_pearson,n,FDR
TMED2,BACE1,0.8372617868024916,7.709066809677687e-168,0.8405615877962042,2.0904685231336165e-170,634,4.6254400858066126e-167
TMED2,APP,0.8806240964164616,3.479527444649134e-207,0.8753333985528452,1.284895322774976e-201,634,4.1754329335789605e-206
TMED2,PSEN1,0.5835857137828766,3.89782718913533e-59,0.6724738924940444,1.1807938451335414e-84,634,6.681989467089137e-59
TMED2,PSEN2,,,,,0,
TMED2,ADAM10,0.6956168995328706,7.704885990226837e-93,0.7076374389126195,2.0855715340303662e-97,634,1.849172637654441e-92
TMED10,BACE1,0.6518570690796053,5.768064798126272e-78,0.7311991468508606,4.5136125784499354e-107,634,1.1536129596252544e-77
TMED10,APP,0.5542286914974356,2.4793161643868354e-52,0.6437572073013477,1.7708923864345446e-75,634,3.305754885849114e-52
TMED10,PSEN1,0.7258037618740926,9.050963816957606e-105,0.7842933899209498,3.721304781154857e-133,634,2.715289145087282e-104
TMED10,PSEN2,,,,,0,
TMED10,ADAM10,0.7864344483215255,2.3179509793435274e-134,0.7550335086173648,5.9542950655580015e-118,634,9.27180391737411e-134
TMED9,BACE1,0.5465267605524371,1.1734942317650287e-50,0.616722332184653,1.0697446765207923e-67,634,1.4081930781180344e-50
TMED9,APP,0.5680722299414607,1.8671209395206223e-55,0.6161870563882974,1.4987778594682743e-67,634,2.8006814092809334e-55
TMED9,PSEN1,0.2590325980508435,3.525356887613935e-11,0.3758047284472728,1.0656026534323952e-22,634,3.84584387739702e-11
TMED9,PSEN2,,,,,0,
TMED9,ADAM10,0.2030693675512667,2.510843286940909e-07,0.2345610154389075,2.258418348568654e-09,634,2.510843286940909e-07
