TMED,Target,beta,se,p,n,FDR
TMED2,BACE1,0.5962429754379727,0.0311366757242432,1.211931955890945e-64,633,2.9086366941382677e-64
TMED2,APP,0.8344129678981107,0.03410760161953868,3.429008230370551e-93,633,2.0574049382223306e-92
TMED2,PSEN1,0.4100697323095402,0.026246530645398874,1.1000406971296515e-46,633,1.8857840522222595e-46
TMED2,PSEN2,,,,0,
TMED2,ADAM10,0.5193227088777568,0.030729593602254614,4.899973935503315e-53,633,9.79994787100663e-53
TMED10,BACE1,0.8631201273644866,0.03525800802474186,2.8077351572563334e-93,633,2.0574049382223306e-92
TMED10,APP,0.9830797323481858,0.04538350278464549,5.094347731888916e-78,633,2.0377390927555664e-77
TMED10,PSEN1,0.5963520839921902,0.030780255096832708,7.915344560587144e-66,633,2.3746033681761433e-65
TMED10,PSEN2,,,,0,
TMED10,ADAM10,0.5945996469558568,0.04015987886541497,1.000136716969076e-42,633,1.5002050754536142e-42
TMED9,BACE1,0.2952589709661657,0.0458846342232258,2.464137150043636e-10,633,3.285516200058182e-10
TMED9,APP,0.12939786589468996,0.05742375303406129,0.024581198141094218,633,0.024581198141094218
TMED9,PSEN1,0.1657055337632685,0.0367949952605443,7.97951563938427e-06,633,8.704926152055568e-06
TMED9,PSEN2,,,,0,
TMED9,ADAM10,-0.19892520050124435,0.044095088483277464,7.700628428808976e-06,633,8.704926152055568e-06
