test,gene,beta,se,ci_lo,ci_hi,p,r2,n,fdr,JT_z
B_unadjusted,TMED2,-0.018013927554718236,0.017279511517192005,-0.051881770128414564,0.015853915018978093,0.2975775490796731,0.0017166850925028588,634.0,0.2975775490796731,
B_unadjusted,TMED10,0.01820277619833972,0.015227810287745738,-0.011643731965641925,0.048049284362321365,0.23239318390562644,0.0022558097691384666,634.0,0.2975775490796731,
B_unadjusted,TMED9,-0.029772480074926104,0.01191812177410212,-0.05313199875216626,-0.006412961397685952,0.01273961856345528,0.009777550757666757,634.0,0.038218855690365844,
C_JT,TMED2,,,,,0.19223181175039183,,,,-1.3040051931157952
C_JT,TMED10,,,,,0.3373403625591599,,,,0.9594335852718958
C_JT,TMED9,,,,,9.745265606215843e-05,,,,-3.8968482060901484
D_adjusted,TMED2,-0.014497736663848348,0.018597217658688336,-0.050948283274877486,0.02195280994718079,0.43594075007919925,0.0009667735381918522,633.0,0.6202883632235849,
D_adjusted,TMED10,0.008139469262962223,0.01642056788528208,-0.02404484379219065,0.0403237823181151,0.6202883632235849,0.0003910986355932765,633.0,0.6202883632235849,
D_adjusted,TMED9,-0.03219594696974997,0.012728855435448733,-0.05714450362322949,-0.007247390316270454,0.01167039501458388,0.010084679499267613,633.0,0.03501118504375164,
E_neuron_adj,TMED2,0.014133975122834869,0.013794504684384482,-0.012903254058558715,0.04117120430422845,0.30594280030842846,0.0016715613663628472,633.0,,
E_neuron_adj,TMED10,0.02143989845409621,0.01542708805421466,-0.008797194132164524,0.051676991040356945,0.16509602032603982,0.003070960548524997,633.0,,
E_neuron_adj,TMED9,-0.013893855264713498,0.009932891909580828,-0.03336232340749192,0.005574612878064926,0.1623756831374207,0.0031108098668179377,633.0,,
F_fullcell_adj,TMED2,-0.014192429754473,0.011918310374271582,-0.0375523180880453,0.009167458579099301,0.23418140817302943,0.0022673247580026717,633.0,,
F_fullcell_adj,TMED10,-0.016468078591309415,0.009423785985700385,-0.034938699123282166,0.002002541940663339,0.08104230366878275,0.004870014512898311,633.0,,
F_fullcell_adj,TMED9,-0.007382438635250793,0.008321665871807256,-0.023692903743993014,0.008928026473491427,0.3753481659726878,0.0012596420582166009,633.0,,
