test,predictor,outcome,beta,se,ci_lo,ci_hi,p,n,term,ratio,score
I1,TMED2,TMED10,0.6890154753468817,0.02201707763416216,0.6458620031839238,0.7321689475098395,2.821294088053089e-130,633,,,
I2,TMED10,TMED2,0.8842982416362414,0.028257221694559145,0.8289140871149054,0.9396823961575773,2.821294088090325e-130,633,,,
I3_main,TMED2,TMED10,0.6781628130330983,0.0658365289412394,0.5491232163082691,0.8072024097579276,4.318078941412244e-23,633,TMED2,,
I3_int,TMED2:Braak,TMED10,0.003371590319947493,0.01734309772167519,-0.030620881214535878,0.03736406185443086,0.8459216019218156,633,interaction,,
J1,TMED2,TMED9,0.36317026706374583,0.023298581179850966,0.31750504795123796,0.4088354861762537,1.4989406727490075e-46,633,,,
J2,TMED10,TMED9,0.41453426818066824,0.026317082192637297,0.36295278708309914,0.46611574927823735,2.348721753856725e-47,633,,,
J3_int,TMED2:Braak,TMED9,-0.019305772983027575,0.018292287177992195,-0.05515865585189227,0.016547109885837123,0.2916472420713279,633,,,
J4_int,TMED10:Braak,TMED9,-0.02976799360235327,0.02082259409870141,-0.07058027803580803,0.011044290831101491,0.1533305298256206,633,,,
K1,,,-0.022637205926810556,0.01174961985720131,-0.04566646084692512,0.00039204899330401097,0.054476297359642746,633,,log(TMED2/TMED10),
K2,,,-0.017698210305901553,0.01605970400273565,-0.049175230151263426,0.01377880953946032,0.27087256069569404,633,,log(TMED9/TMED2),
L1_hyp,,,0.025835608977779402,0.01815842237651395,-0.009754898880187934,0.06142611683574674,0.15529378197860855,633,,,p24_hypothesis_driven
L2_data,,,-0.032417245496222234,0.03000899383497485,-0.09123487341277295,0.026400382420328473,0.2804451049402483,633,,,p24_data_driven
