test,gene,term,beta,se,ci_lo,ci_hi,p,n
A_raw,MAPK14,braaksc,-0.013586495162470616,0.012698049089240267,-0.03847467137738154,0.011301681052440308,0.28504321180683806,633
A_adj,MAPK14,braaksc,-0.006027130969485392,0.013516897062152158,-0.03252024921130362,0.020465987272332842,0.6558260232860601,633
A_full,MAPK14,braaksc,-0.016746881427511066,0.008220080406327554,-0.03285823902391308,-0.000635523831109059,0.04204003951529323,633
B_M1,MAPK14,braaksc,-0.013586495162470616,0.012698049089240267,-0.03847467137738154,0.011301681052440308,0.28504321180683806,633
B_M2,MAPK14,braaksc,-0.006027130969485392,0.013516897062152158,-0.03252024921130362,0.020465987272332842,0.6558260232860601,633
B_M3,MAPK14,braaksc,-0.00195677343120396,0.008571512807308532,-0.018756938533528684,0.014843391671120764,0.8194970293916551,633
B_M4,MAPK14,braaksc,-0.016746881427511066,0.008220080406327554,-0.03285823902391308,-0.000635523831109059,0.04204003951529323,633
C_micro_raw,MAPK14,micro_score,-0.02300974361330992,0.022602256017145037,-0.06731016540691419,0.021290678180294353,0.3090545178075046,633
D_neuron_raw,MAPK14,neuron_score,0.3062772781194467,0.012504703404705126,0.2817680594462247,0.33078649679266875,1.260327665817453e-93,633
E_AD,MAPK14,AD,-0.05805248206491059,0.019707546497483474,-0.09667927319997821,-0.019425690929842983,0.003342562658716692,633
