gene,cell,pearson_r,pearson_p,spearman_r,spearman_p
TMED2,neuron_score,0.6792801528683012,5.536638488053377e-87,0.7138918394391575,7.070270566762437e-100
TMED2,astro_score,0.31863538872565356,1.9934726234780282e-16,0.2316022474854464,3.6240608825183722e-09
TMED2,micro_score,0.5664825999440884,4.338421261587e-55,0.49273539142111694,4.35894325331407e-40
TMED2,oligo_score,-0.10191378744335325,0.01023614709942083,-0.13919551002048466,0.0004396499643254727
TMED10,neuron_score,0.34853660330685615,1.51430193375608e-19,0.24394564154445933,4.829372714874117e-10
TMED10,astro_score,0.6976838049171704,1.3109583449777903e-93,0.7075314118334965,2.2936613486568816e-97
TMED10,micro_score,0.6612498486506279,6.019132048004859e-81,0.6001216295105307,2.7767015546695536e-63
TMED10,oligo_score,0.13000856466010263,0.0010343720738054578,0.13727495980116422,0.0005280745118717578
TMED9,neuron_score,0.6398197459937729,2.692954480960685e-74,0.6354402871737254,5.3063119312985324e-73
TMED9,astro_score,0.2338493122436699,2.5319936897705473e-09,0.14564088522080193,0.0002336516626658473
TMED9,micro_score,0.422555564852114,7.577611218638459e-29,0.3429319563409859,6.182175652043727e-19
TMED9,oligo_score,-0.32087432083565853,1.1961333452102678e-16,-0.3462064883434265,2.7271195210224166e-19
