source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
AP2A1,AP2B1,0.5,0.3466,0.8386,190,1.5492395468175748e-28,5.329384041052458e-26,1
TMED10,OSBP,0.6,0.3155,0.3703,190,6.6836259194922505e-15,3.8319455271755565e-13,1
TMED10,COPB1,0.6,0.2886,-0.2511,190,2.1540308159399076e-12,7.79985895456135e-11,1
TMED9,OSBP,0.4,0.2477,0.2918,190,1.7070225540267465e-21,3.9147717239013387e-19,1
TMED9,TMED10,0.5,0.2408,0.1259,190,2.018163531710585e-12,7.713869498982681e-11,1
PICALM,APP,0.7,0.2376,0.2318,190,1.6633271337169076e-06,2.1192019777726528e-05,1
TMED10,COPE,0.5,0.2352,-0.2652,190,7.535812659281413e-12,2.592319554792806e-10,1
VPS26A,VPS29,0.5,0.2306,-0.3506,190,2.134669230444111e-11,6.119385127273118e-10,1
TMED9,COPB2,0.4,0.2227,0.179,190,7.273047513307464e-17,5.559840765728372e-15,1
VPS35,APP,0.7,0.2077,0.4644,190,3.237313443692023e-05,0.00026834598183856766,1
VPS35,VPS26A,0.5,0.2039,0.9371,190,5.220219660485484e-09,1.0883367049739433e-07,1
AP2A1,APP,0.6,0.1936,0.7665,190,5.61658804059587e-06,6.133670749095173e-05,1
TMED9,COPE,0.4,0.1935,-0.1475,190,1.5655474708359509e-12,6.73185412459459e-11,1
SEC13,SEC31A,0.7,0.1911,0.1548,190,0.00013802237806168768,0.0008868943698576581,1
TMED10,TMED2,0.6,0.1835,0.3015,190,1.7764495419156465e-05,0.0001587269201088266,1
MFN2,HSPA9,0.4,0.1821,0.4257,190,4.148768915201363e-11,1.0571677828364956e-09,1
TMED10,SEC23A,0.4,0.1643,0.4984,190,3.90568447115662e-09,8.668099729534691e-08,1
SAR1B,SEC23A,0.7,0.1575,0.1679,174,0.0028356244467150466,0.012834931706183895,1
TMED10,EIF2S1,0.5,0.1558,0.0803,190,1.2065565862834192e-05,0.00012207513696514593,1
TMED9,TMED2,0.5,0.1554,0.1874,190,1.2721716673827679e-05,0.00012503630102276347,1
SEC24B,SEC23A,0.4,0.155,-0.2849,164,2.972755575278034e-07,4.988428867783628e-06,1
MFN2,TMED10,0.5,0.1546,0.3477,190,1.4156630978948237e-05,0.0001352744737988387,1
TMED10,COPG1,0.5,0.1513,0.2866,190,2.1912936473123195e-05,0.00019083671257606025,1
TMED10,SAR1B,0.4,0.1394,0.3489,174,2.452425334097999e-06,2.8597773387447854e-05,1
OSBP,TMED2,0.4,0.1388,0.2963,190,9.315679053189963e-07,1.3174602156408662e-05,1
TMED10,GGA3,0.3,0.1369,-0.5492,190,3.7255255814691856e-11,1.02526464002032e-09,1
TMED10,ITPR2,0.4,0.1361,-0.7529,125,0.00010306904631690422,0.0007020940976834665,1
