step,variable,adjusted_for,auroc,null_mean,gain_vs_current,z_vs_shuffled,n_subjects,kind
1,sex,sex,0.53603,0.5382,-0.00112,-2.4,190,clinical/pathology
1,ageDeath,ageDeath,0.53627,0.538,-0.00088,-1.05,190,clinical/pathology
1,apoeGenotype,apoeGenotype,0.53724,0.53734,9e-05,-0.04,189,clinical/pathology
1,pmi,pmi,0.53628,0.53757,-0.00087,-1.17,190,technical
1,diagnosis,diagnosis,0.54199,0.53807,0.00484,2.91,190,clinical/pathology
1,CERAD,CERAD,0.53916,0.53735,0.002,1.43,190,clinical/pathology
1,Braak,Braak,0.54637,0.53758,0.00922,7.73,190,clinical/pathology
1,PlaqueTotal,PlaqueTotal,0.5385,0.53851,0.00135,-0.0,190,clinical/pathology
1,TangleTotal,TangleTotal,0.54197,0.53821,0.00482,3.3,190,clinical/pathology
1,lastMMSE,lastMMSE,0.53763,0.53812,0.00048,-0.32,190,clinical/pathology
1,celltype_neuron,celltype_neuron,0.52537,0.53884,-0.01178,-7.47,190,proteome-derived
1,celltype_astrocyte,celltype_astrocyte,0.53566,0.5377,-0.0015,-1.96,190,proteome-derived
1,celltype_microglia,celltype_microglia,,,,,32,proteome-derived
1,celltype_oligodendrocyte,celltype_oligodendrocyte,0.53592,0.53832,-0.00123,-1.45,190,proteome-derived
1,celltype_endothelial,celltype_endothelial,0.53034,0.52878,-0.00681,1.01,101,proteome-derived
1,proteomePC1,proteomePC1,0.56246,0.53742,0.02531,35.54,190,proteome-derived
1,proteomePC2,proteomePC2,0.5043,0.53885,-0.03285,-18.77,190,proteome-derived
1,proteomePC3,proteomePC3,0.53873,0.53782,0.00158,0.66,190,proteome-derived
1,proteomePC4,proteomePC4,0.53744,0.53947,0.00028,-1.21,190,proteome-derived
1,proteomePC5,proteomePC5,0.5403,0.53827,0.00315,1.74,190,proteome-derived
1,proteomePC6,proteomePC6,0.54026,0.53761,0.0031,1.6,190,proteome-derived
1,proteomePC7,proteomePC7,0.53551,0.53774,-0.00164,-1.69,190,proteome-derived
1,proteomePC8,proteomePC8,0.53736,0.53805,0.0002,-0.42,190,proteome-derived
1,proteomePC9,proteomePC9,0.53958,0.53775,0.00243,1.67,190,proteome-derived
1,proteomePC10,proteomePC10,0.53589,0.5384,-0.00127,-1.44,190,proteome-derived
2,sex,proteomePC1 + sex,0.56093,0.56451,-0.00153,-1.82,190,clinical/pathology
2,ageDeath,proteomePC1 + ageDeath,0.55884,0.56423,-0.00362,-3.7,190,clinical/pathology
2,apoeGenotype,proteomePC1 + apoeGenotype,0.56829,0.56622,0.00583,0.51,189,clinical/pathology
2,pmi,proteomePC1 + pmi,0.5632,0.5661,0.00074,-0.68,190,technical
2,diagnosis,proteomePC1 + diagnosis,0.5746,0.56516,0.01214,3.3,190,clinical/pathology
2,CERAD,proteomePC1 + CERAD,0.5709,0.56394,0.00844,5.17,190,clinical/pathology
2,Braak,proteomePC1 + Braak,0.58314,0.56466,0.02068,12.9,190,clinical/pathology
2,PlaqueTotal,proteomePC1 + PlaqueTotal,0.569,0.56495,0.00654,1.31,190,clinical/pathology
2,TangleTotal,proteomePC1 + TangleTotal,0.57693,0.56488,0.01447,5.24,190,clinical/pathology
2,lastMMSE,proteomePC1 + lastMMSE,0.56612,0.56377,0.00366,1.72,190,clinical/pathology
2,celltype_neuron,proteomePC1 + celltype_neuron,0.55474,0.56498,-0.00772,-6.02,190,proteome-derived
2,celltype_astrocyte,proteomePC1 + celltype_astrocyte,0.56413,0.56474,0.00166,-0.19,190,proteome-derived
2,celltype_microglia,proteomePC1 + celltype_microglia,,,,,32,proteome-derived
2,celltype_oligodendrocyte,proteomePC1 + celltype_oligodendrocyte,0.56442,0.56577,0.00196,-0.64,190,proteome-derived
2,celltype_endothelial,proteomePC1 + celltype_endothelial,0.5536,0.55408,-0.00886,-0.24,101,proteome-derived
2,proteomePC2,proteomePC1 + proteomePC2,0.52441,0.56447,-0.03805,-27.17,190,proteome-derived
2,proteomePC3,proteomePC1 + proteomePC3,0.56699,0.56555,0.00453,0.68,190,proteome-derived
2,proteomePC4,proteomePC1 + proteomePC4,0.56089,0.56527,-0.00157,-2.4,190,proteome-derived
2,proteomePC5,proteomePC1 + proteomePC5,0.56619,0.56475,0.00373,0.81,190,proteome-derived
2,proteomePC6,proteomePC1 + proteomePC6,0.56702,0.56446,0.00456,1.59,190,proteome-derived
2,proteomePC7,proteomePC1 + proteomePC7,0.56401,0.56547,0.00155,-0.6,190,proteome-derived
2,proteomePC8,proteomePC1 + proteomePC8,0.56421,0.56594,0.00175,-0.7,190,proteome-derived
2,proteomePC9,proteomePC1 + proteomePC9,0.5655,0.56413,0.00304,0.75,190,proteome-derived
2,proteomePC10,proteomePC1 + proteomePC10,0.56445,0.56548,0.00199,-0.59,190,proteome-derived
3,sex,proteomePC1 + Braak + sex,0.57641,0.58289,-0.00673,-4.16,190,clinical/pathology
3,ageDeath,proteomePC1 + Braak + ageDeath,0.57585,0.58311,-0.00729,-3.89,190,clinical/pathology
3,apoeGenotype,proteomePC1 + Braak + apoeGenotype,0.58679,0.58029,0.00365,1.49,189,clinical/pathology
3,pmi,proteomePC1 + Braak + pmi,0.58285,0.58275,-0.00029,0.07,190,technical
3,diagnosis,proteomePC1 + Braak + diagnosis,0.58373,0.58316,0.00059,0.24,190,clinical/pathology
3,CERAD,proteomePC1 + Braak + CERAD,0.58562,0.58221,0.00248,1.12,190,clinical/pathology
3,PlaqueTotal,proteomePC1 + Braak + PlaqueTotal,0.58475,0.58273,0.00161,1.25,190,clinical/pathology
3,TangleTotal,proteomePC1 + Braak + TangleTotal,0.58643,0.58344,0.00329,2.28,190,clinical/pathology
3,lastMMSE,proteomePC1 + Braak + lastMMSE,0.57929,0.58287,-0.00385,-2.02,190,clinical/pathology
3,celltype_neuron,proteomePC1 + Braak + celltype_neuron,0.57726,0.58199,-0.00588,-2.13,190,proteome-derived
3,celltype_astrocyte,proteomePC1 + Braak + celltype_astrocyte,0.58115,0.58329,-0.00198,-1.6,190,proteome-derived
3,celltype_microglia,proteomePC1 + Braak + celltype_microglia,,,,,32,proteome-derived
3,celltype_oligodendrocyte,proteomePC1 + Braak + celltype_oligodendrocyte,0.58158,0.58278,-0.00156,-0.82,190,proteome-derived
3,celltype_endothelial,proteomePC1 + Braak + celltype_endothelial,0.56357,0.56587,-0.01957,-1.35,101,proteome-derived
3,proteomePC2,proteomePC1 + Braak + proteomePC2,0.54119,0.58254,-0.04195,-14.51,190,proteome-derived
3,proteomePC3,proteomePC1 + Braak + proteomePC3,0.57989,0.58347,-0.00325,-2.47,190,proteome-derived
3,proteomePC4,proteomePC1 + Braak + proteomePC4,0.58008,0.58313,-0.00305,-1.03,190,proteome-derived
3,proteomePC5,proteomePC1 + Braak + proteomePC5,0.5808,0.58343,-0.00233,-1.39,190,proteome-derived
3,proteomePC6,proteomePC1 + Braak + proteomePC6,0.58126,0.58317,-0.00188,-1.23,190,proteome-derived
3,proteomePC7,proteomePC1 + Braak + proteomePC7,0.58362,0.58261,0.00048,0.39,190,proteome-derived
3,proteomePC8,proteomePC1 + Braak + proteomePC8,0.58445,0.58319,0.00131,0.65,190,proteome-derived
3,proteomePC9,proteomePC1 + Braak + proteomePC9,0.58374,0.58324,0.0006,0.35,190,proteome-derived
3,proteomePC10,proteomePC1 + Braak + proteomePC10,0.58366,0.58401,0.00053,-0.17,190,proteome-derived
4,sex,proteomePC1 + Braak + TangleTotal + sex,0.57726,0.58441,-0.00917,-2.82,190,clinical/pathology
4,ageDeath,proteomePC1 + Braak + TangleTotal + ageDeath,0.58002,0.58497,-0.00641,-4.13,190,clinical/pathology
4,apoeGenotype,proteomePC1 + Braak + TangleTotal + apoeGenotype,0.58493,0.58389,-0.0015,0.37,189,clinical/pathology
4,pmi,proteomePC1 + Braak + TangleTotal + pmi,0.5852,0.58415,-0.00123,0.5,190,technical
4,diagnosis,proteomePC1 + Braak + TangleTotal + diagnosis,0.58484,0.58345,-0.00159,0.83,190,clinical/pathology
4,CERAD,proteomePC1 + Braak + TangleTotal + CERAD,0.58756,0.5853,0.00113,1.65,190,clinical/pathology
4,PlaqueTotal,proteomePC1 + Braak + TangleTotal + PlaqueTotal,0.58831,0.5849,0.00188,2.62,190,clinical/pathology
4,lastMMSE,proteomePC1 + Braak + TangleTotal + lastMMSE,0.57995,0.58492,-0.00648,-4.46,190,clinical/pathology
4,celltype_neuron,proteomePC1 + Braak + TangleTotal + celltype_neuron,0.57745,0.58512,-0.00898,-3.08,190,proteome-derived
4,celltype_astrocyte,proteomePC1 + Braak + TangleTotal + celltype_astrocyte,0.58523,0.58474,-0.0012,0.18,190,proteome-derived
4,celltype_microglia,proteomePC1 + Braak + TangleTotal + celltype_microglia,,,,,32,proteome-derived
4,celltype_oligodendrocyte,proteomePC1 + Braak + TangleTotal + celltype_oligodendrocyte,0.58466,0.5847,-0.00177,-0.03,190,proteome-derived
4,celltype_endothelial,proteomePC1 + Braak + TangleTotal + celltype_endothelial,0.56613,0.56584,-0.0203,0.14,101,proteome-derived
4,proteomePC2,proteomePC1 + Braak + TangleTotal + proteomePC2,0.53729,0.58454,-0.04913,-20.15,190,proteome-derived
4,proteomePC3,proteomePC1 + Braak + TangleTotal + proteomePC3,0.58371,0.58583,-0.00271,-1.38,190,proteome-derived
4,proteomePC4,proteomePC1 + Braak + TangleTotal + proteomePC4,0.58086,0.58462,-0.00557,-2.41,190,proteome-derived
4,proteomePC5,proteomePC1 + Braak + TangleTotal + proteomePC5,0.58134,0.58515,-0.00509,-2.53,190,proteome-derived
4,proteomePC6,proteomePC1 + Braak + TangleTotal + proteomePC6,0.58294,0.58571,-0.00349,-1.61,190,proteome-derived
4,proteomePC7,proteomePC1 + Braak + TangleTotal + proteomePC7,0.5854,0.58425,-0.00103,0.49,190,proteome-derived
4,proteomePC8,proteomePC1 + Braak + TangleTotal + proteomePC8,0.58657,0.58417,0.00015,1.45,190,proteome-derived
4,proteomePC9,proteomePC1 + Braak + TangleTotal + proteomePC9,0.5879,0.58385,0.00147,1.35,190,proteome-derived
4,proteomePC10,proteomePC1 + Braak + TangleTotal + proteomePC10,0.58522,0.58455,-0.00121,0.34,190,proteome-derived
5,sex,proteomePC1 + Braak + TangleTotal + PlaqueTotal + sex,0.57879,0.5875,-0.00951,-7.38,190,clinical/pathology
5,ageDeath,proteomePC1 + Braak + TangleTotal + PlaqueTotal + ageDeath,0.57999,0.58684,-0.00832,-3.59,190,clinical/pathology
5,apoeGenotype,proteomePC1 + Braak + TangleTotal + PlaqueTotal + apoeGenotype,0.58823,0.58341,-8e-05,1.29,189,clinical/pathology
5,pmi,proteomePC1 + Braak + TangleTotal + PlaqueTotal + pmi,0.58674,0.58547,-0.00157,0.73,190,technical
5,diagnosis,proteomePC1 + Braak + TangleTotal + PlaqueTotal + diagnosis,0.58545,0.58584,-0.00286,-0.19,190,clinical/pathology
5,CERAD,proteomePC1 + Braak + TangleTotal + PlaqueTotal + CERAD,0.58828,0.58551,-3e-05,1.24,190,clinical/pathology
5,lastMMSE,proteomePC1 + Braak + TangleTotal + PlaqueTotal + lastMMSE,0.58064,0.58647,-0.00767,-2.99,190,clinical/pathology
5,celltype_neuron,proteomePC1 + Braak + TangleTotal + PlaqueTotal + celltype_neuron,0.57555,0.58698,-0.01276,-6.01,190,proteome-derived
5,celltype_astrocyte,proteomePC1 + Braak + TangleTotal + PlaqueTotal + celltype_astrocyte,0.58676,0.58614,-0.00155,0.24,190,proteome-derived
5,celltype_microglia,proteomePC1 + Braak + TangleTotal + PlaqueTotal + celltype_microglia,,,,,32,proteome-derived
5,celltype_oligodendrocyte,proteomePC1 + Braak + TangleTotal + PlaqueTotal + celltype_oligodendrocyte,0.58654,0.58631,-0.00177,0.16,190,proteome-derived
5,celltype_endothelial,proteomePC1 + Braak + TangleTotal + PlaqueTotal + celltype_endothelial,0.56846,0.56667,-0.01985,1.57,101,proteome-derived
5,proteomePC2,proteomePC1 + Braak + TangleTotal + PlaqueTotal + proteomePC2,0.53183,0.58618,-0.05648,-32.72,190,proteome-derived
5,proteomePC3,proteomePC1 + Braak + TangleTotal + PlaqueTotal + proteomePC3,0.58514,0.58531,-0.00317,-0.08,190,proteome-derived
5,proteomePC4,proteomePC1 + Braak + TangleTotal + PlaqueTotal + proteomePC4,0.58175,0.58563,-0.00656,-1.65,190,proteome-derived
5,proteomePC5,proteomePC1 + Braak + TangleTotal + PlaqueTotal + proteomePC5,0.5831,0.58544,-0.00521,-1.04,190,proteome-derived
5,proteomePC6,proteomePC1 + Braak + TangleTotal + PlaqueTotal + proteomePC6,0.58424,0.58528,-0.00406,-0.44,190,proteome-derived
5,proteomePC7,proteomePC1 + Braak + TangleTotal + PlaqueTotal + proteomePC7,0.58568,0.58612,-0.00263,-0.35,190,proteome-derived
5,proteomePC8,proteomePC1 + Braak + TangleTotal + PlaqueTotal + proteomePC8,0.58823,0.58627,-8e-05,0.88,190,proteome-derived
5,proteomePC9,proteomePC1 + Braak + TangleTotal + PlaqueTotal + proteomePC9,0.58959,0.58631,0.00128,3.02,190,proteome-derived
5,proteomePC10,proteomePC1 + Braak + TangleTotal + PlaqueTotal + proteomePC10,0.58651,0.58593,-0.0018,0.23,190,proteome-derived
