,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,114,114,114,114,114,114,114,78,79,53,105,114,114,114,114,114,106,114,114,114,114,114,114,114,114,114,114,114,114,114,114,35,114,114,114,114,114,114,105,114,87,114,114,114,114,114,105,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,97,114,114,114,114,34,105,114,114,114,114,114,114,114,114
ADAM10,114,190,190,190,190,190,190,122,122,80,172,190,190,190,190,190,182,190,190,190,190,190,190,190,190,190,190,190,190,190,190,52,190,190,190,190,190,190,172,181,148,190,190,190,190,190,181,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,155,190,190,190,190,69,163,190,190,190,190,190,190,190,190
ADAM17,114,190,190,190,190,190,190,122,122,80,172,190,190,190,190,190,182,190,190,190,190,190,190,190,190,190,190,190,190,190,190,52,190,190,190,190,190,190,172,181,148,190,190,190,190,190,181,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,155,190,190,190,190,69,163,190,190,190,190,190,190,190,190
AP1G1,114,190,190,190,190,190,190,122,122,80,172,190,190,190,190,190,182,190,190,190,190,190,190,190,190,190,190,190,190,190,190,52,190,190,190,190,190,190,172,181,148,190,190,190,190,190,181,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,155,190,190,190,190,69,163,190,190,190,190,190,190,190,190
AP2A1,114,190,190,190,190,190,190,122,122,80,172,190,190,190,190,190,182,190,190,190,190,190,190,190,190,190,190,190,190,190,190,52,190,190,190,190,190,190,172,181,148,190,190,190,190,190,181,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,155,190,190,190,190,69,163,190,190,190,190,190,190,190,190
AP2B1,114,190,190,190,190,190,190,122,122,80,172,190,190,190,190,190,182,190,190,190,190,190,190,190,190,190,190,190,190,190,190,52,190,190,190,190,190,190,172,181,148,190,190,190,190,190,181,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,155,190,190,190,190,69,163,190,190,190,190,190,190,190,190
AP3B2,114,190,190,190,190,190,190,122,122,80,172,190,190,190,190,190,182,190,190,190,190,190,190,190,190,190,190,190,190,190,190,52,190,190,190,190,190,190,172,181,148,190,190,190,190,190,181,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,155,190,190,190,190,69,163,190,190,190,190,190,190,190,190
AP4B1,78,122,122,122,122,122,122,122,78,44,122,122,122,122,122,122,114,122,122,122,122,122,122,122,122,122,122,122,122,122,122,26,122,122,122,122,122,122,113,122,86,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,105,122,122,122,122,60,104,122,122,122,122,122,122,122,122
AP4E1,79,122,122,122,122,122,122,78,122,45,122,122,122,122,122,122,114,122,122,122,122,122,122,122,122,122,122,122,122,122,122,43,122,122,122,122,122,122,113,122,104,122,122,122,122,122,113,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,96,122,122,122,122,34,95,122,122,122,122,122,122,122,122
AP4M1,53,80,80,80,80,80,80,44,45,80,71,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,9,80,80,80,80,80,80,62,71,62,80,80,80,80,80,71,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,62,80,80,80,80,17,62,80,80,80,80,80,80,80,80
