source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
TMED2,TMED10,0.9,0.5336,0.6327,190,2.013103011647485e-19,2.3083581200224497e-17,1
LRP1,APP,0.7,0.4212,4.1249,190,4.2202190003923695e-20,7.258776680674875e-18,1
AP2B1,AP2A1,0.5,0.39,0.6026,190,4.044210328225366e-40,1.3912083529095259e-37,1
VPS35,VPS29,0.5,0.2348,0.4788,190,8.276063508572037e-12,7.117414617371953e-10,1
COPA,COPB2,0.6,0.2152,0.1978,190,3.7429258811684916e-07,8.879768987048007e-06,1
TMED9,TMED10,0.5,0.2138,0.4644,190,7.576802757138939e-10,4.344033580759658e-08,1
TMED9,TMED2,0.5,0.2118,0.138,190,1.136326859855189e-09,5.5842348541455e-08,1
COPA,COPB1,0.6,0.2083,0.2193,190,9.275680969202585e-07,1.772685696336494e-05,1
VPS26A,VPS29,0.5,0.1945,0.2991,190,2.9218168724206438e-08,8.375875034272513e-07,1
SEC23A,SEC24C,0.6,0.1934,0.3675,190,5.77963279041435e-06,9.037243999556983e-05,1
LRP1,SORL1,0.5,0.18,0.6343,190,3.386315608073215e-07,8.628833845756934e-06,1
EIF2S1,HSPA5,0.6,0.1726,0.6247,190,5.720569651037813e-05,0.0006904827929673712,1
VPS29,APP,0.6,0.17,1.5049,190,7.475792096792482e-05,0.0008164039623163854,1
HSPA9,MFN2,0.4,0.1681,0.2626,190,1.5602664777802758e-09,6.709145854455185e-08,1
APOE,APP,0.4,0.1658,0.7111,190,2.7514162429379807e-09,1.0516524306340726e-07,1
COPG1,COPA,0.5,0.1579,0.3619,190,9.039985960952306e-06,0.0001352067465464171,1
SEC23A,SEC24B,0.6,0.1433,0.1773,190,0.0009068065398113533,0.007499272162097621,1
SEC31A,SEC13,0.4,0.1426,0.4028,190,4.470338949278768e-07,9.921268377754169e-06,1
TMED10,COPE,0.5,0.1423,0.1832,190,6.895003205054811e-05,0.0007906270341796184,1
CLU,APP,0.4,0.142,0.9786,190,5.044917425358422e-07,1.0517888450444224e-05,1
TMED2,COPB1,0.7,0.1411,0.0213,190,0.005274805951561763,0.027286214245672877,1
OSBP,MFN2,0.3,0.1389,-0.652,190,1.714524642585787e-11,1.1795929540990213e-09,1
TMED10,COPB1,0.6,0.1377,0.0072,190,0.0014501318306401599,0.010963634060224506,1
VPS26A,VPS35,0.5,0.1372,0.233,190,0.00012795809397150962,0.0013543872100369018,1
AP2B1,APP,0.6,0.1235,1.831,190,0.0043773287106785436,0.024047601203111866,1
TMED2,MIA3,0.3,0.1232,0.2865,190,3.920678995633377e-09,1.3487135744978814e-07,1
CLU,APOE,0.3,0.118,0.7834,190,1.9814764558206935e-08,6.196617280021078e-07,1
RAB1A,TMED2,0.4,0.1179,-0.3181,190,3.679054077162825e-05,0.0004687387416829673,1
GORASP1,COPA,0.5,0.1175,0.0412,52,0.09364233003776787,0.23324291915269205,0
SAR1B,SEC23A,0.7,0.1162,0.1157,190,0.02211415037936832,0.08596025372889494,0
HSPA5,TMED10,0.4,0.1145,0.1778,190,6.205500287120351e-05,0.0007236244402608138,1
SEC24D,GORASP1,0.3,0.1138,0.5015,52,0.0055251474540964915,0.02794990963870543,1
COPG2,COPA,0.5,0.1106,0.1268,190,0.0021628098953091882,0.01458836478404629,1
TMED10,VDAC1,0.4,0.1087,0.0771,190,0.00014832120291423,0.0015009965574988681,1
SAR1B,SEC24B,0.6,0.1071,0.2327,190,0.01372996680331052,0.05830998247331875,0
TMED10,MIA3,0.3,0.1034,0.2457,190,1.127516034126624e-06,2.0965703553489657e-05,1
SAR1A,TMED10,0.4,0.1006,0.3106,190,0.0004672846568679676,0.004286557919002156,1
SAR1B,TMED2,0.4,0.1003,0.1077,190,0.00048514294155657125,0.004334783685596377,1
AP2B1,PICALM,0.3,0.0983,0.5452,190,3.930616188497324e-06,6.595765701673559e-05,1
BIN1,BACE1,0.5,0.098,0.5502,182,0.00799481185333946,0.037934003828258955,1
AP4B1,AP4E1,0.4,0.0974,0.0806,78,0.03178043022308715,0.10842416767271602,0
ABCA7,APP,0.5,0.0943,-0.3777,114,0.04445955730970219,0.1390371610412505,0
SEC16A,SAR1A,0.6,0.0935,-0.1117,190,0.031833839927163717,0.10842416767271602,0
TMED10,COPZ1,0.5,0.0917,0.2655,190,0.011328755351709633,0.05066483285409066,0
LRP1,CLU,0.5,0.0911,0.3686,190,0.01187949746521216,0.05172844465864535,0
VDAC1,HSPA9,0.3,0.0909,0.234,190,2.137325432975529e-05,0.00030009793834431917,1
NCSTN,PSEN1,0.6,0.0907,0.0409,190,0.037304251314853015,0.12280059762975538,0
COPB2,TMED2,0.3,0.0901,0.0387,190,2.572223287090672e-05,0.0003403249272150735,1
OSBP,SEC24D,0.4,0.0901,0.6019,190,0.001790319030801102,0.01310361162969317,1
VDAC1,ITPR1,0.4,0.0898,-0.1626,190,0.0018559447842747899,0.01324512111538618,1
SORL1,BACE1,0.6,0.0861,-0.2558,182,0.05342536706567968,0.16192357947659744,0
TMED10,SAR1B,0.4,0.0853,0.1218,190,0.0031454060619638988,0.01983655473257574,1
BIN1,AP2A1,0.3,0.0852,0.0458,190,7.151102862247479e-05,0.0007935417369719784,1
SAR1B,APP,0.4,0.0844,-1.1081,190,0.0034579286017376175,0.020389079681220865,1
SEC24C,TMED10,0.4,0.0842,0.2931,190,0.003551303634487735,0.020389079681220865,1
SAR1A,TMED2,0.4,0.0841,0.0506,190,0.0035858701183542506,0.020389079681220865,1
AP3B2,APP,0.4,0.0828,2.176,190,0.004162876113900374,0.023285030620841116,1
AP2A1,PICALM,0.3,0.0815,-0.3301,190,0.00015053599195846207,0.0015009965574988681,1
TMED10,COPA,0.6,0.08,-0.021,190,0.06680868940561306,0.18603731484785452,0
TMED10,BACE1,0.8,0.0793,0.0579,182,0.18310612784077884,0.37381903844052183,0
TMED2,COPG2,0.6,0.0787,0.1659,190,0.07112148192544893,0.19255727328989541,0
RTN3,RTN4,0.3,0.0771,0.3215,190,0.0003412051057214143,0.0032157412703607263,1
SNX6,VPS35,0.4,0.0763,0.1591,190,0.008392994721024017,0.03928149910247975,1
MAPK14,MAPKAPK2,0.8,0.0756,-0.1137,139,0.26843116725522964,0.4571303046326683,0
APBA1,SORL1,0.2,0.075,-0.4814,190,9.84627750437948e-08,2.7096955692052327e-06,1
TMED2,RAB1B,0.4,0.073,-0.048,190,0.011674040084576225,0.05148551011659258,0
TMED2,COPZ1,0.6,0.0721,-0.0395,190,0.09868711723124744,0.24076856969892993,0
HSPA5,TMED2,0.3,0.0715,0.1167,190,0.0009265089153754328,0.007499272162097621,1
GGA1,VPS35,0.3,0.0694,-0.3219,190,0.001327740226953481,0.010263879507235897,1
TMED10,ITPR1,0.4,0.0692,0.1538,190,0.01700407520742726,0.06963573656374973,0
VDAC1,MFN2,0.4,0.0668,-0.0444,190,0.02124531695989544,0.08400447165751761,0
SEC23B,SEC24B,0.6,0.0666,-0.1438,190,0.1272653818473302,0.29283806926743533,0
RAB1A,COPA,0.5,0.0656,0.087,190,0.07115188837630969,0.19255727328989541,0
SNX6,SNX4,0.3,0.0649,0.2913,190,0.002738579658660987,0.01794421719198818,1
TMED2,MFN2,0.3,0.0632,0.1747,190,0.003522634905668971,0.020389079681220865,1
