region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_endothelial <= -0.0477 (lower half)  AND  celltype_oligodendrocyte > -0.129 (upper half),2,54,0.58971,0.56036,0.0117,2.50903,0.00995,0.27612,False
apoeGenotype = e3-3  AND  celltype_microglia > 0.00693 (upper half),2,44,0.58904,0.55721,0.01322,2.408,0.00995,0.27612,False
lastMMSE > 28 (high third)  AND  PlaqueTotal <= 12.1 (lower half),2,44,0.58782,0.55721,0.01322,2.31577,0.00995,0.27612,False
apoeGenotype = e3-3  AND  celltype_endothelial <= -0.0477 (lower half),2,47,0.58646,0.56036,0.0117,2.2312,0.01493,0.27612,False
apoeGenotype = e3-3  AND  celltype_oligodendrocyte > -0.129 (upper half),2,45,0.58489,0.55721,0.01322,2.09389,0.02985,0.27612,False
celltype_endothelial <= -0.261 (low third),1,64,0.58745,0.56403,0.01127,2.07895,0.03483,0.27612,False
lastMMSE > 28 (high third),1,48,0.58459,0.56036,0.0117,2.07135,0.01493,0.27612,False
lastMMSE > 28 (high third)  AND  diagnosis = control,2,48,0.58459,0.56036,0.0117,2.07135,0.01493,0.27612,False
celltype_endothelial <= -0.0477 (lower half)  AND  TangleTotal <= 6 (low third),2,40,0.58396,0.55721,0.01322,2.02397,0.03483,0.27612,False
celltype_endothelial <= -0.261 (low third)  AND  pmi <= 3 (lower half),2,41,0.58392,0.55721,0.01322,2.02069,0.03483,0.27612,False
lastMMSE > 28 (high third)  AND  TangleTotal <= 8 (lower half),2,44,0.58268,0.55721,0.01322,1.92654,0.03483,0.27612,False
celltype_oligodendrocyte -0.462-0.276 (middle third)  AND  diagnosis = control,2,41,0.58243,0.55721,0.01322,1.90798,0.03483,0.27612,False
apoeGenotype = e3-3  AND  TangleTotal <= 6 (low third),2,40,0.58218,0.55721,0.01322,1.88872,0.03483,0.27612,False
apoeGenotype = e3-3  AND  ageDeath <= 86 (lower half),2,44,0.58202,0.55721,0.01322,1.87704,0.03483,0.27612,False
celltype_endothelial <= -0.0477 (lower half)  AND  pmi <= 3 (lower half),2,57,0.58439,0.56403,0.01127,1.8068,0.05473,0.37966,False
apoeGenotype = e3-3  AND  celltype_astrocyte <= 0.00686 (lower half),2,51,0.58129,0.56036,0.0117,1.78945,0.04975,0.36816,False
apoeGenotype = e3-3  AND  pmi <= 3 (lower half),2,57,0.5832,0.56403,0.01127,1.7012,0.06468,0.40691,False
apoeGenotype = e3-3  AND  sex = male,2,53,0.57949,0.56036,0.0117,1.63556,0.06965,0.40691,False
celltype_oligodendrocyte -0.462-0.276 (middle third)  AND  pmi <= 3 (lower half),2,44,0.57859,0.55721,0.01322,1.61758,0.06965,0.40691,False
celltype_endothelial <= -0.261 (low third)  AND  celltype_astrocyte <= 0.00686 (lower half),2,42,0.57678,0.55721,0.01322,1.4805,0.08458,0.42673,False
