step,variable,adjusted_for,auroc,null_mean,gain_vs_current,z_vs_shuffled,n_subjects,kind
1,sex,sex,0.53074,0.53088,-0.00059,-0.18,190,clinical/pathology
1,ageDeath,ageDeath,0.53066,0.53101,-0.00067,-0.4,190,clinical/pathology
1,apoeGenotype,apoeGenotype,0.53172,0.53038,0.00039,0.79,189,clinical/pathology
1,pmi,pmi,0.52943,0.53145,-0.0019,-2.1,190,technical
1,diagnosis,diagnosis,0.5307,0.53079,-0.00063,-0.06,190,clinical/pathology
1,CERAD,CERAD,0.52485,0.53063,-0.00648,-7.48,190,clinical/pathology
1,Braak,Braak,0.53369,0.53174,0.00236,3.52,190,clinical/pathology
1,PlaqueTotal,PlaqueTotal,0.5287,0.53112,-0.00263,-2.86,190,clinical/pathology
1,TangleTotal,TangleTotal,0.53431,0.53117,0.00298,2.16,190,clinical/pathology
1,lastMMSE,lastMMSE,0.53007,0.53192,-0.00126,-1.65,190,clinical/pathology
1,celltype_neuron,celltype_neuron,0.53421,0.53106,0.00288,3.41,190,proteome-derived
1,celltype_astrocyte,celltype_astrocyte,0.53312,0.53156,0.00179,1.69,190,proteome-derived
1,celltype_microglia,celltype_microglia,0.52893,0.53063,-0.0024,-1.34,190,proteome-derived
1,celltype_oligodendrocyte,celltype_oligodendrocyte,0.52509,0.53118,-0.00624,-6.91,190,proteome-derived
1,celltype_endothelial,celltype_endothelial,0.53249,0.53122,0.00116,1.17,190,proteome-derived
1,proteomePC1,proteomePC1,0.52885,0.53115,-0.00249,-2.28,190,proteome-derived
1,proteomePC2,proteomePC2,0.5179,0.53126,-0.01343,-12.96,190,proteome-derived
1,proteomePC3,proteomePC3,0.55554,0.53214,0.02421,32.56,190,proteome-derived
1,proteomePC4,proteomePC4,0.52945,0.53143,-0.00188,-2.82,190,proteome-derived
1,proteomePC5,proteomePC5,0.53436,0.53155,0.00303,5.72,190,proteome-derived
1,proteomePC6,proteomePC6,0.53048,0.53144,-0.00085,-1.54,190,proteome-derived
1,proteomePC7,proteomePC7,0.53054,0.53071,-0.00079,-0.19,190,proteome-derived
1,proteomePC8,proteomePC8,0.53542,0.53171,0.00409,5.83,190,proteome-derived
1,proteomePC9,proteomePC9,0.52245,0.53164,-0.00888,-12.71,190,proteome-derived
1,proteomePC10,proteomePC10,0.53029,0.53175,-0.00104,-1.32,190,proteome-derived
2,sex,proteomePC3 + sex,0.55477,0.55523,-0.00078,-0.64,190,clinical/pathology
2,ageDeath,proteomePC3 + ageDeath,0.55459,0.55495,-0.00095,-0.37,190,clinical/pathology
2,apoeGenotype,proteomePC3 + apoeGenotype,0.5602,0.55443,0.00465,4.43,189,clinical/pathology
2,pmi,proteomePC3 + pmi,0.55441,0.55479,-0.00113,-0.61,190,technical
2,diagnosis,proteomePC3 + diagnosis,0.5637,0.55471,0.00815,16.96,190,clinical/pathology
2,CERAD,proteomePC3 + CERAD,0.55266,0.55562,-0.00288,-3.22,190,clinical/pathology
2,Braak,proteomePC3 + Braak,0.56344,0.55491,0.00789,11.55,190,clinical/pathology
2,PlaqueTotal,proteomePC3 + PlaqueTotal,0.55824,0.55575,0.0027,3.77,190,clinical/pathology
2,TangleTotal,proteomePC3 + TangleTotal,0.56582,0.5555,0.01028,11.89,190,clinical/pathology
2,lastMMSE,proteomePC3 + lastMMSE,0.56411,0.55512,0.00856,9.38,190,clinical/pathology
2,celltype_neuron,proteomePC3 + celltype_neuron,0.56058,0.55593,0.00504,5.02,190,proteome-derived
2,celltype_astrocyte,proteomePC3 + celltype_astrocyte,0.55554,0.55588,-1e-05,-0.39,190,proteome-derived
2,celltype_microglia,proteomePC3 + celltype_microglia,0.55426,0.55537,-0.00128,-1.26,190,proteome-derived
2,celltype_oligodendrocyte,proteomePC3 + celltype_oligodendrocyte,0.5531,0.55499,-0.00244,-1.55,190,proteome-derived
2,celltype_endothelial,proteomePC3 + celltype_endothelial,0.55711,0.55552,0.00156,1.58,190,proteome-derived
2,proteomePC1,proteomePC3 + proteomePC1,0.56738,0.55526,0.01184,13.0,190,proteome-derived
2,proteomePC2,proteomePC3 + proteomePC2,0.54283,0.5555,-0.01272,-12.06,190,proteome-derived
2,proteomePC4,proteomePC3 + proteomePC4,0.55376,0.5553,-0.00178,-1.83,190,proteome-derived
2,proteomePC5,proteomePC3 + proteomePC5,0.55983,0.55519,0.00429,7.68,190,proteome-derived
2,proteomePC6,proteomePC3 + proteomePC6,0.55496,0.5555,-0.00058,-0.84,190,proteome-derived
2,proteomePC7,proteomePC3 + proteomePC7,0.55384,0.55547,-0.00171,-1.69,190,proteome-derived
2,proteomePC8,proteomePC3 + proteomePC8,0.55947,0.5557,0.00393,6.12,190,proteome-derived
2,proteomePC9,proteomePC3 + proteomePC9,0.54716,0.55521,-0.00838,-9.03,190,proteome-derived
2,proteomePC10,proteomePC3 + proteomePC10,0.55311,0.55551,-0.00243,-3.04,190,proteome-derived
3,sex,proteomePC3 + proteomePC1 + sex,0.56606,0.56745,-0.00133,-1.48,190,clinical/pathology
3,ageDeath,proteomePC3 + proteomePC1 + ageDeath,0.56616,0.56693,-0.00122,-0.66,190,clinical/pathology
3,apoeGenotype,proteomePC3 + proteomePC1 + apoeGenotype,0.57064,0.56565,0.00326,3.43,189,clinical/pathology
3,pmi,proteomePC3 + proteomePC1 + pmi,0.5656,0.56729,-0.00178,-1.57,190,technical
3,diagnosis,proteomePC3 + proteomePC1 + diagnosis,0.5659,0.56682,-0.00148,-1.08,190,clinical/pathology
3,CERAD,proteomePC3 + proteomePC1 + CERAD,0.55848,0.56612,-0.00891,-8.59,190,clinical/pathology
3,Braak,proteomePC3 + proteomePC1 + Braak,0.56966,0.56672,0.00228,4.2,190,clinical/pathology
3,PlaqueTotal,proteomePC3 + proteomePC1 + PlaqueTotal,0.56341,0.56668,-0.00398,-2.59,190,clinical/pathology
3,TangleTotal,proteomePC3 + proteomePC1 + TangleTotal,0.56908,0.56639,0.0017,3.22,190,clinical/pathology
3,lastMMSE,proteomePC3 + proteomePC1 + lastMMSE,0.56752,0.56705,0.00013,0.43,190,clinical/pathology
3,celltype_neuron,proteomePC3 + proteomePC1 + celltype_neuron,0.56662,0.56678,-0.00077,-0.14,190,proteome-derived
3,celltype_astrocyte,proteomePC3 + proteomePC1 + celltype_astrocyte,0.56975,0.56652,0.00236,2.36,190,proteome-derived
3,celltype_microglia,proteomePC3 + proteomePC1 + celltype_microglia,0.56552,0.56658,-0.00187,-1.0,190,proteome-derived
3,celltype_oligodendrocyte,proteomePC3 + proteomePC1 + celltype_oligodendrocyte,0.56572,0.56639,-0.00166,-0.59,190,proteome-derived
3,celltype_endothelial,proteomePC3 + proteomePC1 + celltype_endothelial,0.56654,0.56691,-0.00085,-0.44,190,proteome-derived
3,proteomePC2,proteomePC3 + proteomePC1 + proteomePC2,0.5555,0.567,-0.01189,-13.57,190,proteome-derived
3,proteomePC4,proteomePC3 + proteomePC1 + proteomePC4,0.56314,0.56659,-0.00424,-5.51,190,proteome-derived
3,proteomePC5,proteomePC3 + proteomePC1 + proteomePC5,0.57243,0.56651,0.00504,7.1,190,proteome-derived
3,proteomePC6,proteomePC3 + proteomePC1 + proteomePC6,0.56615,0.56699,-0.00123,-0.89,190,proteome-derived
3,proteomePC7,proteomePC3 + proteomePC1 + proteomePC7,0.56367,0.56675,-0.00372,-3.35,190,proteome-derived
3,proteomePC8,proteomePC3 + proteomePC1 + proteomePC8,0.57222,0.5663,0.00483,5.43,190,proteome-derived
3,proteomePC9,proteomePC3 + proteomePC1 + proteomePC9,0.55685,0.56622,-0.01053,-10.44,190,proteome-derived
3,proteomePC10,proteomePC3 + proteomePC1 + proteomePC10,0.56478,0.56683,-0.00261,-3.06,190,proteome-derived
4,sex,proteomePC3 + proteomePC1 + proteomePC5 + sex,0.57012,0.57198,-0.00231,-1.93,190,clinical/pathology
4,ageDeath,proteomePC3 + proteomePC1 + proteomePC5 + ageDeath,0.57167,0.57184,-0.00075,-0.16,190,clinical/pathology
4,apoeGenotype,proteomePC3 + proteomePC1 + proteomePC5 + apoeGenotype,0.57519,0.57105,0.00277,1.46,189,clinical/pathology
4,pmi,proteomePC3 + proteomePC1 + proteomePC5 + pmi,0.57173,0.5721,-0.0007,-0.31,190,technical
4,diagnosis,proteomePC3 + proteomePC1 + proteomePC5 + diagnosis,0.57038,0.5725,-0.00205,-2.06,190,clinical/pathology
4,CERAD,proteomePC3 + proteomePC1 + proteomePC5 + CERAD,0.56433,0.57279,-0.00809,-6.12,190,clinical/pathology
4,Braak,proteomePC3 + proteomePC1 + proteomePC5 + Braak,0.57343,0.57208,0.00101,1.72,190,clinical/pathology
4,PlaqueTotal,proteomePC3 + proteomePC1 + proteomePC5 + PlaqueTotal,0.568,0.5722,-0.00443,-4.53,190,clinical/pathology
4,TangleTotal,proteomePC3 + proteomePC1 + proteomePC5 + TangleTotal,0.57192,0.57148,-0.00051,0.39,190,clinical/pathology
4,lastMMSE,proteomePC3 + proteomePC1 + proteomePC5 + lastMMSE,0.57106,0.57263,-0.00137,-3.56,190,clinical/pathology
