source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
COPA,COPB1,0.6,0.452,0.6957,676,9.435356913740847e-125,1.6228813891634258e-122,1
TMED10,TMED9,0.6,0.4273,0.7507,676,1.1259212611890362e-105,1.2910563794967614e-103,1
COPA,COPB2,0.6,0.4238,0.6569,676,3.163469504929492e-103,2.720583774239363e-101,1
COPA,COPG1,0.6,0.42,0.7921,676,1.1732988921672801e-100,8.072296378110888e-99,1
TMED10,TMED2,0.6,0.4023,0.5801,676,1.791274669997538e-89,1.0269974774652553e-87,1
AP2B1,AP2A1,0.5,0.3774,0.5437,676,1.39075147892141e-125,4.78418508748965e-123,1
COPA,COPE,0.6,0.3557,0.7055,676,2.2588748209056363e-65,7.064117621741263e-64,1
COPA,COPZ1,0.6,0.3261,0.6051,676,3.3496351892978973e-53,9.218196040947812e-52,1
VPS29,VPS26A,0.5,0.325,0.761,676,1.9898470206371313e-82,9.778676787131045e-81,1
VPS29,VPS35,0.5,0.3107,0.6277,676,1.7533843482030306e-73,7.539552697273032e-72,1
TMED9,TMED2,0.5,0.2982,0.2264,676,2.325528424138481e-66,7.999817779036375e-65,1
EIF2S1,HSPA5,0.6,0.2871,0.9095,676,5.7609025533798445e-40,1.1009724879792592e-38,1
PSEN1,NCSTN,0.8,0.27,0.3594,676,1.7927097306657114e-19,1.4683146365452495e-18,1
COPA,COPG2,0.6,0.2688,0.5234,676,1.099470322201213e-34,1.7591525155219407e-33,1
SEC24C,SEC23A,0.5,0.2586,0.4131,676,1.599604122929213e-47,3.4391488642978082e-46,1
SEC31A,SEC13,0.4,0.2458,0.5637,676,2.029371506404843e-71,7.756708868925178e-70,1
LRP1,APP,0.7,0.2353,2.2884,676,2.55924794815769e-19,2.0008665776505576e-18,1
VPS26A,VPS35,0.5,0.2281,0.1864,676,4.7497234504807965e-36,8.599499299817864e-35,1
SYK,PLCG2,0.5,0.2132,0.4888,664,1.0606125699819424e-30,1.5525562726544177e-29,1
RTN4,BACE1,0.5,0.1854,-0.3355,676,1.801189463998555e-23,1.7211365989319528e-22,1
TMED10,SEC24C,0.5,0.1824,0.1034,676,1.0729347558798222e-22,9.975393406017805e-22,1
SEC23A,SEC24B,0.6,0.1821,0.2529,676,7.127736531916658e-16,4.301651521016369e-15,1
COPA,TMED10,0.4,0.1801,0.4398,676,4.83579264080612e-35,8.11469594359661e-34,1
SAR1B,SEC23B,0.7,0.1777,0.2101,676,2.1040773317982018e-11,8.773364874407047e-11,1
APOE,APP,0.4,0.1717,0.4024,676,1.0873380348675387e-31,1.7002012908837877e-30,1
SAR1B,SEC24B,0.6,0.1702,0.1184,676,5.547097971306679e-14,2.891214700196209e-13,1
TMED2,COPG2,0.6,0.1683,0.1044,676,1.0841007645590996e-13,5.524898711234522e-13,1
CLU,APP,0.4,0.1632,0.2123,676,1.7030798422076643e-28,2.2533056373824478e-27,1
TMED2,SEC24C,0.5,0.1623,0.0777,676,4.710477698067017e-18,3.3410398518248535e-17,1
CLU,APOE,0.3,0.1597,1.0311,676,1.0428233879447778e-50,2.6572684848370633e-49,1
SAR1A,SEC24A,0.6,0.1578,0.2995,676,3.673234837724817e-12,1.6410295898406974e-11,1
BIN1,PICALM,0.3,0.1552,0.2221,676,1.5041444047410602e-47,3.4391488642978082e-46,1
COPA,TMED2,0.4,0.1551,0.1396,676,1.0950922248440968e-25,1.1591130010657515e-24,1
MAPKAPK2,MAPK14,0.3,0.148,0.3861,667,3.149836258834946e-42,6.373786311995419e-41,1
HSPA5,TMED10,0.4,0.1392,0.199,676,1.1039954208787338e-20,9.377146290920604e-20,1
EIF2S1,BACE1,0.7,0.1365,0.0568,676,3.242048481684274e-07,8.851306965868176e-07,1
MFN2,HSPA9,0.4,0.1336,0.5823,676,4.460814972559498e-19,3.4100452234677052e-18,1
TMED10,COPG2,0.5,0.1315,-0.0423,676,3.769341800454374e-12,1.6712824824150383e-11,1
MFN2,VDAC1,0.6,0.1313,0.3557,676,8.937354804812135e-09,2.8868075613665485e-08,1
LRP1,SORL1,0.5,0.1306,0.3324,676,5.236473195212162e-12,2.265845005223879e-11,1
SAR1A,TMED10,0.4,0.1286,0.2888,676,9.939241596569649e-18,6.907270927717089e-17,1
AP1G1,BACE1,0.5,0.1285,0.5024,676,1.1550540277104133e-11,4.8455925064924656e-11,1
SAR1A,TMED2,0.4,0.1262,0.2138,676,4.2532845752944515e-17,2.841028920196682e-16,1
TMED2,SEC23A,0.4,0.1258,0.084,676,5.647476673546346e-17,3.631274720934473e-16,1
RTN4,RTN3,0.3,0.1242,0.3749,676,2.2087523554628052e-29,3.10126861338451e-28,1
SEC16A,SEC24D,0.6,0.1223,0.2083,676,9.083982277383481e-08,2.659480768868015e-07,1
COPB2,TMED2,0.3,0.1218,-0.2744,676,3.1328443291468766e-28,3.8489230329518774e-27,1
PICALM,BACE1,0.5,0.1191,-0.1246,676,3.5075327839712186e-10,1.2904719547444913e-09,1
PREB,SEC16A,0.4,0.1183,0.2018,676,4.0537142987650826e-15,2.267443445162908e-14,1
TMED10,SEC23A,0.4,0.1182,-0.0279,676,4.27203553372091e-15,2.3326670215872904e-14,1
TMED9,SEC24C,0.4,0.118,-0.0295,676,4.805783468636914e-15,2.563084516606354e-14,1
SAR1A,SEC24C,0.6,0.1176,0.0003,676,2.778679108367011e-07,7.708593655469771e-07,1
BIN1,AP2A1,0.3,0.1168,0.0643,676,6.617069624191961e-26,7.3428127442646275e-25,1
TMED9,BACE1,0.6,0.1166,0.0409,676,3.5727206253301786e-07,9.715540672834637e-07,1
SORL1,VPS35,0.5,0.1163,-0.0741,676,9.372152935878497e-10,3.340953999940107e-09,1
SEC24D,SAR1A,0.6,0.1139,0.1001,676,6.625179024090527e-07,1.7735887815464135e-06,1
SAR1A,SEC23A,0.7,0.1116,0.0432,676,3.110710885613753e-05,6.730091475793277e-05,1
COPB1,TMED2,0.3,0.1114,0.3087,676,1.6110930715080238e-23,1.5611718777429866e-22,1
ITPR2,EIF2S1,0.5,0.1099,-0.01,676,7.696676007781927e-09,2.509627058461595e-08,1
PREB,SEC23B,0.4,0.1092,0.2033,676,5.012547097269336e-13,2.4116310509939186e-12,1
ITPR2,TMED10,0.3,0.1082,0.1016,676,3.533807990434997e-22,3.1990261808148395e-21,1
VPS29,APP,0.6,0.1073,0.605,676,2.8871563003092877e-06,7.145192570549604e-06,1
LRP1,CLU,0.5,0.1069,0.3438,676,1.9674652250803343e-08,6.09736970655527e-08,1
VPS35,BACE1,0.4,0.1052,-0.0436,676,3.789535861289913e-12,1.6712824824150383e-11,1
OSBP,SEC24D,0.4,0.1005,0.5297,676,3.436746866803787e-11,1.3827379206789506e-10,1
VPS26A,APP,0.6,0.1005,-0.3693,676,1.1886401183495039e-05,2.7259480047481954e-05,1
SYK,MAPK14,0.4,0.1004,0.0609,666,5.087741560923953e-11,2.0002092536661026e-10,1
SEC16A,TMED10,0.4,0.0999,-0.0117,676,4.429071217956577e-11,1.7613878600890895e-10,1
MFN2,TMED10,0.5,0.0977,-0.0059,676,3.0173413140238215e-07,8.303723296193557e-07,1
MIA3,SEC16A,0.3,0.0975,0.2456,676,4.1974178404141555e-18,3.0398141833736196e-17,1
VPS35,APP,0.7,0.0958,-0.1209,676,0.0003576326296990613,0.0006815824078475185,1
GGA2,VPS35,0.3,0.0946,-0.0876,676,4.687114771822859e-17,3.0711761552515494e-16,1
GORASP1,TMED2,0.4,0.0944,0.0371,533,3.565619287395002e-08,1.075941258652527e-07,1
TMED10,OSBP,0.6,0.093,0.0374,676,5.220521475761207e-05,0.0001095036211988936,1
SEC23B,SEC24D,0.6,0.0904,0.0797,676,8.332501323449363e-05,0.00016960831096251956,1
PICALM,LRP1,0.3,0.0892,-0.2141,676,2.95727181152287e-15,1.695502505273112e-14,1
SEC24A,SEC23A,0.4,0.0888,0.0445,676,5.47975851279773e-09,1.8212917182632068e-08,1
APOE,TMED10,0.4,0.0888,0.0149,676,5.474326651630652e-09,1.8212917182632068e-08,1
GGA3,VPS35,0.3,0.0887,0.1337,676,4.250066897783116e-15,2.3326670215872904e-14,1
SEC23B,TMED10,0.3,0.0886,0.0625,676,4.569592777624124e-15,2.4561561179729668e-14,1
TMED2,OSBP,0.6,0.0876,0.0413,676,0.00014033420268890786,0.0002814866806121534,1
SAR1B,SEC23A,0.7,0.0852,-0.0053,676,0.0015156879542540928,0.002701537079085015,1
TMED2,SAR1B,0.4,0.0851,0.1674,676,2.3760896051053396e-08,7.265553992499882e-08,1
TMED10,LRP1,0.3,0.0848,0.1993,676,7.076379810326501e-14,3.660563390604987e-13,1
PREB,SAR1A,0.6,0.0847,0.0626,676,0.00023121014554666844,0.00044809177503128987,1
MAPKAPK2,EIF2S1,0.3,0.0845,0.0711,671,1.0502624905951252e-13,5.392392489025718e-13,1
SAR1A,SEC24B,0.6,0.0839,-0.0577,676,0.0002643266114403915,0.0005079796331591881,1
SAR1A,SEC13,0.3,0.0834,0.1297,676,1.7787748994200727e-13,8.804295905043237e-13,1
EIF2S1,TMED10,0.3,0.0819,-0.1136,676,5.199434245356264e-13,2.4670419040035237e-12,1
RAB1A,ARF6,0.3,0.0814,0.3704,676,7.333833246172264e-13,3.432433519296951e-12,1
TMED9,COPG2,0.4,0.0814,-0.0035,676,9.344758328839651e-08,2.7242346314583384e-07,1
PICALM,APP,0.7,0.0801,0.3064,676,0.002871039931334053,0.004889295724648091,1
SEC23B,SEC24B,0.6,0.08,0.0145,676,0.0005107794125556569,0.0009601536498313988,1
RTN4,APP,0.4,0.079,-0.6842,676,2.2756237874659205e-07,6.364346202343713e-07,1
TMED10,COPB2,0.5,0.078,0.0037,676,4.2710599996543995e-48,1.0494604570579383e-46,1
GORASP1,TMED10,0.4,0.0779,0.0652,533,5.991155046692135e-06,1.4213498869393755e-05,1
TMED2,SEC24B,0.3,0.0774,0.0413,676,9.820259792181511e-12,4.170579467296839e-11,1
TMED10,COPB1,0.6,0.0769,0.0623,676,2.3101996628537593e-31,3.53203859565197e-30,1
RAB1A,COPA,0.5,0.0762,-0.1976,676,6.986256343533419e-05,0.00014305191560568428,1
MIA3,TMED2,0.3,0.0742,0.0453,676,6.883334683658205e-11,2.675556080427596e-10,1
SEC23B,TMED2,0.3,0.074,-0.0098,676,7.698464081663686e-11,2.9425240489914534e-10,1
