region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
ADoutcome = Other  AND  celltype_neuron <= -0.0632 (low third),2,57,0.65224,0.60113,0.01702,3.00276,0.00498,0.03966,True
PMI 5.17-10 (middle third)  AND  amyAny = 1,2,192,0.65801,0.62634,0.01073,2.95261,0.00498,0.03966,True
ADoutcome = Other  AND  celltype_endothelial > -0.0425 (upper half),2,75,0.65599,0.608,0.01655,2.89917,0.00498,0.03966,True
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  amyCerad = Moderate/Probable/C2,2,48,0.64578,0.59712,0.0176,2.7657,0.00995,0.05666,True
ADoutcome = Other  AND  celltype_neuron <= 0.103 (lower half),2,86,0.65708,0.61275,0.01629,2.72198,0.00498,0.03966,True
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  isHispanic = FALSE,2,252,0.65528,0.63077,0.00906,2.7055,0.00498,0.03966,True
ADoutcome = Other  AND  sex = female,2,115,0.65528,0.61752,0.01399,2.69972,0.00498,0.03966,True
PMI 5.17-10 (middle third)  AND  celltype_oligodendrocyte -0.482-0.323 (middle third),2,107,0.6522,0.61579,0.01355,2.68718,0.00995,0.05666,True
ADoutcome = Other  AND  amyCerad = Moderate/Probable/C2,2,49,0.64305,0.59712,0.0176,2.61063,0.01493,0.07306,True
PMI 5.17-10 (middle third)  AND  celltype_neuron <= -0.0632 (low third),2,96,0.65253,0.61518,0.01441,2.59168,0.00498,0.03966,True
amyThal = Phase 3  AND  amyA = Thal Phase 3,2,61,0.64347,0.60113,0.01702,2.48724,0.00498,0.03966,True
amyA = Thal Phase 3,1,61,0.64347,0.60113,0.01702,2.48724,0.00498,0.03966,True
amyThal = Phase 3,1,61,0.64347,0.60113,0.01702,2.48724,0.00498,0.03966,True
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  derivedOutcomeBasedOnMayoDx = FALSE,2,253,0.65316,0.63077,0.00906,2.47183,0.00498,0.03966,True
ADoutcome = Other  AND  derivedOutcomeBasedOnMayoDx = FALSE,2,104,0.65045,0.61518,0.01441,2.44744,0.00995,0.05666,True
PMI 5.17-10 (middle third),1,275,0.65269,0.63243,0.00829,2.44376,0.00498,0.03966,True
ADoutcome = Other  AND  amyAny = 1,2,89,0.65253,0.61275,0.01629,2.44254,0.00498,0.03966,True
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  ageDeath 79-87.7 (middle third),2,101,0.65009,0.61518,0.01441,2.42201,0.00995,0.05666,True
PMI 5.17-10 (middle third)  AND  derivedOutcomeBasedOnMayoDx = FALSE,2,246,0.65269,0.63077,0.00906,2.41968,0.00995,0.05666,True
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  ageDeath <= 83.6 (lower half),2,152,0.65251,0.62426,0.01188,2.37836,0.02488,0.10359,False
celltype_oligodendrocyte -0.482-0.323 (middle third),1,321,0.65316,0.6341,0.00802,2.37594,0.01493,0.07306,True
PMI 5.17-10 (middle third)  AND  ageDeath <= 79 (low third),2,78,0.64733,0.608,0.01655,2.37551,0.01493,0.07306,True
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  amyAny = 1,2,194,0.6512,0.62634,0.01073,2.31708,0.00995,0.05666,True
