step,variable,adjusted_for,auroc,null_mean,gain_vs_current,z_vs_shuffled,n_subjects,kind
1,dataContributionGroup,dataContributionGroup,0.54729,0.54902,-0.00184,-5.55,964,technical
1,cohort,cohort,0.54666,0.54908,-0.00247,-5.68,964,technical
1,sex,sex,0.54916,0.54915,3e-05,0.1,964,clinical/pathology
1,race,race,0.54901,0.54859,-0.00012,1.0,961,clinical/pathology
1,isHispanic,isHispanic,0.54961,0.54893,0.00048,5.19,963,clinical/pathology
1,ageDeath,ageDeath,0.54934,0.54902,0.00021,1.55,963,clinical/pathology
1,PMI,PMI,0.55137,0.55136,0.00224,0.02,818,technical
1,apoeGenotype,apoeGenotype,0.54827,0.54794,-0.00086,2.23,895,clinical/pathology
1,amyThal,amyThal,0.54868,0.54825,-0.00045,0.95,391,clinical/pathology
1,amyA,amyA,0.54921,0.54879,9e-05,0.81,398,clinical/pathology
1,amyCerad,amyCerad,0.56638,0.55934,0.01725,17.01,676,clinical/pathology
1,Braak,Braak,0.55339,0.54939,0.00426,15.24,908,clinical/pathology
1,mayoDx,mayoDx,0.5283,0.52602,-0.02083,5.98,285,clinical/pathology
1,amyAny,amyAny,0.56717,0.55919,0.01805,28.43,676,clinical/pathology
1,bScore,bScore,0.55303,0.54923,0.0039,13.59,908,clinical/pathology
1,reag,reag,0.56566,0.55923,0.01653,16.29,676,clinical/pathology
1,ADoutcome,ADoutcome,0.55554,0.54848,0.00641,37.32,961,clinical/pathology
1,derivedOutcomeBasedOnMayoDx,derivedOutcomeBasedOnMayoDx,0.54714,0.54911,-0.00199,-16.34,964,clinical/pathology
1,celltype_neuron,celltype_neuron,0.58935,0.54909,0.04022,249.43,964,proteome-derived
1,celltype_astrocyte,celltype_astrocyte,0.53616,0.54908,-0.01297,-133.5,964,proteome-derived
1,celltype_microglia,celltype_microglia,0.54537,0.54913,-0.00376,-32.34,964,proteome-derived
1,celltype_oligodendrocyte,celltype_oligodendrocyte,0.56018,0.54908,0.01105,60.2,964,proteome-derived
1,celltype_endothelial,celltype_endothelial,0.52761,0.54916,-0.02152,-91.26,964,proteome-derived
1,proteomePC1,proteomePC1,0.61859,0.54907,0.06946,775.31,964,proteome-derived
1,proteomePC2,proteomePC2,0.5071,0.54909,-0.04203,-200.82,964,proteome-derived
1,proteomePC3,proteomePC3,0.55023,0.54915,0.0011,4.64,964,proteome-derived
1,proteomePC4,proteomePC4,0.55059,0.54915,0.00146,9.5,964,proteome-derived
1,proteomePC5,proteomePC5,0.54703,0.54899,-0.0021,-13.56,964,proteome-derived
1,proteomePC6,proteomePC6,0.55202,0.54911,0.00289,20.96,964,proteome-derived
1,proteomePC7,proteomePC7,0.54337,0.54919,-0.00576,-33.44,964,proteome-derived
1,proteomePC8,proteomePC8,0.55094,0.54913,0.00181,19.28,964,proteome-derived
1,proteomePC9,proteomePC9,0.54799,0.54915,-0.00114,-8.74,964,proteome-derived
1,proteomePC10,proteomePC10,0.54865,0.54907,-0.00048,-3.83,964,proteome-derived
2,dataContributionGroup,proteomePC1 + dataContributionGroup,0.61751,0.61867,-0.00108,-5.64,964,technical
2,cohort,proteomePC1 + cohort,0.61944,0.61843,0.00085,2.38,964,technical
2,sex,proteomePC1 + sex,0.61813,0.61849,-0.00045,-2.59,964,clinical/pathology
2,race,proteomePC1 + race,0.61778,0.61825,-0.00081,-1.76,961,clinical/pathology
2,isHispanic,proteomePC1 + isHispanic,0.61833,0.6185,-0.00025,-1.03,963,clinical/pathology
2,ageDeath,proteomePC1 + ageDeath,0.61957,0.61841,0.00098,4.03,963,clinical/pathology
2,PMI,proteomePC1 + PMI,0.62322,0.62286,0.00463,1.65,818,technical
2,apoeGenotype,proteomePC1 + apoeGenotype,0.61867,0.61875,8e-05,-0.33,895,clinical/pathology
2,amyThal,proteomePC1 + amyThal,0.61583,0.6192,-0.00275,-5.57,391,clinical/pathology
2,amyA,proteomePC1 + amyA,0.61692,0.61945,-0.00166,-5.64,398,clinical/pathology
2,amyCerad,proteomePC1 + amyCerad,0.62128,0.62114,0.0027,0.34,676,clinical/pathology
2,Braak,proteomePC1 + Braak,0.61923,0.62008,0.00065,-3.74,908,clinical/pathology
2,mayoDx,proteomePC1 + mayoDx,0.60072,0.60244,-0.01786,-1.72,285,clinical/pathology
2,amyAny,proteomePC1 + amyAny,0.62284,0.62118,0.00426,9.02,676,clinical/pathology
2,bScore,proteomePC1 + bScore,0.61981,0.62002,0.00123,-1.24,908,clinical/pathology
2,reag,proteomePC1 + reag,0.61988,0.62094,0.0013,-1.87,676,clinical/pathology
2,ADoutcome,proteomePC1 + ADoutcome,0.61933,0.61826,0.00075,4.07,961,clinical/pathology
2,derivedOutcomeBasedOnMayoDx,proteomePC1 + derivedOutcomeBasedOnMayoDx,0.6176,0.61858,-0.00099,-2.67,964,clinical/pathology
2,celltype_neuron,proteomePC1 + celltype_neuron,0.60384,0.61856,-0.01475,-50.95,964,proteome-derived
2,celltype_astrocyte,proteomePC1 + celltype_astrocyte,0.62084,0.6185,0.00226,9.27,964,proteome-derived
2,celltype_microglia,proteomePC1 + celltype_microglia,0.61674,0.61858,-0.00185,-8.42,964,proteome-derived
2,celltype_oligodendrocyte,proteomePC1 + celltype_oligodendrocyte,0.62156,0.6185,0.00297,26.29,964,proteome-derived
2,celltype_endothelial,proteomePC1 + celltype_endothelial,0.60251,0.61863,-0.01607,-190.04,964,proteome-derived
2,proteomePC2,proteomePC1 + proteomePC2,0.57592,0.61848,-0.04267,-321.43,964,proteome-derived
