,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,280,280,280,280,280,280,184,168,264,200,248,280,280,280,224,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,208,280,280,280,280,280,280,272,272,280,280,280,280,280,280,264,280,280,280,280,280,200,240,280,280,280,280,280,280,280,280,280,272,280,160,280,280,280,280,216,256,280,280,280,280,280,280,280,280
ADAM10,280,400,368,400,400,400,240,232,336,232,344,400,400,400,312,400,400,400,400,400,400,400,400,400,400,400,384,400,400,400,400,264,400,400,400,400,400,400,352,368,368,400,400,384,400,400,344,400,400,400,400,400,288,328,400,400,400,400,400,400,400,400,400,392,400,216,400,400,400,400,256,344,400,400,400,400,368,400,400,400
ADAM17,280,368,368,368,368,368,240,216,328,216,320,368,368,368,296,368,368,368,368,368,368,368,368,368,368,368,360,368,368,368,368,256,368,368,368,368,368,368,344,352,360,368,368,368,368,368,336,368,368,368,368,368,280,320,368,368,368,368,368,368,368,368,368,360,368,192,368,368,368,368,240,312,368,368,368,368,352,368,368,368
AP1G1,280,400,368,400,400,400,240,232,336,232,344,400,400,400,312,400,400,400,400,400,400,400,400,400,400,400,384,400,400,400,400,264,400,400,400,400,400,400,352,368,368,400,400,384,400,400,344,400,400,400,400,400,288,328,400,400,400,400,400,400,400,400,400,392,400,216,400,400,400,400,256,344,400,400,400,400,368,400,400,400
AP2A1,280,400,368,400,400,400,240,232,336,232,344,400,400,400,312,400,400,400,400,400,400,400,400,400,400,400,384,400,400,400,400,264,400,400,400,400,400,400,352,368,368,400,400,384,400,400,344,400,400,400,400,400,288,328,400,400,400,400,400,400,400,400,400,392,400,216,400,400,400,400,256,344,400,400,400,400,368,400,400,400
AP2B1,280,400,368,400,400,400,240,232,336,232,344,400,400,400,312,400,400,400,400,400,400,400,400,400,400,400,384,400,400,400,400,264,400,400,400,400,400,400,352,368,368,400,400,384,400,400,344,400,400,400,400,400,288,328,400,400,400,400,400,400,400,400,400,392,400,216,400,400,400,400,256,344,400,400,400,400,368,400,400,400
AP3B2,184,240,240,240,240,240,240,144,224,152,224,240,240,240,192,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,192,240,240,240,240,240,240,224,240,240,240,240,240,240,240,232,240,240,240,240,240,216,240,240,240,240,240,240,240,240,240,240,240,240,128,240,240,240,240,168,200,240,240,240,240,232,240,240,240
AP4B1,168,232,216,232,232,232,144,232,200,152,216,232,232,232,184,232,232,232,232,232,232,232,232,232,232,232,224,232,232,232,232,152,232,232,232,232,232,232,216,224,216,232,232,216,232,232,200,232,232,232,232,232,184,200,232,232,232,232,232,232,232,232,232,232,232,136,232,232,232,232,152,216,232,232,232,232,216,232,232,232
AP4E1,264,336,328,336,336,336,224,200,336,216,296,336,336,336,272,336,336,336,336,336,336,336,336,336,336,336,328,336,336,336,336,232,336,336,336,336,336,336,328,320,328,336,336,328,336,336,320,336,336,336,336,336,248,288,336,336,336,336,336,336,336,336,336,328,336,184,336,336,336,336,240,288,336,336,336,336,320,336,336,336
AP4M1,200,232,216,232,232,232,152,152,216,232,216,232,232,232,184,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,160,232,232,232,232,232,232,224,216,216,232,232,216,232,232,216,232,232,232,232,232,168,192,232,232,232,232,232,232,232,232,232,224,232,144,232,232,232,232,168,216,232,232,232,232,216,232,232,232
