source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
AP2B1,AP2A1,0.5,0.4047,0.8536,400,4.4499997902205073e-94,1.5307999278358545e-91,1
TMED10,TMED2,0.6,0.2699,0.5458,400,2.5634632210993856e-21,2.2045783701454716e-19,1
TMED9,TMED10,0.5,0.2694,0.1828,400,1.6934755663313862e-31,2.9127779740899844e-29,1
PLCG2,SYK,0.5,0.2301,0.3743,288,1.655113988089995e-16,6.326213465588425e-15,1
SEC24C,SEC23A,0.5,0.2258,0.5004,400,1.700400256816247e-21,1.9497922944826296e-19,1
VPS29,VPS35,0.5,0.2151,0.7672,400,1.9067864382322642e-19,9.370493353598556e-18,1
COPG1,COPA,0.5,0.2075,0.2597,400,4.417424921741384e-18,1.899492716348795e-16,1
TMED2,COPB2,0.6,0.1895,0.0585,400,1.0171238757099291e-10,2.0581800779071507e-09,1
COPB1,COPA,0.5,0.1773,0.1367,400,2.718918162195211e-13,8.50279861631957e-12,1
SEC31A,SEC13,0.4,0.1763,0.4076,400,1.9559925302581705e-20,1.3457228608176213e-18,1
COPB2,COPA,0.5,0.1761,0.2827,400,3.990486486718977e-13,1.0981818811450626e-11,1
MFN2,TMED10,0.5,0.1609,0.2712,400,4.384960359864475e-11,1.040294043995434e-09,1
EIF2S1,BACE1,0.7,0.1562,0.3943,400,6.5846073739170665e-06,4.4413822286813154e-05,1
COPA,COPG2,0.6,0.1529,0.4817,400,2.3692308390220853e-07,2.232918927735883e-06,1
MFN2,HSPA9,0.4,0.1474,0.5589,400,2.627696488821736e-14,9.039275921546772e-13,1
RAB1B,COPA,0.5,0.1453,-0.0776,400,3.2004723321837565e-09,4.4937244174335195e-08,1
TMED9,TMED2,0.5,0.1451,0.2331,400,3.3616458597617075e-09,4.534926179443245e-08,1
VPS29,VPS26A,0.5,0.1347,0.1589,400,4.403720065138803e-08,4.966818696418846e-07,1
PICALM,BIN1,0.3,0.1316,0.7314,400,3.109469189963367e-20,1.782762335578997e-18,1
MFN2,VDAC1,0.6,0.1311,0.4286,400,1.0408431537301811e-05,6.51000081605786e-05,1
GORASP1,TMED2,0.4,0.1304,0.1138,264,5.9285769885863156e-08,6.275170720226746e-07,1
MAPK14,MAPKAPK2,0.8,0.1283,0.2256,352,0.0025526938260862085,0.00900642744793493,1
GORASP1,TMED10,0.4,0.1233,0.0963,264,3.2286012934216125e-07,2.9617035864987593e-06,1
HSPA5,EIF2S1,0.4,0.1202,0.0681,400,8.499643454166228e-10,1.2995010436591921e-08,1
TMED9,EIF2S1,0.5,0.1198,0.1374,400,1.2527074217853889e-06,1.0260270311766042e-05,1
BIN1,BACE1,0.5,0.1187,0.1163,400,1.5857376152468871e-06,1.2122083103220648e-05,1
HSPA5,TMED10,0.4,0.1183,0.199,400,1.6195832722208069e-09,2.370794236782798e-08,1
SORL1,BACE1,0.6,0.118,-0.3227,400,7.512661662214627e-05,0.0003945581086720354,1
PLCG2,MAPK14,0.5,0.1178,0.0563,336,1.2715476167721353e-05,7.607171829036773e-05,1
PICALM,BACE1,0.5,0.1132,0.4908,400,4.829631103469319e-06,3.362898137065936e-05,1
SEC24C,TMED10,0.4,0.1104,0.0524,400,1.9741339538211217e-08,2.3828143161911082e-07,1
SORL1,LRP1,0.5,0.1096,0.3031,400,9.703934634735798e-06,6.181765767313176e-05,1
TMED2,RAB1B,0.4,0.1068,0.1776,400,5.825558743464917e-08,6.275170720226746e-07,1
RTN4,RTN3,0.3,0.106,0.3346,288,6.927504157408176e-10,1.1084006651853081e-08,1
RAB1A,COPA,0.5,0.1053,0.0019,400,2.1826637962530416e-05,0.00012726039761204173,1
SYK,MAPK14,0.4,0.1012,0.1884,312,6.104741595529187e-06,4.20006221772408e-05,1
TMED9,COPB2,0.4,0.0992,0.1358,400,5.145947969653443e-07,4.6584371093704846e-06,1
MFN2,TMED2,0.3,0.0981,0.1077,400,2.0244341823408402e-11,5.158558212779622e-10,1
GGA3,GGA1,0.3,0.0963,0.1823,400,4.987590424497662e-11,1.1069232942110941e-09,1
