region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_oligodendrocyte <= -0.127 (lower half)  AND  age_death 86.8-90 (middle third),2,154,0.61109,0.58173,0.00875,3.35683,0.00498,0.15106,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  age_at_visit_max 85.7-90 (middle third),2,152,0.61016,0.58173,0.00875,3.25019,0.00498,0.15106,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  pmi > 6.5 (upper half),2,104,0.60994,0.57425,0.01099,3.24641,0.00498,0.15106,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  cts_mmse30_lv <= 26 (lower half),2,102,0.60819,0.57425,0.01099,3.0872,0.00995,0.18463,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  braaksc <= 4 (lower half),2,163,0.60891,0.58355,0.00836,3.03313,0.00498,0.15106,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  cts_mmse30_lv <= 23 (low third),2,65,0.60228,0.56586,0.01248,2.91836,0.00498,0.15106,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  apoe_genotype = 33,2,129,0.60849,0.58092,0.00974,2.83,0.00498,0.15106,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  celltype_microglia <= -0.077 (lower half),2,112,0.60694,0.57772,0.01037,2.81642,0.00498,0.15106,False
celltype_oligodendrocyte <= -0.127 (lower half),1,200,0.60986,0.58737,0.00802,2.80468,0.00995,0.18463,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  celltype_microglia <= -0.284 (low third),2,76,0.60501,0.56979,0.01307,2.69439,0.01493,0.1994,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  educ <= 14 (low third),2,85,0.60362,0.56979,0.01307,2.58808,0.01493,0.1994,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  cts_mmse30_lv <= 26 (lower half),2,68,0.6013,0.56884,0.01271,2.55351,0.00498,0.15106,False
ceradsc = 4  AND  Study = MAP,2,67,0.60096,0.56884,0.01271,2.52609,0.00498,0.15106,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  cts_mmse30_lv <= 23 (low third),2,41,0.59557,0.55707,0.01541,2.49857,0.00995,0.18463,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  age_death > 89.4 (upper half),2,122,0.60205,0.5785,0.00948,2.48354,0.01493,0.1994,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  msex = 0,2,146,0.6033,0.58173,0.00875,2.46563,0.01493,0.1994,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  celltype_neuron <= -0.149 (low third),2,59,0.59636,0.56586,0.01248,2.44435,0.00498,0.15106,False
ceradsc = 4  AND  cogdx = 1,2,66,0.59963,0.56884,0.01271,2.42184,0.00995,0.18463,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  dcfdx_lv = 1,2,95,0.60063,0.57425,0.01099,2.39976,0.01493,0.1994,False
ceradsc = 4  AND  dcfdx_lv = 1,2,68,0.59907,0.56884,0.01271,2.37795,0.00995,0.18463,False
educ <= 14 (low third)  AND  celltype_microglia <= -0.077 (lower half),2,83,0.60077,0.56979,0.01307,2.36996,0.01493,0.1994,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  age_at_visit_max > 88.9 (upper half),2,124,0.60096,0.5785,0.00948,2.36876,0.0199,0.22156,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  celltype_endothelial > 0.217 (high third),2,63,0.5951,0.56586,0.01248,2.34297,0.00498,0.15106,False
educ <= 14 (low third)  AND  braaksc <= 4 (lower half),2,126,0.60323,0.58092,0.00974,2.29005,0.00995,0.18463,False
ceradsc = 4  AND  pmi > 6.5 (upper half),2,53,0.59286,0.56094,0.01428,2.23543,0.02488,0.24317,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  braaksc 3-4 (middle third),2,73,0.59706,0.56884,0.01271,2.21962,0.0199,0.22156,False
educ <= 14 (low third)  AND  celltype_microglia <= -0.284 (low third),2,52,0.59225,0.56094,0.01428,2.19262,0.02488,0.24317,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  cogdx = 1,2,94,0.59742,0.57315,0.01119,2.16871,0.01493,0.1994,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  dcfdx_lv = 4,2,47,0.59164,0.56094,0.01428,2.14941,0.02488,0.24317,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  cogdx = 4,2,49,0.59143,0.56094,0.01428,2.13532,0.02488,0.24317,False
ceradsc = 4  AND  celltype_neuron > 0.0321 (upper half),2,57,0.59211,0.56586,0.01248,2.10369,0.00995,0.18463,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  celltype_astrocyte > 0.0643 (upper half),2,111,0.59903,0.57772,0.01037,2.05368,0.0199,0.22156,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  educ <= 16 (lower half),2,132,0.60057,0.58092,0.00974,2.01702,0.03483,0.25287,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  celltype_microglia <= -0.284 (low third),2,56,0.591,0.56586,0.01248,2.01482,0.0199,0.22156,False
ceradsc = 4  AND  cts_mmse30_lv > 26 (upper half),2,74,0.59405,0.56884,0.01271,1.98295,0.03483,0.25287,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  celltype_endothelial > -0.043 (upper half),2,93,0.59521,0.57315,0.01119,1.97111,0.02985,0.24317,False
ceradsc = 4  AND  educ <= 14 (low third),2,43,0.58726,0.55707,0.01541,1.95913,0.0398,0.27695,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  msex = 0,2,103,0.59573,0.57425,0.01099,1.95445,0.04478,0.28217,False
ceradsc = 4  AND  celltype_astrocyte <= 0.0643 (lower half),2,55,0.5899,0.56586,0.01248,1.92669,0.0199,0.22156,False
apoe_genotype = 33  AND  celltype_neuron > 0.0321 (upper half),2,134,0.5995,0.58092,0.00974,1.90756,0.03483,0.25287,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  celltype_endothelial <= -0.043 (lower half),2,107,0.59742,0.57772,0.01037,1.899,0.02985,0.24317,False
ceradsc = 4  AND  age_death 86.8-90 (middle third),2,55,0.58941,0.56586,0.01248,1.8875,0.02985,0.24317,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  braaksc <= 4 (lower half),2,110,0.59704,0.57772,0.01037,1.86205,0.02985,0.24317,False
apoe_genotype = 33  AND  celltype_endothelial > 0.217 (high third),2,90,0.59399,0.57315,0.01119,1.86186,0.04478,0.28217,False
ceradsc = 4,1,106,0.59698,0.57772,0.01037,1.85638,0.02985,0.24317,False
ceradsc = 4  AND  braaksc <= 4 (lower half),2,106,0.59698,0.57772,0.01037,1.85638,0.02985,0.24317,False
ceradsc = 4  AND  msex = 0,2,62,0.58881,0.56586,0.01248,1.83881,0.03483,0.25287,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  Study = MAP,2,135,0.5999,0.58165,0.00994,1.83615,0.02985,0.24317,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  Study = ROS,2,65,0.5882,0.56586,0.01248,1.79047,0.03483,0.25287,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  celltype_neuron <= 0.0321 (lower half),2,90,0.59282,0.57315,0.01119,1.75766,0.0597,0.30031,False
apoe_genotype = 33  AND  age_death 86.8-90 (middle third),2,170,0.5989,0.58359,0.00871,1.75663,0.04478,0.28217,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  educ > 16 (upper half),2,68,0.59103,0.56884,0.01271,1.74512,0.04975,0.29673,False
celltype_oligodendrocyte <= -0.371 (low third)  AND  celltype_endothelial > 0.217 (high third),2,42,0.5839,0.55707,0.01541,1.74159,0.04478,0.28217,False
apoe_genotype = 33  AND  educ <= 16 (lower half),2,156,0.59811,0.58355,0.00836,1.74104,0.04975,0.29673,False
ceradsc = 4  AND  celltype_microglia <= -0.077 (lower half),2,47,0.5858,0.56094,0.01428,1.74048,0.0398,0.27695,False
ceradsc = 4  AND  educ <= 16 (lower half),2,67,0.59047,0.56884,0.01271,1.70153,0.05473,0.29965,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  pmi > 7.61 (high third),2,68,0.59034,0.56884,0.01271,1.69081,0.05473,0.29965,False
celltype_oligodendrocyte <= -0.127 (lower half)  AND  celltype_endothelial <= -0.263 (low third),2,73,0.59029,0.56884,0.01271,1.68716,0.05473,0.29965,False
ceradsc = 4  AND  age_at_visit_max 85.7-90 (middle third),2,56,0.58685,0.56586,0.01248,1.68199,0.04975,0.29673,False
