protein_a,protein_b,n_datasets,prior_C_a_to_b,prior_C_b_to_a,dir_ROSMAP,W_ROSMAP,beta_ROSMAP,dir_Diverse,W_Diverse,beta_Diverse,dir_Banner,W_Banner,beta_Banner,direction_consistent,mean_W
TMED10,TMED2,3,0.6,0.9,TMED10->TMED2,0.2699,0.5458,TMED10->TMED2,0.4023,0.5801,TMED2->TMED10,0.5336,0.6327,0,0.4019333333333333
AP2A1,AP2B1,3,0.5,0.5,AP2B1->AP2A1,0.4047,0.8536,AP2B1->AP2A1,0.3774,0.5437,AP2B1->AP2A1,0.39,0.6026,1,0.3907
TMED10,TMED9,3,0.6,0.5,TMED9->TMED10,0.2694,0.1828,TMED10->TMED9,0.4273,0.7507,TMED9->TMED10,0.2138,0.4644,0,0.3035
COPA,COPB1,3,0.6,0.5,COPB1->COPA,0.1773,0.1367,COPA->COPB1,0.452,0.6957,COPA->COPB1,0.2083,0.2193,0,0.2792
COPA,COPB2,3,0.6,0.5,COPB2->COPA,0.1761,0.2827,COPA->COPB2,0.4238,0.6569,COPA->COPB2,0.2152,0.1978,0,0.2717
COPA,COPG1,3,0.6,0.5,COPG1->COPA,0.2075,0.2597,COPA->COPG1,0.42,0.7921,COPG1->COPA,0.1579,0.3619,0,0.2618
VPS29,VPS35,3,0.5,0.5,VPS29->VPS35,0.2151,0.7672,VPS29->VPS35,0.3107,0.6277,VPS35->VPS29,0.2348,0.4788,0,0.25353333333333333
SEC23A,SEC24C,3,0.6,0.5,SEC24C->SEC23A,0.2258,0.5004,SEC24C->SEC23A,0.2586,0.4131,SEC23A->SEC24C,0.1934,0.3675,0,0.22593333333333332
TMED2,TMED9,3,0.7,0.5,TMED9->TMED2,0.1451,0.2331,TMED9->TMED2,0.2982,0.2264,TMED9->TMED2,0.2118,0.138,1,0.21836666666666668
VPS26A,VPS29,3,0.5,0.5,VPS29->VPS26A,0.1347,0.1589,VPS29->VPS26A,0.325,0.761,VPS26A->VPS29,0.1945,0.2991,0,0.21806666666666666
EIF2S1,HSPA5,3,0.6,0.4,HSPA5->EIF2S1,0.1202,0.0681,EIF2S1->HSPA5,0.2871,0.9095,EIF2S1->HSPA5,0.1726,0.6247,0,0.1933
SEC13,SEC31A,3,0.7,0.4,SEC31A->SEC13,0.1763,0.4076,SEC31A->SEC13,0.2458,0.5637,SEC31A->SEC13,0.1426,0.4028,1,0.18823333333333334
COPA,COPG2,3,0.6,0.5,COPA->COPG2,0.1529,0.4817,COPA->COPG2,0.2688,0.5234,COPG2->COPA,0.1106,0.1268,0,0.17743333333333333
HSPA9,MFN2,3,0.4,0.4,MFN2->HSPA9,0.1474,0.5589,MFN2->HSPA9,0.1336,0.5823,HSPA9->MFN2,0.1681,0.2626,0,0.14970000000000003
LRP1,SORL1,3,0.5,0.5,SORL1->LRP1,0.1096,0.3031,LRP1->SORL1,0.1306,0.3324,LRP1->SORL1,0.18,0.6343,0,0.14006666666666667
