,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM10,0,189,0,189,189,189,189,0,0,0,0,179,137,189,189,189,0,189,189,189,189,189,189,189,90,149,0,189,67,0,189,0,189,189,51,189,124,189,0,0,0,189,169,0,189,189,0,0,123,0,189,189,189,189,189,173,189,28,189,0,0,163,189,0,189,0,189,189,169,189,0,0,189,189,189,189,0,189,189,189
ADAM17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1G1,0,189,0,190,190,190,190,0,0,0,0,180,138,190,190,190,0,190,190,190,190,190,190,190,91,150,0,190,67,0,190,0,190,190,51,190,125,190,0,0,0,190,170,0,190,190,0,0,123,0,190,190,190,190,190,174,190,28,190,0,0,164,190,0,190,0,190,190,170,190,0,0,190,190,190,190,0,190,190,190
AP2A1,0,189,0,190,190,190,190,0,0,0,0,180,138,190,190,190,0,190,190,190,190,190,190,190,91,150,0,190,67,0,190,0,190,190,51,190,125,190,0,0,0,190,170,0,190,190,0,0,123,0,190,190,190,190,190,174,190,28,190,0,0,164,190,0,190,0,190,190,170,190,0,0,190,190,190,190,0,190,190,190
AP2B1,0,189,0,190,190,190,190,0,0,0,0,180,138,190,190,190,0,190,190,190,190,190,190,190,91,150,0,190,67,0,190,0,190,190,51,190,125,190,0,0,0,190,170,0,190,190,0,0,123,0,190,190,190,190,190,174,190,28,190,0,0,164,190,0,190,0,190,190,170,190,0,0,190,190,190,190,0,190,190,190
AP3B2,0,189,0,190,190,190,190,0,0,0,0,180,138,190,190,190,0,190,190,190,190,190,190,190,91,150,0,190,67,0,190,0,190,190,51,190,125,190,0,0,0,190,170,0,190,190,0,0,123,0,190,190,190,190,190,174,190,28,190,0,0,164,190,0,190,0,190,190,170,190,0,0,190,190,190,190,0,190,190,190
AP4B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP4E1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP4M1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP4S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APBA1,0,179,0,180,180,180,180,0,0,0,0,180,130,180,180,180,0,180,180,180,180,180,180,180,86,143,0,180,66,0,180,0,180,180,47,180,117,180,0,0,0,180,163,0,180,180,0,0,116,0,180,180,180,180,180,164,180,28,180,0,0,155,180,0,180,0,180,180,161,180,0,0,180,180,180,180,0,180,180,180
APBA2,0,137,0,138,138,138,138,0,0,0,0,130,138,138,138,138,0,138,138,138,138,138,138,138,72,107,0,138,50,0,138,0,138,138,41,138,94,138,0,0,0,138,121,0,138,138,0,0,89,0,138,138,138,138,138,127,138,22,138,0,0,118,138,0,138,0,138,138,124,138,0,0,138,138,138,138,0,138,138,138
APOE,0,189,0,190,190,190,190,0,0,0,0,180,138,190,190,190,0,190,190,190,190,190,190,190,91,150,0,190,67,0,190,0,190,190,51,190,125,190,0,0,0,190,170,0,190,190,0,0,123,0,190,190,190,190,190,174,190,28,190,0,0,164,190,0,190,0,190,190,170,190,0,0,190,190,190,190,0,190,190,190
APP,0,189,0,190,190,190,190,0,0,0,0,180,138,190,190,190,0,190,190,190,190,190,190,190,91,150,0,190,67,0,190,0,190,190,51,190,125,190,0,0,0,190,170,0,190,190,0,0,123,0,190,190,190,190,190,174,190,28,190,0,0,164,190,0,190,0,190,190,170,190,0,0,190,190,190,190,0,190,190,190
