source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
TMED10,COPA,1.0,0.8006,0.0872,190,1.098719509289154e-43,7.185625590751068e-41,1
COPZ1,COPA,1.0,0.7674,0.1205,150,2.320314443729234e-30,2.5291427436648652e-28,1
TMED10,COPG1,1.0,0.7161,0.3567,190,3.5311313327922935e-31,5.7733997291154e-29,1
COPB1,COPA,1.0,0.7131,0.1694,190,8.16360327708479e-31,1.0677993086426905e-28,1
TMED10,COPZ1,1.0,0.6813,0.3668,150,8.496422613409557e-22,3.268623758335206e-20,1
COPG1,COPA,1.0,0.6552,0.0013,190,1.1061572079562069e-24,6.444192039378403e-23,1
COPB1,COPZ1,1.0,0.5628,0.1255,150,6.62512767856078e-14,9.628518892841667e-13,1
COPE,COPB1,1.0,0.5504,0.2966,190,1.91740221777552e-16,4.045100162661903e-15,1
TMED10,COPB1,1.0,0.5488,0.1993,190,2.439045531118504e-16,4.984799304223442e-15,1
COPE,COPA,1.0,0.5141,0.2176,190,3.2928173465225183e-14,5.127387011013636e-13,1
COPZ1,COPG1,1.0,0.5138,0.0086,150,1.7608865567138207e-11,1.9193663468180646e-10,1
COPB2,COPG1,1.0,0.5038,0.232,190,1.2724377126605128e-13,1.7705835405956925e-12,1
AP2A1,AP2B1,1.0,0.5002,0.5344,190,2.0224621101289898e-13,2.7556046250507488e-12,1
COPB2,TMED10,1.0,0.4903,1.0634,190,6.939668961036658e-13,8.89910490297642e-12,1
TMED9,COPB2,1.0,0.4784,0.2464,190,2.9433806248564756e-12,3.4999471430111546e-11,1
COPE,COPZ1,1.0,0.4611,0.588,150,2.87892449057683e-09,2.4452163855029182e-08,1
COPG1,COPB1,1.0,0.4608,0.1383,190,2.2270706575642438e-11,2.3119114445190722e-10,1
TMED9,COPA,1.0,0.4519,0.0051,190,5.968339949606507e-11,5.825812428421874e-10,1
TMED9,COPG1,1.0,0.449,-0.0027,190,8.132584283914443e-11,7.821632531882421e-10,1
SNX6,SNX4,0.6,0.4313,0.3571,190,1.6602567187805748e-31,3.619359646941653e-29,1
TMED9,TMED10,0.8,0.4279,0.5959,190,1.881971894272255e-15,3.62002829074722e-14,1
VPS29,SNX6,0.8,0.4132,1.2287,190,2.4019694298495803e-14,3.8499793707921664e-13,1
AP1G1,AP2A1,0.6,0.4037,0.3003,190,2.0883826199148788e-26,1.7072527917804132e-24,1
TMED10,SEC24B,0.6,0.4011,0.9936,164,1.3517739537802821e-22,6.314715469802175e-21,1
