region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_neuron <= -0.182 (low third)  AND  celltype_oligodendrocyte > -0.073 (upper half),2,43,0.57778,0.53576,0.01108,3.79196,0.00498,0.17289,False
celltype_neuron <= 0.0182 (lower half)  AND  celltype_oligodendrocyte > -0.073 (upper half),2,60,0.56706,0.53789,0.00872,3.34474,0.00498,0.17289,False
celltype_neuron <= 0.0182 (lower half)  AND  ageDeath <= 86 (lower half),2,55,0.56445,0.53789,0.00872,3.04532,0.00498,0.17289,False
celltype_neuron <= 0.0182 (lower half)  AND  pmi <= 3 (lower half),2,53,0.56572,0.53629,0.00985,2.98906,0.00498,0.17289,False
celltype_neuron <= 0.0182 (lower half),1,95,0.55727,0.54042,0.00581,2.90099,0.00995,0.23051,False
ageDeath <= 86 (lower half),1,104,0.55561,0.54042,0.00581,2.61582,0.00995,0.23051,False
ageDeath <= 86 (lower half)  AND  sex = male,2,68,0.55608,0.53774,0.00761,2.41151,0.01493,0.23051,False
CERAD = 3,1,106,0.55302,0.54092,0.00504,2.40156,0.0199,0.24698,False
celltype_neuron <= 0.0182 (lower half)  AND  celltype_oligodendrocyte > 0.391 (high third),2,45,0.56147,0.53576,0.01108,2.32042,0.01493,0.23051,False
celltype_neuron <= 0.0182 (lower half)  AND  celltype_astrocyte <= -0.0155 (lower half),2,45,0.56141,0.53576,0.01108,2.31478,0.01493,0.23051,False
CERAD = 3  AND  celltype_neuron <= -0.182 (low third),2,46,0.55883,0.53629,0.00985,2.28896,0.02488,0.24698,False
ageDeath <= 86 (lower half)  AND  PlaqueTotal > 12.1 (upper half),2,57,0.55755,0.53789,0.00872,2.25508,0.02488,0.24698,False
celltype_neuron <= -0.182 (low third),1,64,0.5575,0.53789,0.00872,2.24849,0.02488,0.24698,False
ageDeath <= 86 (lower half)  AND  celltype_oligodendrocyte > -0.073 (upper half),2,57,0.55611,0.53789,0.00872,2.08994,0.02488,0.24698,False
ageDeath <= 86 (lower half)  AND  TangleTotal > 8 (upper half),2,62,0.55465,0.53789,0.00872,1.9225,0.02985,0.26344,False
celltype_neuron <= -0.182 (low third)  AND  lastMMSE <= 25 (lower half),2,43,0.55671,0.53576,0.01108,1.89038,0.0398,0.26344,False
celltype_neuron <= 0.0182 (lower half)  AND  sex = female,2,42,0.55642,0.53576,0.01108,1.86449,0.0398,0.26344,False
celltype_neuron <= 0.0182 (lower half)  AND  lastMMSE <= 25 (lower half),2,57,0.55388,0.53789,0.00872,1.83358,0.03483,0.26344,False
celltype_neuron <= 0.0182 (lower half)  AND  CERAD = 3,2,60,0.5534,0.53789,0.00872,1.77886,0.03483,0.26344,False
lastMMSE <= 25 (lower half),1,99,0.55068,0.54042,0.00581,1.76704,0.0398,0.26344,False
ageDeath <= 86 (lower half)  AND  lastMMSE <= 25 (lower half),2,61,0.5532,0.53789,0.00872,1.75576,0.0398,0.26344,False
lastMMSE <= 25 (lower half)  AND  pmi <= 3 (lower half),2,54,0.55318,0.53629,0.00985,1.71489,0.05473,0.30428,False
celltype_neuron <= -0.182 (low third)  AND  diagnosis = Alzheimer Disease,2,41,0.55476,0.53576,0.01108,1.71458,0.05473,0.30428,False
lastMMSE <= 25 (lower half)  AND  PlaqueTotal 8-13.5 (middle third),2,45,0.55436,0.53576,0.01108,1.67854,0.05473,0.30428,False
CERAD = 3  AND  pmi <= 3 (lower half),2,62,0.55225,0.53789,0.00872,1.64717,0.04975,0.30428,False
PlaqueTotal > 12.1 (upper half),1,95,0.54997,0.54042,0.00581,1.64523,0.06965,0.35565,False
celltype_neuron <= 0.0182 (lower half)  AND  diagnosis = Alzheimer Disease,2,54,0.55244,0.53629,0.00985,1.6403,0.06468,0.34577,False
lastMMSE <= 25 (lower half)  AND  PlaqueTotal > 12.1 (upper half),2,81,0.54973,0.54005,0.00627,1.54417,0.08955,0.35565,False
ageDeath <= 82 (low third),1,73,0.54932,0.53774,0.00761,1.52303,0.0796,0.35565,False
CERAD = 3  AND  lastMMSE <= 25 (lower half),2,85,0.54951,0.54005,0.00627,1.50963,0.08955,0.35565,False
ageDeath <= 86 (lower half)  AND  apoeGenotype = e3-3,2,44,0.5521,0.53576,0.01108,1.47513,0.08458,0.35565,False
ageDeath <= 86 (lower half)  AND  pmi <= 3 (lower half),2,67,0.54883,0.53774,0.00761,1.45879,0.0796,0.35565,False
ageDeath <= 86 (lower half)  AND  lastMMSE <= 18 (low third),2,47,0.55059,0.53629,0.00985,1.45206,0.08458,0.35565,False
CERAD = 3  AND  PlaqueTotal 8-13.5 (middle third),2,50,0.55055,0.53629,0.00985,1.44812,0.08458,0.35565,False
ageDeath <= 86 (lower half)  AND  CERAD = 3,2,63,0.5498,0.53789,0.00872,1.36541,0.08955,0.35565,False
celltype_neuron <= 0.0182 (lower half)  AND  PlaqueTotal > 12.1 (upper half),2,49,0.54957,0.53629,0.00985,1.34878,0.0995,0.37381,False
ageDeath <= 86 (lower half)  AND  celltype_astrocyte > -0.0155 (upper half),2,57,0.54939,0.53789,0.00872,1.31821,0.09453,0.36498,False
CERAD = 3  AND  diagnosis = Alzheimer Disease,2,82,0.54813,0.54005,0.00627,1.28942,0.10945,0.38035,False
