region,depth,n_listed,n_usable,auroc,null_usable,z_fixed,p_fixed,z_orig,q_orig,q_fixed,strong_fixed
celltype_neuron <= -0.182 (low third)  AND  celltype_oligodendrocyte > -0.073 (upper half),2,43,43,0.57778,0.53528,3.93215,0.00498,3.79196,0.17289,0.14819,False
celltype_neuron <= 0.0182 (lower half)  AND  celltype_oligodendrocyte > -0.073 (upper half),2,60,60,0.56706,0.53774,3.62824,0.00498,3.34474,0.17289,0.14819,False
celltype_neuron <= 0.0182 (lower half)  AND  ageDeath <= 86 (lower half),2,55,55,0.56445,0.53774,3.30515,0.00498,3.04532,0.17289,0.14819,False
celltype_neuron <= 0.0182 (lower half)  AND  pmi <= 3 (lower half),2,53,53,0.56572,0.53544,3.22082,0.00995,2.98906,0.17289,0.14819,False
celltype_neuron <= 0.0182 (lower half),1,95,95,0.55727,0.54006,2.96829,0.00498,2.90099,0.23051,0.14819,False
ageDeath <= 86 (lower half),1,104,104,0.55561,0.54006,2.68263,0.00995,2.61582,0.23051,0.14819,False
ageDeath <= 86 (lower half)  AND  sex = male,2,68,68,0.55608,0.53966,2.33707,0.00995,2.41151,0.23051,0.14819,False
CERAD = 3,1,106,106,0.55302,0.54082,2.27405,0.00995,2.40156,0.24698,0.14819,False
celltype_neuron <= 0.0182 (lower half)  AND  celltype_oligodendrocyte > 0.391 (high third),2,45,45,0.56147,0.53528,2.42324,0.0199,2.32042,0.23051,0.15368,False
celltype_neuron <= 0.0182 (lower half)  AND  celltype_astrocyte <= -0.0155 (lower half),2,45,45,0.56141,0.53528,2.41747,0.0199,2.31478,0.23051,0.15368,False
CERAD = 3  AND  celltype_neuron <= -0.182 (low third),2,46,46,0.55883,0.53544,2.48775,0.00995,2.28896,0.24698,0.14819,False
ageDeath <= 86 (lower half)  AND  PlaqueTotal > 12.1 (upper half),2,57,57,0.55755,0.53774,2.45248,0.01493,2.25508,0.24698,0.14819,False
celltype_neuron <= -0.182 (low third),1,64,64,0.5575,0.53774,2.44537,0.01493,2.24849,0.24698,0.14819,False
ageDeath <= 86 (lower half)  AND  celltype_oligodendrocyte > -0.073 (upper half),2,57,57,0.55611,0.53774,2.27429,0.01493,2.08994,0.24698,0.14819,False
ageDeath <= 86 (lower half)  AND  TangleTotal > 8 (upper half),2,62,62,0.55465,0.53774,2.09361,0.01493,1.9225,0.26344,0.14819,False
celltype_neuron <= -0.182 (low third)  AND  lastMMSE <= 25 (lower half),2,43,43,0.55671,0.53528,1.98229,0.03483,1.89038,0.26344,0.21047,False
celltype_neuron <= 0.0182 (lower half)  AND  sex = female,2,42,42,0.55642,0.53528,1.95575,0.03483,1.86449,0.26344,0.21047,False
celltype_neuron <= 0.0182 (lower half)  AND  lastMMSE <= 25 (lower half),2,57,57,0.55388,0.53774,1.99767,0.01493,1.83358,0.26344,0.14819,False
celltype_neuron <= 0.0182 (lower half)  AND  CERAD = 3,2,60,60,0.5534,0.53774,1.93863,0.0199,1.77886,0.26344,0.15368,False
lastMMSE <= 25 (lower half),1,99,99,0.55068,0.54006,1.83239,0.05473,1.76704,0.26344,0.25357,False
ageDeath <= 86 (lower half)  AND  lastMMSE <= 25 (lower half),2,61,61,0.5532,0.53774,1.9137,0.0199,1.75576,0.26344,0.15368,False
lastMMSE <= 25 (lower half)  AND  pmi <= 3 (lower half),2,54,54,0.55318,0.53544,1.88664,0.02488,1.71489,0.30428,0.17289,False
celltype_neuron <= -0.182 (low third)  AND  diagnosis = Alzheimer Disease,2,41,41,0.55476,0.53528,1.80203,0.0398,1.71458,0.30428,0.22129,False
lastMMSE <= 25 (lower half)  AND  PlaqueTotal 8-13.5 (middle third),2,45,45,0.55436,0.53528,1.76508,0.04478,1.67854,0.30428,0.23051,False
CERAD = 3  AND  pmi <= 3 (lower half),2,62,62,0.55225,0.53774,1.79653,0.02985,1.64717,0.30428,0.19758,False
PlaqueTotal > 12.1 (upper half),1,95,95,0.54997,0.54006,1.71036,0.06965,1.64523,0.35565,0.27662,False
celltype_neuron <= 0.0182 (lower half)  AND  diagnosis = Alzheimer Disease,2,54,54,0.55244,0.53544,1.80854,0.02488,1.6403,0.34577,0.17289,False
lastMMSE <= 25 (lower half)  AND  PlaqueTotal > 12.1 (upper half),2,81,81,0.54973,0.53959,1.60268,0.06468,1.54417,0.35565,0.27243,False
ageDeath <= 82 (low third),1,73,73,0.54932,0.53966,1.37505,0.08458,1.52303,0.35565,0.31774,False
CERAD = 3  AND  lastMMSE <= 25 (lower half),2,85,85,0.54951,0.53959,1.56844,0.06468,1.50963,0.35565,0.27243,False
ageDeath <= 86 (lower half)  AND  apoeGenotype = e3-3,2,44,44,0.5521,0.53528,1.55649,0.05473,1.47513,0.35565,0.25357,False
ageDeath <= 86 (lower half)  AND  pmi <= 3 (lower half),2,67,67,0.54883,0.53966,1.30549,0.10448,1.45879,0.35565,0.33194,False
ageDeath <= 86 (lower half)  AND  lastMMSE <= 18 (low third),2,47,47,0.55059,0.53544,1.61144,0.0398,1.45206,0.35565,0.22129,False
CERAD = 3  AND  PlaqueTotal 8-13.5 (middle third),2,50,50,0.55055,0.53544,1.60731,0.04478,1.44812,0.35565,0.23051,False
ageDeath <= 86 (lower half)  AND  CERAD = 3,2,63,63,0.5498,0.53774,1.4925,0.06965,1.36541,0.35565,0.27662,False
celltype_neuron <= 0.0182 (lower half)  AND  PlaqueTotal > 12.1 (upper half),2,49,49,0.54957,0.53544,1.50329,0.04975,1.34878,0.37381,0.24698,False
ageDeath <= 86 (lower half)  AND  celltype_astrocyte > -0.0155 (upper half),2,57,57,0.54939,0.53774,1.44158,0.07463,1.31821,0.36498,0.28814,False
CERAD = 3  AND  diagnosis = Alzheimer Disease,2,82,82,0.54813,0.53959,1.35014,0.08955,1.28942,0.38035,0.32757,False
PlaqueTotal 8-13.5 (middle third),1,69,69,0.54745,0.53966,1.109,0.13433,1.27732,0.38035,0.35907,False
ageDeath <= 86 (lower half)  AND  diagnosis = Alzheimer Disease,2,57,57,0.54861,0.53774,1.34587,0.11443,1.22951,0.38035,0.33194,False
ageDeath <= 86 (lower half)  AND  celltype_astrocyte <= -0.0155 (lower half),2,47,47,0.54826,0.53544,1.36386,0.06468,1.21562,0.4034,0.27243,False
CERAD = 3  AND  PlaqueTotal > 12.1 (upper half),2,82,82,0.54747,0.53959,1.24519,0.0995,1.18354,0.4034,0.33194,False
CERAD = 3  AND  apoeGenotype = e3-3,2,44,44,0.54877,0.53528,1.24778,0.10945,1.17406,0.4034,0.33194,False
lastMMSE <= 25 (lower half)  AND  TangleTotal > 8 (upper half),2,83,83,0.54735,0.53959,1.22698,0.0995,1.16517,0.40928,0.33194,False
lastMMSE <= 25 (lower half)  AND  celltype_oligodendrocyte > 0.391 (high third),2,45,45,0.54827,0.53528,1.20159,0.11443,1.12901,0.4034,0.33194,False
celltype_astrocyte -0.237-0.251 (middle third),1,63,63,0.54754,0.53774,1.21302,0.1194,1.10639,0.4034,0.33194,False
