step,variable,adjusted_for,auroc,null_mean,gain_vs_current,z_vs_shuffled,n_subjects,kind
1,sex,sex,0.52589,0.52796,-0.00245,-2.62,190,clinical/pathology
1,ageDeath,ageDeath,0.5269,0.52772,-0.00144,-1.06,190,clinical/pathology
1,apoeGenotype,apoeGenotype,0.52842,0.52843,8e-05,-0.01,189,clinical/pathology
1,pmi,pmi,0.52775,0.52792,-0.00059,-0.15,190,technical
1,diagnosis,diagnosis,0.52584,0.52881,-0.0025,-3.06,190,clinical/pathology
1,CERAD,CERAD,0.52643,0.52788,-0.00191,-1.66,190,clinical/pathology
1,Braak,Braak,0.52771,0.5283,-0.00063,-0.59,190,clinical/pathology
1,PlaqueTotal,PlaqueTotal,0.52633,0.52839,-0.00201,-1.77,190,clinical/pathology
1,TangleTotal,TangleTotal,0.52595,0.52837,-0.00239,-2.42,190,clinical/pathology
1,lastMMSE,lastMMSE,0.52549,0.52816,-0.00285,-3.38,190,clinical/pathology
1,celltype_neuron,celltype_neuron,0.53488,0.52797,0.00654,9.84,190,proteome-derived
1,celltype_astrocyte,celltype_astrocyte,0.52795,0.52815,-0.00039,-0.21,190,proteome-derived
1,celltype_microglia,celltype_microglia,,,,,32,proteome-derived
1,celltype_oligodendrocyte,celltype_oligodendrocyte,0.53031,0.52816,0.00197,1.76,190,proteome-derived
1,celltype_endothelial,celltype_endothelial,0.52004,0.51874,-0.0083,1.3,101,proteome-derived
1,proteomePC1,proteomePC1,0.51327,0.5282,-0.01507,-37.67,190,proteome-derived
1,proteomePC2,proteomePC2,0.52558,0.52823,-0.00276,-1.84,190,proteome-derived
1,proteomePC3,proteomePC3,0.52093,0.52795,-0.00741,-8.37,190,proteome-derived
1,proteomePC4,proteomePC4,0.52658,0.52818,-0.00176,-1.27,190,proteome-derived
1,proteomePC5,proteomePC5,0.52872,0.52849,0.00038,0.23,190,proteome-derived
1,proteomePC6,proteomePC6,0.52742,0.52802,-0.00092,-0.88,190,proteome-derived
1,proteomePC7,proteomePC7,0.52726,0.52814,-0.00108,-1.52,190,proteome-derived
1,proteomePC8,proteomePC8,0.52903,0.5286,0.0007,0.28,190,proteome-derived
1,proteomePC9,proteomePC9,0.52937,0.52847,0.00103,0.81,190,proteome-derived
1,proteomePC10,proteomePC10,0.52664,0.52748,-0.0017,-0.91,190,proteome-derived
2,sex,celltype_neuron + sex,0.53239,0.53467,-0.00249,-3.06,190,clinical/pathology
2,ageDeath,celltype_neuron + ageDeath,0.53371,0.53553,-0.00117,-2.26,190,clinical/pathology
