,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,113,113,113,113,113,113,113,78,79,53,105,113,113,113,113,113,105,113,113,113,113,113,113,113,113,113,113,113,113,113,113,35,113,113,113,113,113,113,104,113,86,113,113,113,113,113,104,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,96,113,113,113,113,33,104,113,113,113,113,113,113,113,113
ADAM10,113,189,189,189,189,189,189,122,122,80,172,189,189,189,189,189,181,189,189,189,189,189,189,189,189,189,189,189,189,189,189,52,189,189,189,189,189,189,171,180,147,189,189,189,189,189,180,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,154,189,189,189,189,68,162,189,189,189,189,189,189,189,189
ADAM17,113,189,189,189,189,189,189,122,122,80,172,189,189,189,189,189,181,189,189,189,189,189,189,189,189,189,189,189,189,189,189,52,189,189,189,189,189,189,171,180,147,189,189,189,189,189,180,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,154,189,189,189,189,68,162,189,189,189,189,189,189,189,189
AP1G1,113,189,189,189,189,189,189,122,122,80,172,189,189,189,189,189,181,189,189,189,189,189,189,189,189,189,189,189,189,189,189,52,189,189,189,189,189,189,171,180,147,189,189,189,189,189,180,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,154,189,189,189,189,68,162,189,189,189,189,189,189,189,189
AP2A1,113,189,189,189,189,189,189,122,122,80,172,189,189,189,189,189,181,189,189,189,189,189,189,189,189,189,189,189,189,189,189,52,189,189,189,189,189,189,171,180,147,189,189,189,189,189,180,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,154,189,189,189,189,68,162,189,189,189,189,189,189,189,189
AP2B1,113,189,189,189,189,189,189,122,122,80,172,189,189,189,189,189,181,189,189,189,189,189,189,189,189,189,189,189,189,189,189,52,189,189,189,189,189,189,171,180,147,189,189,189,189,189,180,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,154,189,189,189,189,68,162,189,189,189,189,189,189,189,189
AP3B2,113,189,189,189,189,189,189,122,122,80,172,189,189,189,189,189,181,189,189,189,189,189,189,189,189,189,189,189,189,189,189,52,189,189,189,189,189,189,171,180,147,189,189,189,189,189,180,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,154,189,189,189,189,68,162,189,189,189,189,189,189,189,189
AP4B1,78,122,122,122,122,122,122,122,78,44,122,122,122,122,122,122,114,122,122,122,122,122,122,122,122,122,122,122,122,122,122,26,122,122,122,122,122,122,113,122,86,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,105,122,122,122,122,60,104,122,122,122,122,122,122,122,122
AP4E1,79,122,122,122,122,122,122,78,122,45,122,122,122,122,122,122,114,122,122,122,122,122,122,122,122,122,122,122,122,122,122,43,122,122,122,122,122,122,113,122,104,122,122,122,122,122,113,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,96,122,122,122,122,34,95,122,122,122,122,122,122,122,122
AP4M1,53,80,80,80,80,80,80,44,45,80,71,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,9,80,80,80,80,80,80,62,71,62,80,80,80,80,80,71,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,62,80,80,80,80,17,62,80,80,80,80,80,80,80,80
