source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
AP2B1,AP2A1,1.0,0.8434,0.7454,189,2.4503186603122175e-52,1.6025084038441903e-49,1
COPB2,COPB1,1.0,0.531,0.1839,189,3.8237801386052465e-15,5.001504421295663e-13,1
TMED2,TMED10,1.0,0.5143,0.647,189,3.7233240548523885e-14,4.058423219789103e-12,1
COPG1,COPB2,1.0,0.4558,0.2496,189,4.366865517557003e-11,2.3799417070685665e-09,1
COPE,COPB1,1.0,0.4479,0.1612,189,1.0266923315473015e-10,4.7961198916566805e-09,1
VPS35,VPS29,1.0,0.4418,0.3956,189,1.9650247368709116e-10,7.139589877297646e-09,1
COPG1,COPB1,1.0,0.4058,0.0684,189,6.925197303514553e-09,2.264539518249259e-07,1
COPE,COPG1,1.0,0.4025,0.2262,189,9.352129836918457e-09,2.9125204349260336e-07,1
COPE,COPB2,1.0,0.4012,0.3086,189,1.0590993041686281e-08,3.148413386028558e-07,1
COPA,COPB2,1.0,0.3909,0.0312,189,2.6848311177279158e-08,7.634258917365465e-07,1
COPZ1,COPB2,1.0,0.3837,0.0769,189,5.053576954735575e-08,1.3220157313588265e-06,1
COPG2,COPB1,1.0,0.3826,0.1473,189,5.520256616192264e-08,1.3885568565345156e-06,1
AP3B2,AP2A1,0.6,0.3818,0.1173,189,7.719129284856439e-23,2.5241552761480556e-20,1
AP3B2,AP2B1,0.6,0.3775,0.8163,189,3.149449288118383e-22,6.865799448098075e-20,1
LRP1,APP,0.8,0.3737,1.5741,189,1.2287069971993103e-11,7.305221601530445e-10,1
COPA,COPB1,1.0,0.3717,0.0735,189,1.3917195625143244e-07,3.250659263872743e-06,1
VPS26A,VPS29,1.0,0.3701,0.2434,189,1.5917694264699275e-07,3.58971449969425e-06,1
SEC23A,SEC24C,1.0,0.3666,0.2899,189,2.1272071640606192e-07,4.63731161765215e-06,1
TMED9,TMED2,0.8,0.3558,0.5243,189,1.4345020769157004e-10,6.254429055352454e-09,1
