region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
PlaqueTotal > 13.5 (high third)  AND  CERAD = 3,2,50,0.59796,0.56764,0.01267,2.39311,0.00498,0.4822,False
celltype_microglia > 0.00693 (upper half)  AND  apoeGenotype = e3-3,2,44,0.59733,0.56482,0.01414,2.29857,0.01493,0.4822,False
apoeGenotype = e3-3  AND  celltype_neuron <= -1.75e-05 (lower half),2,41,0.59657,0.56482,0.01414,2.24478,0.01493,0.4822,False
celltype_microglia > 0.00693 (upper half)  AND  diagnosis = control,2,45,0.59124,0.56482,0.01414,1.86801,0.0398,0.4822,False
celltype_endothelial > 0.125 (high third),1,63,0.5876,0.56875,0.01042,1.80812,0.04478,0.4822,False
celltype_microglia > 0.00693 (upper half)  AND  ageDeath > 86 (upper half),2,42,0.58991,0.56482,0.01414,1.7737,0.04478,0.4822,False
celltype_microglia > 0.00693 (upper half)  AND  TangleTotal <= 8 (lower half),2,40,0.58988,0.56482,0.01414,1.772,0.04478,0.4822,False
apoeGenotype = e3-3  AND  CERAD = 3,2,44,0.58936,0.56482,0.01414,1.73491,0.05473,0.4822,False
celltype_microglia > 0.00693 (upper half)  AND  celltype_astrocyte <= 0.00686 (lower half),2,47,0.58932,0.56764,0.01267,1.71073,0.04478,0.4822,False
celltype_endothelial > 0.125 (high third)  AND  PlaqueTotal > 12.1 (upper half),2,41,0.58785,0.56482,0.01414,1.62849,0.06965,0.4822,False
PlaqueTotal > 13.5 (high third)  AND  diagnosis = Alzheimer Disease,2,46,0.58818,0.56764,0.01267,1.62086,0.04478,0.4822,False
sex = female  AND  TangleTotal <= 8 (lower half),2,45,0.58768,0.56482,0.01414,1.61613,0.06965,0.4822,False
celltype_endothelial > 0.125 (high third)  AND  CERAD = 3,2,41,0.58762,0.56482,0.01414,1.61198,0.06965,0.4822,False
celltype_microglia > 0.00693 (upper half),1,95,0.58817,0.57499,0.00828,1.59274,0.05473,0.4822,False
sex = female  AND  diagnosis = control,2,44,0.58661,0.56482,0.01414,1.54096,0.08458,0.4822,False
PlaqueTotal > 13.5 (high third)  AND  TangleTotal > 8 (upper half),2,46,0.58715,0.56764,0.01267,1.53925,0.05473,0.4822,False
sex = female  AND  CERAD = 3,2,41,0.58646,0.56482,0.01414,1.53012,0.08955,0.4822,False
apoeGenotype = e3-3,1,92,0.58737,0.57496,0.00819,1.51532,0.08458,0.4822,False
apoeGenotype = e3-3  AND  ageDeath <= 86 (lower half),2,44,0.58488,0.56482,0.01414,1.41873,0.09453,0.4822,False
celltype_microglia > 0.00693 (upper half)  AND  pmi <= 3 (lower half),2,59,0.58322,0.56875,0.01042,1.38757,0.08458,0.4822,False
apoeGenotype = e3-3  AND  celltype_astrocyte <= 0.00686 (lower half),2,51,0.58493,0.56764,0.01267,1.3645,0.06965,0.4822,False
celltype_endothelial > 0.125 (high third)  AND  celltype_neuron <= -1.75e-05 (lower half),2,43,0.58375,0.56482,0.01414,1.33857,0.09453,0.4822,False
celltype_microglia > 0.00693 (upper half)  AND  celltype_neuron <= -1.75e-05 (lower half),2,59,0.58265,0.56875,0.01042,1.33285,0.0995,0.4822,False
celltype_microglia > 0.00693 (upper half)  AND  PlaqueTotal <= 12.1 (lower half),2,42,0.58353,0.56482,0.01414,1.32259,0.09453,0.4822,False
PlaqueTotal > 13.5 (high third)  AND  lastMMSE <= 25 (lower half),2,47,0.5839,0.56764,0.01267,1.28334,0.10448,0.48756,False
sex = female,1,81,0.58501,0.57314,0.0095,1.25029,0.10945,0.49254,False
PlaqueTotal > 13.5 (high third),1,55,0.58139,0.56875,0.01042,1.21249,0.0995,0.4822,False
apoeGenotype = e3-3  AND  pmi <= 3 (lower half),2,57,0.58121,0.56875,0.01042,1.19475,0.0995,0.4822,False
sex = female  AND  lastMMSE > 25 (upper half),2,41,0.58108,0.56482,0.01414,1.14955,0.12935,0.56202,False
celltype_microglia > 0.00693 (upper half)  AND  celltype_endothelial > -0.0477 (upper half),2,53,0.58216,0.56764,0.01267,1.14535,0.1393,0.5662,False
apoeGenotype = e3-3  AND  celltype_oligodendrocyte <= -0.129 (lower half),2,47,0.58206,0.56764,0.01267,1.13755,0.14428,0.5681,False
celltype_oligodendrocyte > 0.276 (high third),1,63,0.58036,0.56875,0.01042,1.11312,0.13433,0.56418,False
celltype_endothelial > 0.125 (high third)  AND  lastMMSE <= 25 (lower half),2,43,0.57993,0.56482,0.01414,1.06816,0.15423,0.57155,False
Braak = 4,1,57,0.57972,0.56875,0.01042,1.0519,0.14925,0.56988,False
sex = female  AND  celltype_oligodendrocyte <= -0.129 (lower half),2,43,0.57892,0.56482,0.01414,0.99681,0.1791,0.57865,False
CERAD = 3,1,106,0.5853,0.57729,0.00804,0.99671,0.1791,0.57865,False
lastMMSE <= 25 (lower half),1,99,0.58323,0.57499,0.00828,0.9956,0.1592,0.57313,False
apoeGenotype = e3-3  AND  celltype_endothelial > -0.0477 (upper half),2,45,0.57815,0.56482,0.01414,0.94269,0.1791,0.57865,False
celltype_astrocyte <= -0.218 (low third),1,64,0.57835,0.56875,0.01042,0.92052,0.1791,0.57865,False
apoeGenotype = e3-3  AND  celltype_oligodendrocyte > -0.129 (upper half),2,45,0.57761,0.56482,0.01414,0.90444,0.199,0.62687,False
sex = female  AND  ageDeath > 86 (upper half),2,45,0.57679,0.56482,0.01414,0.84634,0.21393,0.64179,False
apoeGenotype = e3-3  AND  celltype_astrocyte > 0.00686 (upper half),2,41,0.57671,0.56482,0.01414,0.84062,0.21393,0.64179,False
apoeGenotype = e3-3  AND  celltype_endothelial <= -0.0477 (lower half),2,47,0.57774,0.56764,0.01267,0.79678,0.23881,0.65098,False
