region,depth,n_listed,n_usable,auroc,null_usable,z_fixed,p_fixed,z_orig,q_orig,q_fixed,strong_fixed
PlaqueTotal > 13.5 (high third)  AND  CERAD = 3,2,50,50,0.59796,0.56943,2.38947,0.01493,2.39311,0.4822,0.5237,False
celltype_microglia > 0.00693 (upper half)  AND  apoeGenotype = e3-3,2,44,44,0.59733,0.56628,2.25567,0.0199,2.29857,0.4822,0.5237,False
apoeGenotype = e3-3  AND  celltype_neuron <= -1.75e-05 (lower half),2,41,41,0.59657,0.56628,2.2004,0.0199,2.24478,0.4822,0.5237,False
celltype_microglia > 0.00693 (upper half)  AND  diagnosis = control,2,45,45,0.59124,0.56628,1.81329,0.03483,1.86801,0.4822,0.5237,False
celltype_endothelial > 0.125 (high third),1,63,63,0.5876,0.56789,1.66009,0.05473,1.80812,0.4822,0.5237,False
celltype_microglia > 0.00693 (upper half)  AND  ageDeath > 86 (upper half),2,42,42,0.58991,0.56628,1.7164,0.04478,1.7737,0.4822,0.5237,False
celltype_microglia > 0.00693 (upper half)  AND  TangleTotal <= 8 (lower half),2,40,40,0.58988,0.56628,1.71465,0.04478,1.772,0.4822,0.5237,False
apoeGenotype = e3-3  AND  CERAD = 3,2,44,44,0.58936,0.56628,1.67654,0.04975,1.73491,0.4822,0.5237,False
celltype_microglia > 0.00693 (upper half)  AND  celltype_astrocyte <= 0.00686 (lower half),2,47,47,0.58932,0.56943,1.66552,0.0597,1.71073,0.4822,0.5237,False
celltype_endothelial > 0.125 (high third)  AND  PlaqueTotal > 12.1 (upper half),2,41,41,0.58785,0.56628,1.5672,0.05473,1.62849,0.4822,0.5237,False
PlaqueTotal > 13.5 (high third)  AND  diagnosis = Alzheimer Disease,2,46,46,0.58818,0.56943,1.57018,0.07463,1.62086,0.4822,0.5237,False
sex = female  AND  TangleTotal <= 8 (lower half),2,45,45,0.58768,0.56628,1.5545,0.05473,1.61613,0.4822,0.5237,False
celltype_endothelial > 0.125 (high third)  AND  CERAD = 3,2,41,41,0.58762,0.56628,1.55024,0.05473,1.61198,0.4822,0.5237,False
celltype_microglia > 0.00693 (upper half),1,95,95,0.58817,0.57602,1.314,0.0995,1.59274,0.4822,0.56536,False
sex = female  AND  diagnosis = control,2,44,44,0.58661,0.56628,1.47728,0.0597,1.54096,0.4822,0.5237,False
PlaqueTotal > 13.5 (high third)  AND  TangleTotal > 8 (upper half),2,46,46,0.58715,0.56943,1.4836,0.0796,1.53925,0.4822,0.5237,False
sex = female  AND  CERAD = 3,2,41,40,0.58646,0.56628,1.46614,0.0597,1.53012,0.4822,0.5237,False
apoeGenotype = e3-3,1,92,92,0.58737,0.57456,1.38983,0.07463,1.51532,0.4822,0.5237,False
apoeGenotype = e3-3  AND  ageDeath <= 86 (lower half),2,44,44,0.58488,0.56628,1.35168,0.0796,1.41873,0.4822,0.5237,False
celltype_microglia > 0.00693 (upper half)  AND  pmi <= 3 (lower half),2,59,59,0.58322,0.56789,1.29086,0.10448,1.38757,0.4822,0.56781,False
apoeGenotype = e3-3  AND  celltype_astrocyte <= 0.00686 (lower half),2,51,51,0.58493,0.56943,1.29821,0.10945,1.3645,0.4822,0.57007,False
celltype_endothelial > 0.125 (high third)  AND  celltype_neuron <= -1.75e-05 (lower half),2,43,43,0.58375,0.56628,1.26932,0.09453,1.33857,0.4822,0.56536,False
celltype_microglia > 0.00693 (upper half)  AND  celltype_neuron <= -1.75e-05 (lower half),2,59,59,0.58265,0.56789,1.24282,0.12438,1.33285,0.4822,0.59797,False
celltype_microglia > 0.00693 (upper half)  AND  PlaqueTotal <= 12.1 (lower half),2,42,42,0.58353,0.56628,1.25291,0.0995,1.32259,0.4822,0.56536,False
PlaqueTotal > 13.5 (high third)  AND  lastMMSE <= 25 (lower half),2,47,47,0.5839,0.56943,1.21211,0.12438,1.28334,0.48756,0.59797,False
sex = female,1,81,80,0.58501,0.57179,1.34308,0.07463,1.25029,0.49254,0.5237,False
PlaqueTotal > 13.5 (high third),1,55,55,0.58139,0.56789,1.13715,0.14925,1.21249,0.4822,0.62189,False
apoeGenotype = e3-3  AND  pmi <= 3 (lower half),2,57,57,0.58121,0.56789,1.12157,0.15423,1.19475,0.4822,0.62189,False
sex = female  AND  lastMMSE > 25 (upper half),2,41,41,0.58108,0.56628,1.07512,0.12935,1.14955,0.56202,0.59886,False
celltype_microglia > 0.00693 (upper half)  AND  celltype_endothelial > -0.0477 (upper half),2,53,53,0.58216,0.56943,1.06572,0.1592,1.14535,0.5662,0.62189,False
apoeGenotype = e3-3  AND  celltype_oligodendrocyte <= -0.129 (lower half),2,47,47,0.58206,0.56943,1.05744,0.16418,1.13755,0.5681,0.62189,False
celltype_oligodendrocyte > 0.276 (high third),1,63,62,0.58036,0.56789,1.0499,0.1791,1.11312,0.56418,0.6387,False
celltype_endothelial > 0.125 (high third)  AND  lastMMSE <= 25 (lower half),2,43,43,0.57993,0.56628,0.9915,0.1592,1.06816,0.57155,0.62189,False
Braak = 4,1,57,57,0.57972,0.56789,0.99615,0.18408,1.0519,0.56988,0.6387,False
sex = female  AND  celltype_oligodendrocyte <= -0.129 (lower half),2,43,43,0.57892,0.56628,0.91819,0.17413,0.99681,0.57865,0.6387,False
CERAD = 3,1,106,105,0.5853,0.57602,1.00356,0.14925,0.99671,0.57865,0.62189,False
lastMMSE <= 25 (lower half),1,99,98,0.58323,0.57602,0.77946,0.19403,0.9956,0.57313,0.6387,False
apoeGenotype = e3-3  AND  celltype_endothelial > -0.0477 (upper half),2,45,45,0.57815,0.56628,0.86259,0.20398,0.94269,0.57865,0.6387,False
celltype_astrocyte <= -0.218 (low third),1,64,64,0.57835,0.56789,0.88079,0.20896,0.92052,0.57865,0.6387,False
