step,variable,adjusted_for,auroc,null_mean,gain_vs_current,z_vs_shuffled,n_subjects,kind
1,sex,sex,0.55387,0.55273,0.00036,1.06,190,clinical/pathology
1,ageDeath,ageDeath,0.55171,0.55292,-0.00181,-1.3,190,clinical/pathology
1,apoeGenotype,apoeGenotype,0.55312,0.55217,-0.00039,1.04,189,clinical/pathology
1,pmi,pmi,0.55237,0.55338,-0.00114,-1.21,190,technical
1,diagnosis,diagnosis,0.55199,0.5532,-0.00152,-1.11,190,clinical/pathology
1,CERAD,CERAD,0.55025,0.55315,-0.00326,-3.82,190,clinical/pathology
1,Braak,Braak,0.55534,0.55298,0.00183,1.87,190,clinical/pathology
1,PlaqueTotal,PlaqueTotal,0.55318,0.55308,-0.00033,0.1,190,clinical/pathology
1,TangleTotal,TangleTotal,0.5556,0.55326,0.00208,2.33,190,clinical/pathology
1,lastMMSE,lastMMSE,0.55385,0.55314,0.00034,0.58,190,clinical/pathology
1,celltype_neuron,celltype_neuron,0.55531,0.55305,0.0018,2.99,190,proteome-derived
1,celltype_astrocyte,celltype_astrocyte,0.55384,0.55334,0.00033,0.56,190,proteome-derived
1,celltype_microglia,celltype_microglia,0.55085,0.55296,-0.00266,-2.95,190,proteome-derived
1,celltype_oligodendrocyte,celltype_oligodendrocyte,0.55776,0.55286,0.00425,6.14,190,proteome-derived
1,celltype_endothelial,celltype_endothelial,0.55108,0.55281,-0.00243,-1.77,190,proteome-derived
1,proteomePC1,proteomePC1,0.54936,0.55305,-0.00416,-3.84,190,proteome-derived
1,proteomePC2,proteomePC2,0.5525,0.55291,-0.00102,-0.51,190,proteome-derived
1,proteomePC3,proteomePC3,0.55709,0.55332,0.00358,9.79,190,proteome-derived
1,proteomePC4,proteomePC4,0.55099,0.55319,-0.00252,-3.93,190,proteome-derived
1,proteomePC5,proteomePC5,0.55148,0.55314,-0.00203,-2.37,190,proteome-derived
1,proteomePC6,proteomePC6,0.55455,0.5531,0.00104,1.84,190,proteome-derived
1,proteomePC7,proteomePC7,0.55302,0.55331,-0.0005,-0.44,190,proteome-derived
1,proteomePC8,proteomePC8,0.55716,0.55355,0.00365,5.5,190,proteome-derived
1,proteomePC9,proteomePC9,0.55223,0.55321,-0.00128,-1.21,190,proteome-derived
1,proteomePC10,proteomePC10,0.54947,0.55317,-0.00404,-6.41,190,proteome-derived
2,sex,celltype_oligodendrocyte + sex,0.55852,0.55761,0.00076,1.42,190,clinical/pathology
2,ageDeath,celltype_oligodendrocyte + ageDeath,0.5569,0.55716,-0.00086,-0.25,190,clinical/pathology
2,apoeGenotype,celltype_oligodendrocyte + apoeGenotype,0.55983,0.55684,0.00207,1.8,189,clinical/pathology
2,pmi,celltype_oligodendrocyte + pmi,0.55739,0.55742,-0.00037,-0.03,190,technical
2,diagnosis,celltype_oligodendrocyte + diagnosis,0.55649,0.55711,-0.00127,-0.78,190,clinical/pathology
2,CERAD,celltype_oligodendrocyte + CERAD,0.55475,0.55788,-0.00301,-3.9,190,clinical/pathology
2,Braak,celltype_oligodendrocyte + Braak,0.55815,0.55747,0.00039,0.93,190,clinical/pathology
2,PlaqueTotal,celltype_oligodendrocyte + PlaqueTotal,0.55795,0.558,0.00019,-0.09,190,clinical/pathology
2,TangleTotal,celltype_oligodendrocyte + TangleTotal,0.55992,0.55694,0.00216,3.22,190,clinical/pathology
2,lastMMSE,celltype_oligodendrocyte + lastMMSE,0.55932,0.55739,0.00156,1.61,190,clinical/pathology
2,celltype_neuron,celltype_oligodendrocyte + celltype_neuron,0.55927,0.55816,0.00151,0.9,190,proteome-derived
2,celltype_astrocyte,celltype_oligodendrocyte + celltype_astrocyte,0.55766,0.55752,-0.0001,0.14,190,proteome-derived
2,celltype_microglia,celltype_oligodendrocyte + celltype_microglia,0.55527,0.55767,-0.00248,-3.08,190,proteome-derived
2,celltype_endothelial,celltype_oligodendrocyte + celltype_endothelial,0.55479,0.55798,-0.00297,-3.13,190,proteome-derived
2,proteomePC1,celltype_oligodendrocyte + proteomePC1,0.5571,0.55765,-0.00066,-0.63,190,proteome-derived
2,proteomePC2,celltype_oligodendrocyte + proteomePC2,0.55513,0.55771,-0.00263,-3.88,190,proteome-derived
2,proteomePC3,celltype_oligodendrocyte + proteomePC3,0.56341,0.55714,0.00565,4.1,190,proteome-derived
2,proteomePC4,celltype_oligodendrocyte + proteomePC4,0.55686,0.55767,-0.0009,-0.81,190,proteome-derived
2,proteomePC5,celltype_oligodendrocyte + proteomePC5,0.55596,0.55744,-0.0018,-3.33,190,proteome-derived
2,proteomePC6,celltype_oligodendrocyte + proteomePC6,0.55902,0.55799,0.00126,1.59,190,proteome-derived
2,proteomePC7,celltype_oligodendrocyte + proteomePC7,0.55529,0.55809,-0.00247,-2.31,190,proteome-derived
2,proteomePC8,celltype_oligodendrocyte + proteomePC8,0.56316,0.55777,0.0054,5.66,190,proteome-derived
2,proteomePC9,celltype_oligodendrocyte + proteomePC9,0.55811,0.55738,0.00035,0.91,190,proteome-derived
2,proteomePC10,celltype_oligodendrocyte + proteomePC10,0.55186,0.55738,-0.0059,-5.89,190,proteome-derived
3,sex,celltype_oligodendrocyte + proteomePC3 + sex,0.56402,0.56345,0.00061,0.83,190,clinical/pathology
3,ageDeath,celltype_oligodendrocyte + proteomePC3 + ageDeath,0.56359,0.56334,0.00018,0.27,190,clinical/pathology
3,apoeGenotype,celltype_oligodendrocyte + proteomePC3 + apoeGenotype,0.56676,0.56236,0.00335,2.16,189,clinical/pathology
3,pmi,celltype_oligodendrocyte + proteomePC3 + pmi,0.56367,0.563,0.00026,0.68,190,technical
3,diagnosis,celltype_oligodendrocyte + proteomePC3 + diagnosis,0.56844,0.56359,0.00503,6.61,190,clinical/pathology
3,CERAD,celltype_oligodendrocyte + proteomePC3 + CERAD,0.56307,0.56345,-0.00034,-0.36,190,clinical/pathology
3,Braak,celltype_oligodendrocyte + proteomePC3 + Braak,0.56851,0.56316,0.0051,4.65,190,clinical/pathology
3,PlaqueTotal,celltype_oligodendrocyte + proteomePC3 + PlaqueTotal,0.56833,0.56324,0.00492,5.53,190,clinical/pathology
3,TangleTotal,celltype_oligodendrocyte + proteomePC3 + TangleTotal,0.57087,0.56319,0.00746,9.14,190,clinical/pathology
3,lastMMSE,celltype_oligodendrocyte + proteomePC3 + lastMMSE,0.5704,0.56325,0.00699,11.26,190,clinical/pathology
3,celltype_neuron,celltype_oligodendrocyte + proteomePC3 + celltype_neuron,0.57102,0.56319,0.00761,8.44,190,proteome-derived
3,celltype_astrocyte,celltype_oligodendrocyte + proteomePC3 + celltype_astrocyte,0.56379,0.56293,0.00038,0.79,190,proteome-derived
3,celltype_microglia,celltype_oligodendrocyte + proteomePC3 + celltype_microglia,0.56132,0.5627,-0.00209,-0.94,190,proteome-derived
3,celltype_endothelial,celltype_oligodendrocyte + proteomePC3 + celltype_endothelial,0.56292,0.56384,-0.00049,-1.07,190,proteome-derived
3,proteomePC1,celltype_oligodendrocyte + proteomePC3 + proteomePC1,0.56893,0.56279,0.00551,6.46,190,proteome-derived
3,proteomePC2,celltype_oligodendrocyte + proteomePC3 + proteomePC2,0.56427,0.56356,0.00086,0.77,190,proteome-derived
3,proteomePC4,celltype_oligodendrocyte + proteomePC3 + proteomePC4,0.56259,0.56291,-0.00082,-0.37,190,proteome-derived
3,proteomePC5,celltype_oligodendrocyte + proteomePC3 + proteomePC5,0.55991,0.56268,-0.00351,-4.12,190,proteome-derived
3,proteomePC6,celltype_oligodendrocyte + proteomePC3 + proteomePC6,0.56267,0.56334,-0.00075,-0.7,190,proteome-derived
3,proteomePC7,celltype_oligodendrocyte + proteomePC3 + proteomePC7,0.56355,0.56274,0.00014,0.79,190,proteome-derived
3,proteomePC8,celltype_oligodendrocyte + proteomePC3 + proteomePC8,0.56627,0.5627,0.00286,4.22,190,proteome-derived
3,proteomePC9,celltype_oligodendrocyte + proteomePC3 + proteomePC9,0.56504,0.56333,0.00163,1.65,190,proteome-derived
3,proteomePC10,celltype_oligodendrocyte + proteomePC3 + proteomePC10,0.55851,0.56377,-0.0049,-5.54,190,proteome-derived
4,sex,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + sex,0.57207,0.5706,0.00105,1.69,190,clinical/pathology
4,ageDeath,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + ageDeath,0.57068,0.57079,-0.00034,-0.09,190,clinical/pathology
4,apoeGenotype,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + apoeGenotype,0.57537,0.56997,0.00435,2.52,189,clinical/pathology
4,pmi,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + pmi,0.57122,0.57054,0.00019,0.57,190,technical
4,diagnosis,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + diagnosis,0.57109,0.5706,7e-05,0.62,190,clinical/pathology
4,CERAD,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + CERAD,0.56763,0.57114,-0.00339,-3.29,190,clinical/pathology
4,Braak,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + Braak,0.5724,0.56996,0.00138,2.08,190,clinical/pathology
4,PlaqueTotal,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + PlaqueTotal,0.57014,0.5709,-0.00088,-0.54,190,clinical/pathology
4,TangleTotal,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + TangleTotal,0.57294,0.57049,0.00192,2.81,190,clinical/pathology
4,lastMMSE,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + lastMMSE,0.57267,0.57104,0.00165,1.48,190,clinical/pathology
4,celltype_astrocyte,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + celltype_astrocyte,0.56947,0.57063,-0.00155,-0.93,190,proteome-derived
4,celltype_microglia,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + celltype_microglia,0.56856,0.5705,-0.00246,-2.18,190,proteome-derived
4,celltype_endothelial,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + celltype_endothelial,0.56908,0.57044,-0.00194,-1.95,190,proteome-derived
4,proteomePC1,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC1,0.56902,0.57073,-0.002,-1.22,190,proteome-derived
4,proteomePC2,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC2,0.5705,0.57128,-0.00052,-0.68,190,proteome-derived
4,proteomePC4,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC4,0.56782,0.57,-0.0032,-1.38,190,proteome-derived
4,proteomePC5,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC5,0.56556,0.57053,-0.00546,-7.0,190,proteome-derived
4,proteomePC6,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC6,0.56844,0.5708,-0.00259,-2.11,190,proteome-derived
4,proteomePC7,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC7,0.56907,0.57023,-0.00195,-1.35,190,proteome-derived
4,proteomePC8,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8,0.57696,0.57036,0.00594,8.18,190,proteome-derived
4,proteomePC9,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC9,0.57474,0.57059,0.00372,5.25,190,proteome-derived
4,proteomePC10,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC10,0.56468,0.57096,-0.00634,-5.98,190,proteome-derived
5,sex,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + sex,0.57763,0.57725,0.00067,0.57,190,clinical/pathology
5,ageDeath,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + ageDeath,0.57713,0.57729,0.00017,-0.12,190,clinical/pathology
5,apoeGenotype,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + apoeGenotype,0.58246,0.57479,0.0055,3.38,189,clinical/pathology
5,pmi,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + pmi,0.57605,0.57711,-0.00091,-1.43,190,technical
5,diagnosis,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + diagnosis,0.57843,0.57708,0.00147,1.26,190,clinical/pathology
5,CERAD,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + CERAD,0.57465,0.57635,-0.00231,-2.01,190,clinical/pathology
5,Braak,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + Braak,0.57986,0.57685,0.0029,3.0,190,clinical/pathology
5,PlaqueTotal,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + PlaqueTotal,0.57707,0.57647,0.00011,0.49,190,clinical/pathology
5,TangleTotal,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + TangleTotal,0.58125,0.57683,0.00429,3.27,190,clinical/pathology
5,lastMMSE,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + lastMMSE,0.58071,0.57639,0.00375,5.93,190,clinical/pathology
5,celltype_astrocyte,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + celltype_astrocyte,0.57703,0.57721,7e-05,-0.21,190,proteome-derived
5,celltype_microglia,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + celltype_microglia,0.57501,0.57625,-0.00195,-1.56,190,proteome-derived
5,celltype_endothelial,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + celltype_endothelial,0.57616,0.57589,-0.0008,0.2,190,proteome-derived
5,proteomePC1,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + proteomePC1,0.57729,0.57683,0.00032,0.47,190,proteome-derived
5,proteomePC2,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + proteomePC2,0.57455,0.57688,-0.00242,-2.0,190,proteome-derived
5,proteomePC4,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + proteomePC4,0.57339,0.57695,-0.00357,-3.03,190,proteome-derived
5,proteomePC5,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + proteomePC5,0.57106,0.57666,-0.00591,-6.25,190,proteome-derived
5,proteomePC6,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + proteomePC6,0.5749,0.577,-0.00206,-2.68,190,proteome-derived
5,proteomePC7,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + proteomePC7,0.5768,0.57675,-0.00016,0.06,190,proteome-derived
5,proteomePC9,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + proteomePC9,0.57949,0.5763,0.00253,2.49,190,proteome-derived
5,proteomePC10,celltype_oligodendrocyte + proteomePC3 + celltype_neuron + proteomePC8 + proteomePC10,0.57108,0.57721,-0.00588,-4.95,190,proteome-derived
