source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
AP2B1,AP2A1,1.0,0.8012,0.7412,676,1.7712727647822602e-152,1.1584123881675982e-149,1
COPA,COPB1,1.0,0.7119,0.5629,676,1.4666273646727869e-105,2.3979357412400067e-103,1
SEC24C,SEC23A,1.0,0.6678,0.5419,676,1.6893475377717203e-88,1.5783332710038643e-86,1
COPA,COPG1,1.0,0.6643,0.4303,676,2.874431431286122e-87,2.3498476950764047e-85,1
COPB1,COPG1,1.0,0.6619,0.5039,676,2.0378821162830327e-86,1.480861004499004e-84,1
TMED10,TMED2,1.0,0.6516,0.578,676,6.036728294876229e-83,3.9480203048490537e-81,1
SEC31A,SEC13,1.0,0.6451,0.3643,676,8.1416848502330045e-81,4.840601720047623e-79,1
COPB1,COPB2,1.0,0.6386,0.4275,676,1.0196401493099074e-78,5.557038813738995e-77,1
COPB2,COPA,1.0,0.6358,0.4201,676,7.465408140773528e-78,3.75567455697376e-76,1
VPS26A,VPS29,1.0,0.5949,0.344,676,5.882266629069278e-66,2.4043764846320672e-64,1
VPS35,VPS29,1.0,0.5842,0.3721,676,4.0714258964776634e-63,1.4014276506823113e-61,1
TMED9,TMED10,0.8,0.5431,0.6757,676,1.670598722285955e-92,1.820952607291691e-90,1
COPB2,COPZ1,1.0,0.5314,0.7592,676,1.5322692012198062e-50,4.3569741634684925e-49,1
COPE,COPA,1.0,0.518,0.1526,676,1.089690562424745e-47,2.96940678260743e-46,1
COPB2,COPE,1.0,0.5073,0.3412,676,1.7421118657110264e-45,4.2197820747222644e-44,1
COPB1,COPE,1.0,0.4989,0.3037,676,7.882498278919474e-44,1.7183846248044453e-42,1
COPG1,COPB2,1.0,0.4965,0.1245,676,2.345623229242721e-43,4.9485083610475475e-42,1
COPZ1,COPB1,1.0,0.4921,0.1182,676,1.5931456966829838e-42,3.0644626047960923e-41,1
SEC23A,SEC24B,1.0,0.4874,0.1906,676,1.284755656964333e-41,2.400657713299068e-40,1
VPS26A,VPS35,1.0,0.4711,0.5634,676,1.1980996791399547e-38,2.0619926056777113e-37,1
AP2A1,AP3B2,0.6,0.4611,0.8404,676,8.742472327753418e-133,2.8587884511753673e-130,1
TMED9,TMED2,0.8,0.4544,0.2119,676,5.3552998844096915e-59,1.751183062201969e-57,1
COPB2,TMED9,1.0,0.4199,0.3155,676,2.9316735034807113e-30,3.9128866760742554e-29,1
COPZ1,COPE,1.0,0.4156,0.0941,676,1.319044798603509e-29,1.6914809770327351e-28,1
AP2A1,AP1G1,0.6,0.4136,0.3116,676,2.0165065571170047e-96,2.637590576709042e-94,1
SEC31A,SEC16A,0.8,0.4121,0.2933,676,4.262932213165643e-47,1.1151830669641321e-45,1
COPB2,TMED10,1.0,0.4059,-0.0054,676,3.3314307190585217e-28,3.890635161186202e-27,1
SEC31A,SEC23A,0.8,0.4001,0.2482,676,4.647598835445311e-44,1.048113668407322e-42,1
COPA,COPZ1,1.0,0.3999,0.1166,676,2.3726250283247482e-27,2.6299945229226866e-26,1
COPA,COPG2,1.0,0.3963,0.61,676,7.506950483929729e-27,7.918621962080714e-26,1
COPB1,COPG2,1.0,0.3935,0.4399,676,1.8435318654337608e-26,1.8838591249901244e-25,1
SEC23A,SEC24A,1.0,0.3922,0.3301,676,2.775401090665442e-26,2.792480481992614e-25,1
COPE,COPG1,1.0,0.3879,0.0455,676,1.0671977050334795e-25,9.970675701312794e-25,1
SYK,PLCG2,1.0,0.3795,0.4479,664,3.607162416617052e-24,2.842270145141629e-23,1
AP2B1,AP3B2,0.6,0.3736,-0.009,676,7.693320106296507e-74,3.5938795353699393e-72,1
COPE,TMED9,1.0,0.3705,0.2015,676,2.0129594705336047e-23,1.5307854578243926e-22,1
COPE,TMED10,1.0,0.3633,0.0259,676,1.619986581452847e-22,1.177190249189069e-21,1
COPZ1,TMED10,1.0,0.3601,0.1097,676,4.0128988808137403e-22,2.883995459398007e-21,1
AP3B2,AP1G1,0.6,0.355,0.1455,676,4.616322627027258e-65,1.7759264694563688e-63,1
MFN2,VDAC1,0.6,0.3541,0.9207,676,1.1111178256295225e-64,4.0370614331205984e-63,1
COPA,TMED9,1.0,0.3531,0.2964,676,2.7905581567941225e-21,1.8250250345433563e-20,1
VDAC1,HSPA9,0.8,0.35,0.0857,676,5.596052616965361e-33,8.511205608128712e-32,1
SEC23A,SAR1A,1.0,0.3311,0.1215,676,9.213554215385348e-19,5.194538324881049e-18,1
SEC23A,SEC16A,0.8,0.3295,0.2476,676,4.6003453673750235e-29,5.78581898127551e-28,1
SEC13,SEC16A,0.8,0.329,0.1658,676,5.729015283949337e-29,7.069388671137484e-28,1
PSEN1,NCSTN,1.0,0.3282,0.3095,676,1.9551089573184965e-18,1.0744884521733586e-17,1
