region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
PMI <= 6.83 (lower half)  AND  race = White,2,256,0.66149,0.63352,0.00835,3.3519,0.00498,0.05084,True
PMI <= 6.83 (lower half)  AND  celltype_microglia <= -0.289 (low third),2,139,0.66332,0.62586,0.01125,3.3312,0.00498,0.05084,True
PMI <= 5.17 (low third)  AND  race = White,2,172,0.65883,0.62836,0.00978,3.11595,0.00498,0.05084,True
celltype_neuron <= 0.103 (lower half)  AND  celltype_oligodendrocyte <= -0.11 (lower half),2,162,0.65629,0.62746,0.0103,2.79944,0.00498,0.05084,True
PMI <= 6.83 (lower half)  AND  celltype_astrocyte <= -0.213 (low third),2,108,0.65502,0.62088,0.01248,2.73496,0.00498,0.05084,True
PMI <= 5.17 (low third)  AND  celltype_astrocyte <= 0.0206 (lower half),2,116,0.65367,0.6223,0.01165,2.6924,0.00995,0.07188,True
race = White  AND  sex = female,2,279,0.65557,0.63475,0.0078,2.66861,0.00995,0.07188,True
celltype_neuron <= 0.103 (lower half)  AND  reag = Low Likelihood,2,64,0.65333,0.60994,0.01645,2.63829,0.01493,0.08934,True
PMI <= 6.83 (lower half)  AND  celltype_astrocyte <= 0.0206 (lower half),2,177,0.65464,0.62963,0.00957,2.61379,0.01493,0.08934,True
celltype_neuron <= 0.103 (lower half)  AND  ADoutcome = Control,2,66,0.64706,0.61159,0.01371,2.58675,0.00498,0.05084,True
PMI <= 5.17 (low third)  AND  celltype_microglia <= -0.289 (low third),2,95,0.65486,0.62031,0.01354,2.55053,0.00498,0.05084,True
PMI <= 6.83 (lower half)  AND  celltype_microglia <= -0.0479 (lower half),2,202,0.65503,0.63218,0.00911,2.50853,0.01493,0.08934,True
PMI <= 5.17 (low third)  AND  celltype_astrocyte <= -0.213 (low third),2,71,0.64561,0.61159,0.01371,2.48144,0.00498,0.05084,True
PMI <= 5.17 (low third)  AND  celltype_endothelial -0.298-0.239 (middle third),2,102,0.65354,0.62031,0.01354,2.45368,0.00498,0.05084,True
PMI <= 5.17 (low third)  AND  sex = female,2,160,0.65247,0.62746,0.0103,2.42893,0.00995,0.07188,True
celltype_neuron <= -0.0632 (low third)  AND  celltype_microglia <= -0.0479 (lower half),2,77,0.64963,0.61449,0.01459,2.40859,0.00498,0.05084,True
celltype_neuron <= -0.0632 (low third)  AND  dataContributionGroup = Rush,2,110,0.65062,0.62088,0.01248,2.38236,0.00995,0.07188,True
celltype_neuron <= 0.103 (lower half)  AND  race = White,2,224,0.65451,0.63266,0.00924,2.36599,0.00995,0.07188,True
celltype_neuron <= 0.103 (lower half)  AND  amyAny = 0,2,51,0.64491,0.60492,0.01704,2.34623,0.00995,0.07188,True
