region,depth,n_listed,n_usable,auroc,null_usable,z_fixed,p_fixed,z_orig,q_orig,q_fixed,strong_fixed
PMI <= 6.83 (lower half)  AND  race = White,2,256,236,0.66149,0.63824,3.40999,0.00498,3.3519,0.05084,0.18657,False
PMI <= 6.83 (lower half)  AND  celltype_microglia <= -0.289 (low third),2,139,109,0.66332,0.6269,3.34241,0.00995,3.3312,0.05084,0.19639,False
PMI <= 5.17 (low third)  AND  race = White,2,172,154,0.65883,0.63216,3.30369,0.00498,3.11595,0.05084,0.18657,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_oligodendrocyte <= -0.11 (lower half),2,162,129,0.65629,0.63036,2.66169,0.00498,2.79944,0.05084,0.18657,False
PMI <= 6.83 (lower half)  AND  celltype_astrocyte <= -0.213 (low third),2,108,87,0.65502,0.62506,2.6545,0.00498,2.73496,0.05084,0.18657,False
PMI <= 5.17 (low third)  AND  celltype_astrocyte <= 0.0206 (lower half),2,116,94,0.65367,0.62506,2.53543,0.00498,2.6924,0.07188,0.18657,False
race = White  AND  sex = female,2,279,251,0.65557,0.63837,2.74123,0.00995,2.66861,0.07188,0.19639,False
celltype_neuron <= 0.103 (lower half)  AND  reag = Low Likelihood,2,64,64,0.65333,0.61572,2.49755,0.00995,2.63829,0.08934,0.19639,False
PMI <= 6.83 (lower half)  AND  celltype_astrocyte <= 0.0206 (lower half),2,177,150,0.65464,0.63216,2.7844,0.00498,2.61379,0.08934,0.18657,False
celltype_neuron <= 0.103 (lower half)  AND  ADoutcome = Control,2,66,59,0.64706,0.61572,2.08106,0.02488,2.58675,0.05084,0.22388,False
PMI <= 5.17 (low third)  AND  celltype_microglia <= -0.289 (low third),2,95,71,0.65486,0.61761,2.79297,0.00498,2.55053,0.05084,0.18657,False
PMI <= 6.83 (lower half)  AND  celltype_microglia <= -0.0479 (lower half),2,202,167,0.65503,0.63459,2.31673,0.02488,2.50853,0.08934,0.22388,False
PMI <= 5.17 (low third)  AND  celltype_astrocyte <= -0.213 (low third),2,71,55,0.64561,0.61572,1.98518,0.02985,2.48144,0.05084,0.22388,False
PMI <= 5.17 (low third)  AND  celltype_endothelial -0.298-0.239 (middle third),2,102,84,0.65354,0.62296,2.51934,0.00995,2.45368,0.05084,0.19639,False
PMI <= 5.17 (low third)  AND  sex = female,2,160,136,0.65247,0.63143,2.061,0.00498,2.42893,0.07188,0.18657,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_microglia <= -0.0479 (lower half),2,77,45,0.64963,0.60846,2.67322,0.00995,2.40859,0.05084,0.19639,False
celltype_neuron <= -0.0632 (low third)  AND  dataContributionGroup = Rush,2,110,110,0.65062,0.6269,2.17641,0.01493,2.38236,0.07188,0.22388,False
celltype_neuron <= 0.103 (lower half)  AND  race = White,2,224,198,0.65451,0.63573,2.45534,0.00995,2.36599,0.07188,0.19639,False
celltype_neuron <= 0.103 (lower half)  AND  amyAny = 0,2,51,51,0.64491,0.61153,2.29854,0.02488,2.34623,0.07188,0.22388,False
celltype_neuron <= 0.103 (lower half)  AND  amyCerad = None/No AD/C0,2,51,51,0.64491,0.61153,2.29854,0.02488,2.34623,0.07188,0.22388,False
PMI <= 5.17 (low third)  AND  isHispanic = FALSE,2,228,201,0.65357,0.63573,2.33216,0.0199,2.29604,0.08934,0.22388,False
celltype_neuron <= 0.103 (lower half),1,482,332,0.65168,0.64052,2.04385,0.01493,2.22365,0.10971,0.22388,False
PMI <= 6.83 (lower half),1,409,345,0.65128,0.64065,2.09468,0.00995,2.19679,0.07188,0.19639,False
PMI <= 5.17 (low third)  AND  bScore = Braak Stage III-IV,2,99,90,0.65,0.62506,2.21002,0.00995,2.19214,0.07188,0.19639,False
race = White  AND  celltype_oligodendrocyte -0.482-0.323 (middle third),2,175,156,0.65059,0.63437,1.94085,0.02488,2.19079,0.13029,0.22388,False
PMI <= 5.17 (low third),1,274,220,0.65261,0.63689,2.14824,0.02985,2.19027,0.14053,0.22388,False
PMI <= 5.17 (low third)  AND  derivedOutcomeBasedOnMayoDx = FALSE,2,220,220,0.65261,0.63689,2.14824,0.02985,2.16045,0.08934,0.22388,False
race = White  AND  celltype_microglia <= -0.289 (low third),2,156,127,0.64964,0.63036,1.97973,0.01493,2.1542,0.07188,0.22388,False
PMI <= 6.83 (lower half)  AND  amyCerad = None/No AD/C0,2,68,68,0.64103,0.61761,1.75636,0.04975,2.14732,0.07188,0.26277,False
PMI <= 6.83 (lower half)  AND  amyAny = 0,2,68,68,0.64103,0.61761,1.75636,0.04975,2.14732,0.07188,0.26277,False
celltype_neuron <= 0.103 (lower half)  AND  apoeGenotype = 33,2,206,139,0.65207,0.63143,2.02135,0.00498,2.14577,0.10971,0.18657,False
PMI <= 6.83 (lower half)  AND  sex = female,2,244,214,0.65019,0.63708,1.65904,0.0398,2.14548,0.10971,0.25297,False
PMI <= 5.17 (low third)  AND  reag = Intermediate Likelihood,2,82,82,0.6457,0.62296,1.87287,0.03483,2.13874,0.07188,0.24641,False
PMI <= 6.83 (lower half)  AND  apoeGenotype = 34,2,120,98,0.64715,0.62688,1.67657,0.0597,2.13276,0.1489,0.26652,False
