step,variable,adjusted_for,auroc,null_mean,gain_vs_current,z_vs_shuffled,n_subjects,kind
1,dataContributionGroup,dataContributionGroup,0.57721,0.57673,0.00048,2.01,964,technical
1,cohort,cohort,0.57943,0.57671,0.00271,7.37,964,technical
1,sex,sex,0.57656,0.57668,-0.00016,-0.98,964,clinical/pathology
1,race,race,0.57671,0.57662,-1e-05,0.43,961,clinical/pathology
1,isHispanic,isHispanic,0.577,0.57661,0.00027,5.08,963,clinical/pathology
1,ageDeath,ageDeath,0.57643,0.57669,-0.00029,-1.6,963,clinical/pathology
1,PMI,PMI,0.58107,0.58108,0.00434,-0.15,818,technical
1,apoeGenotype,apoeGenotype,0.57572,0.57562,-0.001,0.84,895,clinical/pathology
1,amyThal,amyThal,0.56861,0.56788,-0.00811,2.38,391,clinical/pathology
1,amyA,amyA,0.56846,0.5679,-0.00826,2.41,398,clinical/pathology
1,amyCerad,amyCerad,0.59354,0.59054,0.01682,14.85,676,clinical/pathology
1,Braak,Braak,0.58085,0.57758,0.00413,12.41,908,clinical/pathology
1,mayoDx,mayoDx,0.55923,0.55725,-0.01749,5.58,285,clinical/pathology
1,amyAny,amyAny,0.59342,0.59059,0.0167,17.49,676,clinical/pathology
1,bScore,bScore,0.58039,0.57772,0.00367,18.26,908,clinical/pathology
1,reag,reag,0.59442,0.5906,0.0177,12.36,676,clinical/pathology
1,ADoutcome,ADoutcome,0.57937,0.5767,0.00265,17.54,961,clinical/pathology
1,derivedOutcomeBasedOnMayoDx,derivedOutcomeBasedOnMayoDx,0.57651,0.57668,-0.00021,-1.24,964,clinical/pathology
1,celltype_neuron,celltype_neuron,0.57676,0.57672,4e-05,0.33,964,proteome-derived
1,celltype_astrocyte,celltype_astrocyte,0.57863,0.5767,0.00191,35.58,964,proteome-derived
1,celltype_microglia,celltype_microglia,0.57231,0.57678,-0.00442,-54.23,964,proteome-derived
1,celltype_oligodendrocyte,celltype_oligodendrocyte,0.60007,0.57669,0.02335,174.1,964,proteome-derived
1,celltype_endothelial,celltype_endothelial,0.57763,0.57673,0.00091,5.41,964,proteome-derived
1,proteomePC1,proteomePC1,0.59544,0.57671,0.01871,162.11,964,proteome-derived
1,proteomePC2,proteomePC2,0.58112,0.57679,0.00439,95.95,964,proteome-derived
1,proteomePC3,proteomePC3,0.5726,0.57678,-0.00412,-33.92,964,proteome-derived
1,proteomePC4,proteomePC4,0.57596,0.57674,-0.00076,-7.88,964,proteome-derived
1,proteomePC5,proteomePC5,0.57559,0.57669,-0.00113,-16.52,964,proteome-derived
1,proteomePC6,proteomePC6,0.57919,0.57675,0.00246,16.08,964,proteome-derived
1,proteomePC7,proteomePC7,0.57541,0.57668,-0.00131,-9.67,964,proteome-derived
1,proteomePC8,proteomePC8,0.57598,0.5767,-0.00075,-5.72,964,proteome-derived
1,proteomePC9,proteomePC9,0.57631,0.57678,-0.00041,-5.2,964,proteome-derived
1,proteomePC10,proteomePC10,0.57775,0.57676,0.00103,11.4,964,proteome-derived
2,dataContributionGroup,celltype_oligodendrocyte + dataContributionGroup,0.60072,0.60027,0.00064,2.85,964,technical
2,cohort,celltype_oligodendrocyte + cohort,0.60269,0.60023,0.00261,5.47,964,technical
2,sex,celltype_oligodendrocyte + sex,0.59998,0.60007,-0.0001,-0.61,964,clinical/pathology
2,race,celltype_oligodendrocyte + race,0.60131,0.59997,0.00124,5.38,961,clinical/pathology
