source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
AP2A1,AP2B1,1.0,0.7317,0.5775,400,2.9985237199537814e-68,1.961034512849773e-65,1
COPB1,COPG1,1.0,0.6281,0.4257,400,2.784119549082915e-45,6.069380617000755e-43,1
COPB1,COPE,1.0,0.5092,0.5909,400,8.95065433228975e-28,9.756213222195828e-26,1
SEC24C,SEC23A,1.0,0.5014,0.5325,400,7.569965564383177e-27,6.188446848883247e-25,1
COPB2,COPB1,1.0,0.4935,0.4956,400,6.147554371305291e-26,4.4672228431485116e-24,1
COPZ1,COPB1,1.0,0.4731,0.2813,400,1.0626999467365373e-23,5.791714709714128e-22,1
COPB2,COPE,1.0,0.4676,0.5579,400,4.0397581277913724e-23,2.032309088904275e-21,1
COPE,COPG1,1.0,0.4545,0.0755,400,8.82799186715278e-22,4.123933343655656e-20,1
SEC31A,SEC13,1.0,0.4368,0.3277,400,4.6038071437097925e-20,1.8818061699913777e-18,1
COPB2,COPG1,1.0,0.4134,0.3334,400,6.103766552423256e-18,1.995931662642405e-16,1
TMED10,TMED9,0.8,0.4037,0.5392,400,3.1817959121566995e-27,2.972706466500688e-25,1
COPB1,TMED10,1.0,0.3983,0.6316,400,1.1636100889611666e-16,3.459095446275468e-15,1
TMED10,TMED2,1.0,0.3896,0.542,400,6.037022451140035e-16,1.6450886179356596e-14,1
COPB2,TMED10,1.0,0.3834,0.244,400,1.876950027935363e-15,4.9101012730789094e-14,1
COPG1,COPA,1.0,0.3715,0.2016,400,1.536993238395124e-14,3.7229391774459676e-13,1
COPZ1,TMED10,1.0,0.3565,0.0699,400,1.970997824125872e-13,4.444939920614897e-12,1
COPZ1,COPE,1.0,0.3549,0.1813,400,2.5577842936231725e-13,5.575969760098516e-12,1
COPZ1,COPB2,1.0,0.341,0.1863,400,2.389704886307152e-12,4.3412972101246595e-11,1
COPB1,COPA,1.0,0.3401,0.1062,400,2.744628421590363e-12,4.85131618302729e-11,1
AP2A1,AP1G1,0.6,0.3275,0.5574,400,1.9777139722400983e-32,3.2335623446125606e-30,1
HSPA5,HSPA9,0.8,0.3263,0.4301,400,1.82617600432727e-17,5.687233842047784e-16,1
COPZ1,COPG1,1.0,0.3192,0.0112,400,6.350681818797485e-11,1.0383364773733889e-09,1
VPS35,VPS29,1.0,0.3186,0.1995,400,6.918005021901401e-11,1.0772322105532181e-09,1
COPB2,TMED2,1.0,0.3098,0.4738,400,2.4041514885606054e-10,3.573443348905991e-09,1
HSPA5,TMED10,0.8,0.3047,0.1749,400,2.920593526886476e-15,7.346416025322135e-14,1
PICALM,AP2B1,1.0,0.2976,0.007,400,1.2724982887260895e-09,1.770667831546516e-08,1
AP2A1,PICALM,1.0,0.2951,0.0595,400,1.767835896514727e-09,2.382849452894872e-08,1
SEC24C,SEC31A,0.6,0.288,0.3402,400,1.9294323811299184e-24,1.2618487772589668e-22,1
COPE,TMED10,1.0,0.2823,0.035,400,9.148297930592523e-09,1.1068829339404777e-07,1
SEC31A,SEC23A,0.8,0.2822,0.0759,400,3.6288042678844835e-13,7.416368722488913e-12,1
COPB2,TMED9,1.0,0.273,0.1459,400,2.8614841585661368e-08,3.1080531157195826e-07,1
COPB1,COPG2,1.0,0.2728,-0.0673,400,2.9464723727005216e-08,3.1080531157195826e-07,1
COPB2,COPG2,1.0,0.2636,0.1295,400,8.810015817628053e-08,8.59962738019216e-07,1
EIF2S1,HSPA5,0.6,0.2598,0.6119,400,1.0311051833913645e-19,3.966722293752661e-18,1
HSPA9,MFN2,0.6,0.2559,0.3123,400,4.187680240879024e-19,1.4414436197552012e-17,1
COPE,COPG2,1.0,0.251,0.2421,400,3.642799783108997e-07,3.0543475104529283e-06,1
PLCG2,SYK,0.6,0.2461,0.3042,288,4.101789920076412e-13,8.12900184160598e-12,1
COPA,COPG2,1.0,0.2446,0.5225,400,7.31470606789796e-07,5.763635865548513e-06,1
EIF2S1,BACE1,0.8,0.236,-0.1563,400,1.7853153393249043e-09,2.382849452894872e-08,1
COPB2,COPA,1.0,0.2206,0.0585,400,8.48470198488138e-06,5.548995098112423e-05,1
SEC13,SEC24C,0.6,0.2126,0.3006,400,2.809468235648385e-13,5.9270716971420775e-12,1
AP4E1,AP4M1,1.0,0.2091,0.1467,216,0.002007680142360695,0.007418207983637821,1
COPB1,TMED2,1.0,0.2087,-0.0427,400,2.5785740658285877e-05,0.0001590931546275374,1
COPG1,TMED10,1.0,0.2055,-0.4913,400,3.455506315157219e-05,0.0002035946964065605,1
AP2B1,AP1G1,0.4,0.2051,-0.0028,400,3.400179659550385e-28,4.447434994691904e-26,1
SEC13,SEC23A,0.8,0.204,0.0892,400,2.3586402886072314e-07,2.113083217464561e-06,1
SEC24B,SEC23A,1.0,0.2017,0.3442,400,4.857332787881077e-05,0.00026694921372052304,1
VPS26A,VPS29,1.0,0.1919,0.2724,400,0.00011253995936060624,0.0005705514218747014,1
