region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_neuron > 0.0321 (upper half)  AND  celltype_endothelial <= -0.043 (lower half),2,124,0.63251,0.60413,0.01094,2.59419,0.00498,0.26427,False
celltype_neuron > 0.0321 (upper half)  AND  pmi 5.67-7.61 (middle third),2,69,0.62444,0.59085,0.01304,2.5769,0.01493,0.26427,False
celltype_neuron > 0.0321 (upper half)  AND  cts_mmse30_lv <= 26 (lower half),2,111,0.63088,0.60227,0.01113,2.57085,0.00498,0.26427,False
celltype_astrocyte > 0.235 (high third)  AND  ceradsc = 2,2,49,0.62338,0.58435,0.01562,2.498,0.00995,0.26427,False
cts_mmse30_lv <= 26 (lower half)  AND  educ <= 14 (low third),2,85,0.6299,0.59548,0.01378,2.49734,0.01493,0.26427,False
celltype_neuron > 0.0321 (upper half)  AND  pmi > 6.5 (upper half),2,99,0.62603,0.599,0.01092,2.47527,0.00995,0.26427,False
apoe_genotype = 23  AND  educ <= 16 (lower half),2,40,0.61774,0.57936,0.01553,2.47176,0.00498,0.26427,False
celltype_astrocyte > 0.235 (high third)  AND  educ <= 16 (lower half),2,76,0.62911,0.59548,0.01378,2.4397,0.01493,0.26427,False
celltype_neuron > 0.0321 (upper half),1,200,0.63131,0.61266,0.0079,2.35979,0.00995,0.26427,False
cts_mmse30_lv <= 26 (lower half)  AND  ceradsc = 2,2,84,0.62786,0.59548,0.01378,2.34894,0.01493,0.26427,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_microglia > -0.077 (upper half),2,80,0.62741,0.59548,0.01378,2.3166,0.02985,0.26427,False
celltype_neuron > 0.0321 (upper half)  AND  educ <= 16 (lower half),2,123,0.62909,0.60413,0.01094,2.28199,0.00995,0.26427,False
cts_mmse30_lv <= 26 (lower half)  AND  cogdx = 2,2,53,0.61985,0.58435,0.01562,2.27246,0.0199,0.26427,False
apoe_genotype = 23,1,57,0.62088,0.58907,0.01434,2.21857,0.02488,0.26427,False
celltype_neuron > 0.0321 (upper half)  AND  braaksc <= 4 (lower half),2,171,0.6311,0.61085,0.00916,2.21134,0.02985,0.26427,False
celltype_neuron > 0.194 (high third)  AND  age_at_visit_max <= 85.7 (low third),2,51,0.61888,0.58435,0.01562,2.20998,0.0199,0.26427,False
celltype_neuron > 0.0321 (upper half)  AND  cogdx = 2,2,43,0.61325,0.57936,0.01553,2.18244,0.0199,0.26427,False
celltype_neuron > 0.0321 (upper half)  AND  msex = 1,2,70,0.61907,0.59085,0.01304,2.16489,0.02488,0.26427,False
celltype_neuron > 0.194 (high third)  AND  age_death <= 89.4 (lower half),2,69,0.619,0.59085,0.01304,2.15943,0.02985,0.26427,False
apoe_genotype = 23  AND  braaksc <= 4 (lower half),2,54,0.61807,0.58435,0.01562,2.1581,0.0199,0.26427,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_oligodendrocyte > -0.127 (upper half),2,59,0.61969,0.58907,0.01434,2.13593,0.02488,0.26427,False
celltype_neuron > 0.194 (high third)  AND  braaksc <= 4 (lower half),2,116,0.62746,0.60413,0.01094,2.13309,0.01493,0.26427,False
cts_mmse30_lv <= 26 (lower half)  AND  age_at_visit_max > 88.9 (upper half),2,131,0.62814,0.60656,0.01017,2.12293,0.01493,0.26427,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_neuron > 0.194 (high third),2,71,0.61836,0.59085,0.01304,2.10973,0.02985,0.26427,False
celltype_neuron > 0.194 (high third)  AND  celltype_microglia > -0.077 (upper half),2,54,0.61714,0.58435,0.01562,2.09868,0.02488,0.26427,False
celltype_neuron > 0.0321 (upper half)  AND  braaksc <= 3 (low third),2,105,0.62182,0.599,0.01092,2.08961,0.02488,0.26427,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_astrocyte > 0.235 (high third),2,80,0.62405,0.59548,0.01378,2.0729,0.03483,0.26427,False
celltype_astrocyte > 0.235 (high third)  AND  educ <= 14 (low third),2,52,0.61667,0.58435,0.01562,2.06899,0.02488,0.26427,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_astrocyte > 0.0643 (upper half),2,115,0.62587,0.60413,0.01094,1.98716,0.01493,0.26427,False
celltype_neuron > 0.0321 (upper half)  AND  cts_mmse30_lv 23-28 (middle third),2,90,0.61965,0.59593,0.01201,1.97404,0.03483,0.26427,False
cts_mmse30_lv <= 26 (lower half),1,210,0.62771,0.61323,0.0074,1.95722,0.04478,0.26427,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_endothelial <= -0.263 (low third),2,87,0.61936,0.59593,0.01201,1.95016,0.03483,0.26427,False
celltype_neuron > 0.194 (high third)  AND  age_at_visit_max <= 88.9 (lower half),2,69,0.61597,0.59085,0.01304,1.92658,0.04478,0.26427,False
apoe_genotype = 23  AND  msex = 0,2,45,0.60927,0.57936,0.01553,1.9261,0.0398,0.26427,False
cts_mmse30_lv <= 26 (lower half)  AND  educ <= 16 (lower half),2,124,0.62483,0.60413,0.01094,1.89215,0.02488,0.26427,False
cts_mmse30_lv <= 26 (lower half)  AND  braaksc <= 4 (lower half),2,148,0.6264,0.60722,0.01018,1.88428,0.02488,0.26427,False
cts_mmse30_lv <= 26 (lower half)  AND  age_death > 89.4 (upper half),2,128,0.62569,0.60656,0.01017,1.88221,0.01493,0.26427,False
celltype_neuron > 0.194 (high third)  AND  braaksc <= 3 (low third),2,69,0.61505,0.59085,0.01304,1.85587,0.04478,0.26427,False
celltype_neuron > 0.0321 (upper half)  AND  ceradsc = 2,2,69,0.61488,0.59085,0.01304,1.84297,0.04478,0.26427,False
celltype_neuron > 0.194 (high third),1,133,0.62526,0.60656,0.01017,1.8395,0.01493,0.26427,False
celltype_neuron > 0.194 (high third)  AND  celltype_astrocyte > 0.235 (high third),2,45,0.60736,0.57936,0.01553,1.80356,0.0398,0.26427,False
celltype_neuron > 0.194 (high third)  AND  pmi > 7.61 (high third),2,42,0.60711,0.57936,0.01553,1.78699,0.0398,0.26427,False
celltype_neuron > 0.194 (high third)  AND  celltype_endothelial <= -0.043 (lower half),2,87,0.61732,0.59593,0.01201,1.78024,0.0398,0.26427,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_oligodendrocyte <= -0.127 (lower half),2,102,0.6183,0.599,0.01092,1.76668,0.0398,0.26427,False
celltype_neuron > 0.0321 (upper half)  AND  cogdx = 1,2,90,0.6171,0.59593,0.01201,1.76193,0.04478,0.26427,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_oligodendrocyte -0.371-0.164 (middle third),2,69,0.61365,0.59085,0.01304,1.74865,0.04975,0.27227,False
celltype_neuron > 0.194 (high third)  AND  celltype_oligodendrocyte > 0.164 (high third),2,40,0.6062,0.57936,0.01553,1.72867,0.04975,0.27227,False
celltype_neuron > 0.0321 (upper half)  AND  apoe_genotype = 33,2,134,0.62413,0.60656,0.01017,1.72807,0.02985,0.26427,False
celltype_neuron > 0.0321 (upper half)  AND  dcfdx_lv = 1,2,93,0.61669,0.59593,0.01201,1.72761,0.04478,0.26427,False
cts_mmse30_lv <= 26 (lower half)  AND  age_at_visit_max 85.7-90 (middle third),2,163,0.62589,0.61023,0.00913,1.71487,0.03483,0.26427,False
celltype_neuron > 0.194 (high third)  AND  celltype_oligodendrocyte -0.371-0.164 (middle third),2,51,0.61087,0.58435,0.01562,1.6974,0.06965,0.29528,False
celltype_neuron > 0.194 (high third)  AND  age_death <= 86.8 (low third),2,53,0.61044,0.58435,0.01562,1.66982,0.06965,0.29528,False
