region,depth,n_listed,n_usable,auroc,null_usable,z_fixed,p_fixed,z_orig,q_orig,q_fixed,strong_fixed
celltype_neuron > 0.0321 (upper half)  AND  celltype_endothelial <= -0.043 (lower half),2,124,124,0.63251,0.60325,2.7529,0.00498,2.59419,0.26427,0.12479,False
celltype_neuron > 0.0321 (upper half)  AND  pmi 5.67-7.61 (middle third),2,69,69,0.62444,0.59122,2.59477,0.00995,2.5769,0.26427,0.15763,False
celltype_neuron > 0.0321 (upper half)  AND  cts_mmse30_lv <= 26 (lower half),2,111,111,0.63088,0.60192,2.62664,0.00498,2.57085,0.26427,0.12479,False
celltype_astrocyte > 0.235 (high third)  AND  ceradsc = 2,2,49,49,0.62338,0.58189,2.76174,0.00498,2.498,0.26427,0.12479,False
cts_mmse30_lv <= 26 (lower half)  AND  educ <= 14 (low third),2,85,85,0.6299,0.59397,2.877,0.00498,2.49734,0.26427,0.12479,False
celltype_neuron > 0.0321 (upper half)  AND  pmi > 6.5 (upper half),2,99,99,0.62603,0.60014,2.24467,0.02488,2.47527,0.26427,0.21393,False
apoe_genotype = 23  AND  educ <= 16 (lower half),2,40,40,0.61774,0.57807,2.60142,0.00995,2.47176,0.26427,0.15763,False
celltype_astrocyte > 0.235 (high third)  AND  educ <= 16 (lower half),2,76,76,0.62911,0.59397,2.81338,0.00498,2.4397,0.26427,0.12479,False
celltype_neuron > 0.0321 (upper half),1,200,200,0.63131,0.61347,2.42157,0.01493,2.35979,0.26427,0.18719,False
cts_mmse30_lv <= 26 (lower half)  AND  ceradsc = 2,2,84,84,0.62786,0.59397,2.71322,0.00498,2.34894,0.26427,0.12479,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_microglia > -0.077 (upper half),2,80,80,0.62741,0.59397,2.67753,0.00498,2.3166,0.26427,0.12479,False
celltype_neuron > 0.0321 (upper half)  AND  educ <= 16 (lower half),2,123,123,0.62909,0.60325,2.43158,0.00498,2.28199,0.26427,0.12479,False
cts_mmse30_lv <= 26 (lower half)  AND  cogdx = 2,2,53,53,0.61985,0.58189,2.52719,0.00498,2.27246,0.26427,0.12479,False
apoe_genotype = 23,1,57,57,0.62088,0.58775,2.36018,0.01493,2.21857,0.26427,0.18719,False
celltype_neuron > 0.0321 (upper half)  AND  braaksc <= 4 (lower half),2,171,171,0.6311,0.60942,2.63961,0.00995,2.21134,0.26427,0.15763,False
celltype_neuron > 0.194 (high third)  AND  age_at_visit_max <= 85.7 (low third),2,51,51,0.61888,0.58189,2.46221,0.00498,2.20998,0.26427,0.12479,False
celltype_neuron > 0.0321 (upper half)  AND  cogdx = 2,2,43,43,0.61325,0.57807,2.30682,0.00995,2.18244,0.26427,0.15763,False
celltype_neuron > 0.0321 (upper half)  AND  msex = 1,2,70,70,0.61907,0.59122,2.17535,0.01493,2.16489,0.26427,0.18719,False
celltype_neuron > 0.194 (high third)  AND  age_death <= 89.4 (lower half),2,69,69,0.619,0.59122,2.16979,0.01493,2.15943,0.26427,0.18719,False
apoe_genotype = 23  AND  braaksc <= 4 (lower half),2,54,54,0.61807,0.58189,2.40825,0.00498,2.1581,0.26427,0.12479,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_oligodendrocyte > -0.127 (upper half),2,59,59,0.61969,0.58775,2.2758,0.02488,2.13593,0.26427,0.21393,False
celltype_neuron > 0.194 (high third)  AND  braaksc <= 4 (lower half),2,116,116,0.62746,0.60325,2.27835,0.00995,2.13309,0.26427,0.15763,False
cts_mmse30_lv <= 26 (lower half)  AND  age_at_visit_max > 88.9 (upper half),2,131,131,0.62814,0.60576,2.08185,0.02488,2.12293,0.26427,0.21393,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_neuron > 0.194 (high third),2,71,71,0.61836,0.59122,2.1192,0.01493,2.10973,0.26427,0.18719,False
celltype_neuron > 0.194 (high third)  AND  celltype_microglia > -0.077 (upper half),2,54,54,0.61714,0.58189,2.34646,0.00995,2.09868,0.26427,0.15763,False
celltype_neuron > 0.0321 (upper half)  AND  braaksc <= 3 (low third),2,105,105,0.62182,0.60014,1.87961,0.0398,2.08961,0.26427,0.22604,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_astrocyte > 0.235 (high third),2,80,80,0.62405,0.59397,2.40857,0.00498,2.0729,0.26427,0.12479,False
celltype_astrocyte > 0.235 (high third)  AND  educ <= 14 (low third),2,52,52,0.61667,0.58189,2.31558,0.00995,2.06899,0.26427,0.15763,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_astrocyte > 0.0643 (upper half),2,115,115,0.62587,0.60325,2.12815,0.0199,1.98716,0.26427,0.21393,False
celltype_neuron > 0.0321 (upper half)  AND  cts_mmse30_lv 23-28 (middle third),2,90,90,0.61965,0.59797,1.97487,0.02985,1.97404,0.26427,0.21839,False
cts_mmse30_lv <= 26 (lower half),1,210,210,0.62771,0.61394,1.857,0.02985,1.95722,0.26427,0.21839,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_endothelial <= -0.263 (low third),2,87,87,0.61936,0.59797,1.94874,0.02985,1.95016,0.26427,0.21839,False
celltype_neuron > 0.194 (high third)  AND  age_at_visit_max <= 88.9 (lower half),2,69,69,0.61597,0.59122,1.93275,0.02488,1.92658,0.26427,0.21393,False
apoe_genotype = 23  AND  msex = 0,2,45,45,0.60927,0.57807,2.0458,0.0199,1.9261,0.26427,0.21393,False
cts_mmse30_lv <= 26 (lower half)  AND  educ <= 16 (lower half),2,124,124,0.62483,0.60325,2.03038,0.0199,1.89215,0.26427,0.21393,False
cts_mmse30_lv <= 26 (lower half)  AND  braaksc <= 4 (lower half),2,148,148,0.6264,0.60705,2.06233,0.02488,1.88428,0.26427,0.21393,False
cts_mmse30_lv <= 26 (lower half)  AND  age_death > 89.4 (upper half),2,128,128,0.62569,0.60576,1.85426,0.03483,1.88221,0.26427,0.21839,False
celltype_neuron > 0.194 (high third)  AND  braaksc <= 3 (low third),2,69,69,0.61505,0.59122,1.86077,0.02488,1.85587,0.26427,0.21393,False
celltype_neuron > 0.0321 (upper half)  AND  ceradsc = 2,2,69,69,0.61488,0.59122,1.84764,0.02488,1.84297,0.26427,0.21393,False
celltype_neuron > 0.194 (high third),1,133,133,0.62526,0.60576,1.81388,0.0398,1.8395,0.26427,0.22604,False
celltype_neuron > 0.194 (high third)  AND  celltype_astrocyte > 0.235 (high third),2,45,45,0.60736,0.57807,1.92103,0.03483,1.80356,0.26427,0.21839,False
celltype_neuron > 0.194 (high third)  AND  pmi > 7.61 (high third),2,42,42,0.60711,0.57807,1.90416,0.03483,1.78699,0.26427,0.21839,False
celltype_neuron > 0.194 (high third)  AND  celltype_endothelial <= -0.043 (lower half),2,87,87,0.61732,0.59797,1.76277,0.03483,1.78024,0.26427,0.21839,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_oligodendrocyte <= -0.127 (lower half),2,102,102,0.6183,0.60014,1.57393,0.0597,1.76668,0.26427,0.25672,False
celltype_neuron > 0.0321 (upper half)  AND  cogdx = 1,2,90,90,0.6171,0.59797,1.74273,0.03483,1.76193,0.26427,0.21839,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_oligodendrocyte -0.371-0.164 (middle third),2,69,69,0.61365,0.59122,1.75163,0.03483,1.74865,0.27227,0.21839,False
celltype_neuron > 0.194 (high third)  AND  celltype_oligodendrocyte > 0.164 (high third),2,40,40,0.6062,0.57807,1.84478,0.04478,1.72867,0.27227,0.23645,False
celltype_neuron > 0.0321 (upper half)  AND  apoe_genotype = 33,2,134,134,0.62413,0.60576,1.70853,0.04975,1.72807,0.26427,0.24153,False
celltype_neuron > 0.0321 (upper half)  AND  dcfdx_lv = 1,2,93,93,0.61669,0.59797,1.70518,0.04975,1.72761,0.26427,0.24153,False
cts_mmse30_lv <= 26 (lower half)  AND  age_at_visit_max 85.7-90 (middle third),2,163,163,0.62589,0.60963,1.6809,0.05473,1.71487,0.26427,0.24959,False
celltype_neuron > 0.194 (high third)  AND  celltype_oligodendrocyte -0.371-0.164 (middle third),2,51,51,0.61087,0.58189,1.92914,0.02488,1.6974,0.29528,0.21393,False
celltype_neuron > 0.194 (high third)  AND  age_death <= 86.8 (low third),2,53,53,0.61044,0.58189,1.90046,0.03483,1.66982,0.29528,0.21839,False
