step,variable,adjusted_for,auroc,null_mean,gain_vs_current,z_vs_shuffled,n_subjects,kind
1,Study,Study,0.59222,0.59263,-0.00043,-0.83,400,technical
1,msex,msex,0.59323,0.59291,0.00059,0.44,400,clinical/pathology
1,educ,educ,0.59258,0.59262,-6e-05,-0.07,400,clinical/pathology
1,apoe_genotype,apoe_genotype,0.59406,0.59276,0.00142,1.73,400,clinical/pathology
1,age_at_visit_max,age_at_visit_max,0.59139,0.5926,-0.00125,-2.24,400,clinical/pathology
1,age_first_ad_dx,age_first_ad_dx,0.57083,0.57316,-0.02182,-2.41,132,clinical/pathology
1,age_death,age_death,0.59087,0.5924,-0.00177,-3.3,400,clinical/pathology
1,cts_mmse30_first_ad_dx,cts_mmse30_first_ad_dx,0.57444,0.5728,-0.0182,0.98,126,clinical/pathology
1,cts_mmse30_lv,cts_mmse30_lv,0.59283,0.59244,0.00018,0.6,400,clinical/pathology
1,pmi,pmi,0.59334,0.59237,0.00069,2.13,398,technical
1,braaksc,braaksc,0.59219,0.59261,-0.00046,-0.8,400,clinical/pathology
1,ceradsc,ceradsc,0.59163,0.59274,-0.00101,-2.04,400,clinical/pathology
1,cogdx,cogdx,0.59152,0.59228,-0.00113,-1.33,400,clinical/pathology
1,dcfdx_lv,dcfdx_lv,0.59108,0.59279,-0.00157,-3.39,400,clinical/pathology
1,celltype_neuron,celltype_neuron,0.59609,0.59276,0.00344,10.18,400,proteome-derived
1,celltype_astrocyte,celltype_astrocyte,0.59248,0.59261,-0.00017,-0.47,400,proteome-derived
1,celltype_microglia,celltype_microglia,0.59334,0.59264,0.0007,0.82,400,proteome-derived
1,celltype_oligodendrocyte,celltype_oligodendrocyte,0.59688,0.59283,0.00423,8.53,400,proteome-derived
1,celltype_endothelial,celltype_endothelial,0.59058,0.59242,-0.00206,-3.55,400,proteome-derived
1,proteomePC1,proteomePC1,0.58559,0.59267,-0.00706,-14.06,400,proteome-derived
1,proteomePC2,proteomePC2,0.59874,0.59254,0.00609,10.32,400,proteome-derived
1,proteomePC3,proteomePC3,0.58626,0.59319,-0.00638,-9.88,400,proteome-derived
1,proteomePC4,proteomePC4,0.57963,0.5927,-0.01302,-17.78,400,proteome-derived
1,proteomePC5,proteomePC5,0.592,0.59259,-0.00065,-0.98,400,proteome-derived
1,proteomePC6,proteomePC6,0.59891,0.59265,0.00627,13.13,400,proteome-derived
1,proteomePC7,proteomePC7,0.59505,0.59234,0.0024,2.51,400,proteome-derived
1,proteomePC8,proteomePC8,0.59622,0.59259,0.00358,8.35,400,proteome-derived
1,proteomePC9,proteomePC9,0.5915,0.59274,-0.00115,-2.69,400,proteome-derived
1,proteomePC10,proteomePC10,0.5924,0.5928,-0.00025,-0.93,400,proteome-derived
2,Study,proteomePC6 + Study,0.59834,0.59886,-0.00057,-0.95,400,technical
2,msex,proteomePC6 + msex,0.59913,0.59872,0.00022,1.38,400,clinical/pathology
2,educ,proteomePC6 + educ,0.5986,0.59904,-0.00031,-0.93,400,clinical/pathology
2,apoe_genotype,proteomePC6 + apoe_genotype,0.59967,0.59917,0.00075,0.85,400,clinical/pathology
2,age_at_visit_max,proteomePC6 + age_at_visit_max,0.59757,0.59897,-0.00135,-4.33,400,clinical/pathology
2,age_first_ad_dx,proteomePC6 + age_first_ad_dx,0.57805,0.58062,-0.02087,-1.92,132,clinical/pathology
2,age_death,proteomePC6 + age_death,0.59696,0.59856,-0.00195,-3.15,400,clinical/pathology
2,cts_mmse30_first_ad_dx,proteomePC6 + cts_mmse30_first_ad_dx,0.58119,0.58015,-0.01772,0.99,126,clinical/pathology
2,cts_mmse30_lv,proteomePC6 + cts_mmse30_lv,0.59949,0.59911,0.00058,0.63,400,clinical/pathology
2,pmi,proteomePC6 + pmi,0.59893,0.59858,2e-05,0.65,398,technical
2,braaksc,proteomePC6 + braaksc,0.59794,0.59855,-0.00098,-2.62,400,clinical/pathology
2,ceradsc,proteomePC6 + ceradsc,0.59625,0.5988,-0.00267,-5.98,400,clinical/pathology
2,cogdx,proteomePC6 + cogdx,0.59855,0.59894,-0.00036,-0.69,400,clinical/pathology
2,dcfdx_lv,proteomePC6 + dcfdx_lv,0.59779,0.59885,-0.00113,-2.86,400,clinical/pathology
2,celltype_neuron,proteomePC6 + celltype_neuron,0.60192,0.59863,0.00301,6.58,400,proteome-derived
2,celltype_astrocyte,proteomePC6 + celltype_astrocyte,0.59848,0.59889,-0.00043,-0.67,400,proteome-derived
2,celltype_microglia,proteomePC6 + celltype_microglia,0.59859,0.59867,-0.00032,-0.2,400,proteome-derived
