protein_a,protein_b,n_datasets,prior_C_a_to_b,prior_C_b_to_a,dir_ROSMAP,W_ROSMAP,beta_ROSMAP,dir_Diverse,W_Diverse,beta_Diverse,dir_Banner,W_Banner,beta_Banner,direction_consistent,mean_W
AP2A1,AP2B1,3,1.0,1.0,AP2A1->AP2B1,0.7317,0.5775,AP2B1->AP2A1,0.8012,0.7412,AP2B1->AP2A1,0.8434,0.7454,0,0.7921
COPB1,COPG1,3,1.0,1.0,COPB1->COPG1,0.6281,0.4257,COPB1->COPG1,0.6619,0.5039,COPG1->COPB1,0.4058,0.0684,0,0.5652666666666667
COPB1,COPB2,3,1.0,1.0,COPB2->COPB1,0.4935,0.4956,COPB1->COPB2,0.6386,0.4275,COPB2->COPB1,0.531,0.1839,0,0.5543666666666667
TMED10,TMED2,3,1.0,1.0,TMED10->TMED2,0.3896,0.542,TMED10->TMED2,0.6516,0.578,TMED2->TMED10,0.5143,0.647,0,0.5185
SEC23A,SEC24C,3,1.0,1.0,SEC24C->SEC23A,0.5014,0.5325,SEC24C->SEC23A,0.6678,0.5419,SEC23A->SEC24C,0.3666,0.2899,0,0.5119333333333334
COPB1,COPE,3,1.0,1.0,COPB1->COPE,0.5092,0.5909,COPB1->COPE,0.4989,0.3037,COPE->COPB1,0.4479,0.1612,0,0.48533333333333334
COPA,COPB1,3,1.0,1.0,COPB1->COPA,0.3401,0.1062,COPA->COPB1,0.7119,0.5629,COPA->COPB1,0.3717,0.0735,0,0.47456666666666664
SEC13,SEC31A,3,1.0,1.0,SEC31A->SEC13,0.4368,0.3277,SEC31A->SEC13,0.6451,0.3643,SEC31A->SEC13,0.2948,0.0081,1,0.45890000000000003
COPB2,COPE,3,1.0,1.0,COPB2->COPE,0.4676,0.5579,COPB2->COPE,0.5073,0.3412,COPE->COPB2,0.4012,0.3086,0,0.45870000000000005
COPA,COPG1,3,1.0,1.0,COPG1->COPA,0.3715,0.2016,COPA->COPG1,0.6643,0.4303,COPA->COPG1,0.3341,0.2553,0,0.4566333333333334
COPB2,COPG1,3,1.0,1.0,COPB2->COPG1,0.4134,0.3334,COPG1->COPB2,0.4965,0.1245,COPG1->COPB2,0.4558,0.2496,0,0.4552333333333333
VPS29,VPS35,3,1.0,1.0,VPS35->VPS29,0.3186,0.1995,VPS35->VPS29,0.5842,0.3721,VPS35->VPS29,0.4418,0.3956,1,0.4482
TMED10,TMED9,3,0.8,0.8,TMED10->TMED9,0.4037,0.5392,TMED9->TMED10,0.5431,0.6757,TMED9->TMED10,0.3535,0.1846,0,0.43343333333333334
COPB2,COPZ1,3,1.0,1.0,COPZ1->COPB2,0.341,0.1863,COPB2->COPZ1,0.5314,0.7592,COPZ1->COPB2,0.3837,0.0769,0,0.4187
COPA,COPB2,3,1.0,1.0,COPB2->COPA,0.2206,0.0585,COPB2->COPA,0.6358,0.4201,COPA->COPB2,0.3909,0.0312,0,0.4157666666666667
COPE,COPG1,3,1.0,1.0,COPE->COPG1,0.4545,0.0755,COPE->COPG1,0.3879,0.0455,COPE->COPG1,0.4025,0.2262,1,0.4149666666666667
VPS26A,VPS29,3,1.0,1.0,VPS26A->VPS29,0.1919,0.2724,VPS26A->VPS29,0.5949,0.344,VPS26A->VPS29,0.3701,0.2434,1,0.3856333333333333
COPB2,TMED10,3,1.0,1.0,COPB2->TMED10,0.3834,0.244,COPB2->TMED10,0.4059,-0.0054,TMED10->COPB2,0.2997,0.0221,0,0.363
COPB1,COPG2,3,1.0,1.0,COPB1->COPG2,0.2728,-0.0673,COPB1->COPG2,0.3935,0.4399,COPG2->COPB1,0.3826,0.1473,0,0.3496333333333333
COPB2,TMED9,3,1.0,1.0,COPB2->TMED9,0.273,0.1459,COPB2->TMED9,0.4199,0.3155,COPB2->TMED9,0.3441,0.373,1,0.34566666666666673
AP1G1,AP2A1,3,0.6,0.6,AP2A1->AP1G1,0.3275,0.5574,AP2A1->AP1G1,0.4136,0.3116,AP1G1->AP2A1,0.2712,-0.0976,0,0.3374333333333334
COPE,COPZ1,3,1.0,1.0,COPZ1->COPE,0.3549,0.1813,COPZ1->COPE,0.4156,0.0941,COPZ1->COPE,0.2181,0.1662,1,0.3295333333333333
COPB1,TMED10,3,1.0,1.0,COPB1->TMED10,0.3983,0.6316,COPB1->TMED10,0.3136,0.1914,TMED10->COPB1,0.2368,0.0178,0,0.3162333333333333
TMED2,TMED9,3,0.8,0.8,TMED2->TMED9,0.1338,-0.01,TMED9->TMED2,0.4544,0.2119,TMED9->TMED2,0.3558,0.5243,0,0.3146666666666667
