,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,-0.0,-0.06023878031367596,-0.0,0.0,-0.0,0.0,-0.0,0.0335910528549774,0.0,0.07048951050385416,0.02821209785412175,0.05202163686466332,-0.0,-0.0027995991678016106,-0.006114450163360388,0.06321899459744933,-0.0,-0.0009321720048243505,-0.0,-0.04039340755405144,-0.08720041637140229,0.03835101692372206,0.01068581204172865,-0.0,-0.018004365872745454,3.3814123429447156e-05,-0.0,-0.0,0.13586811756649317,-0.0,-0.01015390527829137,0.0,0.0,0.08072533970103386,-0.0363522530586013,0.003710318735603723,-0.0,0.0,-0.012436274096575516,0.0,0.0,0.09500892643987136,0.028131488420008646,-0.03060218403011026,-0.015681349396030136,0.018342652116566535,0.0,-0.0,0.0,-0.055065145169657694,-0.00499620622980916,-0.026995957408669,0.0,0.0,0.0,-0.01494576169617734,0.004477742911859412,0.011886004435708211,-0.0,0.0489218330605255,0.028372043806945666,-0.0004844468735619894,0.016269052880773502,-0.05239867520174309,0.0,0.0,-0.07344352562119114,-0.0,0.0,0.0,-0.0,-0.04238866899086254,-0.003211321324285302,0.06265242185316597,0.011932051753395154,0.0020393457274540745,0.0,-0.0,-0.0
ADAM10,-0.0017665585100741419,0.0,0.009541065766377348,0.09965810121617417,-0.006382540204042548,-0.09322025615042988,-0.01217825401700095,0.0003858996852757403,0.0,0.0,-0.013308734736643759,-0.02874530758806281,-0.0023540503214582727,0.004317026676011599,0.01502589816671175,-0.012787615204042554,0.01266925518393743,0.4236712114820927,0.0,0.015495049443246955,0.02091295899406928,0.00035257695209155437,0.011860748556273934,0.023593552775921393,0.024193538040154932,0.0,-0.0009262680191457947,0.057350861412920215,-0.04415101874234112,-0.03357007817861909,-0.07278723766695576,0.02426421620755897,-0.027105498186970882,-0.05508521259426544,0.023277369981563645,0.0,0.03158284448211406,-0.0,-0.0,-0.0013310778803024856,-0.0,0.07502782906051965,-0.04110600358431141,-0.003913678732203748,-0.0,0.006927890976761395,0.0,0.0,-0.02587697821226346,-0.0,-0.07830200443562248,0.003224375778368232,0.05567872858944825,-0.030415640313738654,-0.028059187482562212,0.0513640247603943,0.017366162731188562,-0.021166849691709743,0.0,0.0,0.009762006555260693,0.03368105023654394,-0.04576439934587287,0.014640063857768032,0.0,0.0,-0.12147603482231353,0.0,0.0,0.1541344089849622,0.0,0.0076070703458636126,-0.06077891269165397,0.03905461762351505,-0.0029273912280487814,-0.011479093514319574,-0.03226255817169143,0.01643401765802989,-0.10321231915647404,-0.020924808584497065
ADAM17,-0.021235194957427712,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.028980978291482322,-0.0,-0.0,0.0,0.0,-0.007371678662855516,0.039869145722800585,-0.0,0.0,0.00655483710669671,-0.0,0.05521190096980638,0.0,0.0,0.009303834104796939,0.0,0.0,0.015398235072151972,0.0,0.042230273360254166,0.0,-0.0,-0.0,-0.09618533778562598,0.0,0.033558247230788076,0.0,0.0,-0.09677979635303856,0.19186141236077192,0.0,0.029359908684411486,0.028713738656826485,0.062394239870263275,-0.05551989286895428,0.0,0.016910354949713217,-0.0,-0.0,0.0,0.014470689919290994,0.0,0.019154632278144377,0.0,0.0,-0.044444930071906336,-0.06621385617632117,0.0,0.0,-0.0,0.05925043762055031,-0.0,0.0,0.0,0.01723276754176047,-0.0,-0.02429317236599558,-0.0,-0.0,-0.040588289182751404,0.0,-0.0,-0.029607079423538272,0.0,0.09255081986530704,-0.004614653603515783,0.0,0.0,0.0,0.01845875039607644,0.04542823536190318,0.0,0.0033014170779796987
AP1G1,0.0,0.11671411700806562,0.017683738082097018,0.0,0.22567546459613652,0.1228366879736121,0.021349522359142475,0.02635914555501848,0.0101886095075004,0.01110000577910391,-0.0012667146996022663,-0.015256182679060164,-0.008355671137776383,0.02967886414385558,-0.04293963031183181,-0.0,0.011939146384253717,-0.026746111462765856,-0.11474825357143449,0.048180878565187345,0.03773777059586693,-0.052715907805346955,-0.006043078869201562,0.07388104517957389,0.03660597141013681,-0.03605942629642392,0.0,0.08676056134404436,0.0353393719915003,0.024667766206899873,-0.022119083683186457,-0.030254381063734723,-0.06818286857945634,0.015780455526227897,-0.023447557078410064,0.019713003927961884,-0.051055541169007124,0.0015809913301868602,0.0009405973222722943,-0.03878669808044696,-0.02466901257666821,-0.013743932592481354,-0.03713516147474164,0.00732338320364514,0.06256663150676334,-0.00935316637941507,-0.03395505671968744,-0.0024587422825564035,-0.03234452820017947,-0.005330509559363484,0.1287899015590754,-0.05919469708781126,0.055847316153744615,-0.08923686299976727,0.04525108834705705,-0.021302555386454657,-0.006054154912648585,-0.00042572418056536083,0.0,0.005992551504181807,0.0046622890049005,0.002416334417129335,-0.003874215328389207,0.022532467976521343,0.043170889175781955,0.02880523010768878,0.014286225082838886,-0.008399131904611251,-0.05421572467300069,-0.03930825770288042,-0.054207452178030344,-0.016145345607459307,-0.005005870698648705,-0.03011050931941445,0.11477339591791494,-0.011909769346808296,0.025259003751291417,-0.028576782220640896,-0.017004971281086297,0.4183053464719061
AP2A1,0.01368027927521391,-0.0,0.010224607674967578,0.11055334567975297,0.0,0.5949896365301162,0.03737042138383813,-0.00783000412330597,0.004952519257538872,-0.0,0.006250980013046412,0.04129350438886684,0.0,0.016942113737617365,0.012686868139179202,0.0,-0.0,0.01707691395171231,0.0,-0.006023460686076539,0.014397752842995515,-0.00585228885386136,-0.007511389128229855,-0.014164241063199835,-0.007691266077634176,-0.0060502139869358035,-0.016762315575852376,0.026377161022026502,-0.03297264662440219,0.0,0.0,0.0032700128299585234,-0.0,-0.004643915600311483,0.014254145555952412,-0.013259788349620874,-0.009135906647303632,0.0,-0.002558552643196113,0.0,-0.0,0.06422706404141988,-0.03317144687818898,0.0,0.0,0.016352388866220046,-0.0,-0.015172765972548876,0.0032438462371214972,0.007390385007405621,0.0,0.010695623586240124,0.01927538256913809,0.002304629711342775,0.03832158448787242,-0.005274540653367704,-0.02835917463188815,0.0,0.0063631676666072445,-0.026621396918877587,0.019414986639861305,0.0,0.04199310348375313,-0.0,0.002844825775995013,0.001862860300852368,0.02673338206334797,-0.09769945149341387,-0.0,0.03584892746788272,0.004638234599187642,-0.005111146318841777,-0.00619390557560649,0.008976857559641503,0.0,0.07237789256486384,0.013493437866279524,-0.0,0.013809410971613902,-0.0
AP2B1,-0.0009334522300079946,-0.0,-0.021186909819233008,0.08737351022400874,0.5785318537075057,0.0,0.0,0.0,-0.0,-0.0,-0.012158677086512837,0.0,0.0,-0.0,-0.0,0.0,-0.006943361475702652,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.011826191798397279,0.023159650103162704,0.0,0.07701843411602109,-0.0,-0.0,0.0,-0.03233330037950524,0.0,-0.0,0.0,-0.0,-0.0020646186469318946,-0.0,0.0,-0.0,-0.01837453351053602,0.022697611213226748,0.0,-0.0,0.0,-0.010137114627604365,-0.0,0.016128099977196695,0.0,0.0,0.0,-0.01125012841919876,-0.010370772299130396,0.0,-0.00765551605899959,0.0,-0.0,-0.0,-0.012330972033820877,0.0,0.0,0.0,-0.01534730751308553,0.10200166654726664,0.0,-0.007305478912405225,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.150318006235924
AP3B2,0.007465239364549619,-0.05564699680000656,-0.00877882215016886,0.049845815327720235,0.08395910621787639,0.012553750894407441,0.0,-0.013312815617265116,0.02051008288591543,0.008648091649765197,0.058574154759613625,-0.0,0.005720400188859686,-0.013868889924064294,-0.01852641920504266,0.007759914608094427,0.06226184502678399,-0.0327673211366937,-0.0022526162108590904,0.04184513079773442,-0.04660663133436563,-0.031878231933435294,-0.04921529660752425,-0.049526515535479314,-0.041873733057457875,-0.006321435102488136,0.0444384555744925,-0.0035016346164298837,0.036490121149241724,0.05238635710202616,0.014901685539772384,-0.013281483045018116,0.027545729728139064,0.05073769258690268,0.0,0.06685311078566629,-0.016661673269982944,-0.0,0.005506873898630288,0.02277009961540976,-0.0,0.013465129200538254,0.0262726171867468,-0.01977674346263431,0.027352960281885427,0.0020291831545706635,0.03730921950215157,0.0,0.0,0.0021522189623054307,0.052657342362475996,0.0515851575151555,0.20817201065814225,0.07437699217165361,0.03727721110826094,-0.006567476585233459,-0.0,0.004164598533198161,0.0,-0.0,0.022356755403123162,0.02539156882918465,0.0,0.0,7.210035911451662e-05,-0.0,0.0417617143104872,-0.058348616952582935,-0.0,-0.008868381683714987,0.008820001553718083,-0.01151670741818386,-0.020072675922294496,-0.01703385958318382,0.0,0.0888750606062893,0.0,0.0,-0.04025448067658913,0.11204751420104198
AP4B1,-0.0,7.963568661426046e-05,0.05658648375563889,0.009878433654518575,-0.0,0.0,-0.0,0.0,0.05979850350852754,0.0,-0.0,-0.0,-0.06544171836546987,0.0070887722992757805,-0.0,-0.0,-0.0,0.0,0.0,0.0925033172766839,0.0,0.0,-0.0,0.013724876756994934,0.04510344678862039,-0.060759654666065116,0.0,-0.0,-0.0,0.0,-0.0,0.002035366635400929,-0.0,0.0,0.03513741063005046,-0.0,0.10533818919265478,-0.0,-0.0,0.002935609780887414,0.0,0.0,-0.0,0.0,0.0,0.0,0.07683300346484494,-0.0,-0.03346280437546649,-0.0,-0.0,0.0,-0.06414930423336378,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.013627524724860876,0.032556095786193257,-0.0,0.02968015174741799,-0.011429331366811544,0.0,-0.0,-0.0,0.006672747508554019,0.0,0.038980404977693395,0.0,0.02291778810899012,-0.0,0.0,-0.03786158275917627,-0.0,0.025065504599300247,0.0,-0.0,0.006745552846960385
AP4E1,0.022810184701430928,-0.0,-0.0,0.0,0.0,-0.0,0.04160118445762004,0.05593906094865949,0.0,0.02355235549114249,0.04411454262441169,-0.0,0.02499283453113217,-0.0,-0.0,0.04414658605593294,0.0,-0.0,-0.04346554057778098,0.0,0.0,0.0,0.02176153036561053,0.0,-0.0,0.0,0.0,0.011371451071032618,0.00043376901601623855,0.0,0.0,0.0,-0.0,-0.0,0.021596921871320313,0.014322807314652053,-0.0,0.0,0.06694083337663917,0.051604901444126015,0.0,-0.0,0.0,0.06963466111967054,0.0,0.0,0.0,0.013890196326100607,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0041546442426844,0.0,0.0,0.0,0.05997476071663933,0.03835974649291877,0.045095469656311955,-0.02388235837170866,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.006507878159738156,0.0,0.015561006997537867,0.0,-0.0,-0.04200707601308643
AP4M1,-0.0,0.0,-0.0,-0.0,-0.0,-0.05414382135671981,0.0,0.0,0.0315142425674179,0.0,0.05704173437913969,-0.0,0.01954125590138587,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.03900160429549912,-0.0,0.006664702873088507,0.025376416109711888,-0.0,0.021277483567722542,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.00921489078747792,-0.0,-0.02254296680447085,0.0,0.043346615254014134,0.02835500166600289,0.0,-0.042907924738965056,-0.0,-0.0,0.010799757009668499,0.020663751527236585,-0.0,-0.0038020107504424506,0.0,0.0,0.0,0.027344571507962788,-0.021868617054294076,0.004702346543890483,-0.0,0.0,0.050243129261448256,0.11953222213220767,0.06213124110622927,0.0,0.0,0.0,0.0,0.0,0.00924641479772755,0.0,0.020482612221092808,0.0,-0.0,-0.0,-0.0,0.00860112202091895,0.03270730689783885,0.0,-0.0,-0.010057093941340915
