,sex,apoe_genotype,cts_mmse30_lv,cts_mmse30_first_ad_dx,pmi,braaksc,ceradsc,amyThal,amyA,amyCerad,amyAny,reag,PlaqueTotal,TangleTotal
ABCA7,-0.0,0.01610170254352695,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.011034042616897449,0.0,-0.0,0.0,-0.0,-0.0
ADAM10,0.04461325250344075,-0.0,-0.08112177141285955,0.06374957720090169,-0.0,-0.0026161573871690386,0.0,0.0050211888252199265,0.0,0.0074353402021986184,0.0,0.0,0.0,0.05581516177539631
ADAM17,-0.0,-0.018329099136518385,0.0,0.0,-0.014252199522730331,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
AP1G1,0.045124543192925484,0.01031799676515172,-0.06653544299317614,-0.0,0.01265786243190956,-0.020376287968374093,0.0,-0.0,0.0,-0.0,-0.0,0.04664701614721444,0.047044389491049284,0.03304824703962073
AP2A1,-0.0041709791852381104,0.0,0.04773986539128691,-0.0,0.0039060029217314134,-0.006781625629615498,-0.013582396313800255,0.020918942141201324,0.0,-0.0,-0.006540410194915289,-0.0,-0.005020123745639811,-0.0
AP2B1,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AP3B2,-0.011100281478723934,0.0,0.04837511424975272,-0.0,-0.0035709016805519625,-0.012919076879138059,0.003836305895381526,-0.0,-0.0,0.0,0.007128372026243922,0.0,0.0,-0.017455303984565657
AP4B1,-0.0,0.0,0.0,-0.0,0.0,-0.021465335117220638,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
AP4E1,0.0,-0.017879323478159556,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0
AP4M1,0.023666924631794883,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
AP4S1,-0.0,0.0,-0.05442588825542137,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.03954462927256158,-0.0033213126430465135,0.0,0.0
APBA1,0.0,0.0,-0.023175971661901294,-0.0,-0.03564158958849033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APBA2,-0.045959215937227016,-0.002135827028871581,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
APOE,0.0,-0.0,0.0,0.0,0.02268912960750663,-0.0,0.0794224824691537,0.0059952145891635404,0.0,-0.0,0.0,-0.0,-0.0,0.0
APP,0.0,0.0666761249161513,-0.0,0.0,0.0,0.14700980808190603,-0.0,0.0,0.0,0.12890533652476296,0.09521087588085594,0.03485582964815075,0.04627606402082329,0.0
ARF6,0.0,0.0,0.0,0.0,-0.0,-0.006135841514852312,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
BACE1,0.0,0.003920821548295497,-0.0,-0.0,0.008936102302173721,0.020419287648480864,0.018759552366608874,0.0,0.0,0.0,0.0,0.053165908051681206,0.0,0.0
BIN1,0.015645889786421067,-0.0,0.0,-0.0,0.020373785297159434,0.011491033260903206,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
CLU,-0.0038422672651780266,0.029984054370893343,-0.0,0.0,-0.01892077636813512,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
COPA,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
COPB1,0.0031981381991247463,0.0,0.01252555585865009,-0.0,-0.013418060873149226,0.0,-0.0,0.01544006779566193,0.016198702833917066,-0.0,-0.0,-0.0,-0.0,-0.0
COPB2,-0.008697498205489936,0.0,-0.02986511343565841,0.0,0.0,0.004007402257486896,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
COPE,-0.004221480051098795,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
COPG1,0.010855606264369511,0.007874251704964199,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.034781521102384166,0.0,0.0006623182315784108,0.0,-0.0
COPG2,-0.062031016383369796,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0020858776549252697,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
COPZ1,-0.0013160665596650236,0.014905293009841036,0.04518529398436859,0.0,-0.03536766210567399,0.03174047428911112,-0.022435436927526937,0.0,0.0,0.008690072325955872,0.0,0.0,-0.0,0.0
ECE1,-0.03517385792178463,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
EIF2S1,-0.09026609955286162,0.0016881197640225898,-0.0,-0.0,0.012491718418225837,0.0,0.006096215614693056,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
GGA1,-0.08564683393408112,0.0,0.03361090916119218,-0.023862221844170684,0.01127190747271315,-0.004481533786969553,0.006832246763410819,-0.0,-0.011896311492256496,-0.0,-0.0,-0.019217850822053153,0.0,0.0
GGA2,0.006772917101014329,-0.01482430106787148,-0.0,0.0,0.001742133481182759,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.025809875374409364,-0.0,-0.0
GGA3,-0.031791889515063114,-0.0,-0.0,0.0,-0.0,-0.01073365476866458,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
GORASP1,0.0,-0.0,-0.0,-0.0,-0.0776401702288421,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
HSPA5,0.0346579285563907,0.004841614813105067,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
HSPA9,0.0,0.0017328919432117763,0.0,0.0,0.005878515500526257,0.005827794610357117,0.0,0.0,0.0,0.024711237241841596,0.018585263907917544,0.0,0.01849709634789782,0.0
IDE,-0.023306642686032837,0.0,-0.0,-0.0,0.0,-0.043563451848297526,0.0,-0.0,-0.013752437020320503,-0.0,-0.04231212770062728,-0.04914128754941154,0.0,0.0
ITPR1,0.01979039472029849,0.004616355658011626,0.0,0.0,0.0,0.003583038257471919,-0.0,0.0,0.0038048836893637057,-0.0,0.0,-0.0,-0.0,-0.0
ITPR2,0.03544928837016624,0.0,-0.0,-0.0,0.023379890138994684,0.007467839979553996,0.09801093965723609,0.023955068482125218,0.0,0.0,0.0,0.014032509424524671,0.0,0.10594538457456044
LRP1,-0.0,-0.0,-0.0,-0.0,0.006036004441028553,0.07370796223301634,0.18387434596272484,0.0,0.0,0.036105977567476764,0.0,0.002551379281995667,0.04436927448457436,0.0183118246941876
MAP2K3,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0014046027974404965,0.0,0.027535557538425674,0.0,0.0,0.0,-0.0,-0.0
MAPK14,-0.0025985136439038996,-0.0,0.0,0.0,0.01483777564887466,-0.0,-0.06666259791420809,0.0,0.0,0.0,0.05388761695952272,0.0,-0.0,-0.0
MAPKAPK2,0.0,0.004429448602371489,-0.0,0.0,-0.010166966350012085,0.0,-0.026113768135334142,0.0,0.0,0.0,0.0,0.005139575651386157,-0.0,-0.0
