source,target,C_conf,C_sign,B_data,absB
ABCA7,ADAM10,1,0,-0.0018,0.0018
ABCA7,ADAM17,0,0,-0.0212,0.0212
ABCA7,AP2A1,0,0,0.0137,0.0137
ABCA7,AP2B1,0,0,-0.0009,0.0009
ABCA7,AP3B2,0,0,0.0075,0.0075
ABCA7,AP4E1,0,0,0.0228,0.0228
ABCA7,AP4S1,0,0,0.0412,0.0412
ABCA7,APBA1,3,0,0.0,0.0
ABCA7,APBA2,3,0,0.0232,0.0232
ABCA7,APOE,3,0,0.0,0.0
ABCA7,APP,3,-1,-0.0,0.0
ABCA7,BACE1,1,0,0.0318,0.0318
ABCA7,BIN1,2,0,-0.0,0.0
ABCA7,CLU,2,0,-0.0024,0.0024
ABCA7,COPB1,0,0,-0.0158,0.0158
ABCA7,COPB2,0,0,-0.0286,0.0286
ABCA7,COPE,0,0,0.0194,0.0194
ABCA7,COPG1,0,0,0.0153,0.0153
ABCA7,COPZ1,0,0,-0.0207,0.0207
ABCA7,GGA2,0,0,0.0837,0.0837
ABCA7,GORASP1,1,0,-0.0,0.0
ABCA7,IDE,0,0,0.0491,0.0491
ABCA7,ITPR1,0,0,-0.0258,0.0258
ABCA7,ITPR2,0,0,0.0329,0.0329
ABCA7,MAPK14,0,0,-0.0056,0.0056
ABCA7,MIA3,0,0,0.0419,0.0419
ABCA7,NCSTN,0,0,0.0016,0.0016
ABCA7,OSBP,0,0,-0.0146,0.0146
ABCA7,PICALM,2,0,-0.0,0.0
ABCA7,PLCG2,1,0,0.0018,0.0018
ABCA7,PSEN1,1,0,0.0,0.0
ABCA7,RAB1A,0,0,-0.0142,0.0142
ABCA7,RTN3,0,0,-0.0204,0.0204
ABCA7,SEC23A,0,0,0.0253,0.0253
ABCA7,SEC24A,0,0,0.023,0.023
ABCA7,SEC24B,0,0,0.0217,0.0217
ABCA7,SEC24C,0,0,-0.0082,0.0082
ABCA7,SEC24D,0,0,0.0238,0.0238
ABCA7,SEC31A,0,0,-0.011,0.011
ABCA7,SNX4,0,0,0.0051,0.0051
ABCA7,SNX6,0,0,-0.0282,0.0282
ABCA7,SORL1,2,0,-0.0,0.0
ABCA7,SORT1,2,0,0.0122,0.0122
ABCA7,SREBF2,1,0,0.0,0.0
ABCA7,SYK,0,0,-0.0122,0.0122
ABCA7,TMED10,0,0,-0.0135,0.0135
ABCA7,TMED9,0,0,0.0426,0.0426
ABCA7,VLDLR,0,0,0.0039,0.0039
ABCA7,VPS26A,0,0,0.0183,0.0183
ABCA7,VPS29,0,0,-0.0034,0.0034
ADAM10,ABCA7,1,0,-0.0,0.0
ADAM10,ADAM17,2,0,0.0,0.0
ADAM10,AP1G1,-1,0,0.1167,0.1167
ADAM10,AP2A1,-1,0,-0.0,0.0
ADAM10,AP2B1,-1,0,-0.0,0.0
ADAM10,AP3B2,0,0,-0.0556,0.0556
ADAM10,AP4B1,0,0,0.0001,0.0001
ADAM10,APBA1,-1,0,-0.005,0.005
ADAM10,APBA2,-1,0,-0.0,0.0
ADAM10,APOE,1,0,0.0,0.0
ADAM10,APP,5,-1,0.0275,0.0275
ADAM10,BACE1,1,-1,0.0,0.0
ADAM10,BIN1,0,0,0.3837,0.3837
ADAM10,CLU,-1,0,0.0,0.0
ADAM10,COPB1,0,0,0.0068,0.0068
ADAM10,COPG1,0,0,0.0055,0.0055
ADAM10,COPG2,0,0,0.0393,0.0393
ADAM10,ECE1,-1,0,-0.0,0.0
ADAM10,EIF2S1,0,0,0.0836,0.0836
ADAM10,GGA1,-1,0,-0.0881,0.0881
ADAM10,GGA2,0,0,-0.0479,0.0479
ADAM10,GGA3,0,0,-0.0724,0.0724
ADAM10,GORASP1,-1,0,0.0024,0.0024
ADAM10,HSPA5,-2,0,-0.0473,0.0473
ADAM10,HSPA9,-2,0,-0.0921,0.0921
ADAM10,IDE,1,0,0.0764,0.0764
ADAM10,ITPR1,-2,0,-0.0,0.0
ADAM10,ITPR2,-2,0,0.0354,0.0354
ADAM10,LRP1,3,-1,-0.0,0.0
ADAM10,MAP2K3,-2,0,-0.0,0.0
ADAM10,MAPK14,-2,0,-0.0,0.0
ADAM10,MAPKAPK2,-2,0,-0.0,0.0
ADAM10,MFN2,-2,0,0.0667,0.0667
ADAM10,MIA3,-1,0,-0.0782,0.0782
ADAM10,NCSTN,2,0,0.0,0.0
ADAM10,PICALM,1,0,0.0,0.0
ADAM10,PLG,-1,0,-0.0,0.0
ADAM10,PREB,-1,0,-0.0264,0.0264
ADAM10,PSEN1,3,0,-0.0,0.0
ADAM10,RAB1A,0,0,-0.0734,0.0734
ADAM10,RAB1B,-1,0,0.0,0.0
ADAM10,RTN3,-2,0,0.1359,0.1359
ADAM10,RTN4,-2,0,-0.0,0.0
ADAM10,SAR1A,0,0,-0.007,0.007
ADAM10,SAR1B,-2,0,0.0994,0.0994
ADAM10,SEC13,-2,0,-0.0,0.0
ADAM10,SEC16A,0,0,-0.0529,0.0529
ADAM10,SEC23B,-2,0,0.0,0.0
ADAM10,SEC24B,0,0,0.0154,0.0154
ADAM10,SEC24C,0,0,-0.0579,0.0579
ADAM10,SEC24D,0,0,0.028,0.028
ADAM10,SIGMAR1,-2,0,0.0,0.0
ADAM10,SNX4,0,0,-0.1502,0.1502
ADAM10,SORL1,3,-1,0.0,0.0
ADAM10,SORT1,3,-1,0.2485,0.2485
ADAM10,SREBF2,-2,0,0.0,0.0
ADAM10,TMED10,0,0,-0.0041,0.0041
ADAM10,VDAC1,3,0,-0.0,0.0
ADAM10,VLDLR,0,0,-0.0245,0.0245
ADAM10,VPS26A,-1,0,0.0004,0.0004
ADAM10,VPS29,0,0,-0.1158,0.1158
ADAM10,VPS35,-1,0,-0.0,0.0
ADAM17,ABCA7,0,0,-0.0602,0.0602
ADAM17,ADAM10,2,0,0.0095,0.0095
ADAM17,AP1G1,-1,0,0.0177,0.0177
ADAM17,AP2A1,-1,0,0.0102,0.0102
ADAM17,AP2B1,-1,0,-0.0212,0.0212
ADAM17,AP3B2,0,0,-0.0088,0.0088
ADAM17,AP4B1,0,0,0.0566,0.0566
ADAM17,APBA1,3,0,0.0,0.0
ADAM17,APBA2,3,0,-0.018,0.018
ADAM17,APOE,-1,0,0.0265,0.0265
ADAM17,APP,4,-1,-0.0,0.0
ADAM17,BACE1,2,0,0.0051,0.0051
ADAM17,BIN1,0,0,-0.0039,0.0039
ADAM17,CLU,-1,0,0.0054,0.0054
ADAM17,COPG1,0,0,0.003,0.003
ADAM17,COPG2,0,0,0.0275,0.0275
ADAM17,ECE1,-1,0,0.0364,0.0364
ADAM17,GGA1,-1,0,-0.0177,0.0177
ADAM17,GGA3,0,0,-0.0523,0.0523
ADAM17,GORASP1,2,0,0.0,0.0
ADAM17,HSPA5,-2,0,0.008,0.008
ADAM17,HSPA9,-2,0,0.0,0.0
ADAM17,IDE,1,0,0.0,0.0
ADAM17,ITPR1,-2,0,-0.1228,0.1228
ADAM17,ITPR2,-2,0,0.1207,0.1207
ADAM17,LRP1,3,-1,0.0227,0.0227
ADAM17,MAP2K3,-2,0,0.0335,0.0335
ADAM17,MAPK14,3,0,0.0461,0.0461
ADAM17,MAPKAPK2,-2,0,0.0564,0.0564
ADAM17,MFN2,-2,0,-0.0516,0.0516
ADAM17,MIA3,-1,0,-0.0,0.0
ADAM17,NCSTN,1,0,0.0228,0.0228
ADAM17,PICALM,-1,0,-0.0,0.0
ADAM17,PLG,-1,0,0.0245,0.0245
ADAM17,PREB,-1,0,-0.0,0.0
ADAM17,PSEN1,1,0,0.0278,0.0278
ADAM17,RAB1A,0,0,0.0049,0.0049
ADAM17,RAB1B,-1,0,0.0,0.0
ADAM17,RTN3,-2,0,-0.02,0.02
ADAM17,RTN4,-2,0,-0.0147,0.0147
ADAM17,SAR1B,-2,0,0.0,0.0
ADAM17,SEC13,-2,0,-0.0,0.0
ADAM17,SEC16A,0,0,0.08,0.08
ADAM17,SEC23A,0,0,-0.0009,0.0009
ADAM17,SEC23B,-2,0,0.0067,0.0067
ADAM17,SEC24B,0,0,0.0263,0.0263
ADAM17,SEC24C,0,0,-0.0075,0.0075
ADAM17,SEC24D,0,0,-0.0627,0.0627
ADAM17,SEC31A,0,0,-0.0173,0.0173
ADAM17,SIGMAR1,-2,0,-0.0,0.0
ADAM17,SNX4,0,0,-0.0398,0.0398
ADAM17,SNX6,0,0,0.02,0.02
ADAM17,SORL1,-1,0,-0.0,0.0
ADAM17,SORT1,-1,0,-0.0547,0.0547
ADAM17,SREBF2,-2,0,0.0,0.0
ADAM17,SYK,0,0,0.0988,0.0988
ADAM17,TMED10,0,0,-0.0344,0.0344
ADAM17,TMED9,0,0,0.0032,0.0032
ADAM17,VLDLR,0,0,0.0165,0.0165
ADAM17,VPS26A,-1,0,0.0103,0.0103
ADAM17,VPS29,0,0,-0.0107,0.0107
ADAM17,VPS35,-1,0,0.0172,0.0172
AP1G1,ADAM10,-1,0,0.0997,0.0997
AP1G1,ADAM17,-1,0,0.0,0.0
AP1G1,AP2A1,3,0,0.1106,0.1106
AP1G1,AP2B1,2,0,0.0874,0.0874
AP1G1,AP3B2,3,0,0.0498,0.0498
AP1G1,AP4B1,3,0,0.0099,0.0099
AP1G1,AP4E1,3,0,0.0,0.0
AP1G1,AP4M1,3,0,-0.0,0.0
AP1G1,AP4S1,3,0,0.0,0.0
AP1G1,APBA1,-1,0,0.0,0.0
AP1G1,APBA2,-1,0,-0.0,0.0
AP1G1,APOE,-2,0,0.0243,0.0243
AP1G1,APP,3,0,-0.0,0.0
AP1G1,ARF6,2,0,0.0,0.0
AP1G1,BACE1,0,0,0.0202,0.0202
AP1G1,CLU,-2,0,-0.1508,0.1508
AP1G1,COPA,0,0,0.0492,0.0492
AP1G1,COPB1,1,0,0.0445,0.0445
AP1G1,COPB2,0,0,-0.0262,0.0262
AP1G1,COPE,0,0,-0.0238,0.0238
AP1G1,COPG1,0,0,0.1312,0.1312
AP1G1,COPG2,0,0,0.1052,0.1052
AP1G1,COPZ1,0,0,-0.1008,0.1008
AP1G1,ECE1,-1,0,-0.0,0.0
AP1G1,EIF2S1,0,0,0.1177,0.1177
AP1G1,GGA1,3,0,0.0737,0.0737
AP1G1,GGA2,3,0,0.0,0.0
AP1G1,GGA3,3,0,-0.0,0.0
AP1G1,GORASP1,-1,0,-0.0,0.0
AP1G1,HSPA5,-2,0,-0.0134,0.0134
AP1G1,HSPA9,-2,0,0.0229,0.0229
AP1G1,IDE,-1,0,-0.0109,0.0109
AP1G1,ITPR1,-2,0,0.0436,0.0436
AP1G1,ITPR2,-2,0,-0.0812,0.0812
AP1G1,LRP1,-1,0,0.0,0.0
AP1G1,MAP2K3,-1,0,-0.0,0.0
AP1G1,MAPK14,-1,0,-0.0418,0.0418
AP1G1,MAPKAPK2,-1,0,-0.0426,0.0426
AP1G1,MFN2,-2,0,0.0,0.0
AP1G1,MIA3,0,0,-0.0605,0.0605
AP1G1,NCSTN,-1,0,0.0,0.0
AP1G1,OSBP,0,0,0.0856,0.0856
AP1G1,PICALM,3,0,0.0,0.0
AP1G1,PLCG2,0,0,-0.0441,0.0441
AP1G1,PLG,-2,0,-0.0,0.0
AP1G1,PREB,0,0,-0.0823,0.0823
AP1G1,PSEN1,-1,0,-0.0,0.0
AP1G1,RAB1A,0,0,0.1274,0.1274
AP1G1,RAB1B,-1,0,-0.0476,0.0476
AP1G1,RTN3,-1,0,0.0511,0.0511
AP1G1,RTN4,-1,0,-0.0,0.0
AP1G1,SAR1A,0,0,0.0507,0.0507
AP1G1,SAR1B,-1,0,-0.022,0.022
AP1G1,SEC13,-1,0,0.0,0.0
AP1G1,SEC16A,0,0,-0.0036,0.0036
AP1G1,SEC23A,0,0,0.002,0.002
AP1G1,SEC23B,-1,0,-0.0,0.0
AP1G1,SEC24B,1,0,0.0,0.0
AP1G1,SEC24D,0,0,0.0699,0.0699
AP1G1,SEC31A,0,0,0.105,0.105
AP1G1,SIGMAR1,-2,0,0.0,0.0
AP1G1,SORL1,3,0,-0.1102,0.1102
AP1G1,SORT1,3,0,-0.0001,0.0001
AP1G1,SREBF2,-2,0,-0.0004,0.0004
AP1G1,TMED9,0,0,0.125,0.125
AP1G1,VPS26A,-1,0,-0.0097,0.0097
AP1G1,VPS35,1,0,0.341,0.341
AP2A1,ADAM10,-1,0,-0.0064,0.0064
AP2A1,ADAM17,-1,0,-0.0,0.0
AP2A1,AP1G1,3,0,0.2257,0.2257
AP2A1,AP2B1,5,0,0.5785,0.5785
AP2A1,AP3B2,3,0,0.084,0.084
AP2A1,AP4B1,4,0,-0.0,0.0
AP2A1,AP4E1,4,0,0.0,0.0
AP2A1,AP4M1,4,0,-0.0,0.0
AP2A1,AP4S1,4,0,0.0,0.0
AP2A1,APBA1,-1,0,0.1028,0.1028
AP2A1,APBA2,-1,0,0.0,0.0
AP2A1,APOE,-2,0,0.0266,0.0266
AP2A1,APP,4,-1,-0.0,0.0
AP2A1,ARF6,3,0,0.0016,0.0016
AP2A1,BACE1,3,0,-0.0,0.0
AP2A1,BIN1,2,0,0.0313,0.0313
AP2A1,CLU,-2,0,-0.0,0.0
AP2A1,COPB1,1,0,0.0,0.0
AP2A1,COPB2,0,0,-0.0346,0.0346
AP2A1,COPZ1,0,0,-0.0544,0.0544
AP2A1,ECE1,-1,0,-0.0133,0.0133
AP2A1,GGA1,-1,0,-0.0868,0.0868
AP2A1,GORASP1,-1,0,-0.0,0.0
AP2A1,HSPA5,-2,0,0.0,0.0
AP2A1,HSPA9,-2,0,-0.0182,0.0182
AP2A1,IDE,-1,0,0.0,0.0
AP2A1,ITPR1,-2,0,-0.0,0.0
AP2A1,ITPR2,-2,0,-0.0282,0.0282
AP2A1,LRP1,-1,0,0.0,0.0
AP2A1,MAP2K3,-1,0,-0.029,0.029
AP2A1,MAPK14,-1,0,-0.0,0.0
AP2A1,MAPKAPK2,-1,0,-0.0007,0.0007
AP2A1,MFN2,-2,0,0.158,0.158
AP2A1,MIA3,0,0,-0.0292,0.0292
AP2A1,NCSTN,-1,0,-0.0,0.0
AP2A1,PICALM,5,0,0.0,0.0
AP2A1,PLG,-2,0,-0.0627,0.0627
AP2A1,PSEN1,-1,0,-0.0,0.0
AP2A1,RAB1B,-1,0,0.0,0.0
AP2A1,RTN3,-1,0,0.0665,0.0665
AP2A1,RTN4,-1,0,0.0,0.0
AP2A1,SAR1A,0,0,0.0029,0.0029
AP2A1,SAR1B,-1,0,-0.0212,0.0212
AP2A1,SEC13,-1,0,-0.0,0.0
AP2A1,SEC16A,2,0,-0.0,0.0
AP2A1,SEC23A,0,0,0.0247,0.0247
AP2A1,SEC23B,-1,0,-0.1091,0.1091
AP2A1,SEC24A,0,0,0.0666,0.0666
AP2A1,SEC24C,0,0,0.0999,0.0999
AP2A1,SEC31A,0,0,0.0166,0.0166
AP2A1,SIGMAR1,-2,0,-0.0,0.0
AP2A1,SNX4,0,0,0.0814,0.0814
AP2A1,SNX6,0,0,-0.2482,0.2482
AP2A1,SORL1,-1,0,-0.0,0.0
AP2A1,SORT1,-1,0,0.0818,0.0818
AP2A1,SREBF2,-2,0,-0.0,0.0
AP2A1,SYK,0,0,-0.0372,0.0372
AP2A1,VDAC1,0,0,0.143,0.143
AP2A1,VLDLR,3,0,0.0,0.0
AP2A1,VPS26A,-1,0,-0.0,0.0
AP2A1,VPS29,0,0,0.0064,0.0064
AP2A1,VPS35,-1,0,0.0,0.0
AP2B1,ADAM10,-1,0,-0.0932,0.0932
AP2B1,ADAM17,-1,0,-0.0,0.0
AP2B1,AP1G1,2,0,0.1228,0.1228
AP2B1,AP2A1,5,0,0.595,0.595
AP2B1,AP3B2,3,0,0.0126,0.0126
AP2B1,AP4B1,4,0,0.0,0.0
AP2B1,AP4E1,4,0,-0.0,0.0
AP2B1,AP4M1,4,0,-0.0541,0.0541
AP2B1,AP4S1,4,0,-0.0,0.0
AP2B1,APBA1,-1,0,0.0202,0.0202
AP2B1,APBA2,-1,0,0.0,0.0
AP2B1,APOE,-2,0,0.0,0.0
AP2B1,APP,4,-1,-0.0,0.0
AP2B1,ARF6,3,0,0.0184,0.0184
AP2B1,BACE1,3,0,-0.0,0.0
AP2B1,BIN1,1,0,0.0446,0.0446
AP2B1,CLU,-2,0,-0.0,0.0
AP2B1,COPA,1,0,0.0,0.0
AP2B1,COPG1,1,0,0.0788,0.0788
AP2B1,COPG2,1,0,0.0,0.0
AP2B1,COPZ1,1,0,-0.0164,0.0164
AP2B1,ECE1,-1,0,-0.0,0.0
AP2B1,EIF2S1,0,0,-0.0198,0.0198
AP2B1,GGA1,-1,0,0.1007,0.1007
AP2B1,GGA2,2,0,0.0,0.0
AP2B1,GGA3,2,0,0.1887,0.1887
AP2B1,GORASP1,-1,0,-0.0,0.0
AP2B1,HSPA5,-2,0,0.0,0.0
AP2B1,HSPA9,-2,0,-0.005,0.005
AP2B1,IDE,-1,0,-0.118,0.118
AP2B1,ITPR1,-2,0,0.0,0.0
AP2B1,ITPR2,-2,0,-0.0,0.0
AP2B1,LRP1,-1,0,0.0604,0.0604
AP2B1,MAP2K3,-1,0,-0.0,0.0
AP2B1,MAPK14,-1,0,-0.0,0.0
AP2B1,MAPKAPK2,-1,0,-0.0368,0.0368
AP2B1,MFN2,-2,0,0.0219,0.0219
AP2B1,NCSTN,-1,0,-0.0,0.0
AP2B1,OSBP,0,0,0.1517,0.1517
AP2B1,PICALM,5,0,0.0,0.0
AP2B1,PLG,-2,0,-0.0,0.0
AP2B1,PREB,0,0,-0.1653,0.1653
AP2B1,PSEN1,-1,0,-0.0068,0.0068
AP2B1,RAB1A,0,0,0.0816,0.0816
AP2B1,RAB1B,-1,0,0.0,0.0
AP2B1,RTN3,-1,0,0.0023,0.0023
AP2B1,RTN4,-1,0,0.0,0.0
AP2B1,SAR1A,0,0,-0.0126,0.0126
AP2B1,SAR1B,-1,0,-0.0693,0.0693
AP2B1,SEC13,-1,0,0.0,0.0
AP2B1,SEC16A,0,0,-0.0978,0.0978
AP2B1,SEC23A,0,0,0.0663,0.0663
AP2B1,SEC23B,-1,0,-0.0,0.0
AP2B1,SEC24B,0,0,-0.0185,0.0185
AP2B1,SEC24C,2,0,0.0,0.0
AP2B1,SEC24D,0,0,0.0324,0.0324
AP2B1,SIGMAR1,-2,0,-0.0954,0.0954
AP2B1,SNX4,0,0,0.2987,0.2987
AP2B1,SORL1,-1,0,-0.1562,0.1562
AP2B1,SORT1,-1,0,0.0,0.0
AP2B1,SREBF2,-2,0,-0.0,0.0
AP2B1,TMED9,0,0,-0.0016,0.0016
AP2B1,VLDLR,3,0,-0.0,0.0
AP2B1,VPS26A,-1,0,-0.0455,0.0455
AP2B1,VPS35,-1,0,0.2604,0.2604
AP3B2,ADAM10,0,0,-0.0122,0.0122
AP3B2,AP1G1,3,0,0.0213,0.0213
AP3B2,AP2A1,3,0,0.0374,0.0374
AP3B2,AP2B1,3,0,0.0,0.0
AP3B2,AP4B1,3,0,-0.0,0.0
AP3B2,AP4E1,3,0,0.0416,0.0416
AP3B2,AP4M1,3,0,0.0,0.0
AP3B2,AP4S1,3,0,0.0888,0.0888
AP3B2,APP,2,0,-0.0,0.0
AP3B2,BACE1,0,0,0.1234,0.1234
AP3B2,COPA,0,0,0.0047,0.0047
AP3B2,COPB1,0,0,-0.0368,0.0368
AP3B2,COPB2,0,0,-0.0269,0.0269
AP3B2,COPG1,0,0,-0.0265,0.0265
AP3B2,COPG2,0,0,-0.0704,0.0704
AP3B2,COPZ1,0,0,-0.0042,0.0042
AP3B2,GGA1,0,0,0.0414,0.0414
AP3B2,GGA2,0,0,0.0856,0.0856
AP3B2,GGA3,0,0,0.0181,0.0181
AP3B2,HSPA5,0,0,0.0199,0.0199
AP3B2,HSPA9,0,0,0.0438,0.0438
AP3B2,ITPR1,0,0,0.1039,0.1039
AP3B2,ITPR2,0,0,-0.0262,0.0262
AP3B2,MAPK14,0,0,0.0121,0.0121
AP3B2,MFN2,0,0,0.0008,0.0008
AP3B2,MIA3,0,0,0.0089,0.0089
AP3B2,OSBP,0,0,0.0528,0.0528
AP3B2,RAB1A,0,0,0.0223,0.0223
AP3B2,RAB1B,0,0,0.0196,0.0196
AP3B2,RTN3,0,0,0.3429,0.3429
AP3B2,SAR1A,0,0,0.0813,0.0813
AP3B2,SAR1B,0,0,-0.0025,0.0025
AP3B2,SEC24A,0,0,0.012,0.012
AP3B2,SEC24B,0,0,0.0257,0.0257
AP3B2,SEC24C,0,0,0.0097,0.0097
AP3B2,SNX4,0,0,0.0324,0.0324
AP3B2,SNX6,0,0,-0.0643,0.0643
AP3B2,SYK,0,0,-0.0087,0.0087
AP3B2,VDAC1,0,0,0.1041,0.1041
AP3B2,VPS35,0,0,0.0613,0.0613
AP4B1,ADAM10,0,0,0.0004,0.0004
AP4B1,ADAM17,0,0,0.029,0.029
AP4B1,AP1G1,3,0,0.0264,0.0264
AP4B1,AP2A1,4,0,-0.0078,0.0078
AP4B1,AP2B1,4,0,0.0,0.0
AP4B1,AP3B2,3,0,-0.0133,0.0133
AP4B1,AP4E1,5,0,0.0559,0.0559
AP4B1,AP4M1,5,0,0.0,0.0
AP4B1,AP4S1,5,0,-0.0,0.0
AP4B1,APBA2,0,0,-0.0303,0.0303
AP4B1,APOE,0,0,0.015,0.015
AP4B1,APP,4,-1,-0.0,0.0
AP4B1,COPA,0,0,0.0344,0.0344
AP4B1,COPG1,0,0,0.0007,0.0007
AP4B1,COPG2,0,0,0.0208,0.0208
AP4B1,COPZ1,1,0,-0.0399,0.0399
AP4B1,EIF2S1,0,0,-0.0015,0.0015
AP4B1,HSPA9,0,0,0.0023,0.0023
AP4B1,IDE,0,0,0.0288,0.0288
AP4B1,ITPR2,0,0,0.0475,0.0475
AP4B1,PICALM,3,0,0.0,0.0
AP4B1,PLCG2,0,0,0.0339,0.0339
AP4B1,PREB,0,0,-0.0206,0.0206
AP4B1,PSEN1,0,0,-0.0089,0.0089
AP4B1,RAB1A,0,0,-0.0017,0.0017
AP4B1,RTN3,0,0,-0.0508,0.0508
AP4B1,SEC23B,0,0,0.0042,0.0042
AP4B1,SEC24A,0,0,0.0274,0.0274
AP4B1,SEC24C,0,0,0.0244,0.0244
AP4B1,SEC24D,0,0,-0.0166,0.0166
AP4B1,SNX6,0,0,0.0116,0.0116
AP4B1,SORL1,0,0,0.0171,0.0171
AP4B1,SORT1,3,0,0.0024,0.0024
AP4B1,SYK,0,0,0.0085,0.0085
AP4B1,TMED9,0,0,-0.008,0.008
AP4B1,VLDLR,0,0,0.0231,0.0231
AP4E1,ABCA7,0,0,0.0336,0.0336
AP4E1,AP1G1,3,0,0.0102,0.0102
AP4E1,AP2A1,4,0,0.005,0.005
AP4E1,AP2B1,4,0,-0.0,0.0
AP4E1,AP3B2,3,0,0.0205,0.0205
AP4E1,AP4B1,5,0,0.0598,0.0598
AP4E1,AP4M1,5,0,0.0315,0.0315
AP4E1,AP4S1,5,0,0.0367,0.0367
AP4E1,APBA2,0,0,0.0201,0.0201
AP4E1,APOE,0,0,0.0099,0.0099
AP4E1,APP,4,-1,-0.0,0.0
