,node_R2
ABCA7,0.1695741226508639
ADAM10,0.8116136086982543
ADAM17,0.4184202298856111
AP1G1,0.8206550770147141
AP2A1,0.9014405325614243
AP2B1,0.8954940047111172
AP3B2,0.7762371516077164
AP4B1,0.1612611703462744
AP4E1,0.1181210740420996
AP4M1,0.12722851631874954
AP4S1,0.23903945686495998
APBA1,0.6029826462047279
APBA2,0.4649069003997437
APOE,0.5749033724925381
APP,0.48405534618942503
ARF6,0.5366454817672713
BACE1,0.4327373679019254
BIN1,0.819859063462292
CLU,0.7215842923063349
COPA,0.6164592909614209
COPB1,0.6195848575681033
COPB2,0.7689027380101368
COPE,0.45089089439850727
COPG1,0.6560371268076934
COPG2,0.3135643569520832
COPZ1,0.44547406852608995
ECE1,0.36255387150730956
EIF2S1,0.5465675053503167
GGA1,0.5896057218773612
GGA2,0.49773523929638974
GGA3,0.6524725482250667
GORASP1,0.08235119936077928
HSPA5,0.6995384677126353
HSPA9,0.6791418499985118
IDE,0.38900397547959153
ITPR1,0.4324021671521916
ITPR2,0.6539307511818582
LRP1,0.7563746647931422
MAP2K3,0.24911735018292958
MAPK14,0.489036230339827
MAPKAPK2,0.5176379718929801
MFN2,0.7910140455176417
MIA3,0.6179021976647346
NCSTN,0.2927010100591977
OSBP,0.520837335082509
PICALM,0.450047816238068
PLCG2,0.24712467253342874
PLG,0.14965173622167638
PREB,0.4320247306207273
PSEN1,0.17802388952574688
RAB1A,0.815283312024381
RAB1B,0.608572966466214
RTN3,0.6373385038145305
RTN4,0.5433392670161898
SAR1A,0.4333498724760093
SAR1B,0.6262335838100366
SEC13,0.5707975127002602
SEC16A,0.4832528928215619
SEC23A,0.6785557780926553
SEC23B,0.4802823405320622
SEC24A,0.3264524483484773
SEC24B,0.47324886504653096
SEC24C,0.6498909529061868
SEC24D,0.36514435864154915
SEC31A,0.7000175186755876
SIGMAR1,0.13841872068505223
SNX4,0.6611206007829711
SNX6,0.6761196628764852
SORL1,0.5221789569102699
SORT1,0.6549615234760864
SREBF2,0.11275014218984158
SYK,0.4315663689120057
TMED10,0.6616889758597226
TMED2,0.49944130656317687
TMED9,0.5834733616353858
VDAC1,0.6862348944698577
VLDLR,0.25837149236517165
VPS26A,0.6987337323109861
VPS29,0.7867166860807528
VPS35,0.8423491583480487
