variable,state,n,seed_edges,seed_pos,N300_vs_100_edges,N300_vs_100_pos,bestDAG_jaccard_seeds
sex,female,941,0.8275453251324029,0.9906078282324943,0.8704874272163229,0.9969291716968083,0.17694366390141977
sex,male,629,0.8590047232513057,0.9936629743610085,0.8999643828143865,0.9968120018752931,0.19876073560875365
apoe_genotype,23,158,0.8108693232646921,0.9920690428072918,0.865763904643711,0.9972925140454587,0.15251945512161982
apoe_genotype,33,804,0.825304651208504,0.9951515684527464,0.8753043892829544,0.9980543834974215,0.17482567846165756
apoe_genotype,34,422,0.8646528168089863,0.9935458665416471,0.9090360441664093,0.9963666197843415,0.19097709304021734
cts_mmse30_lv,24-30,367,0.7716565825396917,0.9944404702362283,0.8291387444489069,0.997538677918425,0.1494186072023224
braaksc,3,321,0.8361818937137454,0.9951906160161533,0.8802531385968896,0.997515236755743,0.17951680129282432
braaksc,4,360,0.8225388239494503,0.9952492224828667,0.8670294275256355,0.9985524997387812,0.16073418068598286
braaksc,5,310,0.8521177323243222,0.9931941704889752,0.8908815721220509,0.9980895229180976,0.16472068406204118
braaksc,6,268,0.8936861309726328,0.9941397093295828,0.9274608465201636,0.9970932958274731,0.220972316103931
ceradsc,2,169,0.7338066959336395,0.9970971789679334,0.8017510314191845,0.998241912798875,0.12332600991055166
ceradsc,3,219,0.7639050909242001,0.9957180475681593,0.8239186716156589,0.9979078639872715,0.1323725739925934
amyThal,5,218,0.9175343816631708,0.9929207688701359,0.9400237521970612,0.9973277074542899,0.25366475257814214
amyA,3,277,0.9034549790088585,0.989342042309644,0.9317973440319346,0.9963666197843415,0.2569551438296466
amyCerad,0,171,0.8722827446505046,0.9938115074204834,0.9041625982999625,0.9963490175336204,0.19801397263376586
amyCerad,3,333,0.8719201295222838,0.9919361754605361,0.9074388315930889,0.9973100950550288,0.21439890622086089
amyAny,0,171,0.8689916696291348,0.9937099546804188,0.9005172468648207,0.9965775902484764,0.1970342532692435
amyAny,1,521,0.8633734026959307,0.9926276994673872,0.9037979022074978,0.994180697278542,0.21896236867817762
reag,1,197,0.8187208540062857,0.9948741990936085,0.8630295140911921,0.9972808251289264,0.15330097684295874
reag,2,218,0.8659010178467638,0.9922721975357254,0.9043526163508652,0.9976148477365852,0.19461139688258874
reag,3,244,0.8642357365466303,0.9924674835016929,0.9061249510419758,0.9979723157309447,0.19239050776299904
