config,rep_edges,rep_pos,rep_top,lambda_used,density,sink_entropy,sink_pmax,kendall,best_minus_mean,C_enrich_+5,C_z_+5,C_enrich_+3,C_z_+3,C_enrich_-1,C_z_-1,C_enrich_-2,C_z_-2,C_orient,acyclic,acyclic_all,LAMBDA_MODE,LAMBDA,LAMBDA_Q,TAU_A_RATIO,T_SOFTMAX,SHRINK_SCALE,CONTEXT,score,eligible
LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.11676937513793254,0.60757275636142,0.12857142857142856,0.15,0.22983386075949366,0.8486180363367941,0.09253421820209819,0.32240058729615684,0.011489262573428777,1.3632180743385387,6.138768353168995,1.0470108374257023,1.4072712996741046,0.9651672339871034,-1.4697066744135836,0.9921518755950489,-0.20803448929817264,0.4825225552500161,1.0,True,abs,0.15,0.85,0.5,0.1,1.0,all,0.3621710657496763,True
LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.1184937439235988,0.5942334739803095,0.13261648745519714,0.12,0.2662863924050633,0.5310228332146778,0.308748753442148,0.5234391036606226,0.012072540497235329,1.3875326270611419,6.461087650774253,1.0455697749064459,1.2472409586203559,0.9540968051297712,-1.7245874268068802,0.9933560929048049,-0.12083067514731842,0.4782058760852125,1.0,True,abs,0.12,0.85,0.5,0.05,1.0,all,0.3563636089519541,True
LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.11753659737336712,0.5950643764350266,0.12455516014234876,0.15,0.23109335443037976,0.6178569144883841,0.24162475773804093,0.5552552424993169,0.009501743407378554,1.360706195675267,6.218845025183045,1.0433872504630133,1.2084614342455926,0.9598463664906921,-1.6638423479837892,0.9942566411827307,-0.1269046384504836,0.4967771317829457,1.0,True,abs,0.15,0.85,0.5,0.05,1.0,all,0.35630048690419686,True
LAMBDA_MODE=abs|LAMBDA=0.2|LAMBDA_Q=0.85|TAU_A_RATIO=0.25|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.10226002086620659,0.6092827004219409,0.12455516014234876,0.2,0.07467879746835443,0.5853163861435217,0.23099721506569784,0.6408146050646688,0.02407089153793171,2.055058286744963,7.812367808049572,1.1219030058153985,1.3009957940359116,0.8874172797353606,-1.891988735793956,0.9714354232217977,-0.5734545832944171,0.5240559205332564,1.0,True,abs,0.2,0.85,0.25,0.05,1.0,all,0.3557713606440737,True
LAMBDA_MODE=abs|LAMBDA=0.1|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.12644227586288256,0.5826100715645728,0.13261648745519714,0.1,0.30167721518987345,0.5089955462686788,0.3471843281514898,0.45166877637130803,0.014372867386247296,1.3791645630570968,6.098499255065988,1.0503598281766218,1.2216286911905399,0.9516398182100427,-1.592736771644741,0.9991843223114294,-0.01386982915285373,0.477003636111613,1.0,True,abs,0.1,0.85,0.5,0.05,1.0,all,0.3545261737137277,True
LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.02|SHRINK_SCALE=1.0|CONTEXT=all,0.12281025833533156,0.5853258321612752,0.12455516014234876,0.12,0.2669905063291139,0.22683380696416594,0.6375517564493847,0.7320005849235524,0.011204201215440635,1.3876340687693878,6.4043812724757,1.0454986387139158,1.2693315134261343,0.9559931413030771,-1.6798856170416145,0.9939109453358523,-0.13929186153197853,0.4962036828465748,1.0,True,abs,0.12,0.85,0.5,0.02,1.0,all,0.3540680452483034,True
LAMBDA_MODE=abs|LAMBDA=0.2|LAMBDA_Q=0.85|TAU_A_RATIO=0.25|T_SOFTMAX=0.2|SHRINK_SCALE=1.0|CONTEXT=all,0.10854200487907245,0.5979371776840131,0.12857142857142856,0.2,0.07290506329113924,0.9177618049307156,0.047709266772963346,0.24360717016396227,0.025905242963410166,2.0643007926552754,7.871214681188283,1.1198417907910687,1.2893920646571084,0.8903152208259704,-1.928465470751121,0.9665575795499648,-0.5356679993002856,0.48096173432271205,1.0,True,abs,0.2,0.85,0.25,0.2,1.0,all,0.3532395912815428,True
LAMBDA_MODE=abs|LAMBDA=0.08|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.11703301862080039,0.5864661654236044,0.1407942238267148,0.08,0.3468386075949367,0.8941088232319256,0.1004513144156294,0.13589329708605896,0.016999788568067886,1.3603952069401495,5.816556386798528,1.0564415738881858,1.5251286655049892,0.9609293669621157,-1.4183169135497857,0.9954226676581379,-0.020576033422061824,0.4534201446053525,1.0,True,abs,0.08,0.85,0.5,0.1,1.0,all,0.3517495920222024,True
LAMBDA_MODE=abs|LAMBDA=0.12|LAMBDA_Q=0.85|TAU_A_RATIO=0.25|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.12162605837577055,0.5792462450066941,0.13261648745519714,0.12,0.15773417721518987,0.6589707725608319,0.27152834187166186,0.2738955908588905,0.027859075110955395,1.961957730700241,7.081987109886272,1.109595343085163,1.3695471673569257,0.9038547485878259,-1.8978835089854722,0.9864281619908376,-0.2568160150232939,0.48491698201624733,1.0,True,abs,0.12,0.85,0.25,0.1,1.0,all,0.3504361516912323,True
LAMBDA_MODE=abs|LAMBDA=0.2|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.05|SHRINK_SCALE=1.0|CONTEXT=all,0.10675449155332377,0.5896390060947023,0.12455516014234876,0.2,0.19697784810126584,0.7428438277655982,0.14486482099873343,0.5340740355936601,0.00943516418422162,1.3324850998684932,6.411568299952965,1.0414635106657237,1.3379215014018553,0.9650553101231096,-1.723734187507912,0.9973326385149386,-0.09823865224063538,0.4874265630211139,1.0,True,abs,0.2,0.85,0.5,0.05,1.0,all,0.348196748824013,True
