variable,state,config,rep_edges,rep_pos,rep_top,lambda_used,density,sink_entropy,sink_pmax,kendall,best_minus_mean,C_enrich_+5,C_z_+5,C_enrich_+3,C_z_+3,C_enrich_-1,C_z_-1,C_enrich_-2,C_z_-2,C_orient,acyclic
sex,female,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=all,0.17069891546740085,0.8440743323769669,0.234375,0.15,0.2349256329113924,0.7618713143846305,0.12373887108526174,0.4950204436234723,0.010665606466157773,1.485845920463611,7.857537613422167,1.075071896577859,2.3207095920909557,0.9420560452358187,-2.2974299135488914,1.004204475622955,0.1336002145422935,0.5317533922003812,True
sex,female,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=1.5|CONTEXT=all,0.16517860945402255,0.8434698016261682,0.234375,0.15,0.22102215189873417,0.7828012729052852,0.10415685275326356,0.4850826843111907,0.011252858466262255,1.4774539140234124,8.119762559642416,1.083538727016095,2.629302450203837,0.9346078160853171,-2.7470483033070314,1.001743628934507,0.025781103886914118,0.5307562966724084,True
sex,female,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=2.0|CONTEXT=all,0.1735103754078857,0.8609001406469761,0.2490118577075099,0.15,0.21079905063291138,0.8019308369027718,0.09017347644665039,0.4832867853198539,0.008803205737075548,1.5091412387712224,9.031788622074611,1.0703464019871565,2.3712745991331228,0.9293657143296667,-3.0080561990117785,0.9956955700546879,-0.1768009349272605,0.5223445085303171,True
sex,female,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=3.0|CONTEXT=all,0.18069225975747577,0.8782934833567746,0.2793522267206478,0.15,0.19465506329113924,0.8371727429361533,0.07136763207924239,0.45663226677106117,0.008483107530906961,1.4786883107797029,9.370148373218349,1.0712636780558913,2.4764884588366107,0.9431723482533205,-2.6963834115079734,0.9979097241930508,-0.13445803751506094,0.5085119916893753,True
sex,female,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=no_pmi,0.16370321384670833,0.8419060121218884,0.2248062015503876,0.15,0.2347610759493671,0.7657079223697859,0.1245882108906309,0.49346246042151226,0.01422758333255475,1.4917436097685632,8.01420546099196,1.0856086159063483,2.6532255809445777,0.9375662466563868,-2.4664721116502704,1.0043803065151085,0.12909820728270274,0.5318727268070284,True
sex,female,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=1.5|CONTEXT=no_pmi,0.1628886628558407,0.8472087108963414,0.26907630522088355,0.15,0.22120727848101265,0.7858915371771614,0.10437050665468772,0.47719725183513306,0.01191354591283042,1.4897858642286042,8.41259474404811,1.0818128460273755,2.5983340035232954,0.9265383817046082,-3.053294567868666,1.0103616981559658,0.30326657475636215,0.5308596662638521,True
sex,female,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=2.0|CONTEXT=no_pmi,0.17227005654412797,0.8542897327707455,0.2589641434262948,0.15,0.21075316455696202,0.8035270277374902,0.08941951322600494,0.48641195034980605,0.008641808087867436,1.5022195034127988,9.202630363864557,1.0741624196210875,2.4745729617061776,0.9320347045601238,-2.9586986020967783,0.9992698902014983,-0.06449278352570886,0.5206918973087573,True
sex,female,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=3.0|CONTEXT=no_pmi,0.16659532746862946,0.8594936708860761,0.2897959183673469,0.15,0.19513765822784812,0.8369047138048831,0.06914358168272078,0.46795865985346485,0.006996177420634714,1.487299872332439,9.455856045108163,1.0682231465131475,2.39109917820292,0.9346554025062254,-3.0292828248218022,0.9939605908619982,-0.2877096175086462,0.4984129521373767,True
sex,female,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=1.0|CONTEXT=none,0.17637124225908102,0.8457954605535631,0.2248062015503876,0.15,0.23354746835443038,0.7627708217286621,0.11067907832826979,0.48995591834719776,0.010747262709458916,1.4732009707680076,7.539359452074517,1.0709805485886774,2.214447500466898,0.944225422154926,-2.243082793153163,1.0034570695864597,0.08748474265621986,0.5281457743104498,True
sex,female,LAMBDA_MODE=abs|LAMBDA=0.15|LAMBDA_Q=0.85|TAU_A_RATIO=0.5|T_SOFTMAX=0.1|SHRINK_SCALE=1.5|CONTEXT=none,0.1746077159826207,0.868284106891702,0.23921568627450981,0.15,0.22052056962025318,0.7833548847321831,0.09615619564987812,0.4904144720074759,0.010695622421548506,1.4858695817455296,8.21487528405482,1.0745582293890643,2.361190570629498,0.9364101545749176,-2.6518133411887783,0.9981392446060684,-0.08118445172018435,0.5325799570753289,True
