57 states, 2 workers, solver=lw
  [1/57] sex=female n=941 ok best=0.3663 4.2s
  [2/57] apoe_genotype=33 n=804 ok best=0.3637 4.4s
  [3/57] sex=male n=629 ok best=0.3886 4.1s
  [4/57] amyAny=1 n=521 ok best=0.4097 4.2s
  [5/57] apoe_genotype=34 n=422 ok best=0.3883 4.4s
  [6/57] cts_mmse30_lv=24-30 n=367 ok best=0.3098 4.5s
  [7/57] amyCerad=3 n=333 ok best=0.4151 4.2s
  [8/57] braaksc=4 n=360 ok best=0.3361 4.9s
  [9/57] braaksc=5 n=310 ok best=0.363 4.3s
  [10/57] braaksc=3 n=321 ok best=0.3612 4.6s
  [11/57] amyA=3 n=277 ok best=0.4695 4.2s
  [12/57] braaksc=6 n=268 ok best=0.4424 4.3s
  [13/57] reag=3 n=244 ok best=0.3951 4.5s
  [14/57] ceradsc=3 n=219 ok best=0.2885 4.9s
  [15/57] amyThal=5 n=218 ok best=0.4757 4.1s
  [16/57] reag=2 n=218 ok best=0.3911 4.6s
  [17/57] reag=1 n=197 ok best=0.3487 4.3s
  [18/57] amyCerad=0 n=171 ok best=0.4022 4.7s
  [19/57] amyAny=0 n=171 ok best=0.4032 4.5s
  [20/57] ceradsc=2 n=169 ok best=0.2738 4.5s
  [21/57] apoe_genotype=23 n=158 ok best=0.3254 4.7s
  [22/57] ceradsc=0 n=144 ok best=0.2434 4.6s
  [23/57] braaksc=2 n=142 ok best=0.3363 4.5s
  [24/57] amyCerad=2 n=140 ok best=0.3504 4.3s
  [25/57] braaksc=1 n=106 ok best=0.3211 4.3s
  [26/57] PlaqueTotal=12-15 n=97 ok best=0.3053 4.5s
  [27/57] cts_mmse30_lv=18-24 n=75 ok best=0.2005 4.4s
  [28/57] apoe_genotype=44 n=68 ok best=0.3538 4.4s
  [29/57] amyThal=3 n=68 ok best=0.3303 4.3s
  [30/57] amyA=2 n=68 ok best=0.3304 4.3s
  [31/57] amyA=1 n=65 ok best=0.3655 3.8s
  [32/57] TangleTotal=12-15 n=63 ok best=0.2564 4.2s
  [33/57] cts_mmse30_lv=0-6 n=62 ok best=0.1853 4.4s
  [34/57] ceradsc=1 n=58 ok best=0.2221 4.6s
  [35/57] cts_mmse30_lv=12-18 n=56 ok best=0.2491 4.7s
  [36/57] amyThal=4 n=55 ok best=0.3473 4.9s
  [37/57] cts_mmse30_first_ad_dx=18-24 n=48 ok best=0.2728 4.8s
  [38/57] amyCerad=1 n=48 ok best=0.1893 4.7s
  [39/57] PlaqueTotal=0-3 n=43 ok best=0.2208 4.5s
  [40/57] TangleTotal=6-9 n=43 ok best=0.2357 4.6s
  [41/57] apoe_genotype=24 n=40 ok best=0.3031 4.8s
  [42/57] cts_mmse30_first_ad_dx=24-30 n=39 ok best=0.1578 4.7s
  [43/57] TangleTotal=3-6 n=37 ok best=0.2367 4.8s
  [44/57] amyThal=1 n=33 ok best=0.2953 4.7s
  [45/57] reag=0 n=33 ok best=0.2795 4.8s
  [46/57] cts_mmse30_lv=6-12 n=30 ok best=0.2219 4.5s
  [47/57] amyThal=2 n=29 ok best=0.2825 5.1s
  [48/57] TangleTotal=0-3 n=24 ok best=0.1931 5.0s
  [49/57] TangleTotal=9-12 n=23 ok best=0.2055 4.7s
  [50/57] PlaqueTotal=9-12 n=22 ok best=0.2097 4.4s
  [51/57] cts_mmse30_first_ad_dx=12-18 n=20 ok best=0.2062 5.0s
  [52/57] PlaqueTotal=6-9 n=15 ok best=0.2031 4.7s
  [53/57] cts_mmse30_first_ad_dx=6-12 n=13 ok best=0.1904 4.9s
  [54/57] PlaqueTotal=3-6 n=13 ok best=0.1943 4.8s
  [55/57] apoe_genotype=22 n=8 ok best=0.1893 4.6s
  [56/57] cts_mmse30_first_ad_dx=0-6 n=6 ok best=0.1796 4.5s
  [57/57] braaksc=0 n=6 ok best=0.1778 4.6s
done in 132s -> /home/claude/cw/big1/results_sweep_winner/summary.csv
57 states, 2 workers, solver=lw
  [1/57] sex=female n=941 ok best=0.3063 2.3s
  [2/57] apoe_genotype=33 n=804 ok best=0.3022 2.4s
  [3/57] amyAny=1 n=521 ok best=0.3413 2.5s
  [4/57] sex=male n=629 ok best=0.3219 2.6s
  [5/57] cts_mmse30_lv=24-30 n=367 ok best=0.2561 2.5s
  [6/57] apoe_genotype=34 n=422 ok best=0.3288 2.5s
  [7/57] amyCerad=3 n=333 ok best=0.3416 2.3s
  [8/57] braaksc=4 n=360 ok best=0.2817 2.3s
  [9/57] braaksc=3 n=321 ok best=0.2995 2.6s
  [10/57] braaksc=5 n=310 ok best=0.3015 2.6s
  [11/57] braaksc=6 n=268 ok best=0.3659 2.5s
  [12/57] amyA=3 n=277 ok best=0.3908 2.6s
  [13/57] reag=3 n=244 ok best=0.329 2.2s
  [14/57] ceradsc=3 n=219 ok best=0.2423 2.3s
  [15/57] amyThal=5 n=218 ok best=0.4013 2.6s
  [16/57] reag=2 n=218 ok best=0.3222 2.5s
  [17/57] reag=1 n=197 ok best=0.2875 2.3s
  [18/57] amyCerad=0 n=171 ok best=0.332 2.6s
  [19/57] amyAny=0 n=171 ok best=0.3317 2.5s
  [20/57] ceradsc=2 n=169 ok best=0.2303 2.2s
  [21/57] ceradsc=0 n=144 ok best=0.2061 2.2s
  [22/57] apoe_genotype=23 n=158 ok best=0.2606 2.6s
  [23/57] braaksc=2 n=142 ok best=0.2797 2.5s
  [24/57] amyCerad=2 n=140 ok best=0.2898 2.3s
  [25/57] PlaqueTotal=12-15 n=97 ok best=0.2519 2.1s
  [26/57] braaksc=1 n=106 ok best=0.2686 2.3s
  [27/57] cts_mmse30_lv=18-24 n=75 ok best=0.1799 2.3s
  [28/57] apoe_genotype=44 n=68 ok best=0.2903 2.6s
  [29/57] amyThal=3 n=68 ok best=0.2728 2.5s
  [30/57] amyA=2 n=68 ok best=0.2791 2.4s
  [31/57] amyA=1 n=65 ok best=0.3029 2.1s
  [32/57] TangleTotal=12-15 n=63 ok best=0.2179 2.6s
  [33/57] cts_mmse30_lv=0-6 n=62 ok best=0.1692 2.5s
  [34/57] ceradsc=1 n=58 ok best=0.1949 2.2s
  [35/57] cts_mmse30_lv=12-18 n=56 ok best=0.2136 2.4s
