source,target,A,B_coef
AP4E1,SYK,0.9934672278452571,0.22560924239208446
PICALM,RAB1B,0.9812352522197705,0.19892080619675975
ARF6,SYK,0.9802190492985696,-0.19757641693919192
VPS35,VPS29,0.974230499885109,0.19081140754938902
ADAM17,COPG2,0.9729128365684707,0.18953086386175985
RTN4,COPZ1,0.9577283481335256,0.17801118708912173
EIF2S1,HSPA5,0.941418824781188,0.16942436805935074
APBA1,SAR1A,0.9403682948013766,-0.16895210506155778
RTN3,RTN4,0.9297445747343087,0.16456930910968084
SEC24A,SORL1,0.9076491482943235,-0.15713157435463126
MAP2K3,PREB,0.9003360199067675,0.15502409300808748
COPB1,COPG2,0.8823023270429811,0.15036038821489572
SEC24A,SEC23B,0.882065862987421,0.15030351050205418
PLG,MAPK14,0.8694331796874388,0.14739890882382897
PICALM,SYK,0.8439203288173559,0.14219228758537472
AP1G1,COPZ1,0.8340065806276513,-0.14035732868832326
LRP1,MAPK14,0.8197450862576742,-0.13786553462526818
SEC24A,VPS29,0.818468505608682,-0.1376501439105234
PLG,AP4S1,0.8110411174591778,0.13641973284589307
COPB1,COPE,0.8072648075489901,0.13580836414353872
SEC24B,SEC23B,0.805519686139094,-0.13552891745290965
ITPR1,SORT1,0.7946681360020864,0.13383242673814613
TMED2,TMED10,0.7917278732829469,0.13338430530719397
APBA1,SEC24D,0.7866784919752267,-0.13262547965987728
ARF6,PLCG2,0.7824968099496418,0.13200690820862368
ITPR1,OSBP,0.777491735575994,0.13127771925293683
TMED2,SAR1A,0.7766512039079752,0.1311564172752238
GGA1,COPA,0.7738736500519583,-0.1307578675955031
NCSTN,SIGMAR1,0.7709468278415135,0.13034163091413856
AP2B1,AP2A1,0.7630370979362354,0.129235076343615
SEC23B,AP4S1,0.7516543720583029,-0.12768637924238613
SAR1B,SEC24B,0.7515410787436999,0.12767120862440964
SNX6,SEC24D,0.7497312765242905,-0.12742949024696035
ABCA7,MAPK14,0.7462139339846466,-0.126963017038342
