,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,0.04387510917000861,0.03785908609493309,0.01896978862423978,0.024659143137898357,0.02753709932871585,0.024139122067055402,0.04194338373151085,0.12754183186509502,0.0903439370090542,0.01939239984698003,0.018181528675230037,0.19640725144635426,0.06713548571826011,0.02627912194204134,0.025753719187803056,0.05424975854707602,0.07133778353947348,0.0486145678204467,0.043499594576554786,0.02411145941098312,0.024010882904855885,0.10942473353935844,0.07825017036148967,0.09239334274643775,0.03758273663936903,0.26588245631486374,0.05307141319913174,0.3883833383415624,0.12839709029192112,0.029581645384139363,0.01984946571046316,0.02306731627275843,0.14085762010466124,0.0607311972664244,0.020084100379048196,0.025932196299395027,0.10138998438483819,0.03439174667846276,0.061119697032994365,0.04624348697633569,0.127398505370482,0.1277910826022118,0.040047924208178064,0.07674688739163117,0.28749709756513847,0.06676916482987803,0.06253237754389526,0.04217868602571448,0.0248482223554176,0.023407338065637693,0.03000341850644069,0.03063098377450732,0.3440475308632575,0.032462974201174194,0.023818805561686415,0.05855732282689467,0.07372268502394329,0.0655344458756766,0.07965540553426749,0.02869188442573615,0.09001173431908287,0.024794330288682085,0.05914908263618188,0.07726965971590999,0.029372278621069493,0.05617199663901874,0.04391013245586172,0.05153572586114376,0.029518946665613,0.022509453711951947,0.03330445139624094,0.032187535915513266,0.09757479863113112,0.02723657262462981,0.32175295614741906,0.1373443493211079,0.07628190622515801,0.053980154310947694,0.018308209370165633
ADAM10,0.04909906661474336,0.0,0.02850514378794361,0.033083583674432544,0.08756964664854772,0.05638958814104197,0.09544573819950848,0.018241972328160924,0.02985512943319991,0.02452547906289372,0.029966580400029252,0.018523475219936116,0.02288109743712021,0.03806471155900117,0.021835146345714387,0.019012501939006075,0.041135148114704014,0.04177283990093372,0.01926861805021306,0.04704482249609413,0.04628519766252767,0.03931318212936522,0.020102301190715696,0.20400701194001694,0.04154696225583129,0.0273597818101063,0.05434977602316956,0.04492635629312311,0.04144794949683387,0.04964820450275529,0.03800331096913952,0.027545082648154508,0.07489829245563605,0.04189039145487342,0.060438790935709544,0.023472796833091763,0.03687340867706802,0.03913460823759278,0.028545957162598612,0.06370787949978851,0.03510850332066411,0.025016440679274707,0.04403076704925063,0.04343572529859863,0.01909520562852604,0.03511760833762367,0.04986118296248119,0.04094022036346988,0.02250796293252686,0.02338390364093557,0.026050220385525534,0.051597183467182894,0.021355853257756324,0.05000699107243135,0.0445586985836752,0.09216246922847972,0.02529317404698016,0.022920975145802297,0.027899122420961972,0.03344001288726087,0.03405157552166206,0.029515694797296346,0.04720726726526746,0.01904075019212495,0.021774454782466156,0.037212704333332194,0.07531060566685444,0.09441389716206963,0.019343153885524347,0.12350101367154097,0.01849662091832775,0.02777131741780584,0.01817094351859121,0.03536114103268121,0.020957446815172035,0.02380830130510845,0.021310249829105402,0.019757005472843148,0.047853107634846626,0.021869309539423464
ADAM17,0.039808797369195036,0.027817993853943047,0.0,0.058764748999980194,0.029536955933320442,0.04782648951531527,0.0455728703485427,0.021030657956238926,0.047690935089909264,0.02604906056567033,0.033914506824824164,0.07656484931393873,0.12624433509310246,0.025525224275699348,0.06593611840987318,0.12139284938288389,0.13141760081102719,0.04951582613853115,0.01931013345289344,0.023975931741139624,0.03278025269319249,0.01851981046227134,0.023131006048546933,0.02115654561492911,0.02657277821577747,0.05183539632564525,0.12147912372161397,0.0209946050849545,0.02667529207627763,0.02322749525484818,0.05747128976328364,0.025391673672652753,0.04653974646796105,0.023746478354150446,0.04755097863543612,0.05166390908442495,0.02119426275437933,0.057601797122498806,0.0331587340638396,0.06976853806841929,0.021739747937363142,0.024348945428943253,0.028195707879269432,0.03662029718785813,0.06072531173001653,0.08144725471851628,0.040158536357368185,0.02052452323194121,0.05803118639722642,0.02974306810355865,0.8628812360337681,0.0780486220116637,0.08810613317973044,0.023483130694177956,0.3812998557452788,0.11912926084438875,0.02163407927740697,0.06894471114182733,0.021932197401202756,0.036178401592983106,0.18211534016362657,0.13803802335301685,0.020327415870693755,0.027169243302385376,0.024109369660935707,0.022792601423095922,0.0202246043410926,0.04627458417165718,0.018989971453525864,0.022629228836410997,0.036929786661402966,0.09770340814795996,0.03738566543662383,0.03628563105975881,0.022044932143501242,0.027241592614782248,0.024040460767747282,0.05272342917947141,0.03440338984959262,0.049973185362788504
AP1G1,0.019038803620742804,0.032033560066346466,0.05875994695523439,0.0,0.14416027132432344,0.27846255690859084,0.10092836596987619,0.05802527460558496,0.06969309060245027,0.03095157217866171,0.028878386102476918,0.28094943836394937,0.02548512023608948,0.04924130439193793,0.020249500659359283,0.03907534798826688,0.06907413117399297,0.07229447421418582,0.02349177203626424,0.04227958803579565,0.034777395609205425,0.03623899446138001,0.02951793047606579,0.023343788834382474,0.028203470767272688,0.022794567764916465,0.058779829540555384,0.03373659596270337,0.02162087663913365,0.06871572985018207,0.021044909553803136,0.03869863580266928,0.03646922791620767,0.01827391165313157,0.07006406432504093,0.01882996260574523,0.018935504287620534,0.03369762330094358,0.04554251878216741,0.03150456563107613,0.052888022538639834,0.0463801135749964,0.026907639345026213,0.03590278539757638,0.08080025773633281,0.07683152727924511,0.02325268599056539,0.029930726026167743,0.031220809062525497,0.07274022151227948,0.15185670732162543,0.16962709365929354,0.024377988332492943,0.06806793389115169,0.12458630215159212,0.02184482480118429,0.03255823219158659,0.035594068618223236,0.03215097066759764,0.020669763628237605,0.05336963175149253,0.03465043530318243,0.06252295791796778,0.027387749860925004,0.10958557088060797,0.031698778825674324,0.2825788653289913,0.0992324599822223,0.052271433098199496,0.110152941684691,0.02953006089534048,0.053599483425433546,0.06257587661717257,0.13814608447050725,0.04534344805326682,0.06007674891830199,0.07473304726441815,0.08516023562233023,0.16144110056971414,0.2188092367574633
AP2A1,0.02521924279095943,0.08111237276926173,0.029579685680765078,0.1449846232286995,0.0,0.47280563914812307,0.2689967407228991,0.04515233163736573,0.07315707879882605,0.02209300741373607,0.02532925874332282,0.11972434952836153,0.06362892541528888,0.060703738777564194,0.051002436313434464,0.17376583497813514,0.07681643246392782,0.028977592286597288,0.02439570471491215,0.03932942576874785,0.02640434081573034,0.046336656567323616,0.018392421825119142,0.05066268849057481,0.0186843410251045,0.054249421466774236,0.05723652129789589,0.0915469965675022,0.0422563012534055,0.02401519213691632,0.06583883342131774,0.02379658837781179,0.13044147044130988,0.0321774360932312,0.1453629718084243,0.023510260637508412,0.019120086827808268,0.04029020816750525,0.027958032923076977,0.037458095671113925,0.022075445200549153,0.023734126121386045,0.042004287246321534,0.032823662789025224,0.045084543062280984,0.01889313060764162,0.08781031005659676,0.09177814283577172,0.03973439957714283,0.020057513191428133,0.09074444789575534,0.10956026884525272,0.04303567656520353,0.035253311611937316,0.018807136538954362,0.09976075969911181,0.03151937123461744,0.07945082116023301,0.06359319264436455,0.08557994610348604,0.02127716556647267,0.03893910280759492,0.023572323063665926,0.043339645627283416,0.020962562379388414,0.030721110300425628,0.08170224297876208,0.09901753091921342,0.0901242042228735,0.11301997660978198,0.020451527011537653,0.0852792563074806,0.04899617167702493,0.03163762915504329,0.026289027458276056,0.021816933086629454,0.02533986032183193,0.03809322981264436,0.19330546323761238,0.0752986449876341
AP2B1,0.02816687887197247,0.052347282699715315,0.04718833863281397,0.2700250276830841,0.45648514717899513,0.0,0.19545380174530894,0.03810229705504079,0.16609285178918212,0.01925445499870606,0.020231496796753404,0.267700241887707,0.035365633268898876,0.05333601513670371,0.05809741061558472,0.20033549655531457,0.12990649237756896,0.0388953997201744,0.024808473379346854,0.021485989393859904,0.024933275075412473,0.0324170720685538,0.02924997429180473,0.03280010901158017,0.041947739397164154,0.03930184033288156,0.08955473100220704,0.05627073930656414,0.08447357370755051,0.020940806066330243,0.09838298974272001,0.025923632276235155,0.12506590681809124,0.03441465888330035,0.09621301004499064,0.021846437925490625,0.024683583100886912,0.04068972337816944,0.020206138314719298,0.026694461835458722,0.03414755198096503,0.035411770299753044,0.034123781834793435,0.0351540839379149,0.07024716160839502,0.030629348346491912,0.1169042621886202,0.05210661132621088,0.06196467599034647,0.01977283240885696,0.1017120344171617,0.17332984820140793,0.04665636578205299,0.02087988417806957,0.04331681171371713,0.02821854353562912,0.020292862927279467,0.10197908238262951,0.08599130395517224,0.09082236435730813,0.02076423493031406,0.019891331465317415,0.024367162004103146,0.041782003396621234,0.0314447016803074,0.031327551926538265,0.11077983837715348,0.0210356009633396,0.07146343972760678,0.08969565826058398,0.030407506074899286,0.1097958457875791,0.04161746856555598,0.04322719099669189,0.02161971348000475,0.02144708561655949,0.018755689395684724,0.04266058712296656,0.2640206960032814,0.12983577717519776
AP3B2,0.024425075711422866,0.08425575755857216,0.04448689201126728,0.09668500499907837,0.25211952822507216,0.19040135339438158,0.0,0.03403173018353499,0.05290741819933373,0.034565425506868856,0.16065902509939134,0.08719923983372184,0.04708034796074138,0.03300665210078267,0.025409000387205945,0.13172658596673142,0.09682259438890646,0.045961175376858864,0.04115434168458894,0.026742673094840474,0.05500081058207246,0.04017343913157396,0.047372293788382557,0.13919458760717332,0.03058042299773507,0.031715605678588214,0.09281410863921392,0.04872464120256767,0.025783527552076472,0.047575626182782244,0.3711726795424743,0.020987308639984475,0.03578735525910589,0.022401717713562128,0.1412334504810961,0.02831314626562876,0.05599602101789238,0.028523222747854484,0.021566982802938214,0.04992507421200492,0.01961283482315212,0.01811311357003675,0.025407298605295208,0.08638913348162865,0.09255606656401683,0.023020196510039496,0.03406502921495674,0.03251347134752024,0.03937307459982533,0.035331660075913034,0.0420833759058726,0.26657732431959613,0.019524972553191685,0.23031494463281924,0.02623840980061732,0.05690335181456437,0.023393083603340983,0.08547219877114574,0.1401086946062835,0.05887744935610677,0.05702394551601375,0.02083382704287518,0.03135445337090862,0.026068014238817768,0.03910424238691681,0.0877442698934936,0.08428343324986727,0.15911595485826835,0.07470722868037052,0.06513291429338879,0.02863545634304947,0.09130105583895684,0.06202335432556267,0.032821509786554695,0.02528228596906487,0.020191537587069264,0.023762671209274576,0.06326059627753741,0.16464756962971147,0.18682646988232943
AP4B1,0.04548439606683548,0.018234855914113203,0.021119779039394992,0.05985222359583445,0.04614743338289536,0.03929735591954404,0.035232074693381896,0.0,0.019640183218919655,0.03141472710263823,0.04903398321870742,0.14147932372264993,0.18054747360435236,0.02871691131362933,0.03362286534719405,0.036685754831975934,0.023400750594235756,0.02689911923586784,0.030957251893457365,0.03923032426020361,0.037700861688634776,0.04994427779979504,0.06519827864220369,0.03732763933146581,0.019793825704016093,0.018335794749415775,0.03753237070170722,0.03565775476940525,0.206250283851371,0.11925538528741784,0.07685505941648091,0.04982779476601828,0.020190236882540145,0.021301780250830044,0.05217986212485881,0.0198185116930413,0.018978550698654624,0.04335642353586007,0.02003595252745076,0.06173636289472867,0.023900452315932033,0.030792826560942014,0.02068895290821841,0.029352196448003912,0.024485059549167333,0.021992616171751536,0.06929518311648096,0.03002585996160034,0.08433361703517138,0.02805525948142753,0.027803725929785927,0.021432035452561296,0.02226194441739714,0.06572568558500444,0.027177063528480372,0.0459022555770141,0.038541045350726715,0.04425951659182134,0.11530914920600858,0.045843014986644094,0.13509471146547672,0.03529997176470069,0.027788235521945818,0.028755458784742848,0.03515981544253816,0.04215630436185601,0.02813842082145227,0.058779411271968354,0.019075990700117923,0.04350480877093691,0.031312885852458124,0.027236914288233337,0.0272499078785709,0.023050059721816462,0.03244041570580751,0.02174611954846974,0.29485544778881917,0.050621238546643695,0.07013503017998858,0.024664634505485533
AP4E1,0.14639018680621885,0.02917582948400272,0.04805790732500769,0.07043420383979081,0.07365946283909185,0.17359358907957162,0.05491446294179253,0.019608135332844563,0.0,0.03383594623791003,0.030716865353085914,0.09201845960688919,0.02289053363759816,0.019287668363076847,0.05359728968253823,0.043554149634019296,0.039740615009417044,0.03107934917038767,0.02356220052580453,0.0632602407513233,0.039375865027901996,0.020880899582741433,0.0709930369222858,0.05555454854232384,0.1263399531207037,0.025632852077431736,0.10198301270838508,0.05961178215744219,0.15705555290320575,0.01855822665528964,0.07508373481801409,0.023237524197327043,0.029870883821228145,0.04676764139385219,0.031967771262645946,0.0399536473491429,0.03258342025293429,0.06379472101152026,0.05342676056386395,0.044812726159522,0.026923625240502888,0.04335955038139815,0.06975968349939732,0.108155528959768,0.0286043131090095,0.03845192053588423,0.04813620813095985,0.03822812440368127,0.12861253171003395,0.03183388421465518,0.16335244158003803,0.03362813468721722,0.04601452171631743,0.018373322544871073,0.05101429031916466,0.03796163675756655,0.09015821192867313,0.03872983861824416,0.020524483499622295,0.03186297566507998,0.08783235411718132,0.03949782241436692,0.027657591383139887,0.030672472807853277,0.059098626771830434,0.07028296148450051,0.056756686211284726,0.02405786091777769,0.022641523284565722,0.12071340155013198,0.023609680290663928,0.03600481281324992,0.02136032238741654,0.023919937763855356,0.024488470750393385,0.05468861441963863,0.040000024358431474,0.034890864868634346,0.06709165734938223,0.0920199922115918
AP4M1,0.10815487296448924,0.02445633131076952,0.026500736856777996,0.03174012752927122,0.02229139809050675,0.019335209883016985,0.03628191209019397,0.031747257540723016,0.034657381748777416,0.0,0.14912747261750225,0.04099605403355349,0.018037124028755562,0.02092399218397336,0.022777095761565173,0.0334681224202453,0.08679442271717455,0.06777245695114638,0.021171221360443485,0.01910967528904442,0.035279590160096366,0.03016789189783722,0.02389263515133564,0.04968192229034377,0.02835497959647254,0.023234504526411643,0.05220688901126252,0.02692187893073986,0.04006772156713566,0.02824501359436146,0.04390682252200205,0.018092195053799075,0.06975716181791615,0.03943906121625463,0.020029219440191707,0.020043816281940467,0.02688449978288242,0.03116551810661017,0.04903361325944559,0.03557246311201277,0.01808260638901417,0.022600647643038246,0.026797559085646187,0.11828713480358156,0.05916125511582553,0.04370643213116134,0.05598839031446509,0.04058224227172632,0.05522845353879767,0.026808298550893048,0.04039710298892614,0.02279939237372737,0.03640464410740092,0.03027572628001726,0.018543530356596123,0.02818830807958061,0.038538902222213296,0.07766972081958004,0.04118267536230531,0.0649435241519934,0.08776014032690982,0.03532480741723292,0.04639921005678735,0.0183615951780712,0.0243321377884668,0.04240576374205403,0.08033670517913392,0.029823845590265217,0.031433502271139856,0.032731286591619384,0.023429248255019706,0.038307534284703765,0.022616971798121825,0.048178477237125,0.024872367502923633,0.11246208941930375,0.14078367363211847,0.05572734978205155,0.019568748363511704,0.03015271856457081
