ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,SEC24C,SEC31A,SEC23A,SEC24A,COPG1,ITPR1,COPE,APBA1,RAB1A,OSBP,SAR1A,PLG,CLU,NCSTN,PSEN1,SEC16A,SEC23B,SORT1,LRP1,SAR1B,VPS35,COPB2,APOE,RTN3,PLCG2,SORL1,IDE,APP,VLDLR,GGA2,TMED10,SEC24B,RAB1B,TMED2,SEC13,AP3B2,SNX4,PREB,PICALM,APBA2,SNX6,COPB1,AP4E1,EIF2S1,MFN2,COPA,SYK,VPS29,AP1G1,HSPA5,MAPKAPK2,BIN1,GGA3,SIGMAR1,ADAM10,AP4S1,COPZ1,RTN4,AP2B1,ARF6,GGA1,TMED9,ADAM17,AP2A1,AP4B1,MIA3,BACE1,ECE1,HSPA9,ABCA7,VPS26A,SEC24D,VDAC1,MAPK14,MAP2K3,COPG2,ITPR2,AP4M1,GORASP1,SREBF2
1,COPB2,COPG1,NCSTN,SEC24A,PICALM,LRP1,CLU,RAB1B,OSBP,SORL1,COPB1,APBA1,SEC13,SEC16A,SAR1B,MFN2,SEC23B,APP,SNX6,APBA2,VLDLR,TMED10,SIGMAR1,PLG,RTN3,SEC24C,IDE,SEC31A,PSEN1,SEC23A,AP3B2,COPZ1,HSPA5,SORT1,AP4E1,EIF2S1,RAB1A,ARF6,ITPR1,PLCG2,RTN4,ADAM10,COPA,APOE,GGA1,VDAC1,GGA3,VPS29,ABCA7,MAPKAPK2,BACE1,SEC24B,AP4B1,AP2A1,MAP2K3,GGA2,SAR1A,PREB,SYK,VPS35,AP1G1,AP4S1,BIN1,COPE,TMED2,SNX4,MAPK14,AP2B1,COPG2,HSPA9,ADAM17,ITPR2,MIA3,VPS26A,ECE1,SEC24D,TMED9,GORASP1,AP4M1,SREBF2
2,AP3B2,SNX6,APBA1,ITPR1,SORL1,APOE,AP4E1,SEC24A,PLCG2,RAB1A,CLU,PSEN1,SORT1,COPB2,COPE,BIN1,APP,COPZ1,SIGMAR1,OSBP,RTN4,ABCA7,SEC31A,VPS35,MFN2,LRP1,RTN3,SEC23B,NCSTN,SEC16A,SAR1B,AP2B1,EIF2S1,VPS29,MAPK14,SNX4,PICALM,COPG1,TMED10,IDE,SEC23A,RAB1B,SEC24B,GGA3,SEC13,VDAC1,GGA2,SYK,MAPKAPK2,AP2A1,TMED2,APBA2,SEC24C,VLDLR,ADAM10,COPA,COPB1,PLG,AP4B1,GGA1,SAR1A,ADAM17,HSPA9,MIA3,HSPA5,ECE1,MAP2K3,BACE1,AP1G1,TMED9,ARF6,ITPR2,AP4M1,SEC24D,SREBF2,AP4S1,VPS26A,PREB,COPG2,GORASP1
3,BIN1,ITPR1,SIGMAR1,SEC24C,CLU,SORL1,PICALM,SAR1A,VLDLR,SNX6,PLG,COPB2,COPB1,PLCG2,SEC23A,COPA,RTN3,APOE,IDE,SAR1B,RTN4,OSBP,SEC31A,LRP1,APBA2,SEC24A,COPG1,SEC24B,PSEN1,VPS35,APP,SEC23B,SYK,AP4E1,RAB1A,RAB1B,NCSTN,MFN2,PREB,GGA2,SORT1,COPZ1,AP3B2,AP2B1,TMED10,APBA1,VDAC1,VPS29,AP4B1,SNX4,SEC16A,COPE,SEC13,ADAM10,ARF6,ABCA7,HSPA9,HSPA5,MAPKAPK2,EIF2S1,MAP2K3,TMED9,MAPK14,GGA3,COPG2,AP2A1,GGA1,AP1G1,AP4S1,VPS26A,ADAM17,TMED2,MIA3,ITPR2,SEC24D,GORASP1,BACE1,ECE1,AP4M1,SREBF2
4,VPS35,LRP1,COPG1,RTN4,SEC23A,SNX4,AP4E1,COPB2,SEC13,SEC23B,OSBP,COPB1,SAR1B,APBA2,PLCG2,MFN2,IDE,SEC24B,SEC16A,RTN3,APBA1,PSEN1,BIN1,COPZ1,RAB1A,SIGMAR1,SORT1,SEC31A,APP,SEC24C,SEC24A,APOE,BACE1,ITPR1,TMED2,VLDLR,CLU,NCSTN,AP1G1,SAR1A,SNX6,AP3B2,SORL1,PICALM,EIF2S1,TMED10,RAB1B,COPA,COPE,PLG,COPG2,VDAC1,PREB,AP2A1,GGA1,HSPA9,GGA3,ADAM10,AP4B1,AP4S1,ARF6,MIA3,MAPK14,GGA2,MAPKAPK2,ITPR2,ECE1,VPS26A,HSPA5,SYK,SEC24D,ABCA7,TMED9,MAP2K3,ADAM17,AP4M1,SREBF2,VPS29,GORASP1,AP2B1
5,LRP1,OSBP,COPG1,COPZ1,MFN2,SAR1B,SEC23B,CLU,SIGMAR1,RTN4,SEC24B,IDE,COPB2,SEC13,COPB1,SORL1,SNX4,SORT1,ITPR1,SEC23A,APBA2,COPG2,PICALM,SEC24A,COPE,SEC24C,AP4E1,VLDLR,GGA2,APOE,NCSTN,BIN1,EIF2S1,APP,MAPK14,RAB1A,SEC31A,SNX6,AP3B2,HSPA5,TMED10,RAB1B,VPS29,GGA3,APBA1,COPA,RTN3,VPS35,PSEN1,AP1G1,AP2A1,HSPA9,PREB,ITPR2,ARF6,MAP2K3,SAR1A,AP4S1,PLG,MAPKAPK2,AP2B1,TMED2,AP4B1,PLCG2,ADAM10,TMED9,SYK,SEC16A,VPS26A,VDAC1,MIA3,ECE1,SEC24D,ABCA7,SREBF2,AP4M1,BACE1,ADAM17,GGA1,GORASP1
6,AP4E1,SEC16A,TMED2,RAB1B,COPG1,APP,VDAC1,PLCG2,LRP1,COPB1,SNX4,CLU,PSEN1,SEC23B,COPB2,IDE,NCSTN,VPS35,SORL1,PICALM,SEC31A,MAPKAPK2,ITPR1,APBA2,SEC24B,APOE,BIN1,SEC23A,MFN2,ADAM10,RTN3,AP3B2,SEC24C,SEC24A,OSBP,SEC13,EIF2S1,RTN4,SIGMAR1,SAR1A,TMED10,SAR1B,BACE1,GGA2,RAB1A,COPZ1,COPG2,GGA1,AP2B1,SNX6,COPA,HSPA5,VLDLR,AP4S1,SORT1,GGA3,AP1G1,VPS29,PLG,HSPA9,PREB,COPE,APBA1,AP4B1,ECE1,MIA3,ITPR2,SYK,AP2A1,MAPK14,ADAM17,ARF6,TMED9,VPS26A,SEC24D,AP4M1,SREBF2,MAP2K3,ABCA7,GORASP1
7,SEC23B,PSEN1,SEC31A,RAB1B,VLDLR,IDE,CLU,PLCG2,APP,OSBP,SEC24B,SIGMAR1,SAR1B,LRP1,SEC24C,SAR1A,TMED2,COPB2,MFN2,TMED10,COPB1,SEC23A,SEC16A,BIN1,RTN4,SORT1,APBA2,SORL1,COPG1,ITPR1,APBA1,HSPA5,PICALM,RAB1A,AP3B2,RTN3,SEC24A,SNX6,SEC13,APOE,COPA,BACE1,VDAC1,VPS29,VPS35,PLG,NCSTN,HSPA9,AP2B1,TMED9,ADAM10,SNX4,PREB,GGA1,AP4E1,SYK,AP1G1,MAPKAPK2,AP2A1,GGA2,MAP2K3,COPZ1,MAPK14,AP4B1,VPS26A,ARF6,ITPR2,COPG2,COPE,ADAM17,EIF2S1,GGA3,AP4S1,ECE1,GORASP1,MIA3,ABCA7,SREBF2,SEC24D,AP4M1
8,SORT1,ADAM10,AP3B2,SIGMAR1,SEC23A,APP,AP2B1,APBA2,COPB2,PLCG2,SEC13,MFN2,VPS35,OSBP,GGA1,SNX4,SEC24A,APBA1,SEC31A,RTN4,SEC24C,SORL1,APOE,RAB1B,AP4E1,TMED2,COPG1,RAB1A,SEC23B,RTN3,NCSTN,VLDLR,BIN1,COPB1,SEC24B,LRP1,MAPK14,SAR1B,ITPR1,PSEN1,HSPA9,SAR1A,COPE,SEC16A,PREB,IDE,GGA3,AP2A1,BACE1,ABCA7,EIF2S1,CLU,PICALM,COPA,PLG,TMED9,AP4B1,VDAC1,GGA2,TMED10,VPS29,COPZ1,COPG2,MAPKAPK2,AP4S1,ARF6,SNX6,SYK,VPS26A,MAP2K3,AP1G1,SREBF2,SEC24D,ADAM17,GORASP1,ITPR2,AP4M1,ECE1,MIA3,HSPA5
9,AP4E1,SEC13,SIGMAR1,SAR1B,APP,SEC23A,IDE,PLCG2,SEC24B,PREB,COPB1,COPB2,SAR1A,SORL1,ITPR1,SORT1,COPA,CLU,SEC31A,COPG1,APBA1,VPS35,NCSTN,SNX4,RTN3,PLG,OSBP,TMED10,MFN2,ARF6,RAB1B,LRP1,PSEN1,PICALM,APOE,COPZ1,ABCA7,SEC23B,AP2B1,RTN4,SEC24C,VPS29,SNX6,VDAC1,RAB1A,GGA3,MAPKAPK2,COPE,EIF2S1,MAPK14,AP4B1,GGA1,SEC24A,HSPA9,AP3B2,ADAM10,AP2A1,MAP2K3,VLDLR,TMED2,GGA2,ECE1,AP4S1,SEC16A,APBA2,COPG2,ITPR2,ADAM17,BACE1,MIA3,VPS26A,AP1G1,GORASP1,BIN1,AP4M1,HSPA5,SREBF2,TMED9,SYK,SEC24D
