,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,-0.09135495876090505,-0.03042307662030368,0.06412039522348714,0.05238269642904104,0.06725428489134705,0.008747156130874095,0.03867153916600151,0.017440026212125977,-0.08728850420946188,-0.043233224555639924,0.008717574232794963,0.0012690621621442174,0.04552942003917223,-0.01359080544318768,0.0006727170986349552,0.01069276049591234,-0.028531086852406837,-0.019763463093705053,0.01309482752705057,0.07388155921190304,0.013954169655504615,0.027952425940824727,-0.011429910685696085,0.049316418808728286,0.005824030386278002,0.00024006530193926672,0.02249740916008006,0.02522964437682443,0.08634057577615417,-0.0028736221124987544,0.00926994554423354,-0.03852223605532154,-0.10911892725215065,-0.053388310725986925,-0.00825581864630678,-0.021037058578285306,0.04357589407399885,0.035268667360089594,-0.04267930074812974,-0.0025833054437168997,-0.040075701690227845,-0.004338977454682521,-0.031159418806427894,0.025921290528947233,-0.07056044154325256,0.05426625378754032,-0.0035138245326606556,-0.06570239534494846,-0.025813216177252782,-0.01560611491661851,-0.012008221447071575,-0.04346533501192312,-0.05730597835464937,-0.03775906232496407,-0.04015542988853557,0.011848409046761375,-0.03047651541518974,-0.05679448499720494,-0.0012605615552495314,-0.06850271224054012,0.01589745092148271,-0.06262407317982908,0.003925532845087548,-0.009366364891077257,0.027183910494625162,0.008192101134480696,-0.11111486457555393,-0.028202934133293178,0.016786779242030973,-0.0294591553672303,0.05696022228516987,0.032650597097042745,0.07343389714373222,0.047646543478392915,0.004652215777544373,-0.008639742405057962,0.019565078092283292,0.053591872425748026,0.0452702450201178
ADAM10,-0.08428820480995021,0.0,-0.020733672667961743,0.012028401267031322,-0.05265951535817339,-0.048264666807973096,-0.0023273752315347103,-0.09661574927461247,0.0003915604399031056,0.010846219773956412,-0.052532565855050534,-0.007065763608485673,-0.05039090442294138,-0.011058670718515051,0.004754175016610061,-0.010482251911605603,0.02724019660006232,0.039644798419950104,-0.004638082838302828,0.009073891252291919,-0.027993024986150163,0.014702919288377633,0.05242517558201857,0.06848351631280525,0.0007319975674525626,0.012308540226594444,-0.0219143285450571,0.02385239398913275,-0.08629135789246448,0.001310990982993249,0.015356174447312472,-0.048623092268093235,-0.0008723176434289386,0.03808864948592414,0.06089310123264059,0.007279893843753317,0.0164252024442759,-0.03228002018616158,0.007086293206871996,0.0076975652352341455,0.022055507441028153,-0.005484643799417571,0.0005971739690581163,-0.021635009169897607,-0.030711340026267842,0.07994521626724489,0.04737537879656395,-0.006918409634553858,0.014473569499461025,0.03493673822089168,-0.007515752306868852,-0.03541383640443172,-0.010813698682451528,-0.004276595230365203,0.0096026714677882,0.06926488993401805,0.023308090209759016,-0.01629066670281552,-0.001819197365452749,-0.016466552113539465,0.06434990364291349,0.06049581177260893,-0.04978355109241472,-0.029431722476653436,-0.053013640669034925,-0.06905940919841733,-0.03411314523754026,0.048308681404540275,0.05043930958498597,0.0665425937746048,0.01647227932854388,0.02630436551128175,0.008348775756606957,-0.029576981611504627,-0.03276070732723203,-0.019849007732709405,-0.0038271269209222024,0.040777919360016235,-0.07924152634079183,0.0017155353852057946
ADAM17,-0.027628599499789273,-0.02040785215198956,0.0,0.008037231448981448,-0.012725815922168666,-0.02092200181526365,0.006868406015157479,0.04128059079079821,-0.004351985778238013,0.05264438442034799,0.01317975939709551,0.037389718570117886,-0.005672988445876175,0.02029820659539994,-0.0022568478376906362,0.025305703418061345,0.015788233121737154,-0.02482537574581246,-0.008609159144096875,0.08526105789781516,-0.009512424870690492,-0.028118118340442876,-0.0012183200422732027,-0.056060824503794224,0.047279823367901666,0.05268401238995674,0.011991076237525258,0.01734697395823135,0.03812141093370228,0.022317487891601335,0.0153463139954947,0.03576489088959408,-0.002028011787205566,0.05221157711720901,0.0535366429080067,-0.07318011975323156,0.009476084603931763,0.01731253985870273,0.04276234739449955,-0.009451452691189062,0.031869313726098844,-0.010501780325639335,-0.004144890571008478,-0.027413746728160195,-0.02017262327285423,-0.04771272779879231,-0.044313401012512306,-0.0962218580648006,0.04460007081100188,-0.028395033629104293,0.07694154986460001,0.039485523906323074,-0.08660847622203363,-0.04495784102123375,0.042638307700725055,0.08623648841453072,-0.050763557765879694,0.01779384578008203,0.008407909986130863,0.03821731862913175,-0.006432197374994143,-0.016662481008732764,0.05752967776785893,-0.009983115226066857,0.019197306312100065,-0.03243085199588585,-0.001293998126817388,-0.003252340296100366,0.025745281247004596,-0.0232927827562473,-0.03245522643324426,-0.03371654786421404,0.01991260237862823,0.0007655475216036025,-0.0006000673347444288,0.0010415072448488457,0.012863001959379347,-0.016872358489806734,0.009334091565098896,0.01702019071609911
AP1G1,0.05973412575652461,0.012145056813293495,0.008244741744357766,0.0,0.07327537316176373,0.08279252569537204,0.0641391200254884,-0.011850556658626306,-0.04974019549533649,-0.041284263653516444,-0.09068604797383147,-0.027100586572163642,-0.04101498282168681,0.013204927762739193,0.004064476163628287,0.033079855453986055,0.052624583558456006,0.024562147728037498,-0.03529703522240418,0.002152385489763026,-0.018766314467192118,-0.01674381159657141,-0.0419548468272015,0.028456715329987364,0.0662274602588596,-0.06920076820504205,-0.016206550025305664,0.10761583401637626,-0.05341861169936421,0.020325786321174166,-0.027459419126900458,-0.025967436080142743,0.011896338030277754,-0.024473365897320375,0.008203347935770648,0.0060672608098666595,-0.05553078691907252,0.013657749139871342,0.037446970106384724,-0.010414715453595876,0.017116143564582964,-0.012845004132855026,-0.022560499261273476,-0.017597485820130876,0.03606391217477548,0.014618390436034632,0.04190070521617056,-0.06749072201398348,-0.051935590195562105,0.026044746010088597,0.005998795498687924,0.0500401097529407,8.346346855786834e-05,-0.03396269687718598,0.06737191961125477,-0.018351396088777252,0.014440302509133461,-0.03871689237358113,0.0489236566919511,0.039493053164571794,0.006181211633336923,0.012950195015419148,-0.0339732172288728,0.012989310000107876,0.060850100141526586,-0.015308297122856489,0.05839172816654051,0.03905435087202719,-0.01695621818170839,0.0064553087318172326,-0.02854732590628608,-0.011103362729400384,0.005549645510280951,-0.004099142298608058,-0.021267684167917883,-0.013542802618777017,0.02142232291843497,0.04812174778011735,0.05344652021743812,0.11692617940032121
AP2A1,0.04650492513377316,-0.05067027704545604,-0.012440590545385525,0.06983012457322149,0.0,0.11304873415773226,0.0640343764617531,0.057734504118777896,-0.06110852229595808,-0.0006943046863130223,-0.007301108796932573,0.010197084591116448,-0.015323433266748036,0.022819298800087155,0.009588961172879473,0.06165521613507975,0.015261403362882968,-0.020488324915721477,-0.005741791610524589,-0.01982536175646021,-0.03144909642243578,0.009744109937052903,-0.023997248216496903,0.029836383170199394,0.008007345148752306,-0.05270109540180581,-0.014806110167297146,0.06056226617636647,0.019100247722988156,-0.036216334478374294,-0.008290506681399596,-0.026160928574663598,0.010103936123540122,-0.010108446985037125,0.002636530462722128,0.04575989133738169,-0.014082806455208124,0.06290703549656286,-0.0032182199858412372,-0.01610102587828808,-0.029079831704939052,0.024334325038228456,-0.006621891991587808,0.009302643691439894,0.039125812367426835,0.02404494375208077,-0.010789867240974452,-0.0718610381722877,-0.010675570918841023,-0.013595124427791448,0.010663181991803007,-0.015509156210938466,0.040998933233347495,-0.05744069397458964,0.012988988936645114,-0.0627907507963765,0.012826088090122714,-0.07152669254446549,0.028736136239858687,-0.013296817865895313,-0.003117230477920642,0.007574286212514308,0.0056925808089559075,0.026201253102187287,0.027796763734917046,-0.0010512019704134,0.058866909845781634,-0.034347586209424324,-0.032639715129234886,-0.019624833076914587,0.010255870562431433,-0.056486205938441905,-0.0011604362094705398,0.04118764337026787,0.02146635952855761,-0.012155296998120011,0.038582259891379436,-0.003295561000643394,0.03586985733891861,0.05957417285359727
AP2B1,0.05897800979918973,-0.04587380753224187,-0.020203083077259383,0.07793543507988641,0.11166697679902048,0.0,0.05260779399015441,0.022591023692483746,-0.06881443481068229,-0.016720750894963367,-0.005359950727474488,0.01222577532267932,-0.015278341041496613,0.02423882250652491,0.010178927105990823,0.06162032254378893,0.03089049216342743,-0.0021266496565253115,-0.008913434288559488,-0.017188459908018247,-0.009823103817187243,0.003395988502134606,-0.01765295785943417,0.02581146384637877,0.009050151522974333,-0.0499566949155344,-0.012477996367346547,0.054266282879763136,0.026759822158686716,0.018418818477614826,0.018010960981307184,-0.04228757678095695,-0.004064360097470022,-0.024104147865742512,-0.007993739841581086,0.05097937122897702,-0.0032138926025356836,0.04930896899200905,-0.010657493822379793,-0.03332107386749096,-0.011999903697723758,0.013029930418046058,-0.02952041678570246,-0.020003991271163344,0.02444685119588623,0.035914140498930935,-0.020682886885548406,-0.042176645408325435,-0.014421615516587466,-0.020847788156191573,0.019756431880004265,0.03995364879041996,0.044722597091561844,-0.016451961140082967,0.014953842702044232,-0.05471247457182603,0.04423115061163123,-0.04275979113199436,0.030174603181644173,-0.027342144371414766,-0.030413037629819745,0.0031938173769436163,0.0006105712774896571,0.00782677388503223,0.028521504630229344,-0.0012405968153284177,0.05917916478794607,-0.00799213794562178,-0.013732827344413737,-0.011233993312378792,-0.012263533940213185,-0.04495717284590151,0.0021458971325585855,0.012874988613161133,0.030304395358284834,-0.02683268238847353,0.05057726846424364,-0.0008448819616626981,0.06853596179515385,0.06495163555956669
AP3B2,0.00778857088878362,-0.0022460665930664233,0.006734279209829004,0.06130382523407154,0.06422335425856329,0.0534159350791254,0.0,-0.012136627623980567,-0.01260622653509841,0.026529420921946253,0.004609028979156806,0.007842237507202332,-0.040363358100655944,0.008759499120797567,0.004049631714390812,0.051358266672690625,-0.026077593701810328,-0.022695075120138564,0.029827256644756762,0.006175190159102026,-0.05015931586503026,-0.009104285895284869,0.0004926338519375147,-0.007604276314924824,-0.026711636354340342,-0.007385639276192906,0.006087241590512741,0.0547829198987231,0.056248598141387864,0.008371959878907152,0.0010787148683236963,-0.02656592296048177,0.0424808800944246,0.03281068623291246,-0.03204994911528966,0.0017883351871174962,-0.02208925963224814,0.003205050085408365,-0.06722547236714872,0.02029944957092926,-0.018024568407010607,0.03446197521801213,0.020082874342807217,0.010765259913132548,0.02159084733514607,0.03389342982202007,0.020989373090579883,-0.04601982712875414,0.04987217512622602,-0.0054852072203261035,0.04424294589329418,0.021782252008952944,-0.03081118765419895,-0.03044771531370247,0.02587515460366988,-0.027859499215130028,0.0648227868819031,-0.05167607919703699,0.040837956711676844,-0.0017932867251922648,0.02722275945569259,-0.01658658239886061,-0.062215081050873866,0.009563067622539065,0.011764635257642854,0.04962612142873271,0.044236618992772696,-0.030601829471381965,-0.025472668261826408,-0.0674474670628783,-0.028772656093853658,-0.005526504362052391,-0.017816897057427585,-0.0342502223326247,-0.026993446636505745,-0.01246235696961643,-0.01766819959675658,0.056297450300984056,0.03638511784159673,0.09564713133751163
AP4B1,0.038913442554957434,-0.10537108291587628,0.04574023165358332,-0.012800314054159679,0.06543837951418778,0.025922325070650867,-0.013715616203358774,0.0,0.014721311028003316,-0.015755373283104064,0.04120642766986416,0.04960725369343039,0.0030245049274480644,0.03589104332888701,-0.05672838850542623,-0.012851570641401591,-0.0671109465297183,-0.04114961261876711,0.033218974722227575,0.015021226598237895,0.04582743201078258,0.010688326037508251,-0.049551784095873776,-0.05077817156127618,0.026502307781423425,-0.024440813618413933,0.005453776626434333,0.06572518630188089,-0.01713359227038952,-0.1136322364601703,-0.03684251256916553,0.06315429201242388,0.06212646544856183,0.0027535981265566973,0.02960263487708379,-0.006966393307410749,0.01748426969346991,-0.04281258116730387,0.0038100677718530132,0.0340685568958465,0.033225403737009336,0.051568921327988806,0.0011409466115049356,0.014944750394502788,0.010707755295439103,0.006694110686769151,0.002815940247732737,0.05970052371521813,-0.05990254081640369,0.007462508546886607,-0.005567804593279929,-0.005339250636141635,-0.02230394388716103,-0.024298788888902828,0.105152015698545,0.029964046390931365,-0.03202926713611272,-0.07226490208491478,0.02196563083473451,-0.0016518224692799565,-0.05534779537942204,-0.018638220614272904,0.06114164999643562,-0.04048203836299065,0.060386695169144876,-0.032709509978124406,0.015537988312584898,-0.0320573579538539,-0.015368396520584396,0.03436704308349319,0.05482279893180035,0.007925937305790663,-0.017543320671810175,0.06659731342940414,0.0348141702822813,-0.011838884833716482,0.047047006000685315,-0.04563786200937427,0.05083765702538531,0.027696864723519204
AP4E1,0.018261141156397893,0.0004443701822743744,-0.00501779030298859,-0.05590645396631591,-0.07207281131661504,-0.08216562695092958,-0.014824327086917725,0.015318599901189648,0.0,0.016334498782128372,0.008516650753121803,-0.013268656197329757,-0.012123313141510808,-0.018721108512478633,0.033443387669141574,-0.029391212006050563,-0.09145782700995647,-0.01279871050235961,0.019048330969848183,0.03533457228636182,-0.012028954488156069,0.05680416694109673,0.016870343080627168,-0.0020847252961312267,-0.08649795589385302,0.05995727855407048,0.04359575380739402,-0.04219791883289178,-0.09302793715106604,0.022881177378008936,-0.02316762121696877,0.06154798945898203,0.07559212380557963,0.03331663107283031,0.08891163245936601,0.003693830415451247,0.00962775864277367,-0.0012865114860167058,-0.07973301573434456,0.04234890332593339,0.013994215565882833,0.012671161772963692,-0.015968180266258635,0.020572607727082956,-0.048496607441511984,-0.0003356741096534524,0.022333648142688022,-0.0017916774297105154,-0.10493753984855424,0.036056811084660884,-0.0019910567766394964,-0.04130280294505148,-0.007211750203979518,0.011678490984269442,-0.0548869541586455,-0.016564949426932117,-0.012892833935137921,0.005894371600235213,-0.040990102403852924,-0.07461444146929957,-0.04638902743563587,-0.07791129416964236,0.002894398719088998,-0.03347990878822813,0.0007920075045974802,0.0054917533306744065,-0.025510092328710536,0.012068391554310434,-0.08388349941634812,0.06518153712866759,0.015435371086772466,0.1147464817191497,0.06411452829785426,-0.022732029597517366,0.023522135902242322,0.01016525130375826,0.01968868278164875,0.07674993151668218,0.06626752447685354,0.03864988219965337
AP4M1,-0.07701494826834479,0.010371980664129112,0.05114630788393485,-0.03909994965505803,-0.000690012524727515,-0.016823005983698007,0.026287836710637415,-0.013814605210323481,0.013763947559151975,0.0,0.05600567681168082,0.012885600290326748,0.001117500493462942,-0.023131386057545257,0.010604526432310605,0.01369632518023591,0.02779340081564903,-0.02271114444402079,0.010017132591286311,0.029071881796068417,-0.02869229205315765,-0.009925593880751758,0.008176008031993639,-0.004446657587131605,-0.05348559696424324,0.054428009069614536,-0.02314354505911885,0.007356904384316134,0.03531314091855001,0.016166433683819734,0.030328879607691633,-0.027118738334892874,0.04483341354898414,-0.009226173038856268,0.03850364088510788,0.022588187602868015,-0.00651874221103931,-0.009231452707340515,-0.02755714204336037,0.02786945423103077,-0.0634239227303308,-0.019225412920756316,-0.009438195146590537,0.02531525989307167,0.029697975825130687,-0.011795899848091655,-0.012883461357933699,-0.058069287891937736,0.05282204491626231,0.0024209157695668543,0.04335612025690987,0.013180583900609534,0.018678079881051805,0.016489628935048968,-0.027389018045225727,0.028139766220814967,-0.017793061181111503,0.015574706378256706,0.05797743503859431,-0.008079457099013702,0.0014298085660044786,-0.03620102497427213,0.04180529624689664,-0.005837413489270617,0.0019854583101012076,-0.05229388416780839,-0.012189797786405537,-0.010041425617843141,-0.018028315274440383,-0.021566833097456464,-0.007102504749486976,-0.008073966576318321,0.021210427985908907,0.04417368897958913,0.03106444237657632,0.022587645717930434,-0.0032420229578605034,0.0009126837854358755,-0.0486381881964425,-0.01806493045191122
