ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,MAP2K3,RTN4,COPZ1,SNX4,RTN3,COPB1,TMED9,AP2B1,APBA1,SEC24B,BIN1,SORT1,SEC13,HSPA5,MAPK14,AP2A1,GGA2,COPG1,APBA2,EIF2S1,AP4E1,GGA3,PICALM,SEC23B,COPB2,GGA1,SIGMAR1,AP4B1,TMED10,RAB1B,RAB1A,ABCA7,SNX6,MAPKAPK2,AP4S1,PLCG2,COPA,PREB,PSEN1,BACE1,CLU,SORL1,SEC24D,SEC24C,IDE,SEC31A,SAR1B,ARF6,COPE,SYK,GORASP1,ECE1,LRP1,MFN2,VPS35,VPS26A,HSPA9,VLDLR,SREBF2,AP1G1,ADAM17,NCSTN,VPS29,APP,VDAC1,COPG2,SAR1A,PLG,AP4M1,ITPR2,ITPR1,TMED2,OSBP,SEC23A,SEC24A,ADAM10,SEC16A,AP3B2,MIA3,APOE
1,COPG1,COPE,APBA2,GGA3,MAPKAPK2,PREB,COPZ1,AP2B1,GGA1,HSPA5,EIF2S1,PICALM,SORL1,SYK,SEC24B,PLG,COPB2,COPA,ADAM17,CLU,VDAC1,NCSTN,MAPK14,AP4E1,APBA1,SREBF2,SEC31A,GORASP1,SEC23B,AP4S1,RTN4,AP2A1,MAP2K3,VPS26A,LRP1,BIN1,SAR1B,IDE,SEC24A,AP4B1,ECE1,AP1G1,GGA2,RTN3,VLDLR,RAB1A,SNX4,ARF6,HSPA9,RAB1B,PLCG2,SORT1,BACE1,SEC24D,COPB1,AP3B2,OSBP,PSEN1,MFN2,APP,ITPR1,VPS35,ABCA7,VPS29,SNX6,TMED10,ADAM10,MIA3,SEC13,TMED9,SEC23A,SIGMAR1,SAR1A,SEC24C,COPG2,ITPR2,TMED2,APOE,AP4M1,SEC16A
2,COPG1,COPB2,SORT1,AP1G1,COPG2,EIF2S1,SEC31A,APBA1,NCSTN,SORL1,COPZ1,PREB,AP4S1,MAPKAPK2,LRP1,RAB1B,ARF6,VPS35,SYK,GGA2,RTN4,BACE1,MAPK14,MAP2K3,APBA2,GGA1,COPA,SEC24B,TMED9,RTN3,COPE,GGA3,VPS26A,SNX6,AP4E1,AP4B1,SEC24A,SAR1B,SNX4,BIN1,HSPA5,SEC24D,ECE1,RAB1A,SEC23B,SREBF2,ADAM17,VDAC1,SAR1A,SEC13,SEC24C,AP2A1,PSEN1,GORASP1,PLG,APP,PLCG2,TMED10,CLU,AP2B1,COPB1,ABCA7,TMED2,PICALM,MIA3,SEC16A,MFN2,AP3B2,SIGMAR1,SEC23A,AP4M1,OSBP,VPS29,ITPR1,ADAM10,IDE,APOE,HSPA9,VLDLR,ITPR2
3,EIF2S1,TMED9,COPA,SEC23B,PLG,PICALM,AP1G1,RTN3,APBA1,COPZ1,AP4E1,RTN4,AP4S1,BACE1,COPG1,BIN1,ABCA7,GGA3,HSPA9,MFN2,ARF6,APBA2,SYK,SEC24D,SEC13,COPB1,LRP1,GGA1,SAR1B,AP3B2,ECE1,SEC23A,VPS35,PLCG2,SNX6,TMED10,HSPA5,SAR1A,MAP2K3,MAPK14,ITPR1,SEC24B,OSBP,SORT1,AP2B1,COPG2,PSEN1,COPB2,VDAC1,AP4B1,COPE,ADAM17,NCSTN,SEC24A,GORASP1,SEC31A,ADAM10,CLU,SORL1,AP2A1,IDE,SEC24C,GGA2,APP,SREBF2,MAPKAPK2,VPS29,RAB1A,PREB,TMED2,VLDLR,MIA3,SEC16A,VPS26A,AP4M1,SNX4,RAB1B,ITPR2,APOE,SIGMAR1
4,AP1G1,AP4S1,RAB1B,SEC23B,RTN3,MAPK14,MAP2K3,GGA3,HSPA9,BACE1,SREBF2,MAPKAPK2,BIN1,RAB1A,AP4B1,NCSTN,COPA,COPB2,GGA2,HSPA5,APBA2,AP4E1,APBA1,COPZ1,LRP1,ARF6,PREB,SAR1B,CLU,VPS35,AP3B2,PLCG2,SEC13,TMED9,SEC24C,ECE1,EIF2S1,MFN2,SYK,GORASP1,ITPR1,SORT1,IDE,ADAM17,GGA1,PLG,SEC24D,SEC31A,COPB1,SNX4,COPG1,SEC24B,AP2B1,RTN4,COPE,SORL1,APP,AP2A1,SEC16A,PSEN1,PICALM,SNX6,VDAC1,VLDLR,COPG2,ABCA7,SEC24A,ITPR2,ADAM10,SAR1A,VPS26A,SEC23A,VPS29,SIGMAR1,AP4M1,TMED10,MIA3,OSBP,APOE,TMED2
5,GGA1,COPZ1,MAPK14,TMED9,TMED10,EIF2S1,AP2A1,GGA3,ARF6,SNX6,APBA1,RTN4,HSPA9,AP4S1,ABCA7,LRP1,APBA2,NCSTN,BIN1,MAPKAPK2,SAR1A,COPG2,HSPA5,VDAC1,AP4E1,BACE1,PREB,COPB2,RAB1B,VPS35,IDE,COPG1,SEC24D,SAR1B,RAB1A,AP2B1,SEC13,PLCG2,PLG,SORT1,MAP2K3,MFN2,COPA,PSEN1,ADAM10,CLU,ADAM17,GORASP1,SEC23B,SORL1,AP4B1,GGA2,COPE,SEC24B,AP3B2,PICALM,SIGMAR1,VPS29,COPB1,ITPR1,APP,SEC31A,SYK,MIA3,ITPR2,ECE1,SEC24A,OSBP,SREBF2,RTN3,VPS26A,SNX4,AP1G1,VLDLR,TMED2,SEC23A,APOE,SEC24C,SEC16A,AP4M1
6,PREB,GGA1,ARF6,SNX6,ABCA7,VPS35,RTN4,AP2B1,SAR1B,COPB2,SORT1,MFN2,SEC13,COPG1,RTN3,AP4E1,VPS26A,SEC31A,PLCG2,COPZ1,COPE,EIF2S1,COPA,SORL1,AP1G1,RAB1B,TMED10,NCSTN,AP4S1,COPG2,SEC24B,PLG,VDAC1,AP4B1,APBA2,SIGMAR1,GGA2,ECE1,SEC16A,APBA1,COPB1,PICALM,SYK,CLU,PSEN1,TMED9,GORASP1,HSPA9,ADAM17,SNX4,GGA3,SEC24D,MAP2K3,AP3B2,BACE1,APP,AP4M1,BIN1,VPS29,AP2A1,ITPR2,MAPK14,MIA3,VLDLR,ADAM10,SEC23B,RAB1A,SEC24C,SEC24A,IDE,MAPKAPK2,LRP1,SREBF2,SAR1A,ITPR1,HSPA5,APOE,OSBP,SEC23A,TMED2
7,GGA3,COPG1,EIF2S1,COPE,SEC13,HSPA5,AP3B2,MFN2,APBA2,SAR1B,SNX6,APBA1,GGA1,COPZ1,NCSTN,COPA,SREBF2,AP1G1,MAPKAPK2,CLU,SORT1,PREB,COPB2,GGA2,RTN3,VPS35,SYK,ABCA7,SORL1,ARF6,RTN4,BIN1,AP4E1,SEC24B,VDAC1,TMED9,SEC23B,SEC24D,AP4B1,PLCG2,MAPK14,COPG2,MAP2K3,BACE1,COPB1,LRP1,RAB1A,VPS26A,SEC31A,ECE1,AP2A1,GORASP1,AP2B1,SEC23A,VLDLR,TMED10,SAR1A,PSEN1,RAB1B,SEC24A,SNX4,ADAM10,PICALM,SIGMAR1,ADAM17,SEC16A,OSBP,MIA3,IDE,SEC24C,TMED2,ITPR2,HSPA9,PLG,VPS29,AP4S1,APP,AP4M1,ITPR1,APOE
8,SYK,RAB1A,COPZ1,APBA1,AP4S1,PREB,COPE,ARF6,AP3B2,SEC31A,MAPKAPK2,VPS35,APBA2,SEC23B,SORL1,AP4B1,MFN2,RAB1B,GGA2,PICALM,COPB2,MAPK14,GGA3,RTN4,RTN3,COPG2,BIN1,GGA1,SNX6,ADAM17,PLG,MAP2K3,EIF2S1,SEC24D,LRP1,SAR1B,ECE1,VDAC1,TMED9,VPS26A,AP2B1,SNX4,COPB1,BACE1,COPA,ADAM10,SEC24B,TMED2,AP4E1,NCSTN,PLCG2,HSPA5,PSEN1,COPG1,IDE,AP2A1,SEC13,SEC24C,HSPA9,AP1G1,ITPR1,OSBP,CLU,SORT1,SREBF2,VLDLR,APP,GORASP1,SEC24A,MIA3,VPS29,SIGMAR1,ABCA7,SAR1A,ITPR2,TMED10,SEC23A,SEC16A,APOE,AP4M1
9,RTN3,ADAM17,PREB,MAPKAPK2,COPG1,SEC24B,SEC31A,AP2A1,VPS26A,SORT1,SNX6,AP2B1,APBA2,COPZ1,COPB2,PICALM,IDE,COPE,GGA3,RAB1A,LRP1,RTN4,VDAC1,NCSTN,RAB1B,SYK,BIN1,AP4B1,SEC23B,GGA2,ECE1,ABCA7,HSPA9,VLDLR,MAP2K3,MAPK14,AP4S1,COPG2,HSPA5,VPS35,TMED9,AP1G1,SNX4,GGA1,SAR1B,EIF2S1,COPA,MFN2,APBA1,PLCG2,PLG,AP4E1,GORASP1,APP,ITPR1,SREBF2,TMED10,ARF6,SEC13,ITPR2,SEC24A,VPS29,COPB1,PSEN1,MIA3,SEC24D,SEC24C,TMED2,OSBP,ADAM10,CLU,SIGMAR1,SEC23A,BACE1,SEC16A,AP4M1,SAR1A,SORL1,APOE,AP3B2
10,APBA1,NCSTN,VPS26A,SNX4,GGA1,COPA,HSPA5,AP4S1,SORT1,RTN3,SNX6,BIN1,SEC24B,SEC13,SYK,COPE,EIF2S1,AP2B1,RAB1A,RAB1B,RTN4,AP2A1,COPB1,VDAC1,ARF6,COPZ1,AP4E1,SORL1,GGA3,SREBF2,MAPKAPK2,SEC23B,CLU,COPG2,BACE1,PLCG2,GGA2,SEC24A,APBA2,PLG,SEC24D,SIGMAR1,LRP1,AP4B1,SAR1B,ADAM17,PREB,VPS29,MAP2K3,MAPK14,SEC24C,ECE1,VPS35,PSEN1,TMED10,GORASP1,TMED9,COPB2,ITPR1,COPG1,OSBP,SEC31A,ITPR2,APP,PICALM,AP3B2,AP1G1,TMED2,IDE,VLDLR,ADAM10,SAR1A,HSPA9,AP4M1,MIA3,ABCA7,MFN2,APOE,SEC16A,SEC23A
