,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,0.09730231570606855,0.03537690991830288,0.056792955624967625,0.0361067250492414,0.02126077958585893,0.03798813473794544,0.046165416901776765,0.10377435578119165,0.040589448234285556,0.06913056652867994,0.07066098143869158,0.3133711353006974,0.01931031623106265,0.06194092136765613,0.1287663930528534,0.032885522161147235,0.045828948448406404,0.08412863852144004,0.03868548704096225,0.020944159831372232,0.03525987857341688,0.2279298568619761,0.16712435054443991,0.06867480095040068,0.08054098186968005,0.7443559557755541,0.0421154207049175,0.0680102406998763,0.0709789446115777,0.10390584156777039,0.0653192975255524,0.019898187908905577,0.2374298388571849,0.021915643973082603,0.14563092156726815,0.06393831012364913,0.06339296557321644,0.02115736454612162,0.2695572569663616,0.0781597016184142,0.16289849606803958,0.0630348573167514,0.04331416854310898,0.1114609368355692,0.024859540116742417,0.36961215959502514,0.037811252060758735,0.10043898416634055,0.08414001409199272,0.02766693222655055,0.08628647233720363,0.020625141125052048,0.019209317923803367,0.04017612165042997,0.06733570080011256,0.08860408404923192,0.035966540950880074,0.01851219480190457,0.024203434605760004,0.17543127285426627,0.1747024071535448,0.018766707545468976,0.06590006248036058,0.028770569704254966,0.08801425741696638,0.05143435442553188,0.02530201269355138,0.020600727860262222,0.0219633469308298,0.1479530831674304,0.02413872438983409,0.33783966045054886,0.02145340172937618,0.5409777068223551,0.021434960126981432,0.038333713776765706,0.10967264843758497,0.028273311572388878,0.026327993687980104
ADAM10,0.09501808058687873,0.0,0.045998931888681295,0.08031889206886952,0.018496887996858665,0.0715805583326962,0.03782974712371325,0.06458786084333785,0.04619977338578482,0.023295103749417918,0.058501856010323,0.09929205594819074,0.04113600514073996,0.01954829778800906,0.02011116931408063,0.024552012006977476,0.021029771188812735,0.47650292544655626,0.03593753771059426,0.29935135523642636,0.07463429626443266,0.05123374800136839,0.03200459890018971,0.02498849902598793,0.11483827113262793,0.14416508394280853,0.019864983670299322,0.039265989914384646,0.033592931998671416,0.024893554592232872,0.03898903723404818,0.022091491165401864,0.040735027587231916,0.020052716150957252,0.09254672747493778,0.06386082522591416,0.03368656356694472,0.03694728629451286,0.7260603903640612,0.01887660859054348,0.02121930018867123,0.06118911326939544,0.05151224895370412,0.09878458512184343,0.025416802044159116,0.027815882588892126,0.052736408836229175,0.024052921915971043,0.05972585202928519,0.09944650338192941,0.04885186803915072,0.06157638759084382,0.02504064714353111,0.02926257465369175,0.027936222598685435,0.3267360440980078,0.08887129976556372,0.28725622293288894,0.07429253077203164,0.12702102335776147,0.026548611051638745,0.03704695621923979,0.3176377646006866,0.022125338579022134,0.13086647269732218,0.030067556740665025,0.5082444808019921,0.12974809199070012,0.08447438833223171,0.2432549332809303,0.06084595001326142,0.0600734561276481,0.03608250924401315,0.018196973207195866,0.14000071882752405,0.02521165640935898,0.03473021778623296,0.5746921443821313,0.09366794282234416,0.27981908552034707
ADAM17,0.03161368932587223,0.03984338457758262,0.0,0.021268122784487014,0.06914168907104659,0.0253079232688328,0.0262392613705188,0.48691088653188136,0.2525654138652566,0.05329943102551037,0.24499301954498828,0.01861700616583281,0.4285669135130268,0.11969177840122278,0.041584022487231066,0.05608501834684022,0.04286348674190826,0.025618563186822717,0.03970511924281767,0.06865792992922894,0.06237982502441871,0.0341169367094337,0.11390086206685052,0.04931280566330603,0.20825179018403198,0.10197843578024954,0.1742385655534976,0.10578601324303062,0.07508943412200322,0.018556774371787828,0.07164585197298642,0.03315240483999758,0.06006040771061556,0.05000874506839117,0.033518753602406096,0.09237354911019961,0.025092321576585943,0.049510645697919214,0.46929873695166807,0.06934222949805106,0.1412345839571666,0.22205601458010235,0.10731014918056549,0.021911055342297512,0.1135506639987529,0.13906497191292602,0.24368407304914558,0.027154509208739956,0.28153655300261526,0.13131127872260293,0.6591036130692915,0.14187427223508547,0.30232363795114914,0.03702432043237165,0.033222042348140704,0.06471601999982443,0.025354302040462122,0.2446882275281915,0.039288310291644216,0.2951337327937903,0.032856287607264285,0.041438241404721035,0.04798610551914734,0.025627470770230473,0.062141947674450124,0.07649296298366307,0.03561652942758352,0.2686151672620762,0.02754123680122556,0.07429662413219848,0.2870228691472714,0.33920288082936745,0.09914432241250304,0.11444334028558197,0.0742662260535675,0.05777503900327232,0.050708214447514874,0.03153420787587843,0.03615373305885661,0.03105781034445447
AP1G1,0.053385708770789374,0.0757364646596912,0.021754745591217404,0.0,0.034717181982419756,0.28412765927844824,0.1268621657470739,0.1287927698197695,0.019786846510192108,0.027262759468865083,0.07160403540476992,0.032083369886045925,0.11136636335639434,0.022307602979163777,0.01872354032239001,0.4026679637715729,0.03738682896754564,0.0377440028690451,0.046812516878067,0.03096042233941547,0.056690219655233576,0.0231191079223507,0.05497702965964918,0.6427724653695096,0.02348433719288917,0.4045313137429073,0.023158224921264608,0.09469604429653321,0.061399309251902894,0.021896012285296425,0.03622184819630568,0.03698522007367512,0.019219351538352206,0.04634791868334175,0.03841572315394509,0.029209653980110727,0.08751481865306943,0.026997743598378286,0.2722659563323573,0.0631058683889029,0.025306993498232584,0.056059640078597525,0.45879261172561164,0.04391548372433713,0.07010203903385745,0.10505891093780413,0.6787659083655752,0.039424317898884495,0.5364409666994836,0.1011612558104021,0.019447240447207442,0.03038615924929715,0.062390027188997235,0.018761510952181846,0.14128236048802442,0.01824208597183937,0.12638068325858506,0.0456508184823379,0.17722233895321984,0.04558734303346905,0.1644144519020142,0.02302919743332999,0.030337419406393545,0.6880445879303206,0.2479500988108468,0.21184982093601834,0.10804595410839363,0.022094723644773,0.11599131841436475,0.02550840129434621,0.07186828111526379,0.24632674918166703,0.32608522727979244,0.03177388960649875,0.04958527167925857,0.032610849187314904,0.04841855848297974,0.02310179815495285,0.038384716803246316,0.6104884340352249
AP2A1,0.03384729731779696,0.018455544553147497,0.07759523910451653,0.03380586621159875,0.0,0.6782346518711342,0.4059385823921033,0.01979623592907921,0.022500963236245616,0.06161665340663754,0.1377654642295413,0.020386707617549453,0.0386832466822073,0.02809177740410916,0.021207213270430052,0.5789758437809936,0.047119561936182885,0.07517364797982383,0.06229527003345402,0.022732556057638995,0.05088578611362282,0.025081789532737313,0.1269756588623899,0.08918217284211731,0.057794680726945456,0.04913749094142868,0.0198276168814227,0.020582388269105648,0.0688839726331799,0.08104720384492965,0.023169751004805436,0.02524232265355552,0.019434199267068276,0.1502530886473047,0.02109547489882531,0.34450613647548733,0.5737347056247903,0.07736623269396818,0.2655851449178351,0.037667783739150716,0.1707385464624187,0.03647045722195775,0.04491089339985102,0.019050442970390262,0.17378859144330797,0.03676717061743113,0.023302669355459424,0.049137150134657394,0.02358101721470353,0.40582402995558586,0.0747154621286053,0.077243174003057,0.046128230270359956,0.057964893893226115,0.041812348312624606,0.0380139859059926,0.03257440246081533,0.15211466040468694,0.025505401239044524,0.7903389491587308,0.15037958936877163,0.041397065224125895,0.046364818549586996,0.13364528587771823,0.021826049632195237,0.13270815266891517,0.06373963301732181,0.13019262499785345,0.11924754760222482,0.03852348430966588,0.5008464988828515,0.047158027475856304,0.030403519922264338,0.07005756048126117,0.035600488782208596,0.024909356568170046,0.047706708881723514,0.033838195268897794,0.05294786066964636,0.02107497230768501
AP2B1,0.021404816483304126,0.07712802614670622,0.027550853373386808,0.35129081789873107,0.8095968562326866,0.0,0.3547506738797174,0.029057346486358555,0.03214595791960791,0.026487611640853788,0.1504367601062706,0.07347200099816249,0.04204755799104968,0.02059160318225194,0.029178167060632344,0.5621149962841085,0.037114637517478566,0.027950827811171617,0.017999461898111743,0.061809080729988475,0.04499746565627049,0.030375079633005127,0.1377900159435974,0.02379476080094138,0.020172057888453995,0.04908760890330612,0.025260720212750578,0.03250048649531416,0.057662672237891344,0.11593841991831905,0.05634025715160959,0.025092786722616788,0.019758804689643708,0.021008693754923053,0.04126435109408186,0.35560295870658515,0.03733134287405241,0.04733940564598619,0.03788113381973116,0.01910373417427258,0.04359960778394136,0.03920678972175782,0.07720709872007316,0.02661772717241525,0.2280859529127892,0.07213186059030091,0.029877934798616022,0.021045950490846215,0.05990676563145672,0.06598536180246094,0.02045439919437646,0.03519343492690399,0.019414570216388444,0.027437490850240255,0.16449296751316317,0.02085721375853045,0.23299442237604015,0.07879473732260474,0.056729119123640266,0.2688577962269566,0.021831394174901396,0.02589497973730911,0.1109625414372004,0.04668774370913385,0.06838121411460067,0.06538299483542628,0.21474475883316513,0.07722641132436835,0.023575223045868825,0.16525321530049517,0.0236061873107324,0.19741405557302993,0.03171583770250312,0.01814759522930484,0.020471513887997814,0.023282775573240523,0.09018216378256859,0.16554014754686508,0.0702680030862349,0.4576378075054968
AP3B2,0.038336210344692964,0.038604157961288244,0.028458134285656567,0.1441340324135667,0.5105457529081402,0.33401392441300715,0.0,0.028206526691287245,0.07984523842319108,0.0181345209195303,0.12359853233452515,0.09947108885048293,0.04533932082044067,0.022208660991798246,0.03478003101679817,0.018346823449712914,0.11621029908912142,0.04015267663272589,0.05933641726118104,0.11044363834067843,0.20469847648763773,0.07442939408888163,0.3445111090790679,0.07402421272317426,0.049218795897461295,0.19985702734964106,0.5670952851000648,0.12847202969372548,0.04170916346429191,0.026119667823059765,0.051556670539213166,0.027293744129440252,0.026979811754949023,0.036552545192312505,0.02044591549593985,0.12343993882691533,0.14449660968718867,0.02139065225191188,0.03209080953965168,0.02895115230881435,0.06256783140627639,0.041906021664174495,0.08386216937803861,0.05512498297232874,0.12096839124504961,0.06857781970326335,0.13051663244641593,0.05195802606535186,0.0630099017284125,0.03567134755967955,0.0818582017097719,0.028218263364287715,0.03873737902537279,0.05661418715159335,0.5132652082342155,0.061171480788962,0.08064632785815676,0.05615450768072066,0.061037691712703894,0.03681877867296297,0.02502486460763519,0.22112423199045692,0.023826556877497043,0.03966649969532882,0.06884298643008714,0.054076630246928735,0.1794580916828231,0.04232864120480192,0.02450215301799007,0.056487394531887176,0.03556912672831709,0.06486889105275609,0.022035960619698806,0.06230229952802169,0.026591690828417145,0.02745943059756992,0.06259954036730198,0.024422221741677748,0.1669087721818791,0.26520704570971
AP4B1,0.04215603291313338,0.05815437489170168,0.5691927047257863,0.11854810455023226,0.019787398316733804,0.027272104225318863,0.026865269112719057,0.0,0.2660707989413557,0.026570162670007873,0.12308075412289218,0.0192849148974481,0.02285533508546274,0.05029223480124508,0.03583721960065025,0.01844525482018297,0.10300155728750154,0.04028956464056053,0.10729822890578765,0.033554670580349624,0.12705854994266716,0.03052746026067318,0.05436785025935807,0.031862927569104464,0.02356442122446066,0.5269374117438805,0.05533058396644662,0.023622314410478313,0.08956121738565226,0.02778332344885446,0.2997787997349732,0.034797072764773535,0.036593885621315214,0.0989269520829214,0.0281908948918291,0.028171275856418963,0.03704844002902718,0.07043705022469625,0.07389424480056762,0.05032680384156323,0.0633457651162931,0.03599068758468616,0.04619562342892304,0.07714334648608508,0.05486611748727414,0.0749794891952672,0.043086313825047906,0.03168915813585315,0.07460544305490133,0.048439124397371754,0.16205410385040142,0.8158516559536162,0.03761225869200848,0.02429506108351932,0.036767130177540824,0.20603119173381643,0.052760542158127484,0.040315615465766425,0.07712321450623126,0.06559725103232493,0.5307217921508416,0.15334547681589572,0.13984812708789898,0.336453826940645,0.12585989132086808,0.04036954810997169,0.01807669379626102,0.022586479345744037,0.018249302000066702,0.03901091111412784,0.024316132770974046,0.13063803142590044,0.09725670798492493,0.0501284120329752,0.03240542536060671,0.023946054679819775,0.0339332870104957,0.16464060427755986,0.02583032812516849,0.10528495370329666
AP4E1,0.09555704517092785,0.04470695005269366,0.33803122403325947,0.019797486035623146,0.02274573588849644,0.030579952456359315,0.07311707926100659,0.2983010137369744,0.0,0.028034940929439315,0.02141538353789611,0.026490821116007236,0.026721640087926837,0.05971426666621099,0.057988615863966086,0.12606754456143388,0.3609059341942251,0.039964481135494646,0.036528626089969284,0.076609809218249,0.02218903155331176,0.0357422604023904,0.36682758702677865,0.07496297404689867,0.04004225583144036,0.06331319728265528,0.08755289814973781,0.06834468339639568,0.13195404319079881,0.17412375410706527,0.22329365874658388,0.10049833847228545,0.027509501167737305,0.04532581865207985,0.02733162264085042,0.2839763818584702,0.038608578872677275,0.11980270608931425,0.48649732328780404,0.4483262108873846,0.074454885483949,0.06353045072986654,0.506920621031568,0.018488481731873573,0.08050431305435021,0.25277585106388345,0.08464868918289477,0.025434934503333992,0.02410013937912729,0.02575771151968071,0.022548434675229632,0.09449387801686668,0.05789684058365584,0.13923753714179846,0.13246065202639132,0.02005054592220508,0.08552554580432828,0.20417606338248417,0.07010240907067514,0.138978008651257,0.0350921410530501,0.04975555517456673,0.02632233461459884,0.06720579739403326,0.05518157448566172,0.01837620440825665,0.06388235284152652,0.039000751695702884,0.06473898244772858,0.020021014821641394,0.20277506721577868,0.023365137088641925,0.03854778966089663,0.08222130071395974,0.18916447700196856,0.1447964726287006,0.059587852551122235,0.04503059617403099,0.07942899630655087,0.044107253018777354
AP4M1,0.04157261685774221,0.023568903505596508,0.06844960010500595,0.028293959205309183,0.07246642344364249,0.026383567162134275,0.018137090697976598,0.028069544712392525,0.02908891537986975,0.0,0.06976980729978075,0.024775048964321065,0.020302720256766632,0.16888394468867965,0.056327426044937554,0.18077247691453732,0.04968731763049453,0.024286840646799927,0.02764681576523921,0.0194225536429113,0.494663999732997,0.020947420827145354,0.08151004504780299,0.05609096059525375,0.363169884817413,0.023604519408186055,0.02492242987397629,0.17516212417735916,0.02135595506338766,0.09814827376256036,0.025215603183074517,0.0246967658926145,0.09453797216415605,0.019709295117843053,0.18784813845821238,0.04646631720955359,0.03549111042696051,0.06002912802352144,0.13350029048489448,0.049277736786457776,0.048132892863527246,0.021093601913523323,0.311211389100148,0.20086960911548565,0.03576641196132923,0.04002951673434507,0.20584247887150223,0.039629036088329885,0.09034745208961895,0.019174925358570422,0.04189531243648418,0.03734511897659318,0.03535089129024642,0.022708959946938476,0.18092323605392815,0.022831503360610413,0.06600506442047473,0.01909123288970839,0.02590192383491653,0.1893578466475991,0.036141918346904826,0.023152700711921517,0.04470100883975428,0.20115450976721977,0.06881998989135943,0.030099185764899332,0.27231995801667636,0.12942132388181252,0.03458720010758365,0.1052103694941045,0.01965258409143075,0.1520882130938661,0.23770878886944638,0.09472497636833732,0.05595651786065375,0.24810438716299069,0.08841759750182596,0.20687701341244477,0.04305323754942093,0.03677803240950328
