source,target,A,B_coef
TMED10,TMED9,0.9994814347977956,0.28909815217244045
TMED10,TMED2,0.9918727629484863,0.2201093454041247
RAB1B,PICALM,0.9799616927229504,0.1972466919101599
MAP2K3,BACE1,0.964848183183564,0.1828073615348144
HSPA5,SEC23B,0.9647745515085103,0.18275314146920252
SEC31A,MIA3,0.9603578787954979,0.17968534464141697
SORL1,SEC24A,0.9533632613463484,-0.17544018485068114
HSPA5,HSPA9,0.9233074600588252,0.16220394619269435
MAPK14,MAP2K3,0.9149874780094239,-0.15940279541924832
SEC24C,SEC23A,0.9053574534855902,0.1564555678814185
TMED9,TMED2,0.9004004091051494,0.15504203765727792
SEC23B,SEC24D,0.8942439877139569,-0.1533710996191365
ECE1,PICALM,0.8685975987775668,-0.1472153893898917
SEC24C,COPG2,0.8559813741095149,0.14455764947534952
SEC24A,PICALM,0.8527983283697945,0.1439179882707288
COPA,SEC23A,0.8510658940888128,0.14357463977541732
COPA,EIF2S1,0.8424649220805618,0.14191709688575713
SORT1,SEC24D,0.8285717143881014,-0.13938845932437077
ARF6,SEC24D,0.8238251116707012,-0.13856202697285266
AP4B1,RAB1B,0.8158516559536162,-0.13721227234573877
ARF6,SEC16A,0.8113918661093062,-0.13647699073010877
PLG,BACE1,0.8084550913683102,0.13600007102258482
NCSTN,OSBP,0.7959622279297349,0.1340311649614247
EIF2S1,IDE,0.795835687516075,0.13401169047061173
RTN3,ECE1,0.7882464879761855,-0.13285969809606146
APBA1,PLCG2,0.7846174862550483,0.13231951848315415
HSPA5,COPB1,0.7718727615334675,0.13047290457574692
HSPA5,SYK,0.7682887846814199,-0.12996684623601287
VPS29,VPS35,0.7611711017495068,0.12897776954961782
OSBP,SEC24B,0.7520274792610088,-0.12773637320746722
ABCA7,ECE1,0.7443559557755541,0.1267183332736527
MIA3,SEC24D,0.7384021661636079,0.1259420069417131
PSEN1,LRP1,0.7367668113139615,-0.12573077878078331
EIF2S1,SEC23A,0.7303463290836654,0.12490951024293047
RTN3,MAP2K3,0.727023978710157,-0.1244893875715134
COPE,SNX4,0.726681402400498,-0.12444625016316553
ADAM10,MAP2K3,0.7260603903640612,0.12436813785944303
MAPKAPK2,COPG2,0.7084158621671602,-0.12219256738875246
APBA1,NCSTN,0.70653070056341,-0.12196484058511362
SEC23B,BACE1,0.7002291101006296,-0.1212097274770761
AP1G1,SEC24D,0.6880445879303206,-0.11977483440769647
SEC23B,RAB1B,0.680054897930575,-0.1188506025529755
AP1G1,PLCG2,0.6787659083655752,-0.11870265484834211
PREB,ECE1,0.6770989906382626,-0.11851179195228695
ARF6,BACE1,0.6760941882739023,0.11839699072807083
VDAC1,MIA3,0.6714103539662333,0.11786427025271237
SEC23B,PLG,0.6596705428201178,-0.11654565981745678
ADAM17,RAB1A,0.6591036130692915,0.11648255423494501
AP4S1,IDE,0.6536303732267069,-0.11587588807030885
MFN2,GGA1,0.6481066856885371,-0.1152681818973194
MFN2,SEC16A,0.6439359229990141,-0.11481221291185065
EIF2S1,MIA3,0.6426302743458039,0.11466996664713336
VPS35,AP1G1,0.6342005627518066,0.11375700129758512
SYK,ARF6,0.6325113467147837,-0.113575142928723
IDE,SNX4,0.6268267446658459,0.11296568437094819
SYK,HSPA9,0.6229228310257323,-0.11254931964105286
PSEN1,RTN4,0.6218201033822768,0.11243202071657454
HSPA5,IDE,0.6191187344450957,0.11214523458118787
SEC16A,IDE,0.6171484426956225,-0.111936556189832
SAR1B,VLDLR,0.6127283401970121,-0.11146988157959437
COPB1,RAB1B,0.6102103723652612,-0.1112049148294294
EIF2S1,HSPA9,0.6029866902600975,0.11044813295070033
TMED9,MIA3,0.59326190128128,-0.10943666175125913
VPS35,COPZ1,0.5923081181363783,-0.10933788179297134
SEC24D,IDE,0.5891172651884864,-0.10900793497027185
RTN3,SEC24C,0.5886236531514965,-0.10895696347899919
SEC31A,EIF2S1,0.5849527221036868,0.10857846476663734
COPE,OSBP,0.5843798414433957,-0.10851948555187241
PLG,TMED2,0.5797312643888359,-0.10804175763874795
AP2A1,ARF6,0.5789758437809936,0.10796426364721086
ITPR2,RAB1A,0.5740282429508721,-0.10745763881978618
AP4B1,ADAM17,0.5691927047257863,-0.10696395425078106
RTN3,GGA3,0.5642516791869725,0.10646088902047801
PLG,COPG1,0.5507702154457615,0.10509457909676687
EIF2S1,SEC24B,0.5403988506704387,0.10404871081456468
SORL1,GGA2,0.5298328516906264,0.10298683291136948
APBA1,OSBP,0.5283849918662873,0.1028415544311714
AP4B1,COPZ1,0.5269374117438805,-0.10269635191403481
PREB,PLCG2,0.5261839240413595,0.10262078990267065
NCSTN,ECE1,0.5239665096154182,0.10239848899059076
APBA1,APBA2,0.5231857082551106,0.1023202348536162
PSEN1,ITPR1,0.5195456060367024,-0.10195555712042409
MFN2,SEC24B,0.5179901653619273,0.1017997934658898
VPS35,COPG1,0.5131969427041898,0.10132000084794124
APBA1,BACE1,0.5130695291386449,0.10130725069463561
COPA,SEC31A,0.5024799187347211,0.10024799390703448
AP2A1,SREBF2,0.5008464988828515,0.10008464996916097
PREB,GGA1,0.5007268411904443,0.10007268417024301
PREB,AP1G1,0.49064123328168735,-0.09906401401162108
MFN2,HSPA9,0.47761185133383,0.09775968711841765
COPB1,COPG2,0.46718529128894193,0.09671380557618213
MAPK14,AP4E1,0.459876882609143,0.09597904246044839
SORL1,PLCG2,0.45703653192027965,0.09569303216307315
VPS29,GGA3,0.4530498294634232,0.09529111039719523
COPB2,VLDLR,0.44933995569731333,-0.09491655254096287
VPS29,IDE,0.44694195389718416,-0.0946741441821612
GGA2,COPG2,0.44555991897753944,0.09453432486634644
