,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,0.03273369136310022,0.01802327801100445,0.07243845634052273,0.06084406736909037,0.022061395368489386,0.01984089711192521,0.08278916506776172,0.964835700193973,0.10341773565795753,0.029113982810858034,0.4518232762017928,0.9166795656306469,0.02797176312898182,0.7870150854381728,0.12121351786589692,0.031784820865666856,0.1011332808082691,0.022694075454982535,0.03322302880450256,0.25425721328157624,0.03312878273393938,0.1804861926719677,0.0608539482680035,0.2728246022681451,0.027354110292385672,0.202839112579064,0.06655080856025224,0.021723531969747554,0.6680517724054027,0.5833583511882483,0.9225779432926243,0.4839801998090255,0.26714247548157016,0.17711902486867429,0.14542766301366183,0.021180686622794244,0.07412386445002384,0.0392921985872529,0.028884601429921032,0.11270030263283523,0.08198297913275936,0.12938231455077542,0.09969759366806741,0.13210219971189777,0.07437329474121644,0.06402483061300814,0.7969133761842674,0.9610789076187918,0.9869553420003299,0.2681787015283163,0.03375273626353189,0.21711460380616876,0.24055773676677164,0.2599271258649978,0.0895022754385759,0.13174657211249519,0.9283592890590918,0.022372715349146182,0.05617053015993129,0.08437004386343548,0.02409425793085434,0.4441510584482201,0.7364380569030393,0.04061510251137929,0.3836818219303711,0.021384116486592837,0.029337190780574802,0.30768131297155227,0.4908467859503699,0.06947919941753396,0.8240291655546244,0.07070927075491516,0.020911429239037858,0.029808198339291103,0.032179013292325885,0.13434973017984533,0.01986462565517198,0.02576163447956164,0.0321930064211292
ADAM10,0.040092990087564756,0.0,0.8585288034420138,0.022541107400744276,0.05551741536191811,0.05752138238721984,0.06360443688179954,0.043603053199371675,0.14879609990398335,0.12380708828267961,0.4717091635572668,0.27072750147926156,0.9499724727854427,0.06557630590073937,0.032388352971942064,0.06318519060679774,0.018155540440560156,0.7718158824786252,0.16637407640608087,0.0439753610495518,0.03453887043921924,0.041518599542831706,0.030779749849693283,0.029135430695102698,0.07173299661995573,0.5010252080131351,0.03341460029075175,0.2112744147993581,0.027965046682980672,0.6163349621322016,0.37285410300505467,0.19907264478160488,0.6728840944341926,0.04477396900268182,0.35390287165862677,0.05748160902545758,0.02512770632887917,0.03075403044450615,0.09747113839509455,0.018645985194672605,0.03857043406618168,0.049124441906313994,0.019771616398548388,0.08996278048414122,0.11440267973726806,0.23888100098955578,0.18657528714897909,0.08570335511979205,0.09208231940912118,0.9189720551525374,0.5339351498425167,0.038501102842803794,0.03081199658837428,0.021454602213861862,0.09622550058998791,0.26772562226396607,0.7786634408731563,0.024951226682306975,0.15904256683730694,0.02813325272780193,0.420911570540145,0.4417348273148957,0.02733224529300972,0.092150254043005,0.05237135583936055,0.1991583000927679,0.23935267578804656,0.023871945854861885,0.024980420252715664,0.7712494865101367,0.2677850137889065,0.22728771961329872,0.04717411380982451,0.07424348913361198,0.20742692478088542,0.03371297088811888,0.04824638181542878,0.17318995972242934,0.08367363542025053,0.08431010239943906
ADAM17,0.018024877698666508,0.6243570480544871,0.0,0.11121633360307033,0.018624478406193166,0.049768966103538016,0.04849125454992185,0.8473428890397563,0.05299734747481153,0.18809287547847445,0.4192230513688644,0.028120180211416858,0.030307626452815664,0.019074803558189017,0.04653445902470254,0.05775183605858147,0.06094131549355018,0.2955664623062993,0.05746718098692821,0.023113556147744446,0.08008957885587466,0.13182535045345156,0.20591402681695442,0.09548423840420868,0.11050947038140507,0.11157434543084047,0.1628395099639806,0.9075709361179998,0.8212523862320691,0.023059569437579475,0.04703701978921947,0.8135232417618845,0.057156855778585716,0.055828180894301575,0.1316368493565324,0.0767790625166561,0.9930893489416847,0.046687890747929776,0.11310356364037945,0.04815628534915145,0.040536257787654476,0.027769051454828338,0.0406094608685437,0.0927005911291508,0.12219366200589071,0.03132254576371939,0.12003628979039631,0.03436308842256387,0.022872446634407205,0.38186544508615705,0.043187673744299694,0.1476490161306374,0.07421269943930313,0.03847532347881527,0.23719950987581756,0.3841115778287088,0.49203423818520975,0.24739343565837466,0.019184881537698872,0.14342191475327198,0.035162084412601345,0.060387600660585156,0.07723769559157011,0.9279110967945523,0.03128202389897344,0.9057478208854569,0.07837033075461844,0.03836565392688776,0.03619943937211566,0.5347841031807784,0.518105972850137,0.6114790365851484,0.09816224505100976,0.027177639938398775,0.03292085314923866,0.09505882759169709,0.022442834891865722,0.039936108449030845,0.02064734658128667,0.030315051982034297
AP1G1,0.15719504671284182,0.023535570965122356,0.25886471498582164,0.0,0.31819272893246947,0.5594059586199723,0.13995069284010625,0.04334916004528346,0.0595355859561501,0.04867447531907348,0.44403928349043237,0.03911985465500328,0.07213921825297079,0.044317943493359394,0.06224866309197411,0.167583052866857,0.4165856274485932,0.03704140580312655,0.35045129321977364,0.024896003125763393,0.03549371588566263,0.09805781480951897,0.04847890267599892,0.06264917707789827,0.18426338786984095,0.5433469855909973,0.058003181275074873,0.0737307094728929,0.14974005884376282,0.1058789091344406,0.025088929172242043,0.02306694138972817,0.030657407625863234,0.05272413124294514,0.026342929993178325,0.022030946169154207,0.02891108008243671,0.025691716666235417,0.0815914452714312,0.1372757686004963,0.020079879658541765,0.0616407741637469,0.1097114813789421,0.0220293689039311,0.043625415542777574,0.04388657349927091,0.27997742747422866,0.2234363800848321,0.030814359979519125,0.9089033685698842,0.2610556128777485,0.03981667679938432,0.02172391602844421,0.3044747718637835,0.1610600133022923,0.06013768497707559,0.024342120219860392,0.5693442726185328,0.13597248374668264,0.06892627064902114,0.04235255754470192,0.4564725895816226,0.02582447689850028,0.4436032597360379,0.01874644571103194,0.02589312370641164,0.311012845761536,0.09069967897169158,0.019434527787496908,0.03803935665559487,0.026500706357886948,0.03687638938276309,0.0243795798361988,0.13697233715349222,0.029252979702948757,0.030012255796827363,0.2582889042801013,0.28664515571419674,0.43705971577381353,0.43045488612102223
AP2A1,0.13303614363987418,0.07317787250173623,0.019026678253679884,0.3553249103219975,0.0,0.8364462417892049,0.3297741380018155,0.040557129737917544,0.049687913691112244,0.08174536843550029,0.02224305140578794,0.025979860918218963,0.04857039853176879,0.03472935967166364,0.01954791368509454,0.08666055688669752,0.020449488688266973,0.049953895870114826,0.03598363891377599,0.03427581840821427,0.03160714297721823,0.024602170654085515,0.025315783424250487,0.04982170178944981,0.20648623614971798,0.0595073065944478,0.042018626291602024,0.34765631175352896,0.22461726116357125,0.02997199830449188,0.03661867722842681,0.10942826712953523,0.0694167763987786,0.16257582302036974,0.05959733816126659,0.7055762954564372,0.08995142528717838,0.10287948190404543,0.07364463240397151,0.03925779563326711,0.0534124946092728,0.04564928804057272,0.02721938541815914,0.044859001206904864,0.07724251340834706,0.10055582414972382,0.6585147210811365,0.04868920501762858,0.08245051001519396,0.3117597918175386,0.32056327527876605,0.031287570909797544,0.2978657828279588,0.03121301543784706,0.24610083492070306,0.16811047748578323,0.1670264869056814,0.021409748614943346,0.038009040713045075,0.03041496569784714,0.045424606573849204,0.0672607996366417,0.05633941144351188,0.021905468020908887,0.018255111181878107,0.2559373008522467,0.2248036882924519,0.027311116081219215,0.07555381895918079,0.30000864982714925,0.021213712998346096,0.051936570220762014,0.029069359889086183,0.02909326609983802,0.021774229995994262,0.19847167325341802,0.22074552146689716,0.04978211504475507,0.09657940344700397,0.11530919081432764
AP2B1,0.02510747860464393,0.073520620452097,0.08686886307671128,0.5823184074785933,0.813814670024556,0.0,0.2486422653431691,0.019564052351981238,0.13954562593655437,0.02443285835360244,0.256439842433444,0.025372786864591077,0.1362139587124395,0.10071799550996056,0.09845865225386687,0.20683997463373108,0.02369192424579848,0.16636106511448212,0.42229776021326326,0.03947052803804731,0.047943384073112265,0.13456970128116566,0.022465583144159928,0.21781014730816434,0.12454541224537084,0.055786245296805224,0.20871226466268877,0.030090141328129885,0.19436080016439938,0.032529223406009715,0.025309713165724147,0.06592004266668733,0.05024964609325833,0.05168235976805263,0.032889244999900646,0.1280786727758522,0.01937164570837964,0.2065477550315107,0.041339841598327896,0.06604659969233512,0.050404498831473445,0.02033361469047047,0.05161935439672134,0.24510101291420672,0.04533891587905608,0.044153446097081474,0.76388031807919,0.04959738045305617,0.03577701639787839,0.357642769693687,0.5367072299349964,0.3159748645931668,0.18593429917342233,0.018179197806949095,0.04408172052943439,0.34958365546901554,0.04615826121604805,0.23521913930223115,0.03923271402491474,0.021309227413466796,0.04242401135191824,0.08539479398024427,0.14022152324788875,0.1578919823302028,0.019457032090682204,0.29600631906432184,0.6005251771678799,0.03138432671321631,0.28030845287788053,0.1689787077402975,0.07576584151086456,0.09310000532519529,0.020197561098818064,0.02559168261542741,0.03282954948741676,0.036184498770647465,0.10048851146123675,0.08207348432422944,0.05198019574085344,0.1494906219528244
AP3B2,0.02139486612834862,0.09341417613231058,0.09416057867567357,0.1701552507889585,0.36847121297572627,0.2955297331362875,0.0,0.13909608245578,0.026017619938630453,0.05564256118507583,0.04707449381255944,0.10576256671842156,0.02525634316206296,0.057617786729084935,0.07779487538199441,0.08259095493066462,0.08604348342389884,0.04966622087663285,0.041438890424588926,0.021710539584703377,0.031945856995514665,0.04395584529365119,0.039625976492321496,0.03214143601755803,0.0360123530148696,0.052915668713379015,0.03842647573291166,0.3574096289966398,0.03840171564221796,0.0330823634556954,0.19673702488276162,0.11087476324518664,0.022667380106482785,0.17119443762770653,0.05064786189978057,0.039967694734776585,0.0794432799879629,0.09489823150525192,0.2520925614651141,0.04663659295713412,0.20997331384885096,0.11970093094692232,0.04234150263583426,0.021945756059004395,0.10152689059592072,0.059749823363040924,0.07179112506952548,0.3535303114703466,0.271627868307067,0.024743115374748666,0.13766734314222662,0.2739075887272794,0.09806199981981875,0.07666729582384398,0.1423247889219598,0.045641131502121055,0.02600114130739107,0.03296576024978785,0.05194178813521749,0.035607992722074724,0.020835236624961194,0.025902520936001486,0.06753919152083349,0.5663286232907062,0.07917215174370937,0.01942623205392083,0.07969199947311263,0.09164541556954953,0.2834832717442607,0.08403776580767733,0.12449038263564642,0.41488136324709685,0.022946093639869523,0.02891920008480834,0.1060390444248945,0.14998704527554108,0.04086436646762011,0.0442320414267465,0.3716088370942503,0.25523917891156855
AP4B1,0.05798276658857857,0.029775041179658873,0.5406449063157511,0.027389470267750834,0.026027336292270782,0.01870315695614398,0.04457269723750662,0.0,0.22627618129333008,0.06916539280983995,0.03721161663016647,0.9107518026457495,0.02359818696194339,0.5618471133751073,0.033621767769431904,0.06135925149964012,0.10734295147269607,0.030940995017375295,0.144148975224266,0.019264608534978283,0.05597414047759887,0.23616727951084934,0.14152132232627318,0.08352330748046934,0.7705539533734647,0.11584863888643443,0.5000628266912251,0.06060960882605892,0.04839480132321181,0.022153874241732617,0.06898695542293175,0.2681758210168988,0.04684476727565614,0.17127343399732142,0.052851922964104,0.4498961326492331,0.25233799787865563,0.0715710077266348,0.03501421405209714,0.2656123653749681,0.018986800911878408,0.08170910675933077,0.043665973532412895,0.046987159676450056,0.07812866565244349,0.026899403335550374,0.22132047614307074,0.34421579475392944,0.08447408200175743,0.20380057275870125,0.1558251355434439,0.6137025435657821,0.48368075754225603,0.05938104375649461,0.03610674826878624,0.03230010004582301,0.25989731173411246,0.018101317984139137,0.1183593556784244,0.24908528186967366,0.03615201583573493,0.16797873558764326,0.0745120589689066,0.082066896093296,0.10132943752040391,0.08862405229108616,0.026562425019243257,0.0824228854394903,0.019595886462459088,0.0287268862558833,0.3429139195332212,0.06944830880989424,0.14725713692030426,0.04181654286589581,0.1679321296503879,0.040148655732342664,0.06743243039966038,0.1478419582533167,0.053163464719099184,0.07346013479764234
AP4E1,0.9489276889388288,0.08245014869274359,0.048048188186883285,0.03674385966267807,0.03199064241820701,0.06078459479245288,0.02192149238033494,0.36614886544301595,0.0,0.6169026187105635,0.021289094084636643,0.03671716135201959,0.8150653883400535,0.3086877905748823,0.022607312643143924,0.02428517227429804,0.13560814058611648,0.025686716245180378,0.3382549827540463,0.023529514772894135,0.11571008699653716,0.16501718095307424,0.9500938611895599,0.12968542626651286,0.024621898527231414,0.30636396321688586,0.028209303432829704,0.3182098910290389,0.5548558505177884,0.030441510493946732,0.6834794560855941,0.11631822478537406,0.06533173596467558,0.07132863517690596,0.504861547093357,0.21400543968252897,0.0727078489031938,0.11474224578254823,0.2629134983145582,0.06006266687408127,0.4757821476065448,0.20975731605729686,0.6438171922620781,0.09586523950423838,0.06645848424953014,0.3450183059562685,0.9257663309224501,0.20172904741307074,0.18255254802290258,0.0201296416843495,0.027797294961356585,0.4553191421074478,0.02631896108786518,0.0810403008170529,0.31631882750141715,0.035609445705337146,0.24052132407910054,0.05463584792525497,0.04057454006761926,0.07473822418160603,0.13030522760145077,0.24935157831670846,0.02835528080623618,0.14974509118865248,0.3841012610605932,0.53914231019222,0.1348992019949473,0.14282514630304005,0.03454876691832018,0.08225862158872585,0.029666987010881107,0.3290976955945129,0.4046472664594652,0.043471010546372466,0.053800533460200535,0.08006503402983096,0.05492024439599025,0.327053541509446,0.026788626070989915,0.05672538958693306
AP4M1,0.09575088710735813,0.07248421088801878,0.15704168646820144,0.03267551639298179,0.042944225464145155,0.021508042517834367,0.0332322168988852,0.0959609502894686,0.6245057845553571,0.0,0.03868225438506738,0.01903701143170425,0.37983125707643334,0.368720863639836,0.25042937749060307,0.022439707562185315,0.037975527881379416,0.02377191970388338,0.02912229469967338,0.09637927701372254,0.2464734498590885,0.24240410299656162,0.018494802446107506,0.05598152371870245,0.08494499973620256,0.07383498577271931,0.6848813248653399,0.7841871920899384,0.022578045950271474,0.23788728679993232,0.10582297910905897,0.018253879071333804,0.01856160393538212,0.055710065278305965,0.25249730927337627,0.1897224856086726,0.4724420938289891,0.026371654414769786,0.04699356464877643,0.0848417100028303,0.030435260541772088,0.30193049274039496,0.019096035117872442,0.01853273721186058,0.35933526976558133,0.061655411848500895,0.030672510124529893,0.6112535955432116,0.06016537167490148,0.026746686412349296,0.02023581254145958,0.26276064684200195,0.07134128920575747,0.05312849967311752,0.28125259438167344,0.08472625188710804,0.15479098680256284,0.368101396005211,0.09620517104138969,0.14385718487724816,0.9579358957610246,0.03237389867666639,0.05608345214996261,0.033321924855407574,0.03068290312982418,0.6151630597273163,0.1594914754179854,0.04988548826547554,0.08358425633936614,0.05747487885044417,0.9939894552910089,0.13981713596018222,0.09379849192260653,0.38372157116240274,0.36354461693568996,0.08583718859404706,0.3971321023369394,0.224371267757292,0.01954708009402999,0.05233362340623966
