source,target,A,B_coef
TMED2,TMED10,0.9999999890972752,0.558356327238416
VPS29,VPS26A,0.9999990994095357,0.44800535791746626
VPS29,VPS35,0.9999960743729248,0.41119951323698145
SEC31A,PREB,0.9999955718861591,0.40818831014983525
SYK,PLCG2,0.9999945651570685,0.4030668625604598
SEC31A,SEC13,0.9999935851124446,0.398922066838071
AP2B1,PREB,0.9999797026342431,-0.37012497871090155
MFN2,PLG,0.9999698028453745,-0.36019331645280367
GGA1,AP4E1,0.9999643431988335,0.35603837489506407
MFN2,HSPA9,0.999950500489454,0.34783745689156503
ITPR1,ABCA7,0.9999419007032988,0.34383247245417764
SEC23A,SEC24A,0.9999325717150565,0.3401094634900886
AP2A1,AP2B1,0.9999298206117317,0.33910964306517194
AP1G1,AP4E1,0.9999235800074749,0.33697974477114373
SEC13,AP4E1,0.9999219150855293,0.3364408897099246
APOE,CLU,0.9999078272982203,0.3322938592607979
RAB1A,AP4E1,0.9998988393940186,-0.3299674995032805
MFN2,VDAC1,0.9998931579495297,0.3286013032544144
LRP1,SORL1,0.9998860959298354,0.3270010010761776
SEC24B,VLDLR,0.9997725347917386,0.3097071442726346
BIN1,ADAM10,0.9997458352043477,0.30693183756112374
SEC24C,SEC23A,0.9997260224495547,0.30505475931312415
TMED9,AP4B1,0.999695049764317,-0.3023764239905435
MFN2,IDE,0.9996640881440677,0.29995814494161627
NCSTN,PSEN1,0.9996121771888038,0.29636435241970915
APOE,APP,0.9995246974038321,0.2912770874151013
RAB1A,SORL1,0.9994810451535924,-0.28907936475436863
RAB1B,PLG,0.9994226149679903,-0.2864105915593823
NCSTN,COPB1,0.9991252480813332,-0.2760173774648197
VPS35,VPS26A,0.9991140056203633,0.2756978390949998
SNX6,VLDLR,0.9990967575998576,0.27521539878263385
VPS35,COPG2,0.9990644956673876,0.2743372209684399
COPG1,COPB1,0.9990020650871436,0.2727206017044262
VPS35,SEC24A,0.9986497672274901,-0.26515317830389007
COPG1,COPE,0.99853634972631,0.26313392634039445
VPS29,PSEN1,0.9984425652197967,0.261578913350146
TMED9,TMED10,0.9982479305200604,0.2586301005901427
HSPA5,ECE1,0.9982329249721138,-0.25841652469489884
AP2B1,ABCA7,0.9982252902921778,-0.25830855319869367
SEC23A,SIGMAR1,0.9982132745975357,-0.2581395598773539
SEC23A,AP4B1,0.9981102625983334,-0.25673564688182116
COPA,COPB1,0.9980948346550783,0.2565319874113685
RTN3,AP4B1,0.9979722328943887,-0.25496975533702665
APBA1,SIGMAR1,0.9979435683264364,0.25461811116089755
VDAC1,HSPA9,0.9977888932010979,0.25280121299825414
PICALM,GORASP1,0.9974356675609485,0.24908723664852225
GGA1,OSBP,0.9974028319083748,0.24876832691260897
COPA,COPB2,0.997307689753146,0.24786649212727216
SEC31A,AP4E1,0.9968416185596698,-0.2438633051344255
SYK,SEC16A,0.9966904154549034,0.24269043848034183
