ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,VPS35,SEC23A,MFN2,APP,VDAC1,LRP1,GGA3,CLU,SEC23B,COPA,ADAM10,AP1G1,SORL1,HSPA9,PLCG2,SYK,ITPR1,SEC24B,MAP2K3,IDE,PICALM,MAPKAPK2,EIF2S1,SEC16A,ITPR2,MIA3,SEC13,SORT1,SEC24D,COPB1,APOE,ARF6,RTN3,HSPA5,AP2B1,VPS26A,SNX4,RTN4,BACE1,VLDLR,TMED2,APBA2,TMED9,GGA2,MAPK14,COPE,SEC24C,COPB2,SNX6,AP4M1,SEC24A,VPS29,GORASP1,PSEN1,SEC31A,PLG,AP4B1,PREB,SAR1B,RAB1A,NCSTN,SAR1A,TMED10,COPZ1,ADAM17,ECE1,AP4S1,APBA1,SREBF2,RAB1B,GGA1,COPG2,SIGMAR1,OSBP,COPG1,AP2A1,AP3B2,AP4E1,BIN1,ABCA7
1,VPS26A,SORT1,VPS35,APBA1,RAB1A,RTN4,SEC31A,APOE,APP,BACE1,SYK,PLCG2,MAPK14,AP1G1,VPS29,MAPKAPK2,SNX6,HSPA9,PICALM,AP3B2,SEC23A,ARF6,NCSTN,SNX4,SAR1A,SEC24D,SEC24A,GGA3,GGA1,MFN2,ECE1,GGA2,COPB2,AP2B1,CLU,COPE,MAP2K3,PLG,SAR1B,AP2A1,MIA3,COPB1,SEC13,SEC24C,SEC23B,PSEN1,APBA2,SEC24B,BIN1,ITPR1,RAB1B,TMED2,HSPA5,TMED10,COPG1,AP4M1,RTN3,ADAM17,TMED9,ITPR2,EIF2S1,SEC16A,VDAC1,VLDLR,AP4B1,PREB,SREBF2,COPA,SIGMAR1,ADAM10,GORASP1,AP4S1,IDE,SORL1,COPZ1,COPG2,OSBP,LRP1,ABCA7,AP4E1
2,TMED10,RTN3,COPZ1,AP1G1,GGA2,VPS35,BIN1,VPS29,COPE,TMED2,SYK,SEC16A,GORASP1,ADAM10,NCSTN,VPS26A,SORT1,SNX4,GGA3,IDE,SEC24C,MAPKAPK2,ITPR1,LRP1,PICALM,APBA1,ITPR2,VDAC1,COPB1,APOE,ECE1,SNX6,AP3B2,SEC23A,HSPA9,MFN2,AP2B1,SEC31A,RAB1B,SEC24D,RAB1A,MIA3,AP2A1,COPB2,APBA2,COPG1,ARF6,COPG2,SAR1B,SEC24A,PLG,PLCG2,CLU,BACE1,APP,HSPA5,VLDLR,AP4B1,MAPK14,SEC13,SEC24B,AP4M1,SREBF2,SORL1,SAR1A,COPA,GGA1,OSBP,SIGMAR1,AP4S1,RTN4,TMED9,PSEN1,MAP2K3,EIF2S1,SEC23B,ABCA7,ADAM17,AP4E1,PREB
3,PICALM,GGA2,APOE,AP1G1,LRP1,AP2B1,HSPA5,CLU,VPS26A,RAB1B,VDAC1,GGA3,APBA2,MAPK14,AP4M1,SEC24A,TMED2,ITPR1,SAR1A,BIN1,RTN4,OSBP,SNX6,SEC23B,COPG1,COPA,SEC24B,TMED10,VPS29,MAPKAPK2,SORT1,NCSTN,TMED9,SEC24C,PREB,GGA1,SEC23A,SORL1,SEC31A,GORASP1,SNX4,SAR1B,COPG2,COPB1,SEC24D,RTN3,HSPA9,AP3B2,COPB2,VPS35,IDE,ARF6,SEC13,MFN2,BACE1,ADAM10,SYK,RAB1A,SEC16A,COPE,APBA1,ADAM17,PSEN1,MAP2K3,VLDLR,EIF2S1,SIGMAR1,MIA3,COPZ1,AP2A1,ITPR2,SREBF2,AP4B1,PLG,ECE1,APP,AP4E1,AP4S1,PLCG2,ABCA7
4,ITPR1,RTN3,GGA2,SEC24C,COPG1,VPS35,ITPR2,COPB2,SEC24B,SYK,PLCG2,SORT1,ADAM17,COPA,TMED9,MAPK14,SEC23A,ADAM10,SEC31A,APBA1,AP1G1,SNX4,BACE1,HSPA9,CLU,ECE1,MIA3,GGA3,LRP1,SEC23B,RAB1B,PICALM,TMED10,VDAC1,SEC24A,VPS26A,VPS29,APP,AP4B1,TMED2,COPB1,SEC13,COPG2,APBA2,SORL1,APOE,SREBF2,ARF6,AP4S1,RAB1A,NCSTN,BIN1,SEC24D,MFN2,MAPKAPK2,IDE,MAP2K3,PLG,GORASP1,GGA1,VLDLR,PREB,SIGMAR1,HSPA5,RTN4,AP2B1,AP4M1,COPZ1,PSEN1,SAR1B,SNX6,COPE,OSBP,AP3B2,EIF2S1,AP2A1,SAR1A,SEC16A,ABCA7,AP4E1
5,AP3B2,BACE1,SEC13,SORT1,MAPK14,ADAM10,CLU,NCSTN,PICALM,COPG1,AP2B1,HSPA9,PREB,SNX4,ITPR2,IDE,APP,APOE,RAB1A,COPB2,SAR1A,AP1G1,GORASP1,SEC24B,MIA3,ITPR1,VPS26A,GGA2,COPB1,VDAC1,SORL1,TMED2,TMED9,COPG2,LRP1,ADAM17,RAB1B,ECE1,APBA1,SEC24D,TMED10,SEC24C,RTN3,RTN4,SYK,ARF6,VPS35,SEC16A,GGA1,GGA3,HSPA5,PSEN1,COPA,BIN1,AP2A1,COPZ1,SREBF2,SEC23A,SEC24A,PLG,MFN2,SNX6,AP4M1,OSBP,SEC23B,MAPKAPK2,EIF2S1,MAP2K3,SAR1B,VLDLR,AP4E1,AP4S1,COPE,SIGMAR1,AP4B1,SEC31A,PLCG2,APBA2,ABCA7,VPS29
6,ITPR2,SEC16A,BIN1,RTN3,MFN2,SEC23B,AP3B2,PLCG2,SEC24D,SEC24B,VPS26A,AP2A1,BACE1,SEC24C,SEC23A,APBA1,SYK,AP4B1,VLDLR,PSEN1,GGA1,VPS29,RTN4,COPA,NCSTN,GGA3,PLG,APP,ADAM17,COPB1,AP4S1,IDE,LRP1,AP1G1,TMED2,RAB1A,TMED10,PICALM,VPS35,ITPR1,VDAC1,COPB2,MIA3,SAR1B,ADAM10,SAR1A,OSBP,COPE,APBA2,SORL1,TMED9,MAPKAPK2,APOE,MAP2K3,SEC24A,SORT1,AP4M1,COPG1,HSPA9,COPG2,MAPK14,CLU,AP2B1,RAB1B,ECE1,GGA2,SIGMAR1,GORASP1,ARF6,SNX6,SNX4,SEC13,EIF2S1,HSPA5,PREB,SREBF2,SEC31A,COPZ1,AP4E1,ABCA7
7,SORT1,LRP1,ITPR1,SNX6,TMED10,BACE1,COPA,VDAC1,GGA2,HSPA5,AP2B1,RTN3,COPG2,SORL1,SEC16A,AP3B2,GGA1,ECE1,APBA1,APP,PICALM,SEC23A,ITPR2,OSBP,APBA2,TMED2,APOE,TMED9,COPZ1,AP1G1,SYK,RAB1B,BIN1,SEC24A,GORASP1,ADAM10,AP2A1,PSEN1,NCSTN,COPB1,PREB,MIA3,COPG1,SEC13,COPE,AP4M1,VPS35,GGA3,VPS29,PLCG2,MAPK14,VPS26A,SAR1A,SEC23B,MFN2,AP4B1,SEC31A,MAP2K3,SEC24B,SNX4,PLG,COPB2,SEC24C,RTN4,MAPKAPK2,SEC24D,CLU,SAR1B,ADAM17,ARF6,AP4S1,RAB1A,VLDLR,IDE,EIF2S1,HSPA9,ABCA7,SIGMAR1,SREBF2,AP4E1
8,SORT1,SEC23B,LRP1,SAR1B,VDAC1,MFN2,NCSTN,SNX6,COPA,VPS29,COPE,GGA3,VPS26A,ECE1,GGA2,BIN1,SAR1A,BACE1,ARF6,MIA3,MAPK14,APOE,COPB2,SEC23A,SEC31A,ADAM17,AP1G1,SEC13,RAB1B,PICALM,GORASP1,GGA1,APP,COPG2,APBA2,COPB1,AP2A1,MAPKAPK2,ITPR1,ADAM10,APBA1,SEC24B,TMED2,TMED9,HSPA9,CLU,SYK,PREB,TMED10,AP4B1,VLDLR,PLCG2,VPS35,HSPA5,EIF2S1,COPZ1,SEC16A,PSEN1,AP3B2,AP2B1,SIGMAR1,ITPR2,SEC24D,IDE,AP4M1,SEC24A,SORL1,SEC24C,RTN3,COPG1,AP4S1,RTN4,MAP2K3,RAB1A,SNX4,SREBF2,PLG,OSBP,ABCA7,AP4E1
9,COPA,AP3B2,ITPR1,BIN1,HSPA5,SEC23A,SEC24C,CLU,SAR1B,VPS26A,SREBF2,SORL1,AP2B1,TMED2,TMED9,MIA3,SORT1,COPE,RAB1A,SEC13,ADAM10,HSPA9,LRP1,COPG1,APOE,SEC31A,SEC24A,VDAC1,AP4M1,PREB,SEC16A,VPS29,COPZ1,MAPK14,APBA2,ADAM17,COPG2,SAR1A,RTN3,IDE,SEC24B,PLCG2,ECE1,RTN4,SYK,SEC23B,GGA1,ARF6,SNX6,MFN2,BACE1,APBA1,MAPKAPK2,EIF2S1,VPS35,SEC24D,SIGMAR1,SNX4,COPB2,MAP2K3,GORASP1,AP1G1,VLDLR,GGA2,PLG,AP4B1,APP,TMED10,OSBP,PSEN1,RAB1B,AP2A1,PICALM,GGA3,NCSTN,ITPR2,COPB1,ABCA7,AP4S1,AP4E1
