,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,-0.04912839618852218,-0.17011187335268757,0.05785561836680369,-0.06344828084527876,-0.1717538406737433,0.1056872268856171,0.025384784621388382,0.13497227366766204,-0.14494583500799246,0.0916279741103987,0.08468741796931885,0.17113963097761342,0.07850481772828045,-0.02975227412206183,0.024619935309889856,0.01292833433229414,0.017122469697480186,0.018265248410458446,0.046742108332583375,0.08908153724330141,-0.009100776893369397,0.15370653734908704,0.006471552093310857,0.004251361863410933,0.017537192782241317,0.018504431949292188,-0.11889127441934363,-0.08469627408085358,0.07223111112389742,-0.07614774292528302,-0.022391586936136073,0.006288277431196294,-0.05479164051431483,0.03246482372433207,0.0734006683303093,0.029156486931459183,0.054197292778411725,-0.107228920043827,-0.020874408295605423,0.001714955445113273,0.04384890145397282,0.0768786368598084,0.12450496410671524,-0.07858838449859765,-0.11413043250111761,-0.008007042837195959,0.08785503023145891,0.07459838717190229,0.0767632078313424,-0.04561201811245589,0.0366712078658284,0.013716164722546607,-0.031207714497003314,0.08731157145128221,0.012334956898299346,-0.03557646850534638,-0.11871544272807474,-0.0075113185605216,-0.0024082170162113828,0.012259222414937645,-0.05474509236016503,-0.05935137320315738,0.005506581759657039,-0.03630666433413206,-0.03551468153371755,0.018712659180422114,0.0034875847202162614,0.008384702533622458,0.04806111732164934,-0.039634548860847045,0.10087836958599052,-0.007515027355548977,-0.047871180988287645,0.014407906764225667,0.06411632413680422,0.008890780446797922,0.036524669807241034,-0.09354781930131167,-0.058200345703773436
ADAM10,-0.020419556569693673,0.0,-0.011649794055199267,0.05264727515920645,-0.04032391252106138,-0.044841079009187094,-0.08358094484477467,-0.008805683882508334,0.013944277291618746,-0.02141508037671002,0.004730897437086752,-0.08345249732383138,-0.0037140745282928057,0.012713657649540865,0.018341359112445665,-0.05251735864103441,0.02986458074300039,0.18274992734482703,0.012238115134141496,0.051919237374479385,0.07063691087604285,-0.12138513055752001,-0.0047362048586366175,0.025942824631986956,0.00023853145031622075,-0.003506688872729994,-0.015055553877047037,0.005944026662596967,-0.03029555488467279,-0.03470610244320916,-0.038663959444313604,-0.004674852166806509,-0.08757668596149833,-0.017230891970126474,0.03523098784725385,-0.04099329166497978,0.02308806462154003,-0.06111977293064411,-0.00955235775192946,-0.04626523994741226,-0.007715954795973299,0.024170337442404766,-0.08198906845879535,0.00183309323029748,-0.023447434543897503,0.014755975328784395,0.02896163094791974,-0.04599020982886051,-0.053540354701918855,0.028721790609400093,-0.11221699557032314,-0.03261740034931373,-0.01518544463319972,0.004978901460524385,0.0038010478097968863,0.06017122996454344,0.06067618151711445,-0.027196458274729173,0.04622509175910404,0.0605337737529072,-0.00575781599186205,-0.004920963805924361,0.001137357623614139,0.00489455050786701,-0.052359331212135665,-0.002532165517878011,-0.07928735984986936,0.002732470983461107,-0.033425834979537494,0.16483374744747412,0.06930844670453164,-0.0015572943832081012,-0.08948102385711702,0.092325640302833,0.050539127367175196,0.016895754480139944,0.01945549980539377,0.007136657262818498,-0.059082066964904895,-0.00354383055934646
ADAM17,-0.1424891272593575,-0.023477487993559025,0.0,0.04190789326597918,-0.03549910038538099,-0.06969261133739979,-0.07441270165357566,-0.009411909302656833,-0.04298742318198708,-0.06226396096788612,0.0896629765385293,0.027371465888838962,-0.034525506809138795,0.02944437022714065,0.06277742743811766,-0.06229173255356882,-0.000758613496865944,-0.16680865311529205,0.018530639216585175,-0.0066062861845567885,0.04288758265678273,-0.10455941002049766,0.0005243947491209262,0.15959753255921635,-0.0020578257235820763,0.10051314452236941,0.10464325507543168,0.04146388065827065,0.011089470681360448,0.03566659217350678,-0.20805365737094222,-0.018136899231817126,-0.05894351308724801,0.07182976505651162,0.07897349877474251,-0.1724191258262713,0.2095131430795066,0.15429517957204603,0.0014003433367561183,-0.03465746526637713,0.019241832513181602,-0.09909222040296582,-0.004289257687777053,0.09157830117950704,0.11105070417563176,-0.05872051986176695,-0.050621607223483904,-0.06881329094587024,0.11202094651412178,-0.002291534021414351,-0.12200033156142136,0.04963340214653081,-0.1904793423778134,-0.07552247742015,-0.043597732203976974,-0.016625670690810564,-0.12209538315751928,-0.034016654917638986,-0.02973720180041798,-0.09083737195833624,0.12647117726026874,-0.054706954113626576,0.10547689313457938,0.08117723882003083,-0.07853216359790097,-0.06996942968054422,0.007849077134283693,-0.037653378626251705,-0.07146458141113733,-0.0946056101830248,0.030770950578091545,0.14001255903036158,-0.04863430792263862,-0.017785810344881175,-0.01611675800084716,-0.07318666714730199,0.04299147198225922,-0.0766015942839625,0.03497528361893453,0.008388245614962406
AP1G1,0.022928124054396943,0.050197855214138436,0.019827671412061258,0.0,0.1562400993536131,0.15428081412338857,0.09366240442476845,0.025224390561278214,-0.05247120552237821,-0.011723120618822733,-0.057908955471520404,0.054884571854354455,-0.02807815781610782,0.05762457548974125,-0.014331624281202441,-0.03785176250369586,0.04831546332563605,-0.0016978999211446474,-0.06465387039276584,0.07709997871484106,0.04541818101709809,-0.0541369588393615,0.0029634656400358895,0.0945762111001946,0.07606882079747203,0.011162092077062731,0.007311055564835993,0.06387207992190334,-0.009667925848676734,0.02327864398365272,0.004729187518486428,-0.003120137128989779,0.025697681749211686,-0.06859468870963784,-0.005772100148468107,0.003853823750250356,-0.0830874554100145,-0.014384674775219973,0.011222052548751102,-0.05429561228732713,-0.038831700727879684,0.018900735355442875,-0.056960003569450295,0.08120837651240882,0.06122145734831007,-0.006984628016071389,-0.026513706388360894,-0.010559602001950516,0.029044844164852805,-0.016360741305503614,0.02892503492685246,-0.05597246401667769,0.017893059708384774,0.01734708416618658,0.026559147174254085,0.002089086894594653,0.031448330320945274,-0.031177522161032412,0.016014485813627136,-0.007858961084473296,-0.008004110930203109,0.07442606501392415,0.04138379471097553,0.04417240571245111,-0.0320336851947852,0.0021423720139028095,0.11858429469245205,-0.08255096047361138,-0.06159702930621983,0.04761196694761535,-0.0467434443099043,0.01198927695796241,-0.0646993443840127,-0.022692085058069193,0.010062817928462859,0.010541669799386156,0.007602988601190145,0.004034629951329314,-0.00960293391001568,0.24090561974337293
AP2A1,-0.018426737979638844,-0.0281758836377436,-0.012308321999470039,0.11449805901378496,0.0,0.13890787845389105,0.06924982550587723,0.0031166153253497897,-0.015618804421887194,-0.01965051566846985,0.0037332294785775216,0.04487644426579564,0.019150529676266577,0.006793430043009971,0.006639782058652639,0.0009222079475687688,-0.017718145043119183,0.017504591090737386,-0.009248623339976874,0.026346280876970524,0.011066442458790583,0.010002161132412346,-0.01438365512342089,-0.012604153845707025,-0.04016322660431019,-0.005897713906723529,-0.022952879931990272,-0.005514355088038763,-0.024377338442358534,-0.011522313552473054,-0.007189344891220023,-0.031015396690286596,0.01004199887077181,0.02815481934721763,0.009977412687037066,0.07175873957144671,-0.01564909016642353,0.0585715309410008,0.012618017445568994,-0.025136834168530933,0.015264947833026746,0.050582869092729306,0.003587964030738529,-0.018046196891301693,0.04900432827478357,-0.04909100426588755,0.0037240381070476193,-0.030770233315304315,-0.015185288492228756,-0.005508123391153385,0.0744097130444108,0.0042661436908652695,0.047576974850453035,0.011063610269751575,0.015246269387187312,-0.012647887362706096,-0.023738323338732336,0.025985544954086184,0.01838741980660196,-0.015255971453076913,0.04466331142092904,-0.003092781337043628,0.000883920292436341,0.03203027332697059,0.014095545857977997,-0.006559937066363693,0.07649660340220987,-0.07993938457422595,-0.02966477280384281,0.02494126417818565,-0.02958890049800488,0.02685259286290041,-0.009894708158881807,-0.017662798381067307,0.057486541638911745,0.07736156094401098,0.01905211743502033,-0.015821417843050314,0.00045627433163919023,0.011156920300134694
AP2B1,-0.05619358538636917,-0.035297392146911515,-0.02722199336852304,0.12737060869690006,0.1564871073219513,0.0,0.09223363963854689,0.0017200261493794287,-0.00043634909508234797,-0.00379358604740472,-0.01711901796227585,0.009353926459654022,0.06870228971696835,0.02617844288639936,-0.005729648352737649,0.03162346449450472,0.004390141210574144,0.044350567248307625,-0.0024930476086192596,0.05103096996570195,-0.0023203146224606112,-0.0408382259694772,0.0067423612747335845,0.03317003527530499,0.01637983813537698,0.0025197953591407896,0.005392016621624609,-0.02800852834220557,0.03328027661284599,-0.01585999582493979,0.046013428509820625,-0.046190197530609635,-0.01998978816093594,0.02199502505664724,-0.0037076503186836956,0.020384428052835253,-0.012324667307246448,0.02961972609248011,-0.010374943434562273,0.018000628105505314,0.004227728238257012,0.012785191070257685,-0.021466373301224733,-0.016098244552953153,0.022638416885120576,-0.055664725884060164,-0.018739361445630265,-0.021590704553090992,-0.005655227412878175,-0.015317121394012426,0.02378849317516904,0.02929420428986224,0.04557955926992789,0.040521207052372776,-0.04527850202993362,-0.047120303095186444,0.040375354290023306,-0.039282895066373724,0.030714763090690517,0.003743503699285046,-0.008923793743508207,-0.043926692244991516,0.014113486580796303,0.029040667770528966,0.03822043271289778,-0.06312065314179177,0.08711772702946134,-0.021204180622288033,-0.04335802473680034,-0.022529200223679127,-0.028764151449652223,0.031159297316239308,0.01479907915001963,-0.03551454458933697,0.01822172942493519,-0.0006173835179010102,0.014691862596900016,-0.07000214905815855,-0.010985179151320487,0.1616216148076682
AP3B2,0.03033587026935041,-0.05772015810925999,-0.025499632947114634,0.06783850602453236,0.06844221213046142,0.08091760443293768,0.0,-0.004233131720101343,0.0008816252391413867,0.03663328482971076,0.02420517717107437,0.05579008593116919,-0.006143760307121261,-0.009935415936700798,0.012580524749098761,-0.019229057697282562,0.030831008689531945,0.012147313016713368,-0.022876788958372814,0.009938946746566032,0.013880465215856362,-0.017990889366107137,0.028519967541709806,-0.02664597535553543,-0.03227353352750327,0.0031916648936841643,0.03025545250908496,-0.019088473489610142,0.037315594652722925,-0.00622586701136328,0.04798294082643595,0.0008322685471044395,-0.016663254724099318,0.013892239912321587,0.017733709434131342,0.027843319726957545,0.0003187272435886704,0.046298550229638975,-0.012837698268384426,-0.01298627074194632,-0.0002781882539221755,0.030607546719883628,0.002775840121902345,0.013182456731866648,0.05622440124002907,0.014567726015010229,0.0043443053393953865,-0.018851821029083362,-0.010199042226528869,-0.015598819086439801,0.07346018383516946,0.013915516880582375,0.039630208747457554,-0.0013852623071915985,0.020726355742643914,-0.013093341526977395,-0.024238359473855806,0.037172271687841554,0.008278624761449686,-0.010907950374279506,0.009361682993952843,-0.03020595914803083,0.03230187793537112,-0.022602223429751038,0.04234290756896506,0.006644058006842557,0.07674341787094431,-0.03526687254910321,-0.040916344836382845,-0.035006823608472654,-0.003049824693662904,-0.018351754202844274,0.016985753369083458,0.011543380429251477,-0.014572627830234249,0.056532036409238914,0.04294596056124409,0.003801426683386416,0.034189967684111984,0.029202391562379144
AP4B1,0.026928400025359865,-0.022474313659702174,-0.011919765225391262,0.06752036266365115,0.011383915618260153,0.005576886825735706,-0.015644615498757643,0.0,0.08266751557975649,0.026827054140267263,0.14411770252165498,-0.010815784712836568,-0.08388272054036162,-0.01328883334586302,0.01980721096911618,-0.01908572860236082,-0.03755220537575108,-0.03271455192161891,-0.038346753735001814,0.0793633002720818,0.05249130667140437,0.04845347806467063,-0.004416792492169164,0.07226297345707786,-0.035635153739556974,-0.1812639180028284,0.07580352057654184,-0.11889430101684537,-0.013322312471718473,0.039045319893178845,0.013751322616487741,0.012366996152114658,-0.1125932902202521,0.02035867439532423,-0.059536297954164444,-0.010514521826760123,0.08461465856327148,0.0369065153050449,0.0017211933643825855,-0.010640767025191233,-0.03839150388108634,0.03696700013036555,0.060463095706913106,-0.11203319390382054,-0.10073792354613077,-0.0020471313108609748,0.14674449027495176,-0.01278885048083242,-0.08673544832955488,0.06479010740548924,-0.09527003838319259,0.33454497797523736,-0.04716502790823408,0.054717549891487555,0.031036154016916378,0.13122331971815526,0.038899957661249915,-0.01752541080456892,0.10125702616414695,0.1410250040476593,-0.025944618679267988,-0.017986971777229584,-0.010448330326737719,-0.11663975276832507,-0.003058184906617009,-0.016502846045080777,-0.05661922872982691,-0.06805796152673126,-0.019260315575791526,0.07813146769160986,0.010435256357557708,0.09201052180940233,-0.006407198483462392,0.05141738546352361,-0.10085297485404687,-0.0429501506304602,-0.056353666210922,-0.004423658097855454,-0.1098053797964634,0.1101863195473708
AP4E1,0.20544735385534243,0.051066756965827034,-0.07811785356122132,-0.2015366555204963,-0.08186064715436141,-0.0020300642457033854,0.004675263005733701,0.11861887663926686,0.0,0.024304088692350453,-0.023229873912920893,0.11386556518500357,0.030718752558385805,-0.019712524437253354,0.11692831488765364,0.1543287479156214,-0.05153495968028223,0.0077263457724250995,0.07507363671724405,0.08708525868951777,-0.010784801083305805,0.007446232626696869,-0.18058531387615256,-0.013229509909990333,0.114703442305163,0.03214391392851607,0.0635647330237912,0.18170000818839033,-0.10574677450817145,-0.09195385526146231,-0.022101133926619818,0.08116496631776361,0.041162095205540455,0.04756120267907939,0.009737318632394442,0.07924539115559827,-0.18381230050371358,0.026931876671361387,0.19670630057739513,0.037954148615282506,0.015190726792204366,-0.055906865050985716,0.0774117903332693,0.18670850033647668,0.16153307910232373,0.13845374630648935,0.10990486022395032,0.02600104598156702,-0.06117085004842859,-0.14037517514529008,0.016237751212857615,-0.09150739338238853,0.035344875049999745,-0.028126538852940402,-0.21803975760510605,0.027752609679918626,0.09160995518594199,-0.008022929680977292,-0.09054237696090217,-0.07383330449219969,0.14595219949677743,0.06176181055442727,0.15023032055884297,0.04302312193849642,-0.16162698691674057,-0.012734010999157134,0.1457035839772346,-0.05635176479645548,0.13929258098882252,0.0444539884160965,-0.09246025972752762,-0.030171018290152132,-0.28146900676515985,-0.029853625981180833,0.11195615608312447,-0.08028440023918088,0.05138324405713683,-0.08871127000352196,0.1378508991730853,-0.06632867067735011
AP4M1,-0.1908425388183438,-0.06783837458983248,-0.09787214147913054,-0.03894840661097106,-0.08908709457012043,-0.015266486527533367,0.16803948886907544,0.033297019728326625,0.02102290840815246,0.0,0.015913530859472405,-0.11516292198022146,0.10422539191271873,-0.14056786158231327,0.15028553642459325,0.08838748128715422,-0.03694517249361408,0.16816139596916432,-0.15484927783253355,-0.04053461212265567,0.0967317639643398,0.025454872324704888,-0.058510314571951834,0.0272355479308146,-0.15983541495404097,-0.016039435229156695,0.1294897643463401,0.05369191372715637,-0.08044184650206665,0.0922107875763918,0.14348959274459466,0.12380073486328676,0.03228373040195264,0.14465568348137753,-0.07801326820908962,0.010522681110652498,0.13629435556424493,0.027110923706926287,0.012512811836458899,-0.12146639831679423,0.0038855428978474753,-0.1050168932158506,0.231037066249115,0.15006818372842423,-0.06729581407294608,-0.1938053615952204,-0.015786331518339098,-0.004000756671290367,0.03430894362371663,0.15218688489165033,0.08180901193691939,-0.15964391390695637,-0.0010163382895718362,0.045203428349011206,0.03405363408389353,-0.006863548009264526,-0.18366881531262802,0.022571949264764097,-0.03300311378477821,0.08947976369371947,-0.0992870672755301,0.121524548428847,0.09093190068397193,0.026094472269606078,0.04319190836054127,0.034233958327648036,0.025496317168663987,-0.024906333930274208,0.009473615773931427,0.05871063512999869,-0.0398098763918393,0.1057522041481956,-0.11073240971091326,0.11778056499977584,0.03820553487743258,0.03925951450537844,-0.038365225105647674,-0.038380266808386417,-0.0804760646696419,-0.042683250104612075
