source,target,A,B_coef
TMED10,TMED9,0.9999998768374522,0.49774401759879205
TMED10,TMED2,0.9999971334777478,0.4190602038810164
RAB1B,AP4B1,0.9999157635943451,0.33454497797523736
MIA3,SREBF2,0.9997966702711424,0.3125119566537
SYK,PLCG2,0.9997510192006238,0.30744714409028895
SEC31A,SEC13,0.9994866928637648,0.28935306867278565
TMED10,AP4E1,0.9992965149996972,-0.28146900676515985
COPB2,VLDLR,0.9992806644352005,-0.28091157510693476
SEC23A,SEC24C,0.9991892000243405,0.2779169511138748
COPE,MAP2K3,0.9990670508548996,0.2744056620212137
VPS29,VPS35,0.9989830245522568,0.2722476202783608
CLU,APOE,0.9984442598332668,0.26160617258859037
OSBP,SAR1A,0.9984301684910912,0.2613803979890476
AP1G1,VPS35,0.9982741452712872,0.2590076377644528
COPG1,COPG2,0.9980511663596902,-0.2559643370861646
VPS35,VPS26A,0.9972751213342392,0.24756506950697665
SNX4,AP4S1,0.9970145294359894,0.2452751991426569
MIA3,RAB1B,0.9969017693820988,0.2443455264697369
RAB1A,RAB1B,0.9967052026616982,0.24280275954026684
RAB1A,PLG,0.9956546213745726,-0.23585718840872072
GGA2,MAPK14,0.9951137537308151,0.23291081703475577
COPB2,COPG1,0.9950848928263603,0.23276286235402704
MIA3,AP4M1,0.9947354578521188,0.231037066249115
SEC23A,SEC24D,0.994197101433673,0.22858944831619318
COPG1,COPA,0.9940387789026688,0.2279125219170453
TMED10,ECE1,0.9938296929031145,0.22704543118999984
LRP1,PLG,0.9931737794596781,0.22450336235989538
AP2B1,SIGMAR1,0.9928452058944858,-0.22331980325762688
RTN4,SORL1,0.992551518768968,0.22230671923228273
MIA3,PICALM,0.9921032737036762,0.22083447319260438
LRP1,SORL1,0.9918407319700127,0.22001020198000681
SORL1,MAP2K3,0.991740827889814,-0.21970343643058776
SAR1B,SORT1,0.9916469312504731,0.21941845353986147
APP,APOE,0.9911420767824572,0.2179386388456241
VPS29,VPS26A,0.9910134188063021,0.2175748897166733
SEC31A,MAP2K3,0.9907155570236288,-0.21675218164218735
BIN1,AP4S1,0.9893059028133413,0.2131827916130335
RAB1B,AP4S1,0.9890947493489562,-0.21268864364658438
TMED10,SIGMAR1,0.9889726076300455,-0.2124071060350413
HSPA5,BACE1,0.9889402480694578,-0.21233303367173262
RTN4,GORASP1,0.9886220437452994,-0.2116158569242914
ITPR1,SEC24D,0.9881870664297301,0.21066692554523703
AP1G1,NCSTN,0.9881784086059379,0.21064839045838285
ADAM10,SORT1,0.9878148354808016,0.20988190194840084
MIA3,IDE,0.987691181104284,0.20962635225737888
SEC23B,NCSTN,0.9875198429177324,0.20927641602712693
ITPR2,ECE1,0.9841325131636244,0.20318720983082628
SEC24A,MAPKAPK2,0.983509473420351,0.20220853002009123
AP1G1,AP4E1,0.9830678876393487,-0.2015366555204963
ARF6,MAP2K3,0.9830307404388354,0.20148092364128906
VDAC1,SIGMAR1,0.982786629381307,0.2011176398138506
VPS29,SIGMAR1,0.9827112764196624,-0.20100652218562087
ADAM10,SREBF2,0.9814334980354672,0.19919138171515172
COPE,COPZ1,0.9795746140645468,0.19675849685832214
MAP2K3,AP4E1,0.9795327980869228,0.19670630057739513
COPA,APBA1,0.9794994239064158,-0.19666471653395454
BIN1,PICALM,0.9789940086042391,0.1960429455251493
SAR1B,SEC24D,0.9785416143667377,-0.19549869517688195
COPA,COPB1,0.9776408176482629,0.1944476315073638
