,ABCA7,ADAM10,ADAM17,AP1G1,AP2A1,AP2B1,AP3B2,AP4B1,AP4E1,AP4M1,AP4S1,APBA1,APBA2,APOE,APP,ARF6,BACE1,BIN1,CLU,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,ECE1,EIF2S1,GGA1,GGA2,GGA3,GORASP1,HSPA5,HSPA9,IDE,ITPR1,ITPR2,LRP1,MAP2K3,MAPK14,MAPKAPK2,MFN2,MIA3,NCSTN,OSBP,PICALM,PLCG2,PLG,PREB,PSEN1,RAB1A,RAB1B,RTN3,RTN4,SAR1A,SAR1B,SEC13,SEC16A,SEC23A,SEC23B,SEC24A,SEC24B,SEC24C,SEC24D,SEC31A,SIGMAR1,SNX4,SNX6,SORL1,SORT1,SREBF2,SYK,TMED10,TMED2,TMED9,VDAC1,VLDLR,VPS26A,VPS29,VPS35
ABCA7,0.0,0.057681144259738054,0.045309728946495056,0.018733719533106315,0.07589200327331287,0.024026418223482084,0.020229822122433478,0.02687402655046012,0.3300322928503652,0.25213821846854173,0.14436427688391695,0.0255329145505766,0.11933133122595113,0.03501315809317092,0.03624342874802956,0.024175621058183983,0.09591556441098488,0.04030323772112956,0.07452480605956652,0.026563887144136645,0.07529782995973805,0.060639192928771554,0.07184475910281339,0.04367870955723036,0.028440384579206602,0.06319808688527362,0.022925910577722326,0.022909205394379146,0.02165536258241861,0.11427028665964412,0.04043105740299457,0.05403958497216141,0.048469893532525996,0.021682038224324563,0.026349391026226358,0.12244438477061058,0.02596834518321018,0.0319646799986405,0.03242845309194235,0.04080510316086833,0.025883035057085044,0.02381130124950891,0.084425863729804,0.0464784424361713,0.020485364295531994,0.06194308090371543,0.393560508940601,0.021755273866858008,0.023712804420363526,0.01835072588972764,0.027472665203812075,0.03020778491930089,0.08844355224825709,0.1316720494365721,0.07373893964883596,0.01975456635487363,0.04652093886649088,0.03990449082399972,0.04346594969758392,0.024703579390605124,0.125093957010828,0.01904663398606501,0.028510117964699867,0.024620697017767732,0.10888602266417347,0.14562345594845863,0.021834833779009247,0.04184059462219108,0.10226067709226151,0.04009205282658802,0.021025666857864975,0.19736909209588568,0.032416516230720664,0.024386533959218828,0.03696185554465151,0.019575773448899998,0.021842640408571038,0.045473042485722676,0.03745597103402441,0.026264235510835877
ADAM10,0.7152035721885607,0.0,0.20201551614585092,0.2885303697615108,0.022691601233437088,0.02100378234602699,0.09970091526202052,0.023579389669672185,0.026421026067567393,0.618564705730821,0.3634032835665212,0.0360344291876753,0.034397121897486824,0.15553422810655,0.2650180757190788,0.038737159803758706,0.16091466121795328,0.9949867944126092,0.021197947688726095,0.07828496888952412,0.03579798490885385,0.026744606413939765,0.09280834014078969,0.051700018389816756,0.032619522233730124,0.02358029326660357,0.0675603826485826,0.4346397870040069,0.8689607893930257,0.06794843429141915,0.5974167783019728,0.021090357015659165,0.8128648788667141,0.1986207925053014,0.3693099024451249,0.08479676295720781,0.07435485946742214,0.17481362817040474,0.5025188411397242,0.027106345400690075,0.06387816907975163,0.02344713976601549,0.06715277384652578,0.0735946017579394,0.09018627435987786,0.4481467336317831,0.03723986125126629,0.601475385508113,0.5906798707775911,0.24650827390783364,0.7941862367380762,0.12211464156413299,0.05483658496169956,0.019097925160552,0.04025188716372143,0.4691562788743556,0.43677643514243575,0.46113103482856554,0.0830037253586115,0.21033417315274328,0.20413357162860932,0.4557555738298399,0.14200539828895212,0.5488666261658334,0.11770481384860937,0.9475225418317558,0.8069345191084991,0.41246802017233314,0.08276273302083301,0.9985002797912331,0.20378854788103262,0.35886676489096125,0.030315425155181236,0.8948794464626378,0.2561467115191976,0.027946787964601844,0.5321240030790609,0.11405835843237772,0.06195019875409718,0.36560377840148534
ADAM17,0.0754990518785517,0.047926685932046686,0.0,0.022345979478322564,0.038804547954073745,0.04788367101261911,0.0343053954365434,0.789391776781597,0.14848318760001725,0.04446151614520137,0.044316840927227784,0.052481373283411105,0.17973253510054607,0.08579589952380477,0.024681801057737096,0.029238891068063676,0.07387783444582505,0.024418721678732956,0.20448245701508622,0.018359031778212954,0.12210766461698928,0.07258248004000836,0.03292749053318375,0.02313054658913425,0.02751204361220406,0.06042371819521427,0.06673210508386383,0.2243092974807397,0.04117262412654876,0.06295612555680039,0.018514612678888726,0.0361569593381997,0.02311901969699435,0.07537335916198759,0.42183920141683845,0.5829258426673403,0.47808905693526493,0.1246630469383337,0.1948221980253455,0.12318974475231338,0.1530538639368102,0.020984910790691366,0.02772689558771937,0.07763123298891197,0.18907815460442184,0.38218879850189197,0.048897953944902116,0.06686919732088101,0.09344695385596978,0.11871648464916902,0.021385335133705247,0.03043813338028942,0.03373804134308654,0.09779417999556043,0.028900363093941214,0.1783036959258842,0.01991910656466781,0.5814495029753812,0.050528572029454696,0.021094667622101188,0.11051651242717152,0.1023165129492455,0.11579590559997929,0.4049263981757326,0.41358057586145675,0.05541398333222725,0.024707377519768415,0.47320327153603886,0.060983822258569735,0.7403871180580792,0.02538409273235331,0.3573516643305476,0.0708529451675041,0.022906291792910403,0.07290166094125426,0.031143326278599528,0.054362694071335975,0.3720187560345004,0.02709028326621538,0.02265466321148156
AP1G1,0.022042946023287376,0.45009982148487443,0.03577028409845991,0.0,0.8657843060134747,0.8423291785884077,0.18782258086161396,0.816135422965855,0.05387218679723072,0.3192550518546746,0.4060698546306775,0.07475384167229872,0.33784127106057465,0.11838752873393422,0.2605308251662723,0.2387142196058289,0.8701053623030827,0.05575536128285314,0.9282354299829226,0.2734652833301081,0.10690338448466002,0.5892518255118632,0.024982648235854967,0.9958956889125677,0.9997053382225795,0.9799399323140981,0.14959893012756373,0.37156244049469783,0.10238630620889294,0.05329881554032335,0.018635691085640133,0.04588403511339126,0.08326994102334952,0.024335933095505635,0.999872864338286,0.5428256067709955,0.4018151877993345,0.03940788392394716,0.7373506018448696,0.5572338631391828,0.3380721674572946,0.022170925372748843,0.1888867769458947,0.24194212379611016,0.5856558212996256,0.12128250522407244,0.17854028532681268,0.8421803810036991,0.01855555692281123,0.12415910203628078,0.22514124348106904,0.21007194098566717,0.2166951078897592,0.5481489709782709,0.24893446305227562,0.04130264086997467,0.018725348921728533,0.8390044232244438,0.22117289471745263,0.2543418595769447,0.03975925231564055,0.25215440541587947,0.09223370205416204,0.5731363853594559,0.10044136759860457,0.9976293921176919,0.2470484590736243,0.06919452061503722,0.5496262344795971,0.1213520769524679,0.46868307685846716,0.09885509951126398,0.10225122868805037,0.025473230604181274,0.9774757595079044,0.23680144706724796,0.18771798069125578,0.050233054201073365,0.02091216282127091,0.9916607479521599
AP2A1,0.9987205408202016,0.026940683471172826,0.39566094114877437,0.9869710410718653,0.0,0.9999259743699365,0.7608941925796346,0.022096244175158885,0.39975348068290845,0.14156896172491087,0.10560770444064879,0.03301225009266165,0.04662976135758795,0.4128932200387078,0.294149690773439,0.05235973974375042,0.22156393422932977,0.14963692043740992,0.019058778952095304,0.035375544001765215,0.036086511589676594,0.018635101776079768,0.1854338208093664,0.06466302135982409,0.9712750335680533,0.17265604295041895,0.06247004816696544,0.08815291994087017,0.4680244652449863,0.11473796590640603,0.6482781313792909,0.06816851463439855,0.032275119459940695,0.07896591814302538,0.44245549112403765,0.10871318843188899,0.02493921521030761,0.11634568999191042,0.028427853796179077,0.2268136789680997,0.022333678321724833,0.846136420248215,0.3053372614360308,0.39626942185712843,0.7014306682901439,0.06823256923322255,0.058878555751622985,0.05117653545986436,0.33211915323083413,0.12261943577352384,0.06948685899918225,0.41865066037565374,0.989871312311008,0.08319516362876667,0.8462403074574978,0.37323519570013824,0.10911332698347762,0.018949400305277524,0.029494944264363755,0.6407188397701443,0.1084640692358113,0.036129657430469066,0.08172515684291401,0.19280506813710938,0.34004662105458755,0.5490381776934076,0.6702082845378583,0.3431342311206614,0.018746669724035738,0.2448535269695459,0.041592041784780966,0.041324128895485535,0.14639394099560907,0.26902213813373776,0.027447848935926247,0.9577941027312273,0.04404282015030567,0.19298801822957845,0.05876458480348381,0.1542171270481273
AP2B1,0.12348449257748076,0.023375259421254544,0.6079135081409964,0.978683320818024,0.9998905991740163,0.0,0.5072857225794507,0.05405407132230658,0.09502475235939423,0.12630115469345304,0.5383966853217989,0.10083314345803357,0.8632649772225696,0.04504735319402475,0.04993681559418159,0.10982805449430158,0.03718862079644461,0.39066278170761143,0.1016185746030482,0.6785784720444984,0.027171083124066103,0.31988978180548583,0.06808880239392964,0.460767098048896,0.09224275305857166,0.6014050960791687,0.5783711325950348,0.6869940735465767,0.39902521373601174,0.09703343960794301,0.2937375376220708,0.32510193740103427,0.38542056595247115,0.20476745786717773,0.35028950160769334,0.6076628546971315,0.24698132654003987,0.08934112675001246,0.05087421297544473,0.34341950753321876,0.023350628263817376,0.02410451846812321,0.020945480601321835,0.9714826921329751,0.06631797918858062,0.42572942498022803,0.41676972522027994,0.03298917405738379,0.6404136526168241,0.09681826091632272,0.061651155426412536,0.48798624558043957,0.6168687033022852,0.027943124968311663,0.9257934530099121,0.9320384201532501,0.05137496160170314,0.022410931924561613,0.030465208695935768,0.021440285307746772,0.06322109198690065,0.03454532764462682,0.20981479049916876,0.7635597384733851,0.12300667945973662,0.9999119581443917,0.9833503504942195,0.018971088734353665,0.841060187219101,0.026497554874917666,0.27466623747228963,0.5909027045362347,0.0714009098055169,0.747824038802358,0.02816903258808694,0.02121163734168488,0.4943438732373931,0.9542618653179535,0.17037190659489002,0.999831887316422
AP3B2,0.04201925025901112,0.31331351633075144,0.2838967492817135,0.4239959744194031,0.7841998104340097,0.563622885300654,0.0,0.13328440668348346,0.4942125804478627,0.9881640877007828,0.9774097738573414,0.5412630783586051,0.05914161263878476,0.7386667548228281,0.01980858915000397,0.10824511182228419,0.5186537647220506,0.05827643749625922,0.053885601834232764,0.0654647712778079,0.025006918724148876,0.14016007827718524,0.05443185147008804,0.46309856266229804,0.7689025765156696,0.04996264427729106,0.34634297549347587,0.018782403506855287,0.7624207461650804,0.5057687746134575,0.9687920435694453,0.8589690236716043,0.06331522017139624,0.03699159573671842,0.16553085547450894,0.03596328967463221,0.4443891228140181,0.12138415524386431,0.12669593243247185,0.08481941923329478,0.08381773167335599,0.5515282715502348,0.07332404636357578,0.02333416480291489,0.9150493634672098,0.8748340683957372,0.8882376816786496,0.060406957756228494,0.161439217991701,0.9348774303342388,0.424363961771423,0.033015032918435105,0.16689006828100694,0.043573288573726054,0.992387495975287,0.9733816483131408,0.8854243201519568,0.018724081032845438,0.30747106834524784,0.042989308949889775,0.027085925763685473,0.10479114583186258,0.04560591822377009,0.034348193742951665,0.0895542670475392,0.08563376129069487,0.8852243765023525,0.08326221583839284,0.03056015572921402,0.022773027588673268,0.2184417842284299,0.30313824958863606,0.10465488165686038,0.07138739961480992,0.6888645416405719,0.3749461275670496,0.4151661334998981,0.03105792834486609,0.8702184969886076,0.03134680552957469
AP4B1,0.030571393870165196,0.01964103894627812,0.6188452439970447,0.0725678613728196,0.01869020240012993,0.022274670220354023,0.026245872849018345,0.0,0.990774666051109,0.05474713861768726,0.049703173095178264,0.12472399321341258,0.17887997039072792,0.0357143923564646,0.03574183485627086,0.07054803233201229,0.06470365592393659,0.04339141183977611,0.03891085899597406,0.43246350251794863,0.03028394611678773,0.022765727105024856,0.13255433636562497,0.019673483765028744,0.0502291129298929,0.20026043005982772,0.024174649963540764,0.037558356591650785,0.04696595988008828,0.07593924215451581,0.08309724908009163,0.018701722451125148,0.06694822311066846,0.036377220815607736,0.24757414071675288,0.14028563980035733,0.19065139110246518,0.023650009965703867,0.028937562196642803,0.23786190501944662,0.06874990893535256,0.027893101591463475,0.05315483560569518,0.07519129062029373,0.041839196124635075,0.04090987344456216,0.3681302219257288,0.20710611079548139,0.15225423127479643,0.05390018388944371,0.020026346755898133,0.03721931475013529,0.04521112230883709,0.10274768246691521,0.43311943426769756,0.0630189348212309,0.1864304255516159,0.0382785959622184,0.07639936082249547,0.17436012890842442,0.0864282509209236,0.26819270021378405,0.07818421618662999,0.03539506998808074,0.0403331034324545,0.11955012275316954,0.03996989076493956,0.018464086855366865,0.023610253747548004,0.06352382313734341,0.018350108671766324,0.02045425699058781,0.03623434057398754,0.22957025232853556,0.33358593799137914,0.03263724689081368,0.045381709701204725,0.052962886830986586,0.019906311396226697,0.033235765654796606
AP4E1,0.2969387437057695,0.019683440709502734,0.06712055985245682,0.022228902314012682,0.028809152915828803,0.022782468028241052,0.02989303474604504,0.9047227659859448,0.0,0.17452637198987409,0.13715151020843638,0.060389428987623686,0.0832007827390798,0.043169970838052164,0.032312737973692725,0.025369436122074436,0.020329532848188392,0.02884728607885151,0.026122835625693865,0.031732839580385995,0.024826945582980972,0.02344997594439582,0.17205800647147856,0.05583303379152586,0.0972438517059826,0.04590748660126882,0.06364900340528895,0.05500510123142727,0.03163677165799673,0.019450877737494477,0.033448985176209645,0.048851400455498066,0.026379650598767342,0.025614288936289767,0.12106247755498806,0.06631569275045589,0.018216120336000206,0.022140048012347542,0.26746063513826634,0.05109617902228898,0.02894816159329991,0.03758428210632723,0.057259516203335324,0.3981873170579424,0.03946425632905645,0.027964138166872977,0.22939088992925843,0.04848534554570949,0.04720355641003992,0.018047343551762626,0.020783948263468674,0.030663108807782398,0.038992924651940576,0.029131827482068766,0.29614280454630904,0.0829286296141904,0.05776192954817501,0.02236229700984913,0.03762215414195452,0.025303671354088873,0.02553235804905935,0.20350206110431518,0.07840735911733372,0.0583267355592261,0.08753142235791432,0.055855760351635995,0.061606233735255575,0.023997061808313024,0.1613288311693733,0.030917927262591342,0.0729148496523751,0.0620189163502509,0.028719426296628166,0.03238910827093763,0.020127999459975267,0.025910524872071405,0.018290380567965548,0.051872693218721656,0.019215351237660425,0.06094244892125371
AP4M1,0.14092713736628645,0.04021248001429134,0.027840709343143113,0.028969269621480546,0.02259518309167673,0.02243142698399542,0.041893557144121955,0.03405592059669245,0.11219028557811628,0.0,0.06329014947848856,0.022273944368794835,0.054846860540384845,0.02222269339186122,0.044515508088863835,0.058071647505073674,0.03956896637712259,0.02750714075551717,0.02876000480846347,0.01971284579978184,0.02423365328129174,0.01819675784279497,0.043147937993961126,0.018529405950822968,0.18188186483528018,0.02302651391179138,0.018216699442059843,0.06670023005090517,0.03034696466676567,0.02012061047525007,0.10919987378657817,0.026523783925508224,0.022893250212060467,0.08282340982385004,0.17159204345347528,0.034494820173678636,0.05679482349546244,0.03280145572243077,0.020559846969446398,0.038168787766846415,0.01820074649214771,0.05437495003593461,0.022285486236234327,0.028563683486514894,0.022567032982238062,0.0456234487041419,0.06453374115161596,0.047145387440503936,0.16893963841648807,0.028938933632348455,0.026986419102887956,0.08283179218972662,0.030514023355347142,0.02940681372608031,0.052136779284586085,0.027094244086824777,0.03741257384663651,0.04905694918234383,0.03223432356964154,0.023399904971287983,0.2794903421822558,0.0972150876755979,0.045527493310181036,0.03218308457132057,0.06618273478991982,0.02148182527548724,0.02257367353866035,0.01980646162324547,0.03800390449679806,0.045142584164246644,0.13809008248612942,0.08895042815329735,0.05460394096632606,0.019458303542371307,0.0251051476964127,0.01949773610015359,0.05385641501831296,0.08608312980517495,0.04763125273479732,0.022739145746783575
