ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,ITPR2,MAPK14,SEC31A,APBA1,MAPKAPK2,COPA,SNX4,AP3B2,RAB1A,SEC23A,COPG1,PICALM,HSPA9,COPG2,COPB2,OSBP,GGA1,RTN4,TMED2,MFN2,TMED10,AP2B1,SORT1,SEC16A,SEC24C,AP1G1,COPB1,PLCG2,HSPA5,SYK,BIN1,SEC24D,SEC24B,SORL1,AP2A1,BACE1,MIA3,LRP1,VPS29,ARF6,ADAM10,SEC13,APP,GGA3,PSEN1,NCSTN,GGA2,APOE,SNX6,COPZ1,IDE,EIF2S1,PREB,CLU,ECE1,APBA2,SEC24A,RTN3,VDAC1,RAB1B,ADAM17,SAR1B,SAR1A,TMED9,VLDLR,AP4S1,GORASP1,AP4B1,COPE,VPS35,VPS26A,AP4E1,SEC23B,ITPR1,SIGMAR1,ABCA7,AP4M1,PLG,SREBF2,MAP2K3
1,ITPR2,GGA3,SORT1,VPS29,RAB1A,RTN4,RTN3,SORL1,LRP1,MAPK14,VPS26A,PSEN1,ECE1,NCSTN,SNX6,HSPA9,EIF2S1,SEC13,SEC23A,PLCG2,AP1G1,SYK,RAB1B,AP2A1,AP3B2,SEC24D,OSBP,SEC16A,COPA,COPG1,APBA2,ARF6,SEC31A,SEC24C,MIA3,SAR1A,PICALM,MFN2,APOE,CLU,APP,GGA1,COPZ1,PREB,ADAM10,SEC23B,SEC24B,VLDLR,TMED10,COPB1,GGA2,COPB2,ITPR1,TMED9,ADAM17,HSPA5,VDAC1,AP4S1,TMED2,AP4B1,AP4E1,SNX4,SEC24A,MAPKAPK2,GORASP1,COPE,APBA1,BIN1,BACE1,IDE,VPS35,SAR1B,COPG2,SIGMAR1,ABCA7,SREBF2,PLG,AP2B1,AP4M1,MAP2K3
2,TMED2,COPB2,ITPR1,VDAC1,SNX4,PSEN1,NCSTN,BACE1,HSPA9,MAPKAPK2,RAB1B,RTN4,COPG1,VPS35,TMED9,TMED10,SORL1,VPS29,VLDLR,MIA3,AP2A1,SNX6,COPA,APBA1,ECE1,SEC24B,ITPR2,SORT1,COPG2,GGA3,SEC16A,ARF6,SAR1A,MFN2,SAR1B,GGA1,PLCG2,SEC31A,SYK,PICALM,OSBP,AP2B1,APP,AP3B2,SEC13,AP1G1,LRP1,APOE,RAB1A,APBA2,CLU,ADAM10,HSPA5,SEC24C,AP4S1,VPS26A,COPB1,MAPK14,RTN3,IDE,GGA2,SEC24A,ADAM17,PREB,SEC23B,COPZ1,COPE,EIF2S1,SEC24D,AP4B1,AP4E1,GORASP1,BIN1,SREBF2,SIGMAR1,MAP2K3,SEC23A,ABCA7,AP4M1,PLG
3,VDAC1,AP2A1,TMED10,SYK,MAPK14,ADAM17,RAB1A,SEC24B,AP1G1,VPS35,TMED9,LRP1,SNX6,RAB1B,SEC24C,PLCG2,EIF2S1,HSPA5,COPG1,ARF6,ITPR2,SEC16A,AP3B2,NCSTN,SNX4,SAR1A,TMED2,ECE1,SEC13,VPS29,APBA1,SEC24D,GGA3,SEC24A,MFN2,SORT1,COPB1,COPB2,COPA,PSEN1,BACE1,MIA3,RTN3,APOE,APP,GGA2,VLDLR,ITPR1,CLU,APBA2,SEC31A,PREB,PICALM,IDE,SEC23A,COPE,ADAM10,SAR1B,AP4S1,GGA1,COPG2,OSBP,COPZ1,SEC23B,HSPA9,RTN4,BIN1,SORL1,VPS26A,AP4B1,AP4E1,MAPKAPK2,AP2B1,SIGMAR1,ABCA7,GORASP1,MAP2K3,SREBF2,AP4M1,PLG
4,SNX4,COPA,SAR1A,TMED2,APP,CLU,COPG1,SYK,VPS35,SORT1,BIN1,OSBP,COPB1,APOE,GGA3,AP1G1,SNX6,VPS29,AP2A1,SEC24B,SORL1,SEC24D,ADAM10,RAB1B,GGA1,SEC31A,ADAM17,SEC24A,APBA1,MFN2,PLCG2,SEC23A,RTN4,PICALM,SEC13,SEC16A,SAR1B,IDE,ECE1,MAPK14,ITPR1,APBA2,COPB2,AP4B1,AP4E1,ITPR2,VPS26A,MIA3,COPG2,ARF6,NCSTN,AP3B2,RTN3,COPE,TMED9,VDAC1,AP2B1,SEC23B,COPZ1,LRP1,MAPKAPK2,BACE1,PSEN1,HSPA5,GGA2,RAB1A,HSPA9,EIF2S1,AP4S1,TMED10,GORASP1,VLDLR,ABCA7,SEC24C,MAP2K3,SREBF2,SIGMAR1,PLG,PREB,AP4M1
5,COPG1,GGA1,ITPR2,ARF6,SEC13,SEC24B,GGA2,RAB1B,AP4B1,AP3B2,LRP1,AP4E1,COPA,CLU,MIA3,TMED2,APP,SEC31A,VPS35,SORL1,COPG2,SORT1,COPB2,MFN2,SNX6,GGA3,SEC24C,RAB1A,SAR1A,COPZ1,HSPA9,COPB1,RTN3,AP1G1,ECE1,VPS29,SYK,MAPKAPK2,TMED10,PSEN1,NCSTN,PICALM,AP2B1,HSPA5,PLCG2,SNX4,APOE,IDE,SAR1B,TMED9,RTN4,APBA2,APBA1,AP4S1,SEC16A,VLDLR,BACE1,ITPR1,BIN1,ADAM17,SEC24A,PREB,ADAM10,VDAC1,OSBP,SEC24D,SEC23A,EIF2S1,COPE,AP2A1,SEC23B,MAPK14,PLG,SIGMAR1,VPS26A,SREBF2,ABCA7,AP4M1,GORASP1,MAP2K3
6,SNX6,ECE1,LRP1,SEC23A,GGA1,RAB1A,MIA3,CLU,NCSTN,VDAC1,AP3B2,BACE1,ITPR1,SORT1,APP,RAB1B,COPG2,COPA,VPS29,SAR1A,OSBP,PSEN1,AP1G1,AP2B1,HSPA5,ARF6,SORL1,SNX4,COPG1,VLDLR,SEC24B,TMED9,SEC24A,SEC31A,SEC24C,EIF2S1,ADAM17,COPB1,VPS26A,SAR1B,SYK,SEC13,RTN3,MFN2,TMED10,TMED2,SEC16A,APOE,PLCG2,HSPA9,APBA2,APBA1,PICALM,ADAM10,AP4B1,AP4E1,MAPKAPK2,ITPR2,AP2A1,VPS35,GGA3,BIN1,IDE,SEC23B,PREB,AP4S1,MAPK14,COPE,COPB2,GGA2,RTN4,SEC24D,COPZ1,ABCA7,GORASP1,PLG,AP4M1,SIGMAR1,MAP2K3,SREBF2
7,LRP1,COPB1,COPG1,PICALM,SEC13,APBA1,AP3B2,VPS26A,ECE1,SEC31A,SNX4,ADAM10,HSPA9,AP2B1,COPG2,COPB2,APOE,AP1G1,AP2A1,CLU,PLCG2,SYK,TMED9,VPS35,BIN1,MAPK14,HSPA5,ITPR2,SORL1,PREB,BACE1,SEC23A,SNX6,COPA,SAR1A,TMED2,MFN2,SEC24B,RTN4,MAPKAPK2,SEC24D,GGA3,APBA2,AP4E1,AP4B1,ARF6,RAB1A,SORT1,RAB1B,EIF2S1,SEC23B,SEC24A,RTN3,MIA3,OSBP,SEC24C,SAR1B,TMED10,VDAC1,APP,COPZ1,IDE,GGA1,VLDLR,ITPR1,VPS29,COPE,GGA2,SEC16A,AP4S1,ADAM17,PSEN1,NCSTN,GORASP1,MAP2K3,PLG,SREBF2,SIGMAR1,AP4M1,ABCA7
8,AP1G1,AP3B2,GGA2,COPB2,SEC23A,SEC16A,HSPA5,AP2A1,RTN3,VPS35,SEC24B,COPA,RAB1B,EIF2S1,TMED2,TMED9,MAPK14,SEC13,APOE,MFN2,APP,SORL1,VPS29,OSBP,COPB1,MAPKAPK2,CLU,NCSTN,GGA1,BIN1,TMED10,COPZ1,COPG2,COPG1,PICALM,PREB,VPS26A,RTN4,BACE1,SNX6,SEC24D,SORT1,VDAC1,GGA3,APBA1,SNX4,AP2B1,ADAM10,SEC24C,SEC24A,VLDLR,ARF6,SYK,PLCG2,IDE,ITPR1,SAR1B,HSPA9,ITPR2,AP4S1,LRP1,ECE1,SEC23B,RAB1A,PSEN1,SAR1A,MIA3,SEC31A,COPE,AP4B1,ADAM17,AP4E1,APBA2,SIGMAR1,GORASP1,SREBF2,PLG,MAP2K3,ABCA7,AP4M1
9,RAB1B,GGA1,AP3B2,SEC24C,SNX4,VPS35,RAB1A,TMED9,TMED2,HSPA9,ECE1,ADAM10,SNX6,TMED10,RTN4,ARF6,MAPK14,OSBP,HSPA5,COPB1,RTN3,BIN1,COPA,SEC24A,AP2B1,SEC13,SEC31A,SORT1,APBA1,ITPR2,PSEN1,NCSTN,SEC16A,EIF2S1,APOE,AP1G1,BACE1,SEC24B,MFN2,APP,SAR1B,SAR1A,PREB,VPS26A,MIA3,AP4E1,AP4B1,AP4S1,VPS29,LRP1,AP2A1,APBA2,SYK,PLCG2,COPZ1,IDE,SORL1,GGA3,COPG2,SEC24D,CLU,COPG1,PICALM,MAPKAPK2,SEC23B,SEC23A,COPE,GGA2,ADAM17,COPB2,VDAC1,VLDLR,ITPR1,PLG,GORASP1,MAP2K3,SIGMAR1,SREBF2,AP4M1,ABCA7
